,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,-258.00390326261254,-2227.9961104877825,0.0,-5343.39908344142,37.0,True,1
1,0.046,-258.02540666959067,-2227.974682885564,0.0,-5343.398716352691,37.0,True,1
2,0.206,-258.04498379927827,-2227.9551747626733,0.0,-5343.398716352691,37.0,True,1
3,0.332,-258.0,-2228.0,0.0,-5343.40705232027,36.37000064,True,1
4,0.406,-257.94877416915466,-2228.0510452665567,0.0,-5343.398716352691,36.0,True,1
5,0.532,-258.0,-2228.0,0.7891431429954883,-5343.341908277035,36.0,True,1
6,0.752,-259.0,-2227.0,2.1670151259102965,-5343.134309801626,36.0,True,1
7,0.885,-259.3666754487721,-2226.622019016158,3.0,-5342.999549686024,36.0,False,1
8,0.972,-260.0,-2226.0,3.0,-5342.9133105446035,36.0,False,1
9,1.165,-263.65924753328113,-2222.4624233389663,3.0,-5342.766216352691,36.0,False,1
10,1.312,-268.0,-2218.0,3.0,-5342.666752936021,36.0,False,1
11,1.325,-268.43082116681825,-2217.5393751256865,3.0,-5342.632883019358,36.0,False,1
12,1.572,-279.0,-2207.0,19.466653866666668,-5340.954290763158,36.0,False,1
13,1.652,-284.0,-2203.0,24.7999872,-5340.230809561422,36.0,False,1
14,1.685,-285.941408319376,-2201.1374688758788,27.0,-5339.932883019357,36.0,False,1
15,1.812,-293.0,-2193.0,29.645829333333335,-5338.789194242773,36.0,False,1
16,1.925,-300.6221831189525,-2185.409053967516,32.0,-5337.799549686024,36.0,False,1
17,2.085,-313.4071951873789,-2173.57327616556,32.0,-5336.3773274638015,36.0,False,1
18,2.092,-314.0,-2173.0,32.48998656,-5336.303220813412,36.03499904,False,1
19,2.285,-331.4213890675631,-2155.4053276823706,46.0,-5333.821771908247,37.0,False,1
20,2.392,-342.0,-2145.0,50.0125024,-5332.276484362346,37.0,False,1
21,2.445,-347.48747999085936,-2139.826407215142,52.0,-5331.510660797136,37.0,False,1
22,2.552,-359.0,-2129.0,52.0,-5330.002834070895,37.0,False,1
23,2.645,-369.39383197123726,-2118.591481776062,52.0,-5328.621771908246,37.0,False,1
24,2.692,-375.0,-2113.0,53.9093672,-5327.863894133351,38.468744,False,1
25,2.965,-414.6828479021871,-2075.543848322707,65.0,-5322.843994130469,47.0,False,1
26,3.032,-427.0,-2064.0,67.9312528,-5321.541035752244,49.9312528,False,1
27,3.125,-446.03974532474916,-2046.0629209276801,72.0,-5319.643994130469,54.0,False,1
28,3.372,-500.0,-1995.0,83.227264,-5313.693537542222,59.613632,False,1
