,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,-179.9977339664953,-2304.0022485408576,0.0,-5218.057826209652,27.0,False,1
1,0.046,-179.98525004124963,-2304.0146360306353,0.0,-5218.057512033497,27.0,False,1
2,0.206,-179.97388444867107,-2304.0259138358124,0.0,-5218.057512033497,27.0,False,1
3,0.332,-180.0,-2304.0,0.0,-5218.064646562835,27.0,False,1
4,0.406,-180.02973939143143,-2303.970490314487,0.0,-5218.057512033497,27.0,False,1
5,0.532,-180.0,-2304.0,1.315238571659147,-5218.008891537011,25.947809142672682,False,1
6,0.752,-180.0,-2304.0,3.6116918765171606,-5217.767217517641,24.11064649878627,False,1
7,0.885,-182.0369274093593,-2301.9774549933736,5.0,-5217.392234255719,23.0,False,1
8,0.972,-184.0,-2300.0,8.7285632,-5217.040588768895,23.0,False,1
9,1.165,-189.3598857377958,-2294.485329948605,17.0,-5216.070012033497,23.0,False,1
10,1.312,-195.0,-2289.0,19.7562512,-5215.26929399246,21.1624992,False,1
11,1.325,-195.58455208620853,-2288.4533628750464,20.0,-5215.181123144608,21.0,False,1
12,1.572,-209.0,-2276.0,30.977769244444445,-5212.821588693027,21.0,False,1
13,1.652,-214.0,-2271.0,34.5333248,-5211.942444474297,21.0,False,1
14,1.685,-216.1650022974104,-2268.833059292042,36.0,-5211.581123144608,21.0,False,1
15,1.812,-225.0,-2260.0,37.5874976,-5210.197844003268,28.408322133333332,False,1
16,1.925,-233.31700741970914,-2251.5472640390954,39.0,-5208.981123144608,35.0,False,1
17,2.085,-246.37260666639284,-2238.5945467460497,39.0,-5207.247789811275,35.0,False,1
18,2.092,-247.0,-2238.0,39.27999232,-5207.167236985829,35.31499136,False,1
19,2.285,-266.15709444219544,-2220.5757786576305,47.0,-5204.636678700163,44.0,False,1
20,2.392,-278.0,-2209.0,57.031256,-5202.807952670068,44.0,False,1
21,2.445,-284.13004446891017,-2202.5673602090296,62.0,-5201.881123144608,44.0,False,1
