,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,-987.9976553512656,-1531.002408725901,0.0,-5256.507276389284,28.8562504,True,1
1,0.046,-987.9847379571752,-1531.0156794068266,0.0,-5256.506416296792,29.0,True,1
2,0.206,-987.9729777778011,-1531.0277611863683,0.0,-5256.506416296792,29.0,True,1
3,0.332,-988.0,-1531.0,0.0,-5256.525947604897,29.0,True,1
4,0.406,-988.0307718735553,-1530.9683866223002,0.0,-5256.506416296792,29.0,True,1
5,0.532,-988.0,-1531.0,2.104381714654635,-5256.373314048264,33.4718111436411,True,1
6,0.752,-988.0,-1531.0,5.778707002427456,-5255.861361650652,41.27975238015835,True,1
7,0.885,-990.1015734307563,-1528.8457381074625,8.0,-5255.441971852348,46.0,False,1
8,0.972,-992.0,-1527.0,9.8642816,-5255.129006449499,43.8250048,False,1
9,1.165,-996.6275520858065,-1522.9577889925956,14.0,-5254.353082963458,39.0,False,1
10,1.312,-1001.0,-1519.0,15.837500799999999,-5253.707372991313,38.0812496,False,1
11,1.325,-1001.4373962619985,-1518.5824941471863,16.0,-5253.6419718523475,38.0,False,1
12,1.572,-1011.0,-1509.0,21.488884622222223,-5252.078307685274,31.138894222222223,False,1
13,1.652,-1015.0,-1505.0,23.2666624,-5251.490619651195,28.916672000000002,False,1
14,1.685,-1017.953901615005,-1502.163134832972,24.0,-5251.241971852348,28.0,False,1
15,1.812,-1034.0,-1487.0,26.645829333333335,-5250.251087174399,30.116663466666665,False,1
16,1.925,-1044.3208721260141,-1477.1426471981738,29.0,-5249.3086385190145,32.0,False,1
17,2.085,-1054.5250187855297,-1467.4373803065482,33.0,-5247.841971852347,31.0,False,1
18,2.092,-1055.0,-1467.0,33.1749952,-5247.772930383093,31.24499328,False,1
19,2.285,-1069.2586640560662,-1454.2542772680895,38.0,-5245.730860741236,38.0,False,1
20,2.392,-1078.0,-1446.0,39.3375008,-5244.556887891223,32.6499968,False,1
21,2.445,-1082.526984766388,-1441.4851299895672,40.0,-5243.953082963459,30.0,False,1
22,2.552,-1092.0,-1432.0,42.6750016,-5242.668528096131,30.53500032,False,1
23,2.645,-1100.5002100387997,-1424.151525112916,45.0,-5241.453082963459,31.0,False,1
24,2.692,-1105.0,-1420.0,46.468744,-5240.795161065435,31.8812464,False,1
25,2.965,-1135.5023491515901,-1390.2105742525252,55.0,-5236.56419407457,37.0,False,1
26,3.032,-1145.0,-1381.0,56.2562512,-5235.50537887962,39.093752,False,1
27,3.125,-1159.8105417654565,-1366.8238482707595,58.0,-5233.9864162967915,42.0,False,1
28,3.372,-1202.0,-1327.0,65.8590848,-5229.310081748281,42.0,False,1
29,3.565,-1226.6672276696152,-1303.7197966910583,72.0,-5225.186416296792,42.0,False,1
30,3.833,-1257.0,-1275.0,80.68828068840389,-5218.994079780964,50.019951404680526,False,1
31,3.966,-1275.7439831475197,-1257.206447180142,85.0,-5215.718360741236,54.0,False,1
32,4.213,-1317.0,-1218.0,92.41000192,-5209.270453506823,55.85250048,False,1
33,4.366,-1346.4471787476955,-1190.032488080137,97.0,-5204.940582963459,57.0,False,1
34,4.413,-1356.0,-1181.0,99.3500032,-5203.548224612994,58.3708352,False,1
35,4.606,-1397.0700934127137,-1142.3779256773487,109.0,-5197.6739162967915,64.0,False,1
36,4.653,-1407.0,-1133.0,109.0,-5196.272687770399,64.52222293333334,False,1
