,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,-420.99902353461687,-2070.0009583110027,0.0,-5253.931220363215,40.8624976,True,1
1,0.046,-420.9936447484569,-2070.0062370136116,0.0,-5253.9315729559685,40.0,True,1
2,0.206,-420.9887477042688,-2070.0110429494666,0.0,-5253.9315729559685,34.0,True,1
3,0.332,-421.0,-2070.0,0.0,-5253.923566305799,35.88999808,True,1
4,0.406,-421.01281368419285,-2069.9874247113303,0.0,-5253.9315729559685,37.0,True,1
5,0.532,-421.0,-2070.0,0.0,-5253.98613679445,38.315238571659144,True,1
6,0.752,-421.0,-2070.0,0.0,-5254.109721967828,40.61169187651716,True,1
7,0.885,-421.8897322120768,-2069.125194266295,0.0,-5253.9315729559685,42.0,False,1
8,0.972,-423.0,-2068.0,4.349990399999999,-5253.68527129577,44.1749952,False,1
9,1.165,-427.1294252105308,-2063.7099350999765,14.0,-5252.84268406708,49.0,False,1
10,1.312,-432.0,-2059.0,19.5125024,-5252.032429890112,49.9187504,False,1
11,1.325,-432.5086714202847,-2058.5306778358613,20.0,-5251.95379517819,50.0,False,1
12,1.572,-444.0,-2048.0,24.116663466666665,-5250.245446563207,58.23332693333333,False,1
13,1.652,-448.0,-2044.0,25.4499968,-5249.620263273052,60.8999936,False,1
14,1.685,-449.74503639302895,-2042.3613907580177,26.0,-5249.353795178191,62.0,False,1
15,1.812,-457.0,-2036.0,28.645829333333335,-5248.281633803409,62.0,False,1
16,1.925,-463.97738264972895,-2029.6499155127792,31.0,-5247.287128511524,62.0,False,1
17,2.085,-474.5256729171406,-2019.4751176960237,33.0,-5245.820461844857,65.0,False,1
18,2.092,-475.0,-2019.0,33.1749952,-5245.7519538199185,65.20999424,False,1
19,2.285,-488.5503088519091,-2004.9716501057267,38.0,-5243.709350733746,71.0,False,1
20,2.392,-497.0,-1997.0,40.0062512,-5242.4984040119225,75.0125024,False,1
21,2.445,-501.53222357616676,-1993.1053563457658,41.0,-5241.887128511524,77.0,False,1
22,2.552,-511.0,-1985.0,42.07000064,-5240.637291845504,89.30500736,False,1
23,2.645,-518.9384740370019,-1977.1118896929775,43.0,-5239.498239622635,100.0,False,1
24,2.692,-523.0,-1973.0,43.8812464,-5238.892813637491,100.0,False,1
25,2.965,-550.3050671349984,-1947.1375726596734,49.0,-5235.142684067079,100.0,False,1
26,3.032,-560.0,-1938.0,49.0,-5234.243448468693,99.1624992,False,1
27,3.125,-576.1388215279268,-1922.6782867900743,49.0,-5232.964906289302,98.0,False,1
28,3.372,-624.0,-1877.0,56.8590848,-5228.975152944567,80.5977408,False,1
29,3.565,-648.5400089168598,-1853.76760609546,63.0,-5225.2649062893015,67.0,False,1
30,3.833,-675.0,-1829.0,75.02992710702078,-5219.301184623221,58.980048595319474,False,1
31,3.966,-692.3644222807733,-1812.7072787545803,81.0,-5216.2424062893015,55.0,False,1
32,4.213,-730.0,-1777.0,82.85250048,-5210.647306695692,64.88000256,False,1
33,4.366,-754.7171425543779,-1753.016399118507,84.0,-5206.909072955968,71.0,False,1
34,4.413,-763.0,-1745.0,87.1333376,-5205.683175012677,70.8041664,False,1
35,4.606,-800.8535035789672,-1708.7023614420073,100.0,-5200.2424062893015,70.0,False,1
36,4.653,-810.0,-1700.0,102.21944746666667,-5198.80731422885,72.08889173333333,False,1
37,4.833,-848.0,-1664.0,110.71944746666667,-5192.932497106083,80.08889173333334,False,1
38,4.966,-896.4759033709738,-1617.8229180550538,117.0,-5188.542406289302,86.0,False,1
39,5.073,-931.0,-1585.0,117.0,-5185.083298054982,91.3500032,False,1
