,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,-566.9995672539069,-1931.0004968586104,0.0,-5343.341165841981,25.0,True,1
1,0.046,-566.9971838060526,-1931.0032337881853,0.0,-5343.341388888888,25.0,True,1
2,0.206,-566.9950137855412,-1931.005725586272,0.0,-5343.341388888888,25.0,True,1
3,0.332,-567.0,-1931.0,0.0,-5343.3363239502205,25.0,True,1
4,0.406,-567.005678110398,-1930.993479921248,0.0,-5343.341388888888,25.0,True,1
5,0.532,-567.0,-1931.0,0.0,-5343.375905508141,26.841334000322806,True,1
6,0.752,-567.0,-1931.0,0.0,-5343.454084435676,30.056368627124026,True,1
7,0.885,-567.3992385800235,-1930.548043892992,0.0,-5343.341388888888,32.0,False,1
8,0.972,-568.0,-1930.0,2.4857088000000003,-5343.185580557531,33.553568,False,1
9,1.165,-570.5832157396577,-1928.0024381402704,8.0,-5342.719166666666,37.0,False,1
10,1.312,-574.0,-1925.0,8.0,-5342.397119593116,36.0812496,False,1
11,1.325,-574.3722341895626,-1924.64757959779,8.0,-5342.36361111111,36.0,False,1
12,1.572,-583.0,-1916.0,12.802774044444444,-5341.472749691618,33.25555768888889,False,1
13,1.652,-586.0,-1913.0,14.358329600000001,-5341.056278845188,32.3666688,False,1
14,1.685,-587.4325416329117,-1911.6787057908223,15.0,-5340.86361111111,32.0,False,1
15,1.812,-594.0,-1906.0,20.820824533333333,-5340.00851838568,36.7624928,False,1
16,1.925,-600.6096428660953,-1900.070614026679,26.0,-5339.130277777777,41.0,False,1
17,2.085,-608.7625482130156,-1892.2514487419242,32.0,-5337.708055555555,42.0,False,1
18,2.092,-609.0,-1892.0,32.31499136,-5337.636656422961,41.96500096,False,1
19,2.285,-612.010049650825,-1887.796995675067,41.0,-5335.430277777777,41.0,False,1
20,2.392,-616.0,-1884.0,41.0,-5334.2331835008845,42.3375008,False,1
21,2.445,-619.548256855121,-1881.050920579682,41.0,-5333.6080555555545,43.0,False,1
22,2.552,-629.0,-1873.0,45.28000256,-5332.212994957251,47.81500288,False,1
23,2.645,-638.1642328992987,-1863.8890826715478,49.0,-5330.885833333333,52.0,False,1
24,2.692,-643.0,-1859.0,50.1749952,-5330.183886260255,53.3218696,False,1
25,2.965,-674.134317914959,-1829.3084014748274,57.0,-5325.819166666666,61.0,False,1
26,3.032,-684.0,-1820.0,58.2562512,-5324.73748973187,63.9312528,False,1
27,3.125,-699.6602061572548,-1805.1550808201964,60.0,-5323.152499999999,68.0,False,1
28,3.372,-745.0,-1762.0,72.3499904,-5317.836646357982,67.4386368,False,1
29,3.565,-771.2329091695228,-1737.1116884271128,82.0,-5313.130277777777,67.0,False,1
30,3.833,-804.0,-1706.0,88.68329283723376,-5306.44404783563,67.66832928372338,False,1
31,3.966,-825.0712642199115,-1685.8635236773785,92.0,-5302.882499999999,68.0,False,1
32,4.213,-871.0,-1642.0,101.2625024,-5295.654385943485,69.23500032,False,1
33,4.366,-902.0123895663717,-1612.5558902187427,107.0,-5290.99361111111,70.0,False,1
34,4.413,-912.0,-1603.0,107.979168,-5289.557274192555,71.5666688,False,1
35,4.606,-954.8709838334798,-1561.605037780132,112.0,-5283.526944444444,78.0,False,1
36,4.653,-965.0,-1552.0,113.82778026666666,-5281.976957822184,79.1750016,False,1
37,4.833,-1008.0,-1512.0,120.82778026666666,-5275.722596649624,83.6750016,False,1
38,4.966,-1066.8632537081921,-1456.1278004045605,126.0,-5270.9269444444435,87.0,False,1
39,5.073,-1109.0,-1416.0,129.43928777142858,-5267.00714369344,89.29285851428571,False,1
40,5.246,-1132.7798221662422,-1393.6045995585232,135.0,-5260.4269444444435,93.0,False,1
41,5.313,-1143.0,-1384.0,138.3500032,-5257.739033411034,93.0,False,1
42,5.566,-1229.9395506222559,-1301.6696771623313,151.0,-5247.004722222221,93.0,False,1
43,5.713,-1281.0,-1253.0,155.20000182857143,-5240.524487926506,96.6750016,False,1
44,5.846,-1312.4882562788712,-1222.646000995139,159.0,-5234.638055555555,100.0,False,1
45,5.953,-1338.0,-1198.0,159.0,-5229.957420383209,100.0,False,1
46,6.046,-1366.4996579521737,-1170.6167142032532,159.0,-5225.804722222221,100.0,False,1
47,6.173,-1411.0,-1128.0,164.19545716363638,-5219.842437017957,100.0,False,1
48,6.453,-1510.0,-1034.0,175.65000261818182,-5205.840871940049,100.0,False,1
49,6.486,-1521.3647217782002,-1023.4194929296142,177.0,-5204.171388888888,100.0,False,1
50,6.573,-1554.0,-993.0,178.95750144,-5199.760288930937,100.0,False,1
51,6.872,-1720.0,-834.0,185.68500288,-5184.260023994406,100.0,False,1
52,6.886,-1725.5584088621094,-828.7033613948392,186.0,-5183.504722222221,100.0,False,1
53,7.192,-1793.0,-766.0,198.75000533333335,-5166.418999544953,100.0,False,1
54,7.246,-1809.1716559688127,-750.8288933726509,201.0,-5163.404722222222,100.0,False,1
55,7.406,-1873.8657418760147,-689.6065145126822,200.0,-5154.515833333333,100.0,False,1
56,7.592,-1956.0,-611.0,206.22594403991457,-5143.803857165892,100.0,False,1
57,7.645,-1977.7061359792376,-590.0172910161901,208.0,-5140.706944444443,100.0,False,1
58,7.732,-2015.0,-554.0,210.1749952,-5135.6034966099905,100.0,False,1
59,7.805,-2052.419587204823,-518.2320814868518,212.0,-5131.284722222222,100.0,False,1
60,7.992,-2154.0,-422.0,215.5062512,-5120.006893517741,100.0,False,1
61,8.252,-2241.0,-340.0,220.3812464,-5103.889780708639,100.0,False,1
62,8.285,-2253.7356679363793,-327.9145221275288,221.0,-5101.818055555555,100.0,False,1
63,8.532,-2368.0,-219.0,226.0522688,-5086.130527281248,100.0,False,1
64,8.672,-2432.0,-158.0,228.9159104,-5077.129020745658,100.0,False,1
65,8.725,-2456.510365662355,-134.6109272195896,230.0,-5073.706944444444,100.0,False,1
66,8.925,-2550.7065511512433,-45.09006084623136,233.0,-5060.762499999999,100.0,False,1
67,8.932,-2554.0,-42.0,232.8886394181818,-5060.311835188446,98.40913454545455,False,1
68,9.092,-2629.0,28.0,230.34318487272728,-5050.080425663748,62.04549818181818,False,1
69,9.292,-2721.0,116.0,227.1613666909091,-5037.5722842745645,16.590952727272732,False,1
70,9.365,-2752.494306160229,146.11596375115556,226.0,-5033.140277777777,0.0,True,1
71,9.525,-2820.5417367047003,210.82570225891834,213.0,-5023.67361111111,0.0,True,1
72,9.612,-2867.0,255.0,210.1000064,-5018.644829308559,0.0,True,1
73,9.765,-2963.848522911922,347.0682112446197,205.0,-5010.006944444443,0.0,True,1
