,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,-369.00138169935,-2118.9986138660465,0.0,-5295.399173404727,30.1437496,False,1
1,0.046,-369.00899225795416,-2118.9909788598616,0.0,-5295.398119388611,30.0,False,1
2,0.206,-369.0159212495531,-2118.984027613072,0.0,-5295.398119388611,30.0,False,1
3,0.332,-369.0,-2119.0,0.0,-5295.422054402551,30.0,False,1
4,0.406,-368.98186948969317,-2119.0181887435942,0.0,-5295.398119388611,30.0,False,1
5,0.532,-369.0,-2119.0,2.630477143318294,-5295.235006700156,30.52609542866366,False,1
6,0.752,-370.0,-2118.0,7.223383753034321,-5294.602461589999,31.444676750606863,False,1
7,0.885,-372.61372510610073,-2115.389921010634,10.0,-5294.067563833056,32.0,False,1
8,0.972,-375.0,-2113.0,12.7964224,-5293.661618288337,32.6214272,False,1
9,1.165,-381.6479571217394,-2106.312803142961,19.0,-5292.589786055278,34.0,False,1
10,1.312,-388.0,-2100.0,24.5125024,-5291.580415583155,34.0,False,1
11,1.325,-388.6165706057582,-2099.3930413052226,25.0,-5291.478674944166,34.0,False,1
12,1.572,-402.0,-2087.0,31.861105777777777,-5289.136379369077,36.74444231111111,False,1
13,1.652,-407.0,-2083.0,34.083328,-5288.315121241575,37.6333312,False,1
14,1.685,-409.16875252807444,-2081.02156570422,35.0,-5287.978674944166,38.0,False,1
15,1.812,-418.0,-2072.0,36.5874976,-5286.696110106033,40.116663466666665,False,1
16,1.925,-426.22039444132366,-2064.250423946632,38.0,-5285.445341610834,42.0,False,1
17,2.085,-439.34971870949863,-2052.586854239766,48.0,-5283.3120082775,45.0,False,1
18,2.092,-440.0,-2052.0,48.3499904,-5283.208600245218,45.13999616,False,1
19,2.285,-460.41176943808796,-2033.2313209054698,58.0,-5280.089786055278,49.0,False,1
20,2.392,-473.0,-2021.0,60.6750016,-5278.268703558808,52.343752,False,1
21,2.445,-479.426942466261,-2014.5185713180406,62.0,-5277.334230499722,54.0,False,1
22,2.552,-493.0,-2001.0,65.74500224,-5275.360628943589,54.53500032,False,1
23,2.645,-505.84758990688846,-1989.4168725955558,69.0,-5273.500897166389,55.0,False,1
24,2.692,-513.0,-1983.0,71.203116,-5272.494423925043,55.5874976,False,1
25,2.965,-562.9120239331388,-1935.7444935320727,84.0,-5266.034230499722,59.0,False,1
26,3.032,-574.0,-1925.0,85.6750016,-5264.425609307073,59.8375008,False,1
27,3.125,-587.433281360082,-1911.8824621937165,88.0,-5262.1231193886115,61.0,False,1
28,3.372,-618.0,-1882.0,98.6659008,-5255.058427342958,61.0,False,1
29,3.565,-647.2055876404316,-1854.5061391920945,107.0,-5249.045341610833,61.0,False,1
30,3.833,-696.0,-1809.0,113.68329283723376,-5240.512388030332,65.67830498606364,False,1
31,3.966,-723.27610506207,-1783.2029931211837,117.0,-5236.012841610834,68.0,False,1
32,4.213,-779.0,-1730.0,127.49750272,-5226.9922637035825,62.44249856,False,1
33,4.366,-816.663541627771,-1693.8374689207337,134.0,-5221.123952721944,59.0,False,1
34,4.413,-829.0,-1682.0,135.7625024,-5219.294742043991,63.89584,False,1
35,4.606,-883.1691379129779,-1630.184958995179,143.0,-5211.590619388611,84.0,False,1
36,4.653,-896.0,-1618.0,144.69722453333333,-5209.639677630563,85.1750016,False,1
37,4.833,-948.0,-1569.0,151.19722453333333,-5201.886771713626,89.6750016,False,1
38,4.966,-1011.1978429041584,-1509.4375608063494,156.0,-5195.990619388611,93.0,False,1
39,5.073,-1056.0,-1467.0,159.82143085714284,-5191.180131402752,95.6750016,False,1
40,5.246,-1084.0210235261843,-1439.6442228879857,166.0,-5183.0795082775,100.0,False,1
41,5.313,-1097.0,-1427.0,170.3968792,-5179.743264190375,100.0,False,1
42,5.566,-1202.8166706327995,-1325.9609328206068,187.0,-5166.457286055278,100.0,False,1
43,5.713,-1265.0,-1267.0,189.62500114285714,-5158.698509682881,100.0,False,1
44,5.846,-1304.0449683209329,-1230.2327426286993,192.0,-5151.523952721945,100.0,False,1
45,5.953,-1336.0,-1200.0,197.88500352,-5145.537859381406,100.0,False,1
46,6.046,-1371.6194810475624,-1165.9955546249114,203.0,-5140.246174944166,100.0,False,1
47,6.173,-1427.0,-1113.0,205.02045556363638,-5132.974041382059,100.0,False,1
48,6.453,-1547.0,-999.0,209.4750010181818,-5116.576338638077,100.0,False,1
49,6.486,-1560.0031606683974,-986.7708183513363,210.0,-5114.5795082775,100.0,False,1
50,6.573,-1597.0,-952.0,213.48000256,-5109.244950302067,100.0,False,1
51,6.872,-1792.0,-767.0,225.44000512,-5090.357864323742,100.0,False,1
52,6.886,-1798.5050967220554,-760.8217693154928,226.0,-5089.468397166389,100.0,False,1
53,7.192,-1875.0,-688.0,228.55000106666665,-5070.004004408841,100.0,False,1
54,7.246,-1893.2276413644067,-670.5115962415047,229.0,-5066.568397166389,100.0,False,1
55,7.406,-1966.5302290748025,-600.0470653839438,229.0,-5056.390619388611,100.0,False,1
56,7.592,-2059.0,-512.0,229.0,-5044.558710148407,100.0,False,1
57,7.645,-2083.1681661547213,-489.3015033792078,229.0,-5041.187563833056,100.0,False,1
58,7.732,-2124.0,-451.0,229.0,-5035.654320408225,100.0,False,1
59,7.805,-2163.8517815105024,-413.26952542324784,229.0,-5031.009786055278,100.0,False,1
60,7.992,-2271.0,-311.0,229.0,-5019.097437691881,101.55833386666667,False,1
61,8.252,-2363.0,-223.0,229.0,-5002.563910444664,103.7249984,False,1
62,8.285,-2373.3471838764335,-213.20030548015632,229.0,-5000.476452721944,104.0,True,1
63,8.532,-2493.0,-100.0,227.3159104,-4984.934477890999,45.6182272,True,1
64,8.672,-2642.0,42.0,226.3613632,-4976.168662858487,12.527257599999999,True,1
65,8.725,-2683.8923414094947,81.65976591931711,226.0,-4972.854230499723,0.0,True,1
66,8.925,-2769.0329885602005,161.18400947746548,223.0,-4960.465341610833,0.0,True,1
67,8.932,-2772.0,164.0,222.72955287272728,-4960.043130303221,0.0,True,1
68,9.092,-2844.0,233.0,216.5477346909091,-4950.665838636533,0.0,True,1
69,9.292,-2912.0,297.0,208.82046196363638,-4939.418591647085,0.0,True,1
70,9.365,-2937.3272708365726,320.9369728863867,206.0,-4935.287563833055,0.0,True,1
71,9.525,-3000.126538238424,380.63433971403043,203.0,-4926.265341610833,0.0,True,1
72,9.612,-3044.0,422.0,197.9250112,-4921.609766724018,0.0,True,1
73,9.765,-3135.0831015476356,507.33109010147285,189.0,-4913.665341610833,0.0,True,1
74,9.772,-3139.0,511.0,189.0,-4913.296986413808,0.0,True,1
75,10.125,-3279.34884196404,643.2688906877439,189.0,-4894.765341610833,0.0,True,1
76,10.233,-3309.0,672.0,177.3485446236799,-4889.7254340177615,0.0,True,1
77,10.366,-3340.408869324679,703.2061060766836,163.0,-4883.853397166389,0.0,True,1
78,10.526,-3377.209545348783,741.1264601317072,155.0,-4876.9645082775,0.0,True,1
79,10.533,-3379.0,743.0,154.6499968,-4876.671627129327,0.0,True,1
80,10.726,-3432.130772853881,799.9094699477924,145.0,-4868.908952721944,0.0,True,1
81,10.733,-3434.0,802.0,144.71999744,-4868.637146823614,0.0,True,1
82,10.913,-3479.0,855.0,137.51999744,-4861.793755998782,0.0,True,1
83,10.926,-3482.1302538250366,858.86694556868,137.0,-4861.2978416108335,0.0,True,1
84,11.093,-3521.0,909.0,137.0,-4854.902307541692,0.0,True,1
85,11.126,-3528.167543945925,918.7729489467432,137.0,-4853.686730499722,0.0,True,1
86,11.286,-3560.215655868993,965.1864845250553,126.0,-4848.086730499722,0.0,True,1
87,11.413,-3583.0,1001.0,123.6187488,-4843.738248241703,0.0,True,1
88,11.446,-3588.5804618599986,1010.1668593005112,123.0,-4842.620063833056,0.0,True,1
89,11.593,-3612.0,1052.0,121.42499931428571,-4837.711780537,0.5250002285714286,True,1
90,11.726,-3631.9110031444284,1096.048043323068,120.0,-4833.286730499722,1.0,True,1
91,11.873,-3650.0,1145.0,120.0,-4828.332940259467,1.6125002666666666,True,1
92,11.966,-3657.7659502160714,1171.7927503249248,120.0,-4825.286730499722,2.0,True,1
93,12.166,-3666.295286934319,1222.4836852285648,111.0,-4819.120063833056,11.0,False,1
94,12.233,-3668.0,1241.0,110.32999936,-4817.086725360387,11.33500032,False,1
95,12.366,-3670.0535515036263,1281.1018487043502,109.0,-4813.0645082775,12.0,False,1
96,12.433,-3670.0,1302.0,108.76071405714286,-4811.047391429999,14.632145371428571,False,1
97,12.646,-3664.530242728547,1367.6921512510407,108.0,-4804.664508277499,23.0,False,1
98,12.693,-3663.0,1381.0,108.0,-4803.258057326589,19.7687456,False,1
99,12.806,-3659.4344885953647,1410.441372270005,108.0,-4799.8645082775,12.0,False,1
100,12.913,-3653.0,1448.0,108.97272785454545,-4796.604391146968,20.51136872727273,False,1
101,13.073,-3635.0,1533.0,110.4272733090909,-4791.64152725815,33.23864145454546,False,1
102,13.246,-3621.947500560587,1590.6264670932158,112.0,-4786.175619388611,47.0,False,1
103,13.406,-3615.349826830753,1615.6986714821387,116.0,-4781.020063833055,56.0,False,1
104,13.512,-3609.0,1640.0,118.6500032,-4777.506527240816,58.12000256,False,1
