,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,-681.0019500201738,-1822.9980325555666,0.0,-5271.278090105294,27.0,True,1
1,0.046,-681.0126915432276,-1822.9871949740598,0.0,-5271.276944444446,27.0,True,1
2,0.206,-681.0224710220692,-1822.9773280510217,0.0,-5271.276944444446,27.0,True,1
3,0.332,-681.0,-1823.0,0.0,-5271.302960517492,27.0,True,1
4,0.406,-680.9744108591558,-1823.0258179487264,0.0,-5271.276944444446,27.0,True,1
5,0.532,-681.0,-1823.0,2.630477143318294,-5271.099649723494,26.47390457133634,True,1
6,0.752,-682.0,-1822.0,7.223383753034321,-5270.434982808972,25.555323249393137,True,1
7,0.885,-684.1030041668542,-1819.911322007813,10.0,-5269.94638888889,25.0,False,1
8,0.972,-686.0,-1818.0,11.553568,-5269.60446116708,25.0,False,1
9,1.165,-691.3194351901382,-1812.5263856262056,15.0,-5268.779722222223,25.0,False,1
10,1.312,-696.0,-1808.0,16.8375008,-5268.087479217636,47.050009599999996,False,1
11,1.325,-696.4268100477207,-1807.6109566848295,17.0,-5268.024166666668,49.0,False,1
12,1.572,-705.0,-1800.0,18.372221155555554,-5266.760458878148,51.74444231111111,False,1
13,1.652,-708.0,-1797.0,18.8166656,-5266.314583533589,52.6333312,False,1
14,1.685,-709.2299372451816,-1795.7569251920227,19.0,-5266.124166666668,53.0,False,1
15,1.812,-714.0,-1791.0,20.5874976,-5265.356088374161,51.4125024,False,1
16,1.925,-718.6331286313276,-1786.6504323184927,22.0,-5264.657500000001,50.0,False,1
17,2.085,-725.6857329255494,-1780.283741697193,22.0,-5263.679722222223,64.0,False,1
18,2.092,-726.0,-1780.0,22.03499904,-5263.636084627296,64.0,False,1
19,2.285,-734.8511204859248,-1771.9698865279152,23.0,-5262.401944444446,64.0,False,1
20,2.392,-740.0,-1767.0,23.0,-5261.716031031296,64.0,False,1
21,2.445,-742.630104196352,-1764.338410973519,23.0,-5261.379722222224,64.0,False,1
22,2.552,-748.0,-1759.0,23.0,-5260.710410635436,64.0,False,1
23,2.645,-752.5782161991476,-1755.0982705761833,23.0,-5260.1019444444455,64.0,False,1
24,2.692,-755.0,-1753.0,23.734372,-5259.77337430315,64.4406232,False,1
