,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,-608.9984027394378,-1892.0023417330644,0.0,-5327.847469455573,22.5687512,True,1
1,0.046,-608.989603632393,-1892.0152430533033,0.0,-5327.846666666665,23.0,True,1
2,0.206,-608.9815927029715,-1892.0269886002864,0.0,-5327.846666666665,23.0,True,1
3,0.332,-609.0,-1892.0,0.0,-5327.864896727343,23.0,True,1
4,0.406,-609.0209615261277,-1891.9692664137938,0.0,-5327.846666666665,23.0,True,1
5,0.532,-609.0,-1892.0,2.104381714654635,-5327.722432178429,24.841334000322806,True,1
6,0.752,-609.0,-1892.0,5.778707002427456,-5327.230564945712,28.056368627124026,True,1
7,0.885,-610.4436062226602,-1889.9008238260374,8.0,-5326.782222222221,30.0,False,1
8,0.972,-612.0,-1888.0,10.4857088,-5326.429227669243,30.3107136,False,1
9,1.165,-616.9569219567413,-1883.3466484873334,16.0,-5325.537777777777,31.0,False,1
10,1.312,-622.0,-1879.0,17.8375008,-5324.813992234756,31.0,False,1
11,1.325,-622.4946163328084,-1878.5689233982241,18.0,-5324.7377777777765,31.0,False,1
12,1.572,-634.0,-1868.0,25.547216355555555,-5322.813343055089,31.0,False,1
13,1.652,-639.0,-1863.0,27.991660800000002,-5322.120218416109,31.0,False,1
14,1.685,-641.0584553371262,-1861.0594612589134,29.0,-5321.837777777777,31.0,False,1
15,1.812,-649.0,-1854.0,30.5874976,-5320.769275291071,31.0,False,1
16,1.925,-656.8851751937938,-1846.3448947148245,32.0,-5319.704444444444,31.0,False,1
17,2.085,-669.4188396651427,-1833.584966223783,42.0,-5317.837777777777,35.0,False,1
18,2.092,-670.0,-1833.0,42.20999424,-5317.749410605501,35.20999424,False,1
19,2.285,-687.1445928275356,-1816.0344127087903,48.0,-5315.17111111111,41.0,False,1
20,2.392,-698.0,-1806.0,49.3375008,-5313.70105708858,47.687504,False,1
21,2.445,-703.8099230358365,-1800.8758765828818,50.0,-5312.948888888887,51.0,False,1
22,2.552,-716.0,-1790.0,53.210001919999996,-5311.358307634565,54.210001919999996,False,1
23,2.645,-726.4333498574682,-1779.5927159398686,56.0,-5309.837777777777,57.0,False,1
24,2.692,-732.0,-1774.0,58.203116,-5309.001846378593,58.0281208,False,1
25,2.965,-771.7569774751389,-1736.4472324466299,71.0,-5303.526666666666,64.0,False,1
26,3.032,-784.0,-1725.0,72.6750016,-5302.161437114055,65.6750016,False,1
27,3.125,-802.8150475961845,-1707.327135690955,75.0,-5300.193333333332,68.0,False,1
28,3.372,-856.0,-1657.0,86.7886272,-5293.958848947467,73.0522688,False,1
29,3.565,-888.3263038335465,-1626.0437886087407,96.0,-5288.459999999999,77.0,False,1
30,3.833,-929.0,-1587.0,106.69326853957404,-5280.3601701883335,92.37157352563767,False,1
31,3.966,-953.4382237959736,-1563.8529587079825,112.0,-5275.984444444443,100.0,False,1
32,4.213,-1006.0,-1514.0,122.49750272,-5267.093153078436,100.0,False,1
33,4.366,-1042.802094069698,-1478.614737449739,129.0,-5261.6511111111095,100.0,False,1
34,4.413,-1055.0,-1467.0,128.020832,-5260.050819849999,100.0,False,1
35,4.606,-1109.0949558920806,-1416.2284427751858,124.0,-5253.384444444443,100.0,False,1
36,4.653,-1122.0,-1404.0,128.56945066666665,-5251.536856541717,100.0,False,1
37,4.833,-1175.0,-1353.0,146.06945066666665,-5243.56396294375,100.0,False,1
38,4.966,-1241.122348930477,-1289.7444992999592,159.0,-5237.484444444443,100.0,False,1
39,5.073,-1288.0,-1245.0,160.52857234285713,-5232.6994922974345,100.0,False,1
40,5.246,-1316.2266085592823,-1218.1116531864407,163.0,-5224.8066666666655,100.0,False,1
41,5.313,-1329.0,-1206.0,167.6062544,-5221.53149990049,100.0,False,1
42,5.566,-1434.792917408844,-1105.740877940942,185.0,-5208.362222222221,100.0,False,1
43,5.713,-1497.0,-1047.0,188.15000137142857,-5200.590351352224,100.0,False,1
44,5.846,-1535.8603701573522,-1010.5778210269594,191.0,-5193.506666666665,100.0,False,1
45,5.953,-1567.0,-981.0,193.14000128,-5187.760480490483,100.0,False,1
46,6.046,-1601.112730293528,-948.0041219766275,195.0,-5182.673333333332,100.0,False,1
47,6.173,-1654.0,-897.0,199.32954763636363,-5175.5095090790455,100.0,False,1
48,6.453,-1771.0,-787.0,208.8750021818182,-5158.990998983497,100.0,False,1
49,6.486,-1783.9557456808484,-774.3615723144285,210.0,-5157.006666666665,100.0,False,1
50,6.573,-1821.0,-738.0,212.39250176,-5151.742036824948,100.0,False,1
51,6.872,-2015.0,-554.0,220.61500352,-5133.322955181737,100.0,False,1
52,6.886,-2021.4423044367438,-547.9125544028894,221.0,-5132.45111111111,100.0,False,1
53,7.192,-2097.0,-476.0,226.10000213333333,-5113.193764142643,100.0,False,1
54,7.246,-2115.3498137958204,-458.4629518957407,227.0,-5109.75111111111,100.0,False,1
55,7.406,-2189.644400158677,-387.4879321312698,231.0,-5099.484444444443,100.0,False,1
56,7.592,-2284.0,-298.0,231.0,-5087.541772599288,100.0,False,1
57,7.645,-2308.793560234925,-274.7043807705422,231.0,-5084.14861111111,100.0,False,1
58,7.732,-2351.0,-235.0,231.0,-5078.591615323334,100.0,False,1
59,7.805,-2392.701117566253,-195.35242850907323,231.0,-5073.881944444443,100.0,False,1
60,7.992,-2505.0,-88.0,236.45416853333333,-5061.410813329457,100.0,False,1
61,8.252,-2603.0,4.0,244.03749439999999,-5043.486877606558,100.0,False,1
62,8.285,-2617.053907338376,17.24590803257561,245.0,-5041.2152777777765,100.0,False,1
63,8.532,-2741.0,135.0,246.1227264,-5024.259382540449,100.0,False,1
64,8.672,-2810.0,201.0,246.7590912,-5014.661864261914,100.0,False,1
65,8.725,-2836.523675051104,226.22347151676738,247.0,-5011.026388888888,100.0,False,1
66,8.925,-2936.6794222169656,320.8601929337597,248.0,-4997.24861111111,9.0,True,1
67,8.932,-2940.0,324.0,247.92045672727272,-4996.760780026197,8.85682210909091,True,1
68,9.092,-3013.0,393.0,246.1022749090909,-4985.475136137382,5.5840948363636365,True,1
69,9.292,-3104.0,478.0,243.82954763636363,-4971.864647132972,1.4931857454545452,True,1
70,9.365,-3134.1283031439975,506.0982834156586,243.0,-4967.5486111111095,0.0,True,1
71,9.525,-3195.9348931410127,563.9563698045869,188.0,-4959.193055555555,0.0,True,1
72,9.612,-3236.0,602.0,184.0125088,-4954.857959628485,0.0,True,1
73,9.765,-3317.482905184636,680.5393954850638,177.0,-4947.393055555554,0.0,True,1
74,9.772,-3321.0,684.0,176.76667306666667,-4947.055545571024,0.0,True,1
75,10.125,-3449.7607764861978,820.517768472655,165.0,-4930.893055555554,0.0,True,1
76,10.233,-3475.0,850.0,152.90041172459067,-4926.638244954033,0.0,True,1
77,10.366,-3498.8186236369206,879.3826750878088,138.0,-4921.654722222221,0.0,True,1
78,10.526,-3524.689689758694,914.1877939431864,136.0,-4915.610277777777,0.0,True,1
79,10.533,-3526.0,916.0,135.85999872,-4915.348699012942,0.0,True,1
80,10.726,-3565.6462749256425,972.9177350198637,132.0,-4908.276944444443,0.0,True,1
81,10.733,-3567.0,975.0,131.8249984,-4908.02500490177,0.0,True,1
82,10.913,-3598.0,1027.0,127.3249984,-4901.668299671069,0.0,True,1
83,10.926,-3600.0802314320285,1030.7791211931587,127.0,-4901.221388888887,0.0,True,1
84,11.093,-3625.0,1080.0,121.98999808,-4895.608641117335,0.0,True,1
85,11.126,-3629.272380514401,1089.7186215145164,121.0,-4894.499166666666,0.0,True,1
86,11.286,-3646.5860292409834,1136.5512924408172,121.0,-4889.121388888888,0.0,True,1
87,11.413,-3657.0,1173.0,114.6499968,-4885.118712747737,0.0,True,1
88,11.446,-3659.2806432681678,1182.3340015883505,113.0,-4884.099166666665,0.0,True,1
89,11.593,-3667.0,1225.0,110.89999908571428,-4879.592952255914,0.0,True,1
90,11.726,-3669.678487251794,1270.145902348683,109.0,-4875.621388888888,0.0,False,1
91,11.873,-3669.0,1320.0,105.3249984,-4871.400637059744,6.125002666666667,False,1
92,11.966,-3667.337351314242,1346.7645247092503,103.0,-4868.754722222221,10.0,False,1
93,12.166,-3660.820005863367,1395.6984495372842,103.0,-4863.032499999998,35.0,False,1
94,12.233,-3658.0,1413.0,102.32999936,-4861.139591930435,38.3500032,False,1
95,12.366,-3651.557254968436,1449.7854604686395,101.0,-4857.421388888888,45.0,False,1
96,12.433,-3648.0,1469.0,101.0,-4855.559490282002,50.74286262857143,False,1
97,12.646,-3635.7596006024423,1530.4731334922421,101.0,-4849.565833333332,69.0,False,1
98,12.693,-3633.0,1543.0,103.0562528,-4848.184430956312,69.0,False,1
99,12.806,-3626.3791359896486,1570.722343936292,108.0,-4844.765833333332,69.0,False,1
100,12.913,-3617.0,1608.0,110.91818356363636,-4841.403120108799,71.18863767272727,False,1
101,13.073,-3595.0,1696.0,115.28181992727272,-4836.14431178738,74.46136494545455,False,1
102,13.246,-3580.5446949963416,1754.9889468177998,120.0,-4830.099166666665,78.0,False,1
103,13.406,-3575.1374776740013,1780.336959873016,133.0,-4824.1880555555545,70.0,False,1
104,13.512,-3570.0,1807.0,135.12000256,-4820.189039400362,69.46999936,False,1
105,13.606,-3564.1335701096136,1838.438962323853,137.0,-4816.576944444443,69.0,False,1
106,13.692,-3559.0,1874.0,139.687496,-4813.201667105061,71.1499968,False,1
107,13.766,-3555.6849783065213,1910.0656521478545,142.0,-4810.265833333332,73.0,False,1
108,13.932,-3552.0,1998.0,143.65999872,-4803.635576377912,73.0,False,1
109,13.966,-3551.8970777955114,2014.1261663551995,144.0,-4802.265833333332,73.0,False,1
110,14.246,-3558.5677905812463,2122.43564992624,148.0,-4790.754722222221,71.0,False,1
111,14.332,-3562.0,2153.0,150.87865603249378,-4787.087701427233,72.43932801624689,False,1
112,14.485,-3569.0126229736097,2207.48622713737,156.0,-4780.3980555555545,75.0,False,1
113,14.732,-3585.0,2300.0,161.55749568,-4769.179090367873,76.23499904,False,1
114,14.885,-3599.9037387568724,2364.048366271483,165.0,-4762.0647222222215,77.0,False,1
115,14.972,-3612.0,2405.0,165.98863418181818,-4757.985792886993,74.03409745454546,False,1
116,15.172,-3650.0,2508.0,168.26136145454547,-4748.526116525429,67.21591563636363,False,1
117,15.325,-3676.779618005682,2567.099004391661,170.0,-4741.286944444443,62.0,False,1
118,15.472,-3705.0,2618.0,170.0,-4734.346314988046,62.0,False,1
119,15.485,-3707.9021379232313,2622.9019261035755,170.0,-4733.7313888888875,62.0,False,1
120,15.685,-3759.4109555635114,2704.3161299574253,173.0,-4724.120277777776,77.0,False,1
121,15.732,-3772.0,2723.0,175.85355977142856,-4721.747931938551,80.86069851428572,False,1
122,15.965,-3840.0245060045577,2814.7299397823354,190.0,-4709.342499999999,100.0,False,1
123,15.992,-3851.0,2828.0,190.74250176,-4707.863825020072,100.0,False,1
124,16.212,-3958.0,2950.0,196.79249472,-4695.569226401044,100.0,False,1
125,16.365,-4003.3520664898642,2998.4751686231684,201.0,-4687.009166666666,100.0,False,1
126,16.605,-4054.640809695188,3044.867998023644,201.0,-4673.609166666665,100.0,False,1
