,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,-768.0055610258489,-1739.9986505561808,0.0,-5296.1636171225955,24.0,True,1
1,0.046,-768.0361945939402,-1739.9912178194925,0.0,-5296.162222222225,24.0,True,1
2,0.206,-768.0640843674121,-1739.9844507032387,0.0,-5296.162222222225,24.0,True,1
3,0.332,-768.0,-1740.0,0.0,-5296.193898112042,24.0,True,1
4,0.406,-767.9270231723965,-1740.0177069446877,0.0,-5296.162222222225,24.0,True,1
5,0.532,-768.0,-1740.0,3.156572571981953,-5295.9463568978845,24.52609542866366,True,1
6,0.752,-770.0,-1739.0,8.668060503641186,-5295.141708801913,25.444676750606863,True,1
7,0.885,-772.709994424923,-1736.3597545005248,12.0,-5294.565555555559,26.0,False,1
8,0.972,-775.0,-1734.0,13.8642816,-5294.169288347138,25.6892864,False,1
9,1.165,-781.3008769220004,-1727.6374570027913,18.0,-5293.165555555558,25.0,False,1
10,1.312,-788.0,-1721.0,24.4312528,-5292.159694560692,26.8375008,False,1
11,1.325,-788.6972103397021,-1720.3135162019948,25.0,-5292.054444444447,27.0,False,1
12,1.572,-810.0,-1700.0,33.91943751111111,-5289.51911171738,35.91943751111111,False,1
13,1.652,-823.0,-1688.0,36.8083264,-5288.620772091325,38.8083264,False,1
14,1.685,-826.8999163584352,-1684.300328891549,38.0,-5288.2544444444475,40.0,False,1
15,1.812,-835.0,-1676.0,39.5874976,-5286.867261806002,42.116663466666665,False,1
16,1.925,-843.9979255148008,-1667.1025782469885,41.0,-5285.521111111114,44.0,False,1
17,2.085,-860.2501749870927,-1651.695739460263,51.0,-5283.2544444444475,44.0,False,1
18,2.092,-861.0,-1651.0,51.24499328,-5283.148481198441,43.89500288,False,1
19,2.285,-882.8695007839784,-1631.129545044135,58.0,-5280.032222222225,41.0,False,1
20,2.392,-896.0,-1619.0,62.6812528,-5278.130074798342,43.0062512,False,1
21,2.445,-902.7718251699112,-1612.599137809523,65.0,-5277.143333333336,44.0,False,1
22,2.552,-917.0,-1599.0,68.74500224,-5275.064179854056,46.14000128,False,1
23,2.645,-930.0210213069837,-1586.6219504063972,72.0,-5273.143333333336,48.0,False,1
24,2.692,-937.0,-1580.0,73.6156184,-5272.126373745001,46.9718792,False,1
25,2.965,-984.3869867523566,-1535.0057288835096,83.0,-5265.765555555558,41.0,False,1
26,3.032,-998.0,-1522.0,84.6750016,-5264.167105768336,45.6062544,False,1
27,3.125,-1018.2618110231185,-1502.5716144614878,87.0,-5261.898888888892,52.0,False,1
28,3.372,-1074.0,-1449.0,94.8590848,-5255.314405507734,56.4909056,False,1
29,3.565,-1109.2756394802514,-1415.38182814335,101.0,-5249.554444444447,60.0,False,1
30,3.833,-1154.0,-1373.0,115.70324424191429,-5240.618074142696,57.99501214882987,False,1
31,3.966,-1179.4613673421609,-1348.7696900325475,123.0,-5235.853611111113,57.0,False,1
32,4.213,-1235.0,-1296.0,132.2625024,-5226.516155582646,64.41000192,False,1
33,4.366,-1276.7233113635396,-1256.5991047698972,138.0,-5220.52027777778,69.0,False,1
34,4.413,-1290.0,-1244.0,139.5666688,-5218.657488915619,69.979168,False,1
35,4.606,-1344.823257841225,-1191.5569076412614,146.0,-5210.786944444447,74.0,False,1
36,4.653,-1358.0,-1179.0,148.3500032,-5208.763263416513,77.39444906666667,False,1
37,4.833,-1414.0,-1126.0,157.3500032,-5200.605590929863,90.39444906666667,False,1
38,4.966,-1483.189537908798,-1060.3576158438304,164.0,-5194.386944444447,100.0,False,1
39,5.073,-1532.0,-1014.0,167.43928777142858,-5189.334785878809,100.0,False,1
