,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,-443.002712216483,-2049.0022491916707,0.0,-5298.750655906074,26.5687512,False,1
1,0.046,-443.0176536974763,-2049.0146402693226,0.0,-5298.749166666667,27.0,False,1
2,0.206,-443.03125676826556,-2049.025921340624,0.0,-5298.749166666667,28.0,False,1
3,0.332,-443.0,-2049.0,0.0,-5298.782984805638,28.0,False,1
4,0.406,-442.96440598727474,-2048.9704817682946,0.0,-5298.749166666667,28.0,False,1
5,0.532,-443.0,-2049.0,3.156572571981953,-5298.518702310986,30.367429428986465,False,1
6,0.752,-444.0,-2049.0,8.668060503641186,-5297.680987922949,34.50104537773089,False,1
7,0.885,-445.4328573464539,-2046.9769198970885,12.0,-5297.152500000001,37.0,False,1
8,0.972,-447.0,-2045.0,12.9321408,-5296.822132951039,37.3107136,False,1
9,1.165,-452.798187379513,-2039.491088688138,15.0,-5295.985833333334,38.0,False,1
10,1.312,-459.0,-2034.0,23.2687536,-5295.0214917989115,38.9187504,False,1
11,1.325,-459.6107101571599,-2033.451952251572,24.0,-5294.9191666666675,39.0,False,1
12,1.572,-473.0,-2021.0,33.60554808888889,-5292.441562351664,41.05833173333333,False,1
13,1.652,-478.0,-2016.0,36.7166592,-5291.511387381552,41.7249984,False,1
14,1.685,-480.2508630173967,-2013.7264821815547,38.0,-5291.119166666667,42.0,False,1
15,1.812,-490.0,-2004.0,41.704161066666664,-5289.563296068324,46.23332693333333,False,1
16,1.925,-499.9568783285009,-1994.7172788069197,45.0,-5288.119166666667,50.0,False,1
17,2.085,-515.3225864532704,-1980.6424663853647,49.0,-5285.941388888889,52.0,False,1
18,2.092,-516.0,-1980.0,49.27999232,-5285.838078512604,52.10499712,False,1
19,2.285,-535.0225340955537,-1961.2897031311986,57.0,-5282.774722222223,55.0,False,1
20,2.392,-548.0,-1949.0,57.0,-5281.096838656676,55.0,False,1
21,2.445,-555.4610695511777,-1942.207995349523,57.0,-5280.24138888889,55.0,False,1
22,2.552,-571.0,-1928.0,61.28000256,-5278.4104672183,55.0,False,1
23,2.645,-582.4598192293432,-1916.5551894376715,65.0,-5276.630277777778,55.0,False,1
24,2.692,-589.0,-1910.0,67.3499904,-5275.640112025619,55.5874976,False,1
25,2.965,-642.9297907945555,-1858.5109808166353,81.0,-5269.430277777778,59.0,False,1
