,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,-1050.001926132296,-1471.9981379448968,0.0,-5268.332006144031,27.8562504,True,1
1,0.046,-1050.012535963529,-1471.9878814006424,0.0,-5268.331388888887,28.0,True,1
2,0.206,-1050.0221955603088,-1471.9785434041605,0.0,-5268.331388888887,28.0,True,1
3,0.332,-1050.0,-1472.0,0.0,-5268.345405769437,28.0,True,1
4,0.406,-1049.9747245444776,-1472.0244339510364,0.0,-5268.331388888887,28.0,True,1
5,0.532,-1050.0,-1472.0,1.5782862859909765,-5268.235866443151,27.73695228566817,True,1
6,0.752,-1051.0,-1471.0,4.334030251820593,-5267.86165109852,27.277661624696567,True,1
7,0.885,-1053.122644708371,-1468.824666808458,6.0,-5267.533055555554,27.0,False,1
8,0.972,-1055.0,-1467.0,7.8642816,-5267.278902122161,26.3785728,False,1
9,1.165,-1060.1080624596054,-1462.477278848991,12.0,-5266.59972222222,25.0,False,1
10,1.312,-1065.0,-1458.0,15.6750016,-5265.954989961172,25.0,False,1
11,1.325,-1065.478586540456,-1457.5413038123418,16.0,-5265.88861111111,25.0,False,1
12,1.572,-1076.0,-1447.0,22.1749952,-5264.292638162711,22.25555768888889,False,1
13,1.652,-1080.0,-1443.0,24.174995199999998,-5263.662308931003,21.3666688,False,1
14,1.685,-1081.7393894732759,-1441.37764271449,25.0,-5263.38861111111,21.0,False,1
15,1.812,-1089.0,-1435.0,29.233326933333334,-5262.260828214827,21.0,False,1
16,1.925,-1096.4079651414168,-1428.055713682497,33.0,-5261.188611111109,21.0,False,1
17,2.085,-1108.4337473017094,-1416.5286897618419,36.0,-5259.5886111111095,27.0,False,1
18,2.092,-1109.0,-1416.0,36.1749952,-5259.5146880918055,27.13999616,False,1
19,2.285,-1125.901575590065,-1400.6095558604113,41.0,-5257.310833333331,31.0,False,1
20,2.392,-1136.0,-1391.0,45.6812528,-5255.923415656106,35.0125024,False,1
21,2.445,-1141.1317690678493,-1385.8826134665019,48.0,-5255.177499999998,37.0,False,1
22,2.552,-1152.0,-1375.0,52.81500288,-5253.536806814872,39.14000128,False,1
23,2.645,-1162.4166449686766,-1365.2143066988426,57.0,-5252.010833333331,41.0,False,1
24,2.692,-1168.0,-1360.0,58.0281208,-5251.218788724526,41.5874976,False,1
25,2.965,-1205.3621153455122,-1324.1128123311728,64.0,-5246.321944444442,45.0,False,1
26,3.032,-1217.0,-1313.0,66.9312528,-5245.033122586791,45.0,False,1
27,3.125,-1235.190478375188,-1295.7658876960757,71.0,-5243.166388888887,45.0,False,1
28,3.372,-1287.0,-1247.0,78.2977216,-5237.628899547693,47.2454528,False,1
29,3.565,-1316.8908411093726,-1218.6174501652495,84.0,-5232.899722222221,49.0,False,1
30,3.833,-1353.0,-1184.0,91.35162212095715,-5225.96141259057,61.69825639074416,False,1
31,3.966,-1375.2295521300518,-1162.7229119470485,95.0,-5222.3177777777755,68.0,False,1
32,4.213,-1424.0,-1116.0,102.41000192,-5215.152084763104,69.23500032,False,1
33,4.366,-1458.7013637698603,-1082.703918476304,107.0,-5210.428888888887,70.0,False,1
34,4.413,-1470.0,-1072.0,109.3500032,-5208.931611928728,73.5250048,False,1
35,4.606,-1518.609436264877,-1026.7154307599965,119.0,-5202.495555555553,88.0,False,1
36,4.653,-1530.0,-1016.0,121.3500032,-5200.831528830695,89.5666688,False,1
37,4.833,-1577.0,-971.0,130.3500032,-5194.093500848313,95.5666688,False,1
38,4.966,-1638.298149040593,-912.55414316392,137.0,-5188.795555555554,100.0,False,1
39,5.073,-1682.0,-871.0,142.7321462857143,-5184.352494253757,100.0,False,1
40,5.246,-1707.5957761230004,-846.8320727718411,152.0,-5176.9733333333315,100.0,False,1
41,5.313,-1719.0,-836.0,153.046876,-5174.118543332344,100.0,False,1
42,5.566,-1814.6907562626159,-744.5180564938016,157.0,-5163.017777777776,100.0,False,1
43,5.713,-1871.0,-691.0,169.07500525714286,-5155.851835566185,100.0,False,1
44,5.846,-1906.0644425062,-658.1801667410639,180.0,-5149.017777777776,100.0,False,1
45,5.953,-1935.0,-631.0,186.42000384,-5143.3700161289735,100.0,False,1
46,6.046,-1967.6851107584691,-599.8900225166941,192.0,-5138.351111111109,100.0,False,1
47,6.173,-2019.0,-551.0,195.75227461818181,-5131.329684802046,100.0,False,1
48,6.453,-2133.0,-443.0,204.0250018909091,-5115.235669057383,100.0,False,1
49,6.486,-2145.900855234722,-430.3828130333552,205.0,-5113.295555555554,100.0,False,1
50,6.573,-2183.0,-394.0,207.82750208,-5108.1389733723845,100.0,False,1
51,6.872,-2376.0,-211.0,217.54500416,-5089.944046781995,100.0,False,1
52,6.886,-2382.4165830432653,-204.92585098971364,218.0,-5089.073333333332,100.0,False,1
53,7.192,-2458.0,-133.0,226.50000355555557,-5069.7025158343795,100.0,False,1
54,7.246,-2476.241027565834,-115.8868957383408,228.0,-5066.273333333332,100.0,False,1
55,7.406,-2549.86588973601,-47.21133659652718,228.0,-5056.1399999999985,100.0,False,1
56,7.592,-2642.0,40.0,228.0,-5044.35937128251,100.0,False,1
