,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,65.99978521866159,-2545.9997981616857,0.0,-5350.573741071998,32.0,False,1
1,0.046,65.99860093807618,-2545.9986852348925,0.0,-5350.573626263691,32.0,False,1
2,0.206,65.9975228897855,-2545.997672141581,0.0,-5350.573626263691,32.0,False,1
3,0.332,66.0,-2546.0,0.0,-5350.576233354744,32.0,False,1
4,0.406,66.00282083841005,-2546.002650876171,0.0,-5350.573626263691,32.0,False,1
5,0.532,66.0,-2546.0,0.0,-5350.555859420869,32.0,False,1
6,0.752,66.0,-2546.0,0.0,-5350.515618147314,32.0,False,1
7,0.885,66.17661901933985,-2546.165977302379,0.0,-5350.573626263691,32.0,False,1
8,0.972,66.0,-2546.0,0.0,-5350.653825952814,32.0,False,1
9,1.165,63.98938768292935,-2544.10391450336,0.0,-5350.573626263691,32.0,False,1
10,1.312,60.0,-2540.0,19.293758399999998,-5349.737577065803,34.7562512,False,1
11,1.325,59.512875975631154,-2539.4848222287205,21.0,-5349.640292930358,35.0,False,1
12,1.572,46.0,-2526.0,30.605548088888888,-5347.267478843324,35.0,False,1
13,1.652,40.0,-2521.0,33.7166592,-5346.460030828108,35.0,False,1
14,1.685,37.65834178027489,-2518.8694340888246,35.0,-5346.140292930358,35.0,False,1
15,1.812,29.0,-2510.0,35.0,-5344.9816425586005,35.0,False,1
16,1.925,19.586773907117564,-2500.4881248971046,35.0,-5343.806959597025,35.0,False,1
17,2.085,3.736636484567302,-2484.7331675786495,50.0,-5341.584737374802,35.0,False,1
18,2.092,3.0,-2484.0,50.38498944,-5341.474781096732,35.3499904,False,1
19,2.285,-18.62644837525457,-2462.429622557694,61.0,-5338.195848485913,45.0,False,1
20,2.392,-31.0,-2450.0,61.0,-5336.432138044769,46.3375008,False,1
21,2.445,-37.100899511050834,-2443.8384198806857,61.0,-5335.4847373748025,47.0,False,1
22,2.552,-50.0,-2431.0,69.56000512,-5333.290624337073,47.0,False,1
23,2.645,-62.930206810366776,-2418.723389162246,77.0,-5331.206959597024,47.0,False,1
24,2.692,-70.0,-2412.0,78.1749952,-5330.1317287359225,48.9093672,False,1
25,2.965,-118.23702776320407,-2364.5476105459697,85.0,-5323.651404041469,60.0,False,1
26,3.032,-133.0,-2350.0,86.6750016,-5322.0301321730585,65.4437552,False,1
27,3.125,-155.78027892622384,-2327.656484746595,89.0,-5319.695848485913,73.0,False,1
28,3.372,-220.0,-2265.0,100.7886272,-5312.5206124789975,73.0,False,1
29,3.565,-257.68634252928365,-2228.2808997380585,110.0,-5306.251404041469,73.0,False,1
30,3.833,-304.0,-2183.0,122.02992710702078,-5296.957797454682,82.35660997212727,False,1
31,3.966,-332.3823893168308,-2155.0782823106847,128.0,-5291.993626263691,87.0,False,1
32,4.213,-395.0,-2094.0,140.3500032,-5282.053033583438,93.79250176,False,1
33,4.366,-440.2524883868578,-2050.9039881686745,148.0,-5275.549181819247,98.0,False,1
34,4.413,-455.0,-2037.0,149.958336,-5273.511566050332,98.3916672,False,1
35,4.606,-518.2612107538891,-1977.848297601971,158.0,-5265.015848485913,100.0,False,1
36,4.653,-533.0,-1964.0,158.65277866666668,-5262.945826124581,100.0,False,1
37,4.833,-592.0,-1908.0,161.15277866666668,-5255.00229793676,100.0,False,1
38,4.966,-663.4557858430518,-1840.063526666533,163.0,-5248.715848485913,100.0,False,1
39,5.073,-714.0,-1792.0,172.93572022857143,-5243.278155652955,100.0,False,1
40,5.246,-745.0495355692809,-1762.3851224099046,189.0,-5234.015848485913,100.0,False,1
41,5.313,-759.0,-1749.0,190.6750016,-5230.3876451266815,94.5562448,False,1
42,5.566,-872.6806537310182,-1639.9462569226448,197.0,-5216.504737374802,74.0,True,1
43,5.713,-939.0,-1577.0,200.15000137142857,-5208.30245464393,87.65000594285715,True,1
44,5.846,-979.993108847907,-1538.9940640557563,203.0,-5200.715848485914,100.0,False,1
45,5.953,-1013.0,-1508.0,208.3500032,-5194.448526287076,100.0,False,1
46,6.046,-1049.5935644215863,-1472.665567489141,213.0,-5188.88251515258,100.0,False,1
47,6.173,-1106.0,-1418.0,216.4636381090909,-5181.103174732764,100.0,False,1
48,6.453,-1228.0,-1303.0,224.10000174545453,-5163.463645443453,100.0,False,1
49,6.486,-1242.1888874301333,-1289.629271587361,225.0,-5161.38251515258,100.0,False,1
50,6.573,-1283.0,-1251.0,225.65250048,-5155.900728868111,100.0,False,1
51,6.872,-1486.0,-1057.0,227.89500096,-5136.952134828331,100.0,False,1
52,6.886,-1492.692963665173,-1050.602824565535,228.0,-5136.049181819247,100.0,False,1
53,7.192,-1571.0,-976.0,234.80000284444444,-5115.9911402984535,100.0,False,1
54,7.246,-1589.77561016,-958.0744663373355,236.0,-5112.449181819246,100.0,True,1
55,7.406,-1665.5242615724,-885.6531859143903,236.0,-5101.960292930357,100.0,True,1
56,7.592,-1761.0,-795.0,240.66945802993592,-5089.467877330357,100.0,True,1
57,7.645,-1785.8845771019753,-771.6071254730283,242.0,-5085.894181819247,100.0,True,1
58,7.732,-1828.0,-732.0,242.0,-5080.042720575412,100.0,True,1
59,7.805,-1869.365267947293,-692.7232276184706,242.0,-5075.138626263691,100.0,True,1
60,7.992,-1980.0,-587.0,242.0,-5062.570158105847,100.0,True,1
61,8.252,-2075.0,-497.0,242.0,-5045.0898915436555,100.0,True,1
62,8.285,-2088.6408133216905,-484.10108160585696,242.0,-5042.871959597024,100.0,True,1
63,8.532,-2209.0,-370.0,242.0,-5026.276603283896,102.2454528,True,1
64,8.672,-2275.0,-307.0,242.0,-5016.862182180927,103.5181824,True,1
65,8.725,-2300.083697191763,-283.06927540864484,242.0,-5013.294181819247,104.0,True,1
66,8.925,-2395.6800926473184,-192.1454784200659,242.0,-4999.849737374802,104.0,True,1
67,8.932,-2399.0,-189.0,241.92045672727272,-4999.3829623479405,102.71139898181818,True,1
68,9.092,-2475.0,-117.0,240.1022749090909,-4988.808442249476,73.25685352727272,True,1
69,9.292,-2571.0,-25.0,237.82954763636363,-4975.711001657656,36.438671709090904,True,1
70,9.365,-2599.2366571722014,1.5861245468207552,237.0,-4970.883070708135,23.0,True,1
71,9.525,-2651.772433964063,49.99492399472947,237.0,-4960.349737374802,14.0,True,1
72,9.612,-2694.0,90.0,229.0250176,-4954.983472482894,8.9250112,True,1
73,9.765,-2794.4246315853925,186.6087500726811,215.0,-4946.016404041468,0.0,True,1
74,9.772,-2799.0,191.0,214.78611697777777,-4945.6079901184485,0.0,True,1
75,10.125,-2986.0742922075374,367.6570948334778,204.0,-4925.616404041469,0.0,True,1
76,10.233,-3025.0,404.0,191.90041172459067,-4920.1757168631175,0.0,True,1
77,10.366,-3060.693378320626,437.2983069408276,177.0,-4913.767237374802,0.0,True,1
78,10.526,-3099.9270085090893,474.0493950260796,173.0,-4906.078348485913,0.0,True,1
79,10.533,-3102.0,476.0,172.89499904,-4905.743275335954,0.0,True,1
80,10.726,-3167.614662165498,537.7710217159795,170.0,-4896.633904041469,0.0,True,1
81,10.733,-3170.0,540.0,169.61499648,-4896.313560968368,0.0,True,1
82,10.913,-3228.0,594.0,159.71499648,-4888.357175713229,0.0,True,1
83,10.926,-3231.9665777160635,597.7488837504916,159.0,-4887.800570708136,0.0,True,1
84,11.093,-3282.0,646.0,150.6499968,-4880.8509504765125,0.0,True,1
85,11.126,-3292.405721022516,656.1822582675348,149.0,-4879.522792930357,0.0,True,1
86,11.286,-3346.0139330171282,709.2020286799844,141.0,-4873.256126263691,0.0,True,1
87,11.413,-3385.0,749.0,139.4124992,-4868.340994899203,0.0,True,1
88,11.446,-3394.0090502745134,758.4629043931384,139.0,-4867.078348485913,0.0,True,1
89,11.593,-3431.0,799.0,136.37499885714286,-4861.553387586138,0.0,True,1
90,11.726,-3467.05461468848,841.2771181400784,134.0,-4856.656126263691,0.0,True,1
91,11.873,-3505.0,888.0,130.93749866666667,-4851.320546732975,0.0,True,1
92,11.966,-3524.5482606525766,913.2068078627952,129.0,-4848.056126263691,0.0,True,1
93,12.166,-3557.4473694246876,959.5905601128164,119.0,-4841.44501515258,0.0,True,1
94,12.233,-3568.0,976.0,116.31999744,-4839.341426626595,0.0,True,1
95,12.366,-3588.9458923225643,1010.8614277997142,111.0,-4835.278348485913,0.0,True,1
96,12.433,-3599.0,1029.0,110.28214217142857,-4833.25190199531,0.0,True,1
97,12.646,-3626.98602171417,1086.0742423106556,108.0,-4826.878348485913,0.0,True,1
98,12.693,-3632.0,1097.0,107.4124992,-4825.482268161297,0.0,True,1
99,12.806,-3642.0687896999516,1119.6083854241515,106.0,-4822.167237374802,0.0,True,1
100,12.913,-3652.0,1155.0,104.05454429090909,-4819.1425099608305,19.45455709090909,True,1
101,13.073,-3670.0,1250.0,101.14545338181819,-4814.8222162427755,48.545466181818185,True,1
102,13.246,-3675.906024365158,1306.9737197677953,98.0,-4810.189459597024,80.0,True,1
103,13.406,-3670.246856572028,1320.8354278587697,97.0,-4805.878348485913,0.0,True,1
104,13.512,-3667.0,1339.0,96.46999936,-4803.044452053361,5.3000064,True,1
105,13.606,-3664.7590960588077,1362.5083298543896,96.0,-4800.54501515258,10.0,False,1
106,13.692,-3662.0,1389.0,96.0,-4798.264814096013,21.8249824,False,1
107,13.766,-3658.2150759550213,1414.8268911539556,96.0,-4796.278348485914,32.0,False,1
108,13.932,-3647.0,1476.0,100.1499968,-4791.649102428662,36.1499968,False,1
109,13.966,-3644.786899856499,1487.191744407796,101.0,-4790.667237374802,37.0,False,1
110,14.246,-3628.0826527949316,1562.486627005795,108.0,-4782.267237374802,56.0,False,1
111,14.332,-3623.0,1584.0,108.0,-4779.715054057734,56.0,False,1
112,14.485,-3613.7472682248244,1622.7712625755628,108.0,-4775.097237374802,56.0,False,1
113,14.732,-3597.0,1690.0,117.87999232,-4766.782363847006,69.58498944,False,1
114,14.885,-3584.455230375628,1737.677904031233,124.0,-4761.319459597024,78.0,False,1
115,14.972,-3577.0,1770.0,126.37272203636364,-4758.162750277982,77.80227316363636,False,1
116,15.172,-3561.0,1857.0,131.8272674909091,-4750.7412725665845,77.3477277090909,False,1
117,15.325,-3554.383163351938,1908.4622577497407,136.0,-4744.697237374802,77.0,False,1
118,15.472,-3552.0,1956.0,148.8625056,-4738.5734234655665,77.0,False,1
119,15.485,-3551.9137694988553,1960.794092124665,150.0,-4738.030570708135,77.0,False,1
120,15.685,-3553.088555188061,2044.1482205869524,150.0,-4729.697237374802,77.0,False,1
121,15.732,-3554.0,2064.0,151.34285165714286,-4727.693783194178,75.8250048,False,1
122,15.965,-3563.0570094449563,2164.496751550086,158.0,-4717.408348485913,70.0,False,1
123,15.992,-3565.0,2179.0,158.74250176,-4716.1787552802525,70.0,False,1
124,16.212,-3587.0,2314.0,164.79249472,-4705.881697048567,70.0,False,1
125,16.365,-3601.902791252686,2379.5723683505676,169.0,-4698.630570708136,70.0,False,1
126,16.605,-3628.9590517144848,2455.30136563021,171.0,-4687.230570708136,70.0,False,1
127,16.612,-3630.0,2458.0,171.23235883348949,-4686.891661260979,70.23235883348949,False,1
128,16.793,-3664.0,2539.0,177.24066555768712,-4677.946261467272,76.24066555768712,False,1
129,16.846,-3678.156000870516,2567.0653954357263,179.0,-4675.24751515258,78.0,False,1
130,17.033,-3737.0,2670.0,187.57083626666667,-4665.4264463359605,83.45416853333333,False,1
131,17.086,-3751.9514833749845,2694.0723170238807,190.0,-4662.5808484859135,85.0,False,1
132,17.286,-3800.859235023889,2764.155656404624,196.0,-4651.691959597024,89.0,False,1
133,17.393,-3831.0,2803.0,196.0,-4645.865703160358,89.4458336,False,1
134,17.526,-3875.8269002439833,2858.43700560181,196.0,-4638.625292930357,90.0,False,1
135,17.613,-3908.0,2896.0,196.0,-4633.874274567971,90.0,False,1
136,17.766,-3968.42351134804,2961.1092307192766,196.0,-4625.558626263691,90.0,False,1
137,17.793,-3980.0,2973.0,196.0,-4624.109494481348,91.12500266666666,False,1
138,17.973,-4072.0,3062.0,196.0,-4614.392278129113,98.62500266666667,False,1
139,18.006,-4094.7832112898527,3082.4666175527773,196.0,-4612.491959597024,100.0,False,1
140,18.166,-4221.352376202406,3191.880964832455,220.0,-4602.714181819247,100.0,False,1
141,18.193,-4239.0,3207.0,220.421876,-4601.0384675212335,100.0,False,1
142,18.486,-4333.636446535941,3287.87935342835,225.0,-4582.714181819247,100.0,False,1
143,18.613,-4374.0,3323.0,229.23333546666666,-4574.547843147588,100.0,False,1
144,18.726,-4427.043175652088,3369.478988606998,233.0,-4567.180848485913,100.0,False,1
145,18.853,-4492.0,3427.0,235.72142994285716,-4558.818931448153,100.0,False,1
146,19.006,-4560.9040095555765,3489.7970092457895,239.0,-4548.5919595970245,100.0,False,1
147,19.053,-4590.0,3517.0,240.06818327272728,-4545.407027217541,100.0,False,1
148,19.233,-4738.0,3657.0,244.15909236363638,-4533.02092935503,100.0,False,1
149,19.446,-4837.039008847325,3750.9319817612254,249.0,-4518.158626263691,100.0,False,1
150,19.686,-4905.064652755475,3818.052957921619,253.0,-4501.291959597024,100.0,False,1
151,19.693,-4908.0,3821.0,253.11666773333334,-4500.79613664774,100.0,False,1
152,19.892,-5008.0,3922.0,256.4333312,-4486.599090439369,100.0,False,1
153,19.926,-5025.5135946938735,3939.7144801818126,257.0,-4484.158626263691,100.0,False,1
154,20.126,-5125.984407563106,4041.8898082106302,260.0,-4469.714181819247,100.0,False,1
155,20.132,-5129.0,4045.0,260.093748,-4469.277461166117,100.0,False,1
156,20.312,-5220.0,4140.0,262.906252,-4456.072175641003,100.0,False,1
157,20.446,-5287.9600199301085,4211.746196434001,265.0,-4446.158626263691,100.0,False,1
158,20.452,-5291.0,4215.0,265.08999808,-4445.713790477451,100.0,False,1
159,20.646,-5388.100790297326,4320.832910175889,268.0,-4431.269737374802,100.0,False,1
160,20.652,-5391.0,4324.0,268.0683356620194,-4430.820120038812,100.0,False,1
161,20.932,-5532.0,4479.0,271.2574012563242,-4409.626172843481,100.0,False,1
162,21.085,-5640.542501806454,4603.117259385554,273.0,-4397.978904041469,100.0,False,1
163,21.152,-5682.0,4651.0,273.4187504,-4392.879689192619,100.0,False,1
164,21.245,-5724.5936134344665,4700.575867801919,274.0,-4385.801126263691,100.0,False,1
165,21.432,-5791.0,4780.0,274.0,-4371.566692453228,100.0,False,1
166,21.445,-5797.169549154074,4787.459101314154,274.0,-4370.578904041469,100.0,False,1
167,21.605,-5888.422207441638,4898.388462386577,274.0,-4358.401126263691,100.0,False,1
168,21.652,-5915.0,4931.0,275.37082773333333,-4354.774799450353,100.0,False,1
169,21.845,-6010.393249169079,5049.892084092815,281.0,-4339.667792930358,100.0,False,1
170,21.892,-6031.0,5076.0,281.3916650666667,-4335.97461512975,100.0,False,1
171,22.192,-6174.0,5263.0,283.8916672,-4312.30069282028,100.0,False,1
172,22.205,-6183.800496880937,5276.085859532873,284.0,-4311.267792930358,100.0,False,1
173,22.352,-6306.0,5440.0,284.0,-4299.584853898253,100.0,False,1
174,22.405,-6338.528916812442,5483.881766278917,284.0,-4295.49001515258,100.0,True,1
175,22.725,-6410.363722093635,5585.489611194171,257.0,-4272.645570708135,14.0,True,1
176,22.812,-6449.0,5641.0,252.6500096,-4266.791441195744,11.231824290909092,True,1
177,22.992,-6566.0,5808.0,243.6499968,-4255.054985404155,5.504543418181819,True,1
178,23.165,-6619.441187194758,5885.742785297484,235.0,-4243.923348485913,0.0,True,1
179,23.325,-6644.46001519089,5923.8097508401725,230.0,-4233.701126263692,0.0,True,1
180,23.353,-6652.0,5935.0,228.18905414974859,-4231.953299617981,0.0,True,1
181,23.493,-6700.0,6006.0,219.1343248984915,-4223.4857968802235,0.0,True,1
182,23.526,-6711.129875041108,6022.747644845195,217.0,-4221.585292930358,0.0,True,1
183,23.673,-6757.0,6093.0,205.9749952,-4213.611873816522,0.0,True,1
184,23.953,-6840.0,6219.0,184.9749952,-4199.744578703725,0.0,True,1
185,23.966,-6843.627273080749,6224.484771759517,184.0,-4199.096404041469,0.0,True,1
186,24.166,-6897.152393787674,6305.352433747936,180.0,-4189.096404041469,0.0,True,1
187,24.253,-6922.0,6343.0,176.7374976,-4184.846630303128,0.0,True,1
188,24.326,-6944.345823473939,6376.939637879501,174.0,-4181.363070708136,0.0,True,1
189,24.493,-6996.0,6456.0,163.97999616,-4173.769860896836,0.0,True,1
190,24.526,-7005.083182935511,6470.105422825433,162.0,-4172.363070708136,0.0,True,1
191,24.886,-7078.953959967685,6589.238305097844,136.0,-4158.763070708135,0.0,True,1
192,24.893,-7080.0,6591.0,135.8249984,-4158.505038606101,0.0,True,1
193,25.086,-7104.6848344458795,6633.803272319478,131.0,-4151.485292930358,0.0,True,1
194,25.133,-7111.0,6645.0,126.593744,-4149.913121395923,0.0,True,1
195,25.246,-7128.010032829849,6675.346740629342,116.0,-4146.329737374802,0.0,True,1
196,25.333,-7141.0,6700.0,114.30833208888889,-4143.6253902063745,0.0,True,1
197,25.606,-7172.910096487907,6775.271288858803,109.0,-4135.429737374802,0.0,True,1
198,25.673,-7179.0,6793.0,107.1156232,-4133.503339201578,0.0,True,1
199,25.773,-7187.0,6819.0,104.3031232,-4130.692520048238,0.0,True,1
200,25.926,-7197.394447851238,6859.38834804553,100.0,-4126.540848485914,0.0,True,1
201,25.973,-7200.0,6871.0,97.9437472,-4125.301600281365,0.0,True,1
202,26.086,-7204.963107271623,6896.328064449197,93.0,-4122.407515152579,0.0,True,1
203,26.293,-7209.0,6950.0,87.1781232,-4117.508213331341,0.0,True,1
204,26.406,-7208.2239544008435,6996.756565683939,84.0,-4114.940848485913,0.0,True,1
205,26.492,-7207.0,7028.0,82.9250016,-4113.001320548447,0.0,True,1
206,26.726,-7203.328539781376,7055.986680349072,80.0,-4107.829737374802,0.0,True,1
207,26.812,-7201.0,7066.0,78.7714304,-4105.9948341047475,0.0,True,1
208,26.972,-7194.0,7099.0,76.48571611428571,-4102.637818963711,0.0,True,1
209,27.006,-7191.705229348208,7106.774896862219,76.0,-4101.918626263691,0.0,True,1
210,27.206,-7172.570579299359,7152.928562410001,76.0,-4097.696404041469,1.0,False,1
211,27.312,-7163.0,7172.0,73.3499968,-4095.597946394205,4.0916704,False,1
212,27.446,-7153.659277416215,7187.983541152834,70.0,-4093.029737374802,8.0,False,1
213,27.572,-7141.0,7203.0,70.0,-4090.590686457428,14.92999296,False,1
214,27.646,-7128.965989576965,7215.333968797311,70.0,-4089.140848485913,19.0,False,1
215,27.852,-7084.0,7255.0,71.2901869173863,-4085.0213180380224,26.741121504317796,False,1
216,28.125,-7025.35253167279,7285.619991090039,73.0,-4079.427792930358,37.0,False,1
217,28.292,-6997.0,7296.0,74.66999808,-4075.9598398934077,40.33999616,False,1
218,28.325,-6992.445624568664,7297.638490935343,75.0,-4075.261126263691,41.0,False,1
219,28.645,-6955.437985170802,7308.592281960197,78.0,-4068.3277929303576,45.0,False,1
220,28.752,-6927.0,7314.0,78.0,-4066.0806762039124,45.0,False,1
221,28.805,-6908.215488280058,7317.341280253893,78.0,-4064.861126263691,45.0,False,1
222,28.952,-6851.0,7327.0,91.47500586666666,-4060.855711883991,57.250005333333334,False,1
223,29.045,-6825.815517089943,7330.866687278052,100.0,-4058.1944595970244,65.0,False,1
224,29.205,-6800.414090153527,7333.927275770918,100.0,-4053.75001515258,70.0,False,1
225,29.312,-6778.0,7337.0,103.343752,-4050.6052539849507,67.9937488,False,1
226,29.512,-6718.0,7346.0,109.593752,-4044.3812682132148,64.2437488,False,1
227,29.525,-6713.870498050132,7346.580048802756,110.0,-4043.972237374802,64.0,False,1
228,29.752,-6642.0,7355.0,114.9656264,-4036.7302242970363,64.0,False,1
229,29.832,-6616.0,7357.0,116.7156264,-4034.0233247855285,64.0,False,1
230,29.845,-6611.188098322887,7357.401109682131,117.0,-4033.572237374802,64.0,False,1
231,30.046,-6510.779397643599,7367.58385289272,130.0,-4026.3139040414685,67.0,False,1
232,30.206,-6442.047487377356,7374.801284396399,130.0,-4020.5361262636907,61.0,False,1
233,30.213,-6440.0,7375.0,130.05000045714286,-4020.2814311654065,59.749988571428574,False,1
234,30.473,-6389.0,7382.0,131.90714331428572,-4010.738010019925,13.321417142857142,False,1
