,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,0.0003860471125283418,-2481.0003861071873,0.0,-5430.928404452704,15.0,True,1
1,0.046,0.0025120125835247304,-2481.002512403843,0.0,-5430.92861111111,15.0,True,1
2,0.206,0.004447645900170249,-2481.004448338644,0.0,-5430.92861111111,14.0,True,1
3,0.332,0.0,-2481.0,0.0,-5430.923918333087,14.0,True,1
4,0.406,-0.005064809113451208,-2480.994934402016,0.0,-5430.92861111111,14.0,True,1
5,0.532,0.0,-2481.0,0.0,-5430.960591524468,15.052190857327318,True,1
6,0.752,0.0,-2481.0,0.0,-5431.033026034935,16.88935350121373,True,1
7,0.885,-0.3608384111044836,-2480.6391121959537,0.0,-5430.92861111111,18.0,True,1
8,0.972,-1.0,-2480.0,2.7964224000000004,-5430.784251236085,18.0,True,1
9,1.165,-4.0147853207590325,-2476.985746249147,9.0,-5430.22861111111,18.0,True,1
10,1.312,-8.0,-2473.0,16.3500032,-5429.546971269225,18.0,True,1
11,1.325,-8.429791467094057,-2472.57007832299,17.0,-5429.473055555554,18.0,False,1
12,1.572,-18.0,-2463.0,24.547216355555555,-5427.639230094441,18.68611057777778,False,1
13,1.652,-21.0,-2460.0,26.991660800000002,-5426.957417318998,18.9083328,False,1
14,1.685,-22.52889545838081,-2458.461266766474,28.0,-5426.673055555554,19.0,False,1
15,1.812,-30.0,-2451.0,30.645829333333335,-5425.561479169709,19.0,False,1
16,1.925,-37.63920561524752,-2443.729114739889,33.0,-5424.473055555554,19.0,False,1
17,2.085,-49.469179239884035,-2432.521007948149,40.0,-5422.695277777776,20.0,False,1
18,2.092,-50.0,-2432.0,40.10499712,-5422.614993610594,20.0,False,1
19,2.285,-65.15549176527608,-2416.5931764953543,43.0,-5420.306388888887,20.0,False,1
20,2.392,-75.0,-2407.0,47.6812528,-5418.835817331965,25.3500032,False,1
21,2.445,-80.4412755855173,-2401.9366612630647,50.0,-5418.084166666665,28.0,False,1
22,2.552,-92.0,-2391.0,51.60500096,-5416.562949079299,31.21000192,False,1
23,2.645,-101.752981742905,-2380.5743169766147,53.0,-5415.13972222222,34.0,False,1
24,2.692,-107.0,-2375.0,55.0562416,-5414.354450592201,35.1749952,False,1
25,2.965,-145.81162793270875,-2337.710139224343,67.0,-5409.184166666665,42.0,False,1
26,3.032,-158.0,-2326.0,68.6750016,-5407.891936379228,46.187504,False,1
27,3.125,-176.83343446038765,-2307.6163347884312,71.0,-5406.02861111111,52.0,False,1
28,3.372,-230.0,-2255.0,81.6659008,-5400.132764315368,55.3681792,False,1
29,3.565,-261.18536702538694,-2224.589076051114,90.0,-5395.02861111111,58.0,False,1
30,3.833,-299.0,-2188.0,96.68329283723376,-5387.747011470523,66.68828068840389,False,1
31,3.966,-321.75080536517845,-2165.6524954157594,100.0,-5383.88972222222,71.0,False,1
32,4.213,-370.0,-2118.0,109.88000256,-5376.123713313244,82.11500288,False,1
33,4.366,-402.5567427246115,-2086.0267729292273,116.0,-5371.000833333332,89.0,False,1
34,4.413,-413.0,-2076.0,117.958336,-5369.387912645353,91.1541696,False,1
35,4.606,-457.9025214738966,-2034.260416804341,126.0,-5362.600833333332,100.0,False,1
36,4.653,-469.0,-2024.0,126.7833344,-5360.921370134461,97.78055253333333,False,1
37,4.833,-516.0,-1980.0,129.7833344,-5354.395908698977,89.28055253333333,False,1
38,4.966,-570.4556640789798,-1927.9349509985723,132.0,-5349.400833333332,83.0,False,1
39,5.073,-607.0,-1893.0,135.82143085714284,-5345.251234753159,89.49643245714286,False,1
40,5.246,-623.5321044048418,-1877.8707079003887,142.0,-5338.3563888888875,100.0,False,1
41,5.313,-632.0,-1870.0,143.2562512,-5335.65316341338,100.0,False,1
42,5.566,-718.7056900908308,-1787.0589906751202,148.0,-5325.2008333333315,100.0,False,1
