,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,2964.9857205511357,2536.978117830482,0.0,-4527.123157563404,41.0,True,1
1,0.095,2964.9929659966147,2536.989230328762,0.0,-4527.1366666666645,41.0,True,1
2,0.151,2965.0,2537.0,0.0,-4527.1495160953245,41.0,True,1
3,0.311,2965.0,2537.0,0.0,-4527.190556353738,41.0,True,1
4,0.415,2964.894761907948,2536.8388713239024,0.0,-4527.1366666666645,41.0,False,1
5,0.655,2964.6304866638366,2535.481185078333,7.0,-4526.669999999998,41.0,False,1
6,0.751,2965.0,2534.0,9.4,-4526.348111982343,41.0,False,1
7,0.971,2967.0,2528.0,14.900006399999999,-4525.357134000753,41.0,False,1
8,0.975,2967.045211412026,2527.845460394,15.0,-4525.336666666664,41.0,False,1
9,1.175,2969.538465711453,2518.046675826877,21.0,-4524.169999999998,41.0,False,1
10,1.211,2970.0,2516.0,22.00000711111111,-4523.91307031397,41.100000711111115,False,1
11,1.351,2972.0,2507.0,25.88888888888889,-4522.758458955048,41.48888888888889,False,1
12,1.535,2976.9218618455993,2489.0497450550392,31.0,-4521.069999999998,42.0,False,1
13,1.631,2980.0,2478.0,32.44,-4520.189620869057,42.0,False,1
14,1.735,2983.4006553312056,2465.398238766769,34.0,-4519.181111111109,42.0,False,1
15,1.975,2990.7559540337293,2436.954045069828,42.0,-4516.381111111109,46.0,False,1
16,2.031,2992.0,2432.0,43.82456111084734,-4515.619422382404,47.122806837444514,False,1
17,2.331,2998.0,2408.0,53.5990039740946,-4510.973820807977,53.13784859944283,False,1
18,2.374,2999.84625640654,2401.0191348219237,55.0,-4510.285277777775,54.0,False,1
19,2.614,3014.14274238402,2347.861827162891,59.0,-4506.351944444442,61.0,False,1
20,2.651,3016.0,2341.0,60.6187584,-4505.701312813185,61.0,False,1
21,2.774,3020.851336602331,2323.1543260868443,66.0,-4503.418611111109,61.0,False,1
22,2.99,3028.0,2296.0,73.56,-4498.873978322424,61.54,False,1
23,3.174,3037.7793063191816,2256.8274416661,80.0,-4494.52972222222,62.0,False,1
24,3.23,3041.0,2244.0,83.64,-4493.1326480644475,65.92,False,1
25,3.374,3049.5109482220787,2210.629906235498,93.0,-4489.363055555554,76.0,False,1
26,3.41,3052.0,2201.0,94.4625,-4488.374589344152,76.5625,False,1
27,3.67,3074.0,2117.0,105.025,-4480.694531084365,80.625,False,1
28,3.694,3075.891376688202,2109.843798916539,106.0,-4479.940833333331,81.0,False,1
29,4.014,3097.4430832195735,2028.7671096074148,121.0,-4469.185277777776,90.0,False,1
30,4.05,3100.0,2019.0,123.1,-4467.892381945757,90.0,False,1
31,4.254,3117.916818847337,1949.985370392747,135.0,-4460.185277777776,90.0,False,1
32,4.27,3120.0,1942.0,135.88,-4459.544985771362,90.4,False,1
33,4.47,3152.0,1820.0,146.88,-4451.0735969678635,95.4,False,1
34,4.654,3168.9082327376823,1756.6735402231743,157.0,-4442.7408333333315,100.0,False,1
35,4.81,3181.0,1711.0,163.825,-4435.406557785626,100.0,False,1
36,4.974,3200.5180193298042,1635.1825364648987,171.0,-4427.540833333331,100.0,False,1
37,5.07,3215.0,1577.0,172.92,-4422.918202222184,100.0,False,1
38,5.174,3233.1337716636526,1502.1389071301755,175.0,-4417.818611111109,100.0,False,1
39,5.35,3262.0,1381.0,181.6,-4408.777646501022,100.0,False,1
40,5.494,3273.544757837316,1332.8022977122796,187.0,-4401.196388888887,100.0,False,1
41,5.65,3283.0,1290.0,190.9,-4392.923472481173,100.0,False,1
42,5.654,3283.3425221358116,1288.3810427090098,191.0,-4392.707499999998,100.0,False,1
43,5.93,3314.0,1140.0,201.84285714285716,-4377.227928972521,100.0,False,1
44,5.934,3314.398076411335,1138.0862162907626,202.0,-4376.996388888887,100.0,False,1
45,6.15,3335.0,1031.0,211.0,-4364.279740799563,100.0,False,1
46,6.174,3338.195347440117,1011.3081358710551,212.0,-4362.863055555554,100.0,False,1
47,6.35,3364.0,842.0,211.56109718680852,-4352.522453003459,56.10971868085286,False,1
48,6.575,3373.4369496941795,770.9330118271724,211.0,-4339.359999999998,0.0,True,1
49,6.631,3375.0,749.0,211.0,-4336.079659541652,0.0,True,1
50,6.815,3383.771379937365,614.7858207566431,211.0,-4325.293333333331,0.0,True,1
51,7.031,3394.0,441.0,211.0,-4312.633092044449,0.0,True,1
52,7.095,3395.302372197206,411.2919041257364,211.0,-4308.88222222222,0.0,True,1
53,7.335,3395.0796282136553,348.11693433964604,211.0,-4294.815555555553,0.0,True,1
54,7.351,3395.0,342.0,211.0,-4293.877525774225,0.0,True,1
55,7.495,3394.067538658067,269.24571372574684,211.0,-4285.437777777775,0.0,True,1
56,7.551,3393.0,232.0,211.0,-4282.1613489941055,29.12,True,1
57,7.695,3387.503057304849,112.69577740602888,211.0,-4273.715555555554,104.0,True,1
58,7.831,3382.0,13.0,211.0,-4265.6237464256355,59.8,True,1
59,8.015,3378.613232022651,-41.8119121163405,211.0,-4254.959999999997,0.0,False,1
60,8.111,3376.0,-71.0,202.42857142857142,-4249.8010884337655,0.0,False,1
61,8.295,3366.835125552577,-165.66362998298274,186.0,-4240.493333333331,0.0,True,1
62,8.311,3366.0,-174.0,185.46666666666667,-4239.700900602348,0.0,True,1
63,8.591,3351.0,-313.0,176.13333333333333,-4226.160837921996,0.0,True,1
64,8.655,3346.2017637700933,-354.1260463162577,174.0,-4223.093333333331,0.0,True,1
65,8.815,3332.674014083167,-467.3413471041902,171.0,-4215.493333333331,0.0,True,1
66,8.871,3329.0,-498.0,167.47798883904852,-4212.944026807045,0.0,True,1
67,8.974,3324.2398994676296,-537.8107636821223,161.0,-4208.382499999998,0.0,True,1
68,9.214,3317.7378668335386,-595.2237987080348,157.0,-4197.915833333331,0.0,True,1
69,9.231,3317.0,-602.0,156.83000064,-4197.176312748647,0.0,True,1
70,9.414,3306.3905884937867,-700.5382813950536,155.0,-4189.30472222222,0.0,True,1
71,9.491,3302.0,-742.0,151.6312416,-4186.150663977893,0.0,True,1
72,9.734,3292.1314158673194,-839.186906543227,141.0,-4176.771388888887,0.0,True,1
73,9.93,3287.0,-909.0,134.7,-4169.541615566272,0.0,True,1
74,10.014,3285.2127276619426,-943.1147792922488,132.0,-4166.50472222222,0.0,True,1
75,10.174,3282.58960669593,-1010.9756844139936,128.0,-4160.815833333331,0.0,True,1
76,10.23,3282.0,-1032.0,126.6,-4158.872165403947,0.0,True,1
77,10.454,3281.432061779285,-1098.3047223814592,121.0,-4151.40472222222,0.0,True,1
78,10.71,3286.0,-1163.0,112.2,-4143.551774935833,0.0,True,1
79,10.774,3288.332420025851,-1181.7917443975086,110.0,-4141.626944444442,0.0,True,1
80,11.09,3304.0,-1277.0,107.0375,-4132.230369834884,0.0,True,1
81,11.094,3304.187964195031,-1277.9794590447316,107.0,-4132.1158333333315,0.0,True,1
82,11.294,3312.7520707729377,-1317.436901112087,100.0,-4126.560277777776,0.0,True,1
83,11.454,3322.387794592403,-1344.8299913892956,96.0,-4122.2936111111085,0.0,True,1
84,11.55,3333.0,-1368.0,94.62857142857143,-4119.799253351971,0.0,True,1
85,11.734,3362.6418622598217,-1424.367591773905,92.0,-4115.138055555553,0.0,True,1
86,11.77,3369.0,-1435.0,91.6,-4114.240761394074,0.0,True,1
87,12.094,3425.1937223947975,-1508.056624163844,88.0,-4106.338055555553,0.0,False,1
88,12.17,3435.0,-1519.0,87.36666666666666,-4104.509010159779,0.0,False,1
89,12.334,3449.7945870976814,-1534.6069767686063,86.0,-4100.60472222222,0.0,False,1
90,12.45,3462.0,-1546.0,84.9125,-4097.9025634427735,1.45,False,1
91,12.654,3497.169030585142,-1576.925793186915,83.0,-4093.2269444444423,4.0,False,1
92,12.77,3519.0,-1595.0,82.67777777777778,-4090.57281072749,2.711111111111111,False,1
93,12.99,3560.0,-1625.0,82.06666666666666,-4085.567421675748,0.2666666666666664,False,1
94,13.014,3565.6222147339035,-1628.6583686230135,82.0,-4085.026944444442,0.0,True,1
95,13.231,3622.0,-1663.0,80.64797520707293,-4080.191438132094,6.760123964635308,True,1
96,13.335,3640.898910724413,-1674.0834050170636,80.0,-4077.893611111109,10.0,False,1
97,13.495,3660.9648689307346,-1685.3272197015815,80.0,-4074.338055555553,32.0,False,1
98,13.571,3673.0,-1692.0,81.187504,-4072.574774978738,24.3999744,False,1
99,13.791,3718.0,-1717.0,84.625,-4067.3316693649886,2.4000000000000012,False,1
100,13.815,3723.0098133932865,-1719.8090745034701,85.0,-4066.7824999999975,0.0,True,1
101,13.951,3750.0,-1735.0,79.9,-4063.7825545081655,0.0,True,1
102,13.975,3754.3083958631273,-1737.4107560732782,79.0,-4063.2713888888866,0.0,True,1
103,14.191,3794.0,-1763.0,74.37142857142857,-4058.8766092966252,0.0,True,1
104,14.255,3811.5887623416556,-1777.6205033605654,73.0,-4057.5936111111087,0.0,True,1
105,14.351,3838.0,-1801.0,72.4,-4055.6611249143966,0.0,True,1
106,14.415,3849.9768800518686,-1812.21267379617,72.0,-4054.393611111109,0.0,True,1
107,14.575,3860.0368594369043,-1824.781266719642,68.0,-4051.3713888888865,0.0,True,1
108,14.751,3865.0,-1839.0,63.6,-4048.3273982014566,0.0,True,1
109,14.855,3871.948631099174,-1854.4050755276135,61.0,-4046.626944444442,0.0,True,1
110,14.931,3877.0,-1867.0,59.963632872727274,-4045.416513792884,0.0,True,1
111,15.291,3886.0,-1925.0,55.05454196363636,-4039.9641913822848,0.0,True,1
112,15.295,3886.018463425459,-1925.6360895545392,55.0,-4039.90472222222,0.0,True,1
113,15.411,3886.0,-1944.0,54.27272581362241,-4038.1864293523226,0.0,True,1
114,15.614,3883.083115034472,-1975.5920581467453,53.0,-4035.2083333333308,0.0,False,1
115,15.711,3880.0,-1992.0,53.0,-4033.797638393631,6.4666624,False,1
116,15.974,3865.9716920765313,-2042.569424235004,53.0,-4029.908333333331,24.0,False,1
117,16.091,3860.0,-2061.0,55.08928914285714,-4028.063451272558,24.0,False,1
118,16.254,3853.8225148168235,-2078.0962986664154,58.0,-4025.3972222222196,24.0,False,1
119,16.47,3844.0,-2098.0,60.7,-4021.75003065422,28.5,False,1
120,16.494,3842.3120928706403,-2101.128473211617,61.0,-4021.330555555553,29.0,False,1
121,16.67,3827.0,-2128.0,64.52,-4018.1600261631056,29.88,False,1
122,16.694,3824.7195471776645,-2131.712221869821,65.0,-4017.719444444442,30.0,False,1
123,16.854,3808.4919592858105,-2155.8437131978894,67.0,-4014.741666666664,23.0,False,1
124,16.91,3802.0,-2164.0,67.46666666666667,-4013.6774965865966,19.266666666666666,False,1
125,17.094,3777.5545768402726,-2189.373083371936,69.0,-4010.141666666664,7.0,False,1
126,17.17,3768.0,-2198.0,68.525,-4008.7014485262407,6.05,False,1
127,17.254,3758.6097379967705,-2205.7717188108536,68.0,-4007.119444444442,5.0,False,1
128,17.45,3737.0,-2220.0,68.0,-4003.4251759872395,18.066666666666666,False,1
129,17.494,3730.816940589171,-2223.4652654756787,68.0,-4002.586111111109,21.0,False,1
130,17.694,3696.3832669936296,-2240.3552902737174,70.0,-3998.69722222222,21.0,False,1
131,17.79,3678.0,-2247.0,71.44,-3996.772820642749,29.64,False,1
132,17.894,3657.307528728184,-2252.456277931326,73.0,-3994.641666666664,39.0,False,1
133,17.99,3638.0,-2257.0,74.8,-3992.630215797891,40.8,False,1
134,18.03,3630.0,-2259.0,75.55,-3991.7787601313394,41.55,False,1
135,18.054,3625.121605164557,-2260.0923002342897,76.0,-3991.2638888888864,42.0,False,1
136,18.25,3583.0,-2266.0,78.8,-3986.947860942932,44.8,False,1
137,18.334,3564.201110644985,-2267.792832860503,80.0,-3985.0416666666642,46.0,False,1
138,18.47,3533.0,-2270.0,82.72,-3981.887214805436,48.72,False,1
139,18.534,3518.013621470339,-2270.7287103977037,84.0,-3980.3749999999977,50.0,False,1
140,18.694,3479.6988053207133,-2271.7815314317345,87.0,-3976.508333333331,50.0,False,1
141,18.75,3466.0,-2272.0,88.225,-3975.112859830963,52.975,False,1
142,18.97,3410.0,-2272.0,93.0375,-3969.368187252523,64.6625,False,1
143,19.014,3397.966253197639,-2271.6938348076455,94.0,-3968.1527777777756,67.0,False,1
144,19.09,3377.0,-2271.0,97.25714285714285,-3965.997226826543,68.35714285714286,False,1
145,19.294,3322.201006756887,-2268.6315202927403,106.0,-3959.908333333331,72.0,False,1
146,19.35,3303.0,-2267.0,107.63333333333334,-3958.1807915785203,72.46666666666667,False,1
147,19.534,3223.662555985902,-2257.832339848004,113.0,-3952.3749999999973,74.0,False,1
148,19.59,3202.0,-2255.0,114.39130490089138,-3950.5859206380755,74.34782622522285,False,1
149,19.695,3169.749565359237,-2250.424251389919,117.0,-3947.142499999997,75.0,False,1
150,19.991,3093.0,-2234.0,131.8,-3936.246490038353,79.625,False,1
151,20.015,3082.8813719537866,-2231.5027308247154,133.0,-3935.320277777775,80.0,False,1
152,20.211,2983.0,-2206.0,140.07778702222222,-3927.607532474853,89.8000128,False,1
153,20.375,2903.494578961028,-2184.662218015167,146.0,-3920.720277777775,98.0,False,1
154,21.451,2481.0,-2032.0,187.8444544,-3864.5384430512177,99.99259306666667,False,1
155,21.455,2479.154532381789,-2031.1540103705506,188.0,-3864.320277777775,100.0,False,1
156,21.631,2396.0,-1992.0,193.65714285714284,-3854.735620908147,100.0,False,1
157,21.735,2348.3512559146493,-1968.5850297704292,197.0,-3848.998055555553,100.0,False,1
158,21.871,2280.0,-1932.0,200.4,-3841.3424394491967,100.0,False,1
159,22.055,2159.3706343779095,-1859.4709452830857,205.0,-3830.775833333331,100.0,False,1
160,22.151,2102.0,-1823.0,207.0,-3825.206005309814,100.0,False,1
161,22.291,2035.0,-1778.0,209.916672,-3817.0112849199063,100.0,False,1
162,22.295,2033.0234280579207,-1776.6407881821049,210.0,-3816.7758333333304,100.0,False,1
163,22.494,1922.2431160548974,-1699.1209063762637,214.0,-3804.9463888888863,100.0,False,1
164,22.591,1870.0,-1662.0,216.4249984,-3799.065153927715,100.0,False,1
165,22.654,1839.0527909564503,-1639.8440092240762,218.0,-3795.2574999999974,100.0,False,1
166,22.97,1704.0,-1540.0,211.85555555555555,-3776.7045871549794,12.222222222222229,False,1
167,23.014,1684.0927363579121,-1524.6481334758519,211.0,-3774.1574999999975,0.0,True,1
168,23.13,1631.0,-1483.0,207.52,-3767.4669213764823,0.0,True,1
169,23.214,1594.8215545780909,-1453.9644931322482,205.0,-3762.768611111109,0.0,True,1
170,23.31,1553.0,-1420.0,197.8,-3757.649270845868,0.0,True,1
171,23.494,1461.8175728990445,-1345.9653972815254,184.0,-3748.4574999999977,0.0,True,1
172,23.61,1410.0,-1304.0,177.55555555555554,-3742.9513950030164,0.0,True,1
173,23.854,1338.473845340865,-1246.590773495528,164.0,-3732.0574999999976,0.0,True,1
174,24.05,1274.0,-1195.0,155.18,-3723.948757255414,0.0,True,1
175,24.25,1182.0,-1121.0,146.18,-3715.9940126788833,0.0,True,1
176,24.254,1180.5905845705,-1119.862620475625,146.0,-3715.8352777777754,0.0,True,1
177,24.414,1145.4221798706844,-1091.2825856672146,142.0,-3709.5241666666643,0.0,True,1
178,24.51,1127.0,-1076.0,139.6,-3705.835043975849,0.0,True,1
179,24.77,1053.0,-1014.0,133.1,-3696.358282834779,0.0,True,1
180,24.814,1041.7430809909445,-1004.4777055665598,132.0,-3694.8574999999973,0.0,True,1
181,25.09,973.0,-941.0,117.43333333333334,-3686.106354308833,0.0,True,1
182,25.174,940.768570027188,-907.2363179790348,113.0,-3683.5574999999976,0.0,True,1
183,25.27,906.0,-870.0,110.6,-3680.6731958214546,0.0,True,1
184,25.454,879.487262436235,-840.771995996831,106.0,-3675.313055555553,0.0,True,1
185,25.61,868.0,-826.0,100.15,-3671.0676558282667,0.0,True,1
186,25.694,855.9978122178117,-810.8474230031927,97.0,-3668.8463888888864,0.0,True,1
187,25.79,839.0,-788.0,95.4,-3666.334492835793,0.0,True,1
188,25.934,810.7939842900595,-744.1146326738112,93.0,-3662.6463888888866,0.0,True,1
189,26.09,784.0,-699.0,90.40720175640142,-3658.8077389797227,0.43213304059976343,True,1
190,26.295,767.3829996912474,-669.8741735472792,87.0,-3653.9222222222197,1.0,False,1
191,26.491,759.0,-638.0,86.10908974545454,-3649.2987737902267,5.9000064,False,1
192,26.735,745.4775566541545,-555.2155547505768,85.0,-3643.533333333331,12.0,False,1
193,26.751,745.0,-550.0,85.1,-3643.15152616383,11.1,False,1
194,26.895,744.2416928586323,-508.77516137103964,86.0,-3639.711111111109,3.0,False,1
195,27.071,748.0,-469.0,84.53333333333333,-3635.588673749914,0.8,False,1
196,27.135,749.3603983330132,-456.3428499757159,84.0,-3634.1111111111086,0.0,False,1
197,27.535,758.3923724485896,-390.99987022416354,82.0,-3624.9999999999977,0.0,False,1
198,27.591,760.0,-381.0,82.7,-3623.703656544957,12.6,False,1
199,27.695,763.2738300753468,-361.1965396850098,84.0,-3621.2666666666646,36.0,False,1
200,27.791,766.0,-335.0,85.5,-3618.971836715086,38.7,False,1
201,27.991,769.0,-252.0,88.625,-3613.984187597299,44.325,False,1
202,28.015,769.1264758136143,-244.21721096188642,89.0,-3613.355555555553,45.0,False,1
203,28.335,766.6193840544229,-194.8380590500404,100.0,-3604.4666666666644,54.0,False,1
204,28.371,766.0,-188.0,100.4500032,-3603.4470417652637,49.499968,False,1
205,28.495,763.4484925575083,-157.2061171556963,102.0,-3599.933333333331,34.0,False,1
206,28.651,758.0,-110.0,102.0,-3595.5216168552797,19.699976533333334,False,1
207,28.671,757.0,-104.0,102.0,-3594.954518771319,17.866666666666667,False,1
208,28.735,753.6886958885474,-85.21676996218942,102.0,-3593.133333333331,12.0,False,1
209,28.971,740.0,-22.0,102.0,-3586.403259401548,1.885703314285714,False,1
210,29.015,737.0919954566841,-11.3537117403189,102.0,-3585.1999999999975,0.0,True,1
211,29.174,724.3061282266191,26.64495565228731,95.0,-3581.0041666666643,0.0,False,1
212,29.211,720.0,37.0,95.26428708571429,-3580.023510163613,4.096449828571429,False,1
213,29.454,682.1497983355367,114.0860283160184,97.0,-3573.45972222222,31.0,False,1
214,29.47,680.0,118.0,97.1,-3573.024449339387,28.5,False,1
215,29.614,665.006524261123,142.2392219716959,98.0,-3569.1041666666642,6.0,False,1
216,29.73,653.0,159.0,98.0,-3565.961876235032,20.914285714285715,False,1
217,29.894,628.9717031371022,193.26738182479738,98.0,-3561.481944444442,42.0,False,1
218,30.07,598.0,236.0,101.52,-3556.5083618264166,53.44,False,1
219,30.094,593.7040408715241,241.63504958436286,102.0,-3555.8152777777755,55.0,False,1
220,30.29,558.0,287.0,106.9,-3549.9899222980084,62.35,False,1
221,30.334,549.8452459714557,297.55510396502933,108.0,-3548.615277777775,64.0,False,1
222,30.49,520.0,336.0,114.06666666666666,-3543.5011001582934,69.2,False,1
223,30.63,491.0,371.0,119.5111111111111,-3538.661833930847,73.86666666666666,False,1
224,30.694,477.6951869034248,387.94716720800926,122.0,-3536.4152777777754,76.0,False,1
225,30.81,453.0,420.0,127.075,-3532.285328486363,76.0,False,1
226,30.854,443.0502618446299,432.3575127597378,129.0,-3530.6819444444423,76.0,False,1
227,30.97,417.0,464.0,132.38333333333333,-3526.3312104374,82.76666666666667,False,1
228,31.094,394.48457000207793,492.30277776775495,136.0,-3521.615277777775,90.0,False,1
229,31.25,358.0,538.0,136.0,-3515.7584357176956,90.0,False,1
230,31.294,342.0304413058467,557.4684665020948,136.0,-3514.05972222222,90.0,False,1
231,31.45,277.0,636.0,144.775,-3507.7800145512183,90.0,False,1
232,31.454,275.58323880791977,637.7101320246262,145.0,-3507.615277777775,90.0,False,1
233,31.614,233.12726832210285,689.0354129029705,151.0,-3500.9041666666644,90.0,False,1
234,31.854,195.29130947321835,733.2224291095492,157.0,-3490.4374999999973,100.0,False,1
235,31.91,182.0,748.0,158.2,-3487.948531302657,100.0,False,1
236,32.11,121.0,814.0,162.4857142857143,-3478.8798522620373,100.0,False,1
237,32.134,113.18650114351733,822.1662005811805,163.0,-3477.7597222222194,100.0,False,1
238,32.294,60.208034440928074,875.6801364005883,172.0,-3470.115277777775,100.0,False,1
239,32.37,34.0,901.0,174.375,-3466.4058015228184,100.0,False,1
240,32.454,4.065980619196316,929.0828491281337,177.0,-3462.2486111111084,100.0,False,1
241,32.61,-53.0,980.0,181.68,-3454.352886202035,100.0,False,1
242,32.654,-69.03332496811588,993.5579947096347,183.0,-3452.0819444444414,100.0,False,1
243,32.69,-84.0,1006.0,183.7977840749534,-3450.209035598545,100.0,False,1
244,32.951,-246.0,1138.0,189.58171720008284,-3436.327665652641,100.0,False,1
245,33.015,-272.79249617001483,1159.5868634225262,191.0,-3432.928888888886,100.0,False,1
246,33.291,-331.0,1205.0,188.92999808,-3418.457424378622,30.999936,False,1
247,33.415,-371.0661413508444,1235.9982895436478,188.0,-3412.0399999999972,0.0,True,1
248,33.615,-459.1097935373028,1308.0475400261066,184.0,-3401.8177777777746,0.0,True,1
249,33.631,-467.0,1315.0,183.5,-3401.0132025013404,0.3,True,1
250,33.775,-542.1227254386162,1384.2159115266015,179.0,-3393.8622222222193,3.0,False,1
251,33.851,-574.0,1415.0,178.18571154285715,-3390.1322000111163,16.028615314285716,False,1
252,34.055,-617.319265628511,1463.0723320799714,176.0,-3380.1733333333304,51.0,False,1
253,34.091,-625.0,1473.0,176.30000213333332,-3378.4033143233632,51.600004266666666,False,1
254,34.295,-683.0215236403213,1552.0803093734219,178.0,-3368.3066666666637,55.0,False,1
255,34.331,-693.0,1567.0,178.15000106666668,-3366.5204071543385,55.0,False,1
256,34.535,-742.8734156121554,1654.48761291419,179.0,-3356.3733333333307,55.0,False,1
