,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,3279.005830691503,1305.0007775002416,0.0,-4398.031185807494,31.0,False,1
1,0.095,3279.0028690434096,1305.000392398136,0.0,-4398.0436714717525,31.0,False,1
2,0.151,3279.0,1305.0,0.0,-4398.055547824759,31.0,False,1
3,0.311,3279.0,1305.0,0.0,-4398.093480141383,31.0,False,1
4,0.415,3279.04292472407,1305.0058708005784,0.0,-4398.0436714717525,31.0,False,1
5,0.655,3279.468403791128,1304.0675557789145,7.0,-4397.577004805086,25.0,False,1
6,0.751,3280.0,1302.0,10.3,-4397.2003309255515,25.6,False,1
7,0.971,3282.0,1293.0,17.8625088,-4396.000958851323,26.9750016,False,1
8,0.975,3282.0409702366865,1292.7865805811696,18.0,-4395.977004805086,27.0,False,1
9,1.175,3284.3884530996384,1280.346389649332,24.0,-4394.643671471753,29.0,False,1
10,1.211,3285.0,1278.0,25.20000853333333,-4394.351318959215,29.500003555555555,False,1
11,1.351,3288.0,1268.0,29.866666666666667,-4393.035281769491,31.444444444444443,False,1
12,1.535,3292.447021225711,1244.9916381725272,36.0,-4391.0436714717525,34.0,False,1
13,1.631,3295.0,1231.0,38.88,-4389.951337858233,34.48,False,1
14,1.735,3297.9841865353847,1215.8247147794013,42.0,-4388.7103381384195,35.0,False,1
15,1.975,3304.84562774347,1184.0872085063793,48.0,-4385.510338138419,35.0,False,1
16,2.031,3306.0,1179.0,49.82456111084734,-4384.669791331749,35.98245598276395,False,1
17,2.331,3312.0,1151.0,59.5990039740946,-4379.552240112281,41.245617524512475,False,1
18,2.374,3314.0651664303023,1140.178761112499,61.0,-4378.749504805086,42.0,False,1
19,2.614,3330.0948394122424,1054.260789668352,71.0,-4374.016171471752,42.0,False,1
20,2.651,3332.0,1044.0,71.9250048,-4373.264774988253,42.4625024,False,1
21,2.774,3336.384329130773,1020.3523743341364,75.0,-4370.682838138419,44.0,False,1
22,2.99,3341.0,993.0,83.64,-4365.445143562849,53.72,False,1
23,3.174,3347.82039876478,948.5485770030198,91.0,-4360.571727027308,62.0,False,1
24,3.23,3350.0,934.0,93.24,-4359.064559865648,64.52,False,1
25,3.374,3355.456503118542,896.7794885953815,99.0,-4355.071727027308,71.0,False,1
26,3.41,3357.0,886.0,100.575,-4354.022437402844,71.675,False,1
27,3.67,3370.0,791.0,111.95,-4345.831259446389,76.55,False,1
28,3.694,3371.002732200088,782.9290585734673,113.0,-4345.027282582863,77.0,False,1
29,4.014,3380.0884726103973,692.6958117336451,128.0,-4333.649504805086,80.0,False,1
30,4.05,3381.0,682.0,129.5,-4332.313493180631,81.95,False,1
31,4.254,3386.5171355536754,606.7486272674014,138.0,-4324.449504805086,93.0,False,1
32,4.27,3387.0,598.0,138.84,-4323.796633524519,93.28,False,1
33,4.47,3393.0,465.0,149.34,-4315.142751932614,96.78,False,1
34,4.654,3394.862600615097,403.2609138839444,159.0,-4306.782838138419,100.0,False,1
35,4.81,3395.0,365.0,163.3875,-4299.640087791868,100.0,False,1
36,4.974,3395.197002104757,298.52417730904006,168.0,-4291.849504805085,100.0,False,1
37,5.07,3394.0,243.0,175.68,-4287.041922490464,100.0,False,1
