,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,3077.9843237491955,2104.0230582499794,0.0,-4465.556824229181,39.0,True,1
1,0.095,3077.9922779381895,2104.0113615409537,0.0,-4465.552777777774,39.0,True,1
2,0.151,3078.0,2104.0,0.0,-4465.54892991011,39.0,True,1
3,0.311,3078.0,2104.0,0.0,-4465.5366400653675,39.0,True,1
4,0.415,3077.8844676342796,2104.169983838103,0.0,-4465.552777777774,39.0,True,1
5,0.655,3077.5943412783336,2104.2791634782175,0.0,-4465.552777777774,39.0,False,1
6,0.751,3078.0,2103.0,3.9000000000000004,-4465.336136095842,39.0,False,1
7,0.971,3080.0,2097.0,12.837510400000001,-4464.415999674056,39.0,False,1
8,0.975,3080.0351480059617,2096.8709847668742,13.0,-4464.397222222219,39.0,False,1
9,1.175,3081.6291272863373,2089.6336993843256,19.0,-4463.3416666666635,40.0,False,1
10,1.211,3082.0,2088.0,20.00000711111111,-4463.1061098177415,40.100000711111115,False,1
11,1.351,3084.0,2080.0,23.88888888888889,-4462.033878361432,40.48888888888889,False,1
12,1.535,3089.0136536293026,2062.0877644362376,29.0,-4460.441666666663,41.0,False,1
13,1.631,3092.0,2051.0,30.44,-4459.602205338016,41.0,False,1
14,1.735,3095.1285994564523,2038.5673249173578,32.0,-4458.663888888886,41.0,False,1
15,1.975,3101.704334203887,2010.908728170245,37.0,-4456.197222222218,41.0,False,1
16,2.031,3103.0,2006.0,39.3859645295696,-4455.495448542641,41.70175427340283,False,1
17,2.331,3110.0,1983.0,52.16792827381602,-4450.928807516917,45.46115537465177,False,1
18,2.374,3111.663982572804,1976.9926654608532,54.0,-4450.212222222219,46.0,False,1
19,2.614,3123.457110188639,1932.064594513009,62.0,-4446.078888888886,51.0,False,1
20,2.651,3125.0,1926.0,62.0,-4445.450790417255,52.8500096,False,1
21,2.774,3129.148415004604,1909.2811173987927,62.0,-4443.32333333333,59.0,False,1
22,2.99,3136.0,1882.0,70.1,-4438.878234158048,62.24,False,1
23,3.174,3145.875816300389,1845.7326424721873,77.0,-4434.767777777774,65.0,False,1
24,3.23,3149.0,1834.0,77.84,-4433.525563464944,65.84,False,1
25,3.374,3156.789463782863,1803.6277912226733,80.0,-4430.32333333333,68.0,False,1
26,3.41,3159.0,1795.0,80.675,-4429.510940942447,68.3375,False,1
27,3.67,3178.0,1722.0,85.55,-4423.315016849671,70.775,False,1
28,3.694,3179.554544112105,1716.0640107350491,86.0,-4422.678888888885,71.0,False,1
29,4.014,3196.0263629969613,1652.831995679647,107.0,-4413.167777777774,74.0,False,1
30,4.05,3198.0,1645.0,108.35,-4412.038080657532,75.05,False,1
31,4.254,3212.3017889229554,1586.9643634072597,116.0,-4405.434444444441,81.0,False,1
32,4.27,3214.0,1580.0,116.52,-4404.892719187413,81.08,False,1
33,4.47,3240.0,1473.0,123.02,-4397.798881755032,82.08,False,1
34,4.654,3251.841716201911,1424.0827373219838,129.0,-4391.1011111111075,83.0,False,1
35,4.81,3259.0,1394.0,130.95,-4385.506605980792,88.3625,False,1
36,4.974,3271.611415695636,1340.4741286978467,133.0,-4379.278888888885,94.0,False,1
37,5.07,3282.0,1294.0,143.56,-4375.254371250139,96.4,False,1
38,5.174,3296.0930602034723,1228.3511404619862,155.0,-4370.667777777774,99.0,False,1
39,5.35,3318.0,1123.0,161.6,-4362.598150054934,99.0,False,1
40,5.494,3322.301877024488,1099.3761453831537,167.0,-4355.82333333333,99.0,False,1
41,5.65,3324.0,1086.0,170.9,-4348.413825269324,99.975,False,1
42,5.654,3324.1701814517114,1085.034036145268,171.0,-4348.22333333333,100.0,False,1
43,5.93,3346.0,966.0,174.94285714285715,-4334.817190416708,100.0,False,1
44,5.934,3346.3101455261817,964.185247249161,175.0,-4334.612222222218,100.0,False,1
45,6.15,3362.0,855.0,192.1,-4323.010826726763,100.0,False,1
46,6.174,3364.1835091730804,836.2790895676272,194.0,-4321.678888888885,100.0,False,1
47,6.35,3381.0,681.0,199.70573657148913,-4311.719027093195,100.0,False,1
48,6.575,3387.2848055149184,613.8080331495468,207.0,-4298.621388888885,100.0,False,1
49,6.631,3388.0,591.0,208.63333333333333,-4295.325218811095,100.0,False,1
50,6.815,3391.1785338657814,450.6927925544399,214.0,-4284.354722222219,100.0,False,1
51,7.031,3394.0,268.0,218.62857142857143,-4271.119577199715,82.25714285714285,False,1
52,7.095,3394.043127259561,236.373040748108,220.0,-4267.243611111107,77.0,False,1
53,7.335,3391.3061935397545,167.56236393231083,213.0,-4253.043611111108,0.0,True,1
54,7.351,3391.0,161.0,213.0,-4252.0970683080395,0.0,True,1
55,7.495,3387.4173501926266,83.7539636663103,213.0,-4243.576944444441,0.0,False,1
56,7.551,3385.0,45.0,211.32,-4240.304974844552,0.0,False,1
57,7.695,3375.177892819331,-76.8269348327798,207.0,-4232.076944444441,0.0,True,1
58,7.831,3366.0,-178.0,200.2,-4224.672633858941,0.0,True,1
59,8.015,3360.4162246207393,-234.6266939216822,191.0,-4215.099166666663,0.0,True,1
60,8.111,3357.0,-264.0,186.88571428571427,-4210.227019668331,0.0,True,1
61,8.295,3345.972569403861,-356.89957704295875,179.0,-4201.176944444441,0.0,True,1
62,8.311,3345.0,-365.0,178.37777777777777,-4200.413076854636,0.0,True,1
63,8.591,3329.0,-498.0,167.48888888888888,-4187.56242862399,0.0,True,1
64,8.655,3324.4970104553176,-537.0582968015996,165.0,-4184.676944444441,0.0,True,1
65,8.815,3312.332006833393,-644.6297338365599,161.0,-4177.521388888886,0.0,True,1
66,8.871,3309.0,-674.0,158.1823910712388,-4175.088819031862,0.0,True,1
67,8.974,3304.5632123171113,-712.6725383371387,153.0,-4170.763888888885,0.0,True,1
68,9.214,3298.5874789810628,-767.9006414595416,139.0,-4161.497222222219,0.0,True,1
69,9.231,3298.0,-774.0,138.74500096,-4160.851198474142,0.0,True,1
70,9.414,3290.046365173487,-861.3589942591911,136.0,-4153.941666666663,0.0,True,1
71,9.491,3287.0,-901.0,133.593744,-4151.136993613586,0.0,True,1
72,9.734,3281.452576086919,-1015.4959256286439,126.0,-4142.741666666663,0.0,True,1
73,9.93,3282.0,-1098.0,119.0,-4136.414296475964,0.0,True,1
74,10.014,3283.7264693208394,-1131.097883962009,116.0,-4133.719444444441,0.0,True,1
75,10.174,3288.9900925322067,-1189.2192411309716,116.0,-4128.563888888885,0.0,True,1
76,10.23,3291.0,-1207.0,114.4,-4126.814728043267,0.0,True,1
77,10.454,3299.4604878877685,-1263.7939546469331,108.0,-4120.163888888886,0.0,True,1
78,10.71,3316.0,-1321.0,100.8,-4113.085678791512,0.0,True,1
79,10.774,3322.415217205789,-1337.843359330866,99.0,-4111.363888888885,0.0,True,1
80,11.09,3361.0,-1423.0,95.05,-4103.023532162521,0.0,True,1
81,11.094,3361.437068938429,-1423.8483315462224,95.0,-4102.919444444441,0.0,True,1
82,11.294,3380.500480982493,-1456.6318721686202,92.0,-4097.80833333333,0.0,False,1
83,11.454,3397.270807939779,-1477.3943227413004,86.0,-4093.9861111111077,0.0,True,1
84,11.55,3413.0,-1495.0,85.65714285714286,-4091.711013615286,0.0,True,1
85,11.734,3453.7358706651853,-1537.9173826879903,85.0,-4087.3749999999964,0.0,False,1
86,11.77,3462.0,-1546.0,84.8,-4086.5388854022954,3.9000000000000004,False,1
87,12.094,3528.7076723547298,-1601.4279870490416,83.0,-4079.0749999999966,39.0,False,1
88,12.17,3540.0,-1610.0,84.26666666666667,-4077.2718497275046,42.483333333333334,False,1
89,12.334,3557.3087759493033,-1622.9920837522193,87.0,-4073.2749999999965,50.0,False,1
90,12.45,3572.0,-1633.0,89.175,-4070.3434210124747,53.2625,False,1
91,12.654,3614.844163819919,-1660.046924862923,93.0,-4065.00833333333,59.0,False,1
92,12.77,3642.0,-1676.0,94.28888888888889,-4061.900238460483,43.21111111111111,False,1
93,12.99,3694.0,-1704.0,96.73333333333333,-4055.9492553182777,13.266666666666667,False,1
94,13.014,3700.9610176459873,-1707.7873464275413,97.0,-4055.3083333333298,10.0,True,1
95,13.231,3769.0,-1746.0,94.97196281060941,-4049.6022438367822,3.239876035364692,True,1
96,13.335,3790.6254018464056,-1759.2965100718034,94.0,-4046.926666666663,0.0,True,1
97,13.495,3810.637616829593,-1774.5096258652463,91.0,-4042.882222222219,0.0,True,1
98,13.571,3821.0,-1784.0,90.2874976,-4040.9821700016155,0.0,True,1
99,13.791,3855.0,-1821.0,88.225,-4035.6197106337063,0.0,True,1
100,13.815,3858.1778302747803,-1825.4723974935664,88.0,-4035.0599999999963,0.0,True,1
101,13.951,3873.0,-1851.0,82.05,-4031.9879985722214,0.0,True,1
102,13.975,3875.07257726245,-1855.2550253405122,81.0,-4031.4599999999964,0.0,True,1
103,14.191,3886.0,-1901.0,77.14285714285714,-4026.8670611820407,0.0,True,1
104,14.255,3886.2409752140525,-1925.497397793188,76.0,-4025.5488888888854,0.0,True,1
105,14.351,3885.0,-1964.0,74.2,-4023.601373507407,0.0,True,1
106,14.415,3884.048217294274,-1982.1884166234902,73.0,-4022.304444444441,0.0,False,1
107,14.575,3881.2902263996475,-2001.1914172374018,73.0,-4019.0599999999963,0.0,False,1
108,14.751,3875.0,-2018.0,69.22857142857143,-4015.7431172273155,0.0,False,1
109,14.855,3868.9946638503675,-2036.3266584812557,67.0,-4013.848888888885,0.0,False,1
110,14.931,3864.0,-2051.0,66.65454429090909,-4012.4697123686697,1.2090949818181818,False,1
111,15.291,3837.0,-2112.0,65.01818065454546,-4005.9765312656887,6.936367709090908,False,1
112,15.295,3836.6557880457876,-2112.6082246359524,65.0,-4005.9044444444407,7.0,False,1
113,15.411,3826.0,-2130.0,65.0,-4003.8134429418446,13.545467677398335,False,1
114,15.614,3802.457894494027,-2163.0284827412383,65.0,-4000.1447222222187,25.0,False,1
115,15.711,3792.0,-2176.0,65.53888853333333,-3998.382239691197,29.580552533333332,False,1
116,15.974,3771.845350135638,-2194.581505353829,67.0,-3993.444722222219,42.0,False,1
117,16.091,3763.0,-2201.0,69.9250048,-3991.0708378114227,46.17857828571429,False,1
118,16.254,3748.4266721317276,-2211.827618701454,74.0,-3987.689166666663,52.0,False,1
119,16.47,3720.0,-2229.0,74.0,-3983.273129548732,59.2,False,1
120,16.494,3715.753946872635,-2231.057706291034,74.0,-3982.75583333333,60.0,False,1
121,16.67,3680.0,-2246.0,81.04,-3978.7546172897255,60.0,False,1
122,16.694,3675.0504811584883,-2247.7380891812277,82.0,-3978.2002777777743,60.0,False,1
123,16.854,3641.0515335728187,-2257.192492315789,84.0,-3974.4669444444407,65.0,False,1
124,16.91,3626.0,-2260.0,85.86666666666666,-3973.0926476975333,65.46666666666667,False,1
125,17.094,3562.902674237552,-2267.874747660362,92.0,-3968.3336111111075,67.0,False,1
126,17.17,3540.0,-2270.0,93.9,-3966.309343375236,68.9,False,1
127,17.254,3520.6682888330965,-2271.3656454061893,96.0,-3964.0669444444407,71.0,False,1
128,17.45,3486.0,-2272.0,96.0,-3958.8862296980533,71.0,False,1
129,17.494,3475.884060634681,-2272.105510849352,96.0,-3957.666944444441,71.0,False,1
130,17.694,3418.1613955267953,-2272.4746966513353,105.0,-3951.8336111111075,72.0,False,1
131,17.79,3388.0,-2272.0,105.0,-3949.091919287655,75.36,False,1
132,17.894,3354.9168495081685,-2270.8222015638935,105.0,-3946.0002777777745,79.0,False,1
133,17.99,3324.0,-2269.0,114.6,-3942.829470392808,77.2,False,1
134,18.03,3311.0,-2268.0,118.6,-3941.45362505744,76.45,False,1
135,18.054,3303.1362669581104,-2267.331097439234,121.0,-3940.6224999999968,76.0,False,1
136,18.25,3237.0,-2260.0,126.6,-3933.67318085368,78.8,False,1
