,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,2915.0063499689136,2727.037443318017,0.0,-4501.143530673819,21.0,False,1
1,0.095,2915.0031248363985,2727.018447571734,0.0,-4501.138021033677,21.0,False,1
2,0.151,2915.0,2727.0,0.0,-4501.132782593983,21.0,False,1
3,0.311,2915.0,2727.0,0.0,-4501.116051350565,21.0,False,1
4,0.415,2915.046751729065,2727.2760003295225,0.0,-4501.138021033677,21.0,False,1
5,0.655,2915.4818412200625,2727.6514099402098,0.0,-4501.138021033677,21.0,False,1
6,0.751,2916.0,2726.0,4.8,-4500.843087713445,22.2,False,1
7,0.971,2918.0,2718.0,15.8000128,-4499.733910165171,24.9500032,False,1
8,0.975,2918.0447114142103,2717.8265342972095,16.0,-4499.715798811455,25.0,False,1
9,1.175,2920.544347699781,2708.1269420867484,16.0,-4498.826909922566,32.0,False,1
10,1.211,2921.0,2706.0,17.500010666666668,-4498.6114250526925,32.50000355555556,False,1
11,1.351,2923.0,2696.0,23.333333333333332,-4497.545801569403,34.44444444444444,False,1
12,1.535,2928.495720159619,2675.726586125925,31.0,-4495.726909922566,37.0,False,1
13,1.631,2932.0,2663.0,36.28,-4494.639404633976,40.36,False,1
14,1.735,2935.8751819169734,2648.1937388707856,42.0,-4493.393576589233,44.0,False,1
15,1.975,2944.4293181286753,2613.9970353972017,46.0,-4490.326909922566,49.0,False,1
16,2.031,2946.0,2608.0,48.10526282020847,-4489.5069378203825,49.28070170936113,False,1
17,2.331,2954.0,2579.0,59.38346612395531,-4484.377494404041,50.78446214986071,False,1
18,2.374,2956.134826303934,2570.663480277646,61.0,-4483.566076589233,51.0,False,1
19,2.614,2971.9436011584985,2507.255419322151,72.0,-4478.766076589233,55.0,False,1
20,2.651,2974.0,2499.0,72.9250048,-4478.000825609356,55.925004799999996,False,1
21,2.774,2979.4347848156376,2477.2897209333687,76.0,-4475.388298811456,59.0,False,1
22,2.99,2988.0,2445.0,82.48,-4470.318506437228,61.7,False,1
23,3.174,3000.205998908975,2401.291685755093,88.0,-4465.610521033677,64.0,False,1
24,3.23,3004.0,2387.0,90.8,-4464.124193075017,64.0,False,1
25,3.374,3013.3057628022507,2349.653501369043,98.0,-4460.166076589233,64.0,False,1
