,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,3124.9984361588727,1922.9811068119168,0.0,-4434.329757463154,31.0,False,1
1,0.095,3124.9992265236788,1922.990705822825,0.0,-4434.351666666665,31.0,False,1
2,0.151,3125.0,1923.0,0.0,-4434.37250602001,31.0,False,1
3,0.311,3125.0,1923.0,0.0,-4434.439065590021,31.0,False,1
4,0.415,3124.9884277604274,1922.8609466871878,0.0,-4434.351666666665,31.0,False,1
5,0.655,3125.2770533546686,1921.2410104261178,11.0,-4433.618333333331,35.0,False,1
6,0.751,3126.0,1919.0,14.0,-4433.148958721783,36.8,False,1
7,0.971,3129.0,1910.0,20.875008,-4431.7789842068405,40.925004799999996,False,1
8,0.975,3129.061740140764,1909.7939878255063,21.0,-4431.751666666664,41.0,False,1
9,1.175,3132.336189713169,1897.628332130056,27.0,-4430.251666666664,44.0,False,1
10,1.211,3133.0,1895.0,28.00000711111111,-4429.938299838269,44.20000142222222,False,1
11,1.351,3136.0,1883.0,31.88888888888889,-4428.576411144796,44.977777777777774,False,1
12,1.535,3142.154407061576,1859.4833625190313,37.0,-4426.5516666666645,46.0,False,1
13,1.631,3146.0,1845.0,40.36,-4425.43169707736,46.48,False,1
14,1.735,3150.4311277888664,1828.3655305338248,44.0,-4424.10722222222,47.0,False,1
15,1.975,3160.3861499283303,1791.0793917568976,55.0,-4420.440555555553,52.0,False,1
16,2.031,3162.0,1785.0,56.122806837444514,-4419.531726996487,52.98245598276395,False,1
17,2.331,3170.0,1754.0,62.13784859944283,-4414.309084173311,58.245617524512475,False,1
18,2.374,3172.855407409476,1742.8315539483328,63.0,-4413.458055555554,59.0,False,1
19,2.614,3195.307504437437,1654.721331282387,79.0,-4408.191388888887,67.0,False,1
20,2.651,3198.0,1644.0,81.0812608,-4407.318397770649,67.4625024,False,1
21,2.774,3204.261846882537,1618.5277828738685,88.0,-4404.280277777776,69.0,False,1
22,2.99,3212.0,1587.0,97.17999999999999,-4398.2162598610175,72.78,False,1
23,3.174,3224.8794571357316,1538.1453766534141,105.0,-4392.613611111109,76.0,False,1
24,3.23,3229.0,1522.0,107.52,-4390.877997998339,76.84,False,1
25,3.374,3239.16524917401,1480.0482859512183,114.0,-4386.280277777776,79.0,False,1
26,3.41,3242.0,1468.0,115.6875,-4385.0745225557475,80.0125,False,1
27,3.67,3266.0,1364.0,127.875,-4375.721176440382,87.325,False,1
28,3.694,3267.9874194117674,1355.2993637245227,129.0,-4374.813611111109,88.0,False,1
29,4.014,3289.487534882846,1259.4879930406846,144.0,-4362.013611111109,94.0,False,1
30,4.05,3292.0,1248.0,146.4,-4360.474655525015,94.9,False,1
31,4.254,3309.1411517641513,1166.448234089446,160.0,-4351.346944444443,100.0,False,1
32,4.27,3311.0,1157.0,160.72,-4350.601632007927,99.76,False,1
33,4.47,3338.0,1014.0,169.72,-4340.924597056056,96.76,False,1
34,4.654,3349.2697042804875,948.7284812578102,178.0,-4331.569166666664,94.0,False,1
35,4.81,3355.0,908.0,184.3375,-4323.37977233669,96.925,False,1
36,4.974,3365.1734236658745,835.302120649452,191.0,-4314.591388888887,100.0,False,1
37,5.07,3372.0,775.0,192.92,-4309.399689681722,100.0,False,1
38,5.174,3379.4958257765147,692.875538701719,195.0,-4303.758055555553,100.0,False,1
39,5.35,3390.0,555.0,195.0,-4294.225977786771,100.0,False,1
40,5.494,3393.260739379436,498.9261534727207,195.0,-4286.42472222222,100.0,False,1
41,5.65,3394.0,451.0,195.0,-4277.97359505661,100.0,False,1
42,5.654,3394.021357904791,449.2535323791835,195.0,-4277.758055555553,100.0,False,1
43,5.93,3395.0,289.0,195.0,-4262.817084854404,100.0,False,1
44,5.934,3394.9838640063285,286.7673984188478,195.0,-4262.591388888887,100.0,False,1
45,6.15,3391.0,161.0,208.5,-4249.991792138829,76.6,False,1
46,6.174,3389.837186460419,140.7681252406218,210.0,-4248.591388888887,74.0,False,1
47,6.35,3379.0,-24.0,207.80548593404265,-4238.478063115623,62.58852685702174,False,1
48,6.575,3374.0510018363248,-94.72002796543279,205.0,-4225.756666666664,48.0,False,1
49,6.631,3372.0,-115.0,204.53333333333333,-4222.585470957553,46.13333333333333,False,1
50,6.815,3358.999648783765,-234.80078084197643,203.0,-4212.2233333333315,40.0,True,1
51,7.031,3342.0,-389.0,196.05714285714285,-4200.472329912242,9.142857142857146,True,1
52,7.095,3339.1117140494807,-415.9098273290169,194.0,-4197.134444444442,0.0,True,1
53,7.335,3332.677476854544,-474.5623158497695,180.0,-4185.134444444442,0.0,True,1
54,7.351,3332.0,-480.0,180.0,-4184.333764438664,0.0,True,1
55,7.495,3323.857924617179,-543.3500102094898,180.0,-4177.134444444442,0.0,True,1
56,7.551,3320.0,-575.0,176.92,-4174.4187567950385,0.0,True,1
57,7.695,3308.778988922357,-674.4053054251837,169.0,-4167.745555555553,0.0,True,1
58,7.831,3300.0,-756.0,159.65,-4161.9519070223905,0.0,True,1
59,8.015,3295.746293642426,-798.188864200518,147.0,-4154.678888888887,0.0,True,1
60,8.111,3294.0,-819.0,142.54285714285714,-4151.006606251319,0.0,True,1
61,8.295,3288.4506951717412,-887.8203801230965,134.0,-4144.256666666664,0.0,True,1
62,8.311,3288.0,-894.0,133.37777777777777,-4143.693137302016,0.0,True,1
63,8.591,3283.0,-995.0,122.4888888888889,-4134.348730766985,0.0,True,1
64,8.655,3282.6586421714073,-1020.5069881782288,120.0,-4132.256666666664,0.0,True,1
65,8.815,3282.8630309345635,-1085.890721148464,117.0,-4127.056666666665,0.0,True,1
66,8.871,3283.0,-1104.0,115.23899441952426,-4125.289024372577,0.0,True,1
67,8.974,3283.236779451342,-1128.9501717701996,112.0,-4122.109999999998,0.0,True,1
68,9.214,3286.384018275793,-1171.3262316537744,108.0,-4114.909999999998,0.0,True,1
69,9.231,3287.0,-1176.0,107.83000064,-4114.4044090028565,0.08499968000000001,True,1
70,9.414,3297.012030964033,-1241.654221493765,106.0,-4109.021111111109,1.0,True,1
71,9.491,3302.0,-1269.0,104.3156208,-4106.839244100104,1.2406256,True,1
72,9.734,3318.2167089946315,-1333.367604054749,99.0,-4100.221111111109,2.0,True,1
73,9.93,3338.0,-1379.0,96.9,-4094.9692538889612,14.600000000000001,True,1
74,10.014,3349.719786369752,-1400.9402038339229,96.0,-4092.7544444444425,20.0,True,1
75,10.174,3375.543556756734,-1443.9679401137569,93.0,-4088.6211111111093,0.0,True,1
76,10.23,3384.0,-1457.0,91.8,-4087.209985296004,0.0,True,1
77,10.454,3413.1269851460193,-1496.1815945769915,87.0,-4081.8544444444424,0.0,True,1
78,10.71,3446.0,-1530.0,76.6,-4076.56959419385,2.4,True,1
79,10.774,3455.799813038668,-1539.3326480134438,74.0,-4075.276666666665,3.0,False,1
80,11.09,3507.0,-1585.0,74.0,-4068.780250707614,0.03750000000000014,False,1
81,11.094,3507.5527729882583,-1585.464926228414,74.0,-4068.698888888887,0.0,False,1
82,11.294,3530.996400963815,-1604.1014706451917,73.0,-4064.643333333331,16.0,False,1
83,11.454,3550.277624743101,-1617.3339891577684,76.0,-4061.2655555555534,31.0,False,1
84,11.55,3568.0,-1629.0,77.02857142857142,-4059.200151123021,33.74285714285714,False,1
85,11.734,3613.619772493442,-1658.2309347783164,79.0,-4055.1211111111093,39.0,False,1
86,11.77,3623.0,-1664.0,79.7,-4054.291999777681,39.5,False,1
87,12.094,3700.9789618203913,-1708.0314821089266,86.0,-4046.5211111111093,44.0,False,1
88,12.17,3714.0,-1715.0,85.68333333333334,-4044.704142390558,30.066666666666666,False,1
89,12.334,3732.9684012262487,-1724.9238327739904,85.0,-4040.8544444444424,0.0,True,1
90,12.45,3747.0,-1733.0,82.825,-4038.2325989050196,3.2624999999999997,True,1
91,12.654,3784.739817683087,-1757.0426758665094,79.0,-4033.83222222222,9.0,True,1
92,12.77,3806.0,-1772.0,76.74444444444444,-4031.4506941672444,6.1000000000000005,True,1
93,12.99,3838.0,-1801.0,72.46666666666667,-4027.1032520427225,0.6000000000000004,True,1
94,13.014,3841.5352265608817,-1805.364432137773,72.0,-4026.63222222222,0.0,True,1
95,13.231,3872.0,-1852.0,70.64797520707293,-4022.393280067816,4.732086775244715,True,1
96,13.335,3879.940716780045,-1868.9940050313262,70.0,-4020.3905555555534,7.0,False,1
97,13.495,3883.9753552259594,-1888.7899020032967,68.0,-4017.3683333333315,0.0,True,1
98,13.571,3885.0,-1900.0,67.0499968,-4015.975202890907,0.0,True,1
99,13.791,3886.0,-1940.0,64.3,-4012.092997299116,0.0,True,1
100,13.815,3885.8384087412346,-1944.5288303746854,64.0,-4011.6794444444427,0.0,False,1
101,13.951,3884.0,-1969.0,61.45,-4009.369942008424,2.55,False,1
102,13.975,3883.585763061621,-1972.7456549293718,61.0,-4008.9683333333314,3.0,False,1
103,14.191,3876.0,-2009.0,59.457142857142856,-4005.4236110871616,13.028571428571428,False,1
104,14.255,3870.36373862861,-2028.7984209824363,59.0,-4004.3794444444425,16.0,False,1
105,14.351,3861.0,-2060.0,59.0,-4002.8094525684487,13.6,False,1
106,14.415,3856.3873369896673,-2074.4298098676795,59.0,-4001.75722222222,12.0,False,1
107,14.575,3850.625737135662,-2087.9683814528216,60.0,-3999.0905555555537,12.0,False,1
108,14.751,3843.0,-2100.0,61.885714285714286,-3996.0421478376097,23.314285714285717,False,1
109,14.855,3835.009838486538,-2114.735184329062,63.0,-3994.1905555555536,30.0,False,1
110,14.931,3828.0,-2127.0,63.69091141818182,-3992.8174297856576,31.036367127272726,False,1
111,15.291,3793.0,-2175.0,66.9636386909091,-3986.0787864990452,35.94545803636364,False,1
112,15.295,3792.778903866808,-2175.2236384027533,67.0,-3986.0016666666647,36.0,False,1
113,15.411,3787.0,-2180.0,68.81818546594398,-3983.7433100584626,39.63637093188796,False,1
114,15.614,3759.2837752631312,-2205.064860198993,72.0,-3979.6216666666646,46.0,False,1
115,15.711,3739.0,-2219.0,74.4249984,-3977.5309389579566,42.22778026666666,False,1
116,15.974,3667.7450667201006,-2248.5558368396782,81.0,-3971.5216666666647,32.0,False,1
117,16.091,3640.0,-2257.0,83.08928914285714,-3968.738411527691,37.8500096,False,1
118,16.254,3612.7826539870875,-2263.39961586549,86.0,-3964.832777777776,46.0,False,1
119,16.47,3578.0,-2267.0,86.0,-3959.700910082881,54.1,False,1
120,16.494,3572.5361464898556,-2267.473343556216,86.0,-3959.0994444444423,55.0,False,1
121,16.67,3526.0,-2271.0,94.8,-3954.4271536160704,56.76,False,1
122,16.694,3519.7150708494514,-2271.367836198803,96.0,-3953.7661111111092,57.0,False,1
123,16.854,3477.964149360447,-2272.8867089228856,101.0,-3949.27722222222,63.0,False,1
124,16.91,3460.0,-2273.0,101.46666666666667,-3947.703619897216,63.46666666666667,False,1
125,17.094,3385.8356149111273,-2271.8607348727814,103.0,-3942.4105555555534,65.0,False,1
126,17.17,3359.0,-2271.0,108.225,-3940.0492505681345,65.0,False,1
127,17.254,3336.296701816717,-2269.9016920044173,114.0,-3937.343888888887,65.0,False,1
128,17.45,3295.0,-2266.0,119.71666666666667,-3930.796481586542,72.35,False,1
129,17.494,3282.7825312167683,-2264.637098922777,121.0,-3929.27722222222,74.0,False,1
130,17.694,3212.7900471626044,-2256.1495526222084,129.0,-3922.1105555555537,76.0,False,1
131,17.79,3177.0,-2251.0,132.84,-3918.4790588475635,79.36,False,1
132,17.894,3138.59326977402,-2244.714207802668,137.0,-3914.499444444443,83.0,False,1
133,17.99,3103.0,-2237.0,137.0,-3910.882041198685,89.6,False,1
134,18.03,3088.0,-2233.0,137.0,-3909.3491360996964,92.35,False,1
135,18.054,3078.9408881097606,-2230.634896501239,137.0,-3908.410555555554,94.0,False,1
136,18.25,3003.0,-2212.0,146.8,-3900.2565895748776,98.2,False,1
137,18.334,2969.119270699998,-2202.3825598255166,151.0,-3896.6661111111093,100.0,False,1
138,18.47,2913.0,-2185.0,153.04,-3890.8626614744308,100.0,False,1
139,18.534,2886.358503098001,-2176.558505272048,154.0,-3888.1105555555537,100.0,False,1
140,18.694,2818.994450209199,-2154.807344601909,157.0,-3881.132777777776,100.0,False,1
141,18.75,2795.0,-2147.0,158.05,-3878.664337478189,100.0,False,1
142,18.97,2698.0,-2115.0,162.175,-3868.7325721818324,100.0,False,1
143,19.014,2677.8314485146775,-2108.1275201738154,163.0,-3866.643888888887,100.0,False,1
