,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,3042.007781327809,2238.984504167205,0.0,-4469.574114354155,32.0,False,1
1,0.095,3042.003829917383,2238.992376215091,0.0,-4469.591666666669,32.0,False,1
2,0.151,3042.0,2239.0,0.0,-4469.608362153665,32.0,False,1
3,0.311,3042.0,2239.0,0.0,-4469.661686477946,32.0,False,1
4,0.415,3042.057300682983,2238.885937988074,0.0,-4469.591666666669,32.0,False,1
5,0.655,3042.518880842118,2237.646446152165,9.0,-4468.991666666669,30.0,False,1
6,0.751,3043.0,2236.0,11.7,-4468.587651795982,30.6,False,1
7,0.971,3045.0,2229.0,17.887507199999998,-4467.414077964988,31.9750016,False,1
8,0.975,3045.055023788862,2228.8174268282833,18.0,-4467.391666666669,32.0,False,1
9,1.175,3048.4640606281127,2217.3062659384436,22.0,-4466.1694444444465,32.0,False,1
10,1.211,3049.0,2215.0,23.20000853333333,-4465.89748293536,32.30000213333334,False,1
11,1.351,3051.0,2205.0,27.866666666666667,-4464.65431555037,33.46666666666667,False,1
12,1.535,3057.211248699093,2183.3097286008706,34.0,-4462.769444444447,35.0,False,1
13,1.631,3061.0,2170.0,36.88,-4461.747783019394,36.92,False,1
14,1.735,3064.854209138541,2155.19517942337,40.0,-4460.547222222224,39.0,False,1
15,1.975,3072.5481768222216,2122.680517810136,51.0,-4457.147222222225,47.0,False,1
16,2.031,3074.0,2117.0,52.964911965527904,-4456.240124239418,48.122806837444514,False,1
17,2.331,3082.0,2089.0,63.49123504902496,-4450.775249566872,54.13784859944283,False,1
18,2.374,3084.140033016717,2080.8421871200517,65.0,-4449.943055555558,55.0,False,1
19,2.614,3099.927065077929,2018.9178782148838,72.0,-4445.143055555558,62.0,False,1
20,2.651,3102.0,2011.0,72.9250048,-4444.385308989776,61.3062464,False,1
21,2.774,3107.547012862908,1990.645219538775,76.0,-4441.76527777778,59.0,False,1
22,2.99,3116.0,1960.0,86.8,-4436.278047014852,66.02,False,1
23,3.174,3127.2338863707737,1914.8007072243624,96.0,-4431.098611111113,72.0,False,1
24,3.23,3131.0,1900.0,98.52,-4429.496868356665,72.84,False,1
25,3.374,3141.1257595829393,1861.7786645087979,105.0,-4425.26527777778,75.0,False,1
26,3.41,3144.0,1851.0,106.4625,-4424.160114245313,75.5625,False,1
27,3.67,3169.0,1756.0,117.025,-4415.610413918032,79.625,False,1
28,3.694,3171.3783760972615,1746.7988376832195,118.0,-4414.776388888891,80.0,False,1
29,4.014,3201.8272301905413,1627.2545495294046,132.0,-4403.043055555558,84.0,False,1
30,4.05,3205.0,1615.0,133.35,-4401.672734360514,84.6,False,1
31,4.254,3223.972103399591,1541.3203029987517,141.0,-4393.643055555558,88.0,False,1
32,4.27,3226.0,1533.0,141.84,-4392.980098645678,88.12,False,1
33,4.47,3256.0,1406.0,152.34,-4384.237425358565,89.62,False,1
34,4.654,3269.6613157069837,1348.88275143527,162.0,-4375.643055555558,91.0,False,1
35,4.81,3278.0,1313.0,168.825,-4368.058998430298,95.3875,False,1
36,4.974,3292.5614472332927,1247.0277340576326,176.0,-4359.998611111114,100.0,False,1
37,5.07,3304.0,1191.0,176.0,-4355.342053748246,97.12,False,1
38,5.174,3318.910784742136,1113.5383415277543,176.0,-4350.220833333336,94.0,False,1
39,5.35,3343.0,983.0,184.25,-4341.0469843966,91.25,False,1
40,5.494,3351.9529752809467,931.5535593839799,191.0,-4333.2430555555575,89.0,False,1
41,5.65,3358.0,887.0,198.8,-4324.62287512243,99.725,False,1
42,5.654,3358.2179754694407,885.3145042087176,199.0,-4324.3986111111135,100.0,False,1
43,5.93,3377.0,731.0,205.9,-4308.6061792286255,85.21428571428571,False,1
