,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,3203.985696345785,1621.0183117098268,0.0,-4428.157887224124,14.0,True,1
1,0.095,3203.9929540731996,1621.0090265481974,0.0,-4428.1527777777765,14.0,True,1
2,0.151,3204.0,1621.0,0.0,-4428.147919280243,14.175,True,1
3,0.311,3204.0,1621.0,0.0,-4428.13240154793,14.675,True,1
4,0.415,3203.8945835177246,1621.1350492256045,0.0,-4428.1527777777765,15.0,True,1
5,0.655,3203.629860297798,1620.8388146691361,0.0,-4428.1527777777765,16.0,False,1
6,0.751,3204.0,1619.0,4.8,-4427.879235865892,16.6,False,1
7,0.971,3206.0,1611.0,15.8000128,-4426.752446170108,17.9750016,False,1
8,0.975,3206.0450370225244,1610.8378254491345,16.0,-4426.730555555554,18.0,False,1
9,1.175,3208.5311989133547,1602.5507207458631,21.0,-4425.563888888888,20.0,False,1
10,1.211,3209.0,1601.0,21.9000064,-4425.319627081774,20.300002133333333,False,1
11,1.351,3211.0,1594.0,25.4,-4424.248583081948,21.466666666666665,False,1
12,1.535,3215.3267876700975,1576.2823190041386,30.0,-4422.563888888888,23.0,False,1
13,1.631,3218.0,1565.0,34.32,-4421.5660917312625,23.48,False,1
14,1.735,3220.995553748288,1552.3311212029214,39.0,-4420.397222222221,24.0,False,1
15,1.975,3227.739496523967,1524.0540901006475,46.0,-4417.330555555554,24.0,False,1
16,2.031,3229.0,1519.0,47.964911965527904,-4416.5139584420085,25.543859401486213,False,1
17,2.331,3236.0,1492.0,58.49123504902496,-4411.477915112979,33.81454182423389,False,1
18,2.374,3238.025574678562,1483.7651343435139,60.0,-4410.680555555554,35.0,False,1
19,2.614,3252.5358810732127,1423.3327779693475,70.0,-4406.013888888888,38.0,False,1
20,2.651,3254.0,1417.0,70.0,-4405.3049217002035,39.3875072,False,1
21,2.774,3256.513543867005,1405.253633939722,70.0,-4402.9027777777765,44.0,False,1
22,2.99,3259.0,1393.0,80.26,-4397.820141234937,45.08,False,1
23,3.174,3268.771291494435,1353.695776970001,89.0,-4393.013888888888,46.0,False,1
24,3.23,3272.0,1340.0,91.24,-4391.5340343404,47.4,False,1
25,3.374,3279.7743411345014,1304.365987037535,97.0,-4387.624999999999,51.0,False,1
26,3.41,3282.0,1294.0,98.575,-4386.599278490771,51.9,False,1
27,3.67,3302.0,1201.0,109.95,-4378.5598675936935,58.4,False,1
28,3.694,3303.7573772559003,1192.5464023453799,111.0,-4377.758333333332,59.0,False,1
29,4.014,3321.86550559277,1100.7775586634377,130.0,-4366.202777777777,76.0,False,1
30,4.05,3323.0,1095.0,131.5,-4364.832339533062,77.35,False,1
31,4.254,3328.8489923537954,1063.6468900972188,140.0,-4356.869444444443,85.0,False,1
32,4.27,3330.0,1057.0,140.4,-4356.2338864211415,85.6,False,1
33,4.47,3352.0,927.0,145.4,-4348.163130935607,93.1,False,1
34,4.654,3360.849937238074,866.8838850093107,150.0,-4340.202777777777,100.0,False,1
35,4.81,3365.0,831.0,161.7,-4332.855349630896,100.0,False,1
36,4.974,3373.4944927498755,764.8127025965101,174.0,-4324.7361111111095,100.0,False,1
37,5.07,3379.0,709.0,178.32,-4319.8938666541,100.0,False,1
38,5.174,3384.595440979202,632.3067182216408,183.0,-4314.569444444443,100.0,False,1
39,5.35,3392.0,503.0,187.4,-4305.3614720351225,100.0,False,1
40,5.494,3394.506082328979,450.67585958191114,191.0,-4297.591666666665,100.0,False,1
41,5.65,3395.0,405.0,200.75,-4288.885842815628,100.0,False,1
42,5.654,3395.0036789858855,403.31014183790757,201.0,-4288.658333333332,100.0,False,1
43,5.93,3394.0,246.0,210.85714285714286,-4272.486601958552,100.0,False,1
44,5.934,3393.96202185535,243.7717967034605,211.0,-4272.247222222221,100.0,False,1
45,6.15,3389.0,116.0,216.4,-4259.21766832365,100.0,False,1
46,6.174,3387.6396305247554,95.24050668654843,217.0,-4257.780555555554,100.0,False,1
47,6.35,3375.0,-74.0,213.48877749446822,-4247.3808476400645,58.74313556000168,False,1
48,6.575,3369.277549289651,-145.66250720756753,209.0,-4234.500277777776,6.0,False,1
49,6.631,3367.0,-167.0,206.2,-4231.379094209012,4.6,False,1
50,6.815,3352.6386480885594,-295.21757736219735,197.0,-4221.366944444443,0.0,True,1
51,7.031,3334.0,-459.0,187.74285714285713,-4210.138349488301,0.0,True,1
52,7.095,3330.8956346536665,-486.3086055054448,185.0,-4206.978055555554,0.0,True,1
53,7.335,3324.626384062369,-539.8849262304344,168.0,-4195.778055555555,0.0,True,1
54,7.351,3324.0,-545.0,167.6,-4195.043346874667,0.0,True,1
55,7.495,3316.5174505216823,-605.8749242668041,164.0,-4188.489166666665,0.0,True,1
56,7.551,3313.0,-636.0,161.48,-4186.0173245032365,0.0,True,1
57,7.695,3302.849660510987,-728.8316999318512,155.0,-4179.878055555554,0.0,True,1
58,7.831,3295.0,-805.0,149.9,-4174.339387639961,0.0,True,1
59,8.015,3291.4111073005038,-847.0754373204298,143.0,-4167.166944444443,0.0,True,1
60,8.111,3290.0,-869.0,139.57142857142858,-4163.526632295476,0.0,True,1
61,8.295,3285.3626456979955,-938.9483190076968,133.0,-4156.822499999998,0.0,True,1
62,8.311,3285.0,-945.0,132.33333333333334,-4156.263872685343,0.0,True,1
63,8.591,3282.0,-1042.0,120.66666666666667,-4147.053250523093,0.0,True,1
64,8.655,3282.4438456401663,-1069.9239388217375,118.0,-4145.022499999999,0.0,True,1
65,8.815,3285.072012224756,-1146.3138700259726,113.0,-4140.000277777776,0.0,True,1
66,8.871,3286.0,-1167.0,112.29559776780971,-4138.254809594262,0.0,True,1
67,8.974,3287.5383888089327,-1193.9132673488332,111.0,-4135.097777777776,0.0,True,1
68,9.214,3294.0276972574,-1231.6833296089258,103.0,-4128.231111111109,0.0,True,1
69,9.231,3295.0,-1236.0,102.66000128,-4127.7560713029225,0.0,True,1
70,9.414,3309.875821236796,-1298.1385701734769,99.0,-4122.731111111109,0.0,True,1
71,9.491,3317.0,-1324.0,96.8343696,-4120.715923771489,0.0,True,1
72,9.734,3339.148942299464,-1383.2014331488422,90.0,-4114.731111111109,0.0,True,1
73,9.93,3362.0,-1423.0,85.1,-4110.188889264394,0.0,True,1
74,10.014,3374.377782774002,-1441.7257549067501,83.0,-4108.275555555554,0.0,True,1
75,10.174,3400.5451797065703,-1478.0138300976134,81.0,-4104.675555555555,0.0,True,1
76,10.23,3409.0,-1489.0,79.8,-4103.465327075297,0.0,True,1
77,10.454,3437.649887522677,-1522.12969140542,75.0,-4098.842222222221,0.0,True,1
78,10.71,3470.0,-1552.0,73.4,-4093.6332866199295,0.0,True,1
79,10.774,3479.8501417252833,-1560.613526241598,73.0,-4092.353333333332,0.0,False,1
80,11.09,3532.0,-1604.0,71.025,-4086.1227188884222,10.8625,False,1
81,11.094,3532.5652193060155,-1604.4439525620958,71.0,-4086.042222222221,11.0,False,1
82,11.294,3556.5796733590078,-1622.2315548724637,74.0,-4081.9311111111097,16.0,False,1
83,11.454,3576.8671804331047,-1635.1976117384718,77.0,-4078.5088888888877,29.0,False,1
84,11.55,3596.0,-1647.0,79.74285714285715,-4076.3290582307154,32.42857142857143,False,1
85,11.734,3645.7929787524763,-1677.0476469044556,85.0,-4071.8977777777764,39.0,False,1
86,11.77,3656.0,-1683.0,85.6,-4071.001931256226,35.1,False,1
87,12.094,3739.580919315346,-1728.6194527186015,91.0,-4062.7977777777764,0.0,True,1
88,12.17,3753.0,-1736.0,88.78333333333333,-4060.9794329142737,0.0,True,1
89,12.334,3771.3391166657484,-1746.9112554172912,84.0,-4057.1977777777765,0.0,True,1
90,12.45,3784.0,-1756.0,82.55,-4054.5762950618214,0.0,True,1
91,12.654,3817.991283843193,-1782.8197182580095,80.0,-4050.086666666665,0.0,False,1
92,12.77,3837.0,-1800.0,78.38888888888889,-4047.621161063477,0.6444444444444445,False,1
93,12.99,3864.0,-1835.0,75.33333333333333,-4043.077959372,1.8666666666666667,False,1
94,13.014,3866.5308285658216,-1840.277816034995,75.0,-4042.586666666665,2.0,False,1
95,13.231,3885.0,-1896.0,73.64797520707293,-4038.175515672214,0.6479752070729384,False,1
96,13.335,3888.7232670254293,-1915.345743474,73.0,-4036.0774999999985,0.0,False,1
97,13.495,3888.342827161385,-1936.570294385065,72.0,-4032.8774999999987,0.0,False,1
98,13.571,3887.0,-1949.0,71.2874976,-4031.3890250795334,0.47500159999999997,False,1
99,13.791,3880.0,-1994.0,69.225,-4027.1947514191415,1.8499999999999999,False,1
100,13.815,3879.0187226786143,-1998.8056481171664,69.0,-4026.7441666666655,2.0,False,1
101,13.951,3873.0,-2024.0,67.3,-4024.211450607178,2.85,False,1
102,13.975,3871.9453160329,-2027.9677459047482,67.0,-4023.7663888888874,3.0,False,1
103,14.191,3858.0,-2067.0,67.0,-4019.7620996885535,6.085714285714285,False,1
104,14.255,3848.882687020026,-2086.9404577357723,67.0,-4018.5552777777766,7.0,False,1
105,14.351,3834.0,-2118.0,68.2,-4016.7179518412095,8.8,False,1
106,14.415,3826.770114884633,-2132.5032118616227,69.0,-4015.4886111111095,10.0,False,1
107,14.575,3818.1962794474293,-2146.8434611440894,69.0,-4012.421944444443,10.0,False,1
108,14.751,3806.0,-2160.0,70.25714285714285,-4008.9770572506613,12.514285714285714,False,1
109,14.855,3792.626654095794,-2175.266452058299,71.0,-4006.8997222222206,14.0,False,1
110,14.931,3783.0,-2186.0,71.69091141818181,-4005.3621974039356,15.55455069090909,False,1
111,15.291,3751.0,-2211.0,74.9636386909091,-3997.8198707030415,22.918187054545456,False,1
112,15.295,3750.4016873897504,-2211.3798296682003,75.0,-3997.733055555554,23.0,False,1
