,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,3221.0063196465962,1551.016880777975,0.0,-4405.867281942277,23.0,False,1
1,0.095,3221.0031098997883,1551.008321675583,0.0,-4405.861624846703,23.0,False,1
2,0.151,3221.0,1551.0,0.0,-4405.856245461922,23.0,False,1
3,0.311,3221.0,1551.0,0.0,-4405.839064048854,23.0,False,1
4,0.415,3221.04652825741,1551.124503389179,0.0,-4405.861624846703,23.0,False,1
5,0.655,3221.4810565635275,1550.8017859932613,0.0,-4405.861624846703,23.0,False,1
6,0.751,3222.0,1549.0,5.3999999999999995,-4405.558756071466,23.0,False,1
7,0.971,3224.0,1541.0,17.7750144,-4404.287111451587,23.0,False,1
8,0.975,3224.0444929543096,1540.8275161220604,18.0,-4404.261624846703,23.0,False,1
9,1.175,3226.535244491323,1531.1411377965228,25.0,-4402.872735957814,23.0,False,1
10,1.211,3227.0,1529.0,26.00000711111111,-4402.580178091485,23.700004977777777,False,1
11,1.351,3229.0,1519.0,29.88888888888889,-4401.297864964573,26.42222222222222,False,1
12,1.535,3233.8740006420685,1499.326418242826,35.0,-4399.372735957814,30.0,False,1
13,1.631,3238.0,1483.0,38.36,-4398.301851801947,32.4,False,1
14,1.735,3243.9201716533307,1459.1337569178622,42.0,-4397.039402624481,35.0,False,1
15,1.975,3259.6967307586647,1394.0292196622959,53.0,-4393.5060692911475,41.0,False,1
16,2.031,3262.0,1384.0,55.10526282020847,-4392.560136058503,42.40350854680565,False,1
17,2.331,3268.0,1354.0,66.3834661239553,-4386.83808238988,49.92231074930354,False,1
18,2.374,3269.844750470293,1345.7880371604963,68.0,-4385.9694026244815,51.0,False,1
19,2.614,3285.0445143049155,1280.5874850226737,76.0,-4380.902735957814,61.0,False,1
20,2.651,3287.0,1272.0,78.0812608,-4380.063328395314,61.0,False,1
21,2.774,3291.9754983950024,1249.3000602181855,85.0,-4377.124958180037,61.0,False,1
22,2.99,3299.0,1215.0,93.64,-4371.289813148374,65.86,False,1
23,3.174,3308.8667262392732,1168.3204605062497,101.0,-4365.902735957814,70.0,False,1
24,3.23,3312.0,1153.0,103.52,-4364.230106249461,71.96,False,1
25,3.374,3319.8310256930176,1112.6935853476555,110.0,-4359.791624846704,77.0,False,1
26,3.41,3322.0,1101.0,111.6875,-4358.626156702558,78.0125,False,1
27,3.67,3340.0,999.0,123.875,-4349.563006890234,85.325,False,1
28,3.694,3341.46075697633,990.3878165876336,125.0,-4348.680513735592,86.0,False,1
29,4.014,3356.4172402249797,895.1335764365949,138.0,-4336.413847068926,83.0,False,1
30,4.05,3358.0,884.0,138.6,-4335.02239890186,84.8,False,1
31,4.254,3367.993578566555,806.0734610195291,142.0,-4326.947180402259,95.0,False,1
32,4.27,3369.0,797.0,143.04,-4326.270558734148,94.48,False,1
33,4.47,3383.0,659.0,156.04,-4317.180929950696,87.98,False,1
34,4.654,3388.272558424477,595.9748546436381,168.0,-4308.280513735592,82.0,False,1
35,4.81,3390.0,557.0,172.875,-4300.62705005422,82.0,False,1
36,4.974,3392.8574358560477,487.80554710043464,178.0,-4292.45829151337,82.0,False,1
37,5.07,3394.0,431.0,180.4,-4287.609943129257,82.48,False,1
38,5.174,3394.213767525372,354.24102418019646,183.0,-4282.291624846704,83.0,False,1
39,5.35,3393.0,226.0,186.3,-4273.109241455939,86.3,False,1
40,5.494,3391.6920753247637,173.99251232267042,189.0,-4265.491624846703,89.0,False,1
41,5.65,3389.0,129.0,192.9,-4257.133416789396,89.0,False,1
42,5.654,3388.89877474065,127.34661940348543,193.0,-4256.913847068926,89.0,False,1
43,5.93,3379.0,-26.0,205.81428571428572,-4241.124036693954,97.87142857142857,False,1
44,5.934,3378.84265799281,-28.17434143864314,206.0,-4240.891624846703,98.0,False,1
45,6.15,3368.0,-154.0,209.6,-4228.2994926645615,99.8,False,1
46,6.174,3365.9257851204925,-174.7401608781977,210.0,-4226.891624846703,100.0,False,1
47,6.35,3348.0,-345.0,211.31670843957443,-4216.50206338542,67.52119182383112,False,1
