,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,3112.0151919605923,1974.0080521224486,0.0,-4437.566445910092,44.0,True,1
1,0.095,3112.007480367952,1974.0039727153353,0.0,-4437.574387766951,44.0,True,1
2,0.151,3112.0,1974.0,0.0,-4437.581941685849,44.175,True,1
3,0.311,3112.0,1974.0,0.0,-4437.606068422673,44.675,True,1
4,0.415,3112.111916302561,1974.059437131209,0.0,-4437.574387766951,45.0,True,1
5,0.655,3112.710647904817,1973.573324515242,4.0,-4437.307721100285,47.0,False,1
6,0.751,3113.0,1972.0,5.2,-4437.135686617692,47.0,False,1
7,0.971,3114.0,1965.0,7.950003199999999,-4436.607900496141,47.0,False,1
8,0.975,3114.034369879647,1964.8379537672479,8.0,-4436.596609989173,47.0,False,1
9,1.175,3116.5211575122157,1955.6583299202548,13.0,-4435.874387766951,48.0,False,1
10,1.211,3117.0,1954.0,14.500010666666666,-4435.6743487675385,48.30000213333334,False,1
11,1.351,3119.0,1947.0,20.333333333333332,-4434.651205206878,49.46666666666667,False,1
12,1.535,3123.9327505345163,1929.4119564506607,28.0,-4433.074387766951,51.0,False,1
13,1.631,3127.0,1918.0,29.44,-4432.283752035685,51.0,False,1
14,1.735,3130.3589981097434,1904.9400639471735,31.0,-4431.352165544728,51.0,False,1
15,1.975,3137.67081410433,1875.2482884160613,42.0,-4428.552165544729,51.0,False,1
16,2.031,3139.0,1870.0,43.54385940148621,-4427.822570626082,52.54385940148621,False,1
17,2.331,3146.0,1844.0,51.81454182423389,-4423.418354781909,60.81454182423389,False,1
18,2.374,3147.9957149028896,1836.5053285712438,53.0,-4422.677998878062,62.0,False,1
19,2.614,3163.038662026127,1779.4777622639253,68.0,-4418.144665544729,72.0,False,1
20,2.651,3165.0,1772.0,68.0,-4417.453122587723,72.4625024,False,1
21,2.774,3170.177759084492,1752.1611293281896,68.0,-4415.122443322507,74.0,False,1
22,2.99,3178.0,1722.0,76.64,-4410.227675934975,74.0,False,1
23,3.174,3188.631421989455,1681.1835304179456,84.0,-4405.789109989173,74.0,False,1
24,3.23,3192.0,1668.0,84.56,-4404.481924113407,76.8,False,1
25,3.374,3200.5209931147388,1633.8970902902092,86.0,-4401.011332211396,84.0,False,1
26,3.41,3203.0,1624.0,88.5875,-4400.043109680759,84.225,False,1
27,3.67,3225.0,1537.0,107.275,-4392.075816692661,85.85,False,1
28,3.694,3226.847485127247,1529.632050390979,109.0,-4391.322443322507,86.0,False,1
29,4.014,3246.7550820409947,1448.3439362124307,114.0,-4381.189109989174,100.0,False,1
30,4.05,3249.0,1439.0,115.95,-4379.980186992512,100.0,False,1
31,4.254,3264.271754794921,1373.7279562840067,127.0,-4372.7224433225065,100.0,False,1
32,4.27,3266.0,1366.0,127.8,-4372.117076987452,100.0,False,1
33,4.47,3292.0,1247.0,137.8,-4364.085414994212,100.0,False,1
34,4.654,3304.217749042652,1190.7197950379018,147.0,-4356.389109989173,100.0,False,1
35,4.81,3311.0,1158.0,149.4375,-4349.904161624519,100.0,False,1
36,4.974,3321.5659280346704,1104.822544513528,152.0,-4342.8779988780625,100.0,False,1
37,5.07,3330.0,1058.0,158.24,-4338.541923856994,100.0,False,1
38,5.174,3341.360430936629,990.3568760188571,165.0,-4333.7113322113955,100.0,False,1
39,5.35,3360.0,873.0,169.4,-4325.355987456605,100.0,False,1
40,5.494,3366.7307806125127,824.9456811587656,173.0,-4318.333554433618,100.0,False,1
41,5.65,3371.0,783.0,180.8,-4310.495084050219,100.0,False,1
