,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,3089.015189067383,2060.0202401768743,0.0,-4454.916341086684,20.0,True,1
1,0.095,3089.0074789427727,2060.0099733707057,0.0,-4454.918725495545,20.0,True,1
2,0.151,3089.0,2060.0,0.0,-4454.92099336587,19.825,True,1
3,0.311,3089.0,2060.0,0.0,-4454.928236799538,19.325,True,1
4,0.415,3089.1118949799693,2060.1492149558158,0.0,-4454.918725495545,19.0,True,1
5,0.655,3089.710573036661,2060.2062395128305,2.0,-4454.785392162212,20.0,False,1
6,0.751,3090.0,2059.0,4.3999999999999995,-4454.614410562835,20.0,False,1
7,0.971,3091.0,2053.0,9.900006399999999,-4453.913469381245,20.0,False,1
8,0.975,3091.034349035252,2052.8506816641316,10.0,-4453.896503273323,20.0,False,1
9,1.175,3093.520288927799,2043.80767651684,19.0,-4452.840947717767,21.0,False,1
10,1.211,3094.0,2042.0,20.10000782222222,-4452.601658992004,22.00000711111111,False,1
11,1.351,3096.0,2034.0,24.377777777777776,-4451.521209809137,25.88888888888889,False,1
12,1.535,3100.873429045022,2015.6708634175961,30.0,-4449.840947717767,31.0,False,1
13,1.631,3104.0,2004.0,33.36,-4448.8857135353965,35.32,False,1
14,1.735,3107.5541212058292,1990.6359077674965,37.0,-4447.785392162212,40.0,False,1
15,1.975,3115.578833719917,1960.3061662190673,43.0,-4444.918725495545,46.0,False,1
16,2.031,3117.0,1955.0,44.964911965527904,-4444.150099632723,47.54385940148621,False,1
17,2.331,3124.0,1929.0,55.49123504902496,-4439.363962079363,55.81454182423389,False,1
18,2.374,3125.986751482689,1921.4053853238013,57.0,-4438.601225495545,57.0,False,1
19,2.614,3141.0334963795667,1863.5056703909277,68.0,-4434.067892162212,64.0,False,1
20,2.651,3143.0,1856.0,68.9250048,-4433.348459887926,64.0,False,1
21,2.774,3148.201274620982,1836.3795056310714,72.0,-4430.867892162211,64.0,False,1
22,2.99,3156.0,1807.0,81.72,-4425.715075524464,69.94,False,1
23,3.174,3166.5053802451407,1765.8971464424164,90.0,-4420.867892162211,75.0,False,1
24,3.23,3170.0,1752.0,92.52,-4419.368673124662,75.84,False,1
25,3.374,3179.3224296950802,1714.5830670573012,99.0,-4415.367892162211,78.0,False,1
26,3.41,3182.0,1704.0,101.025,-4414.299623972186,78.9,False,1
27,3.67,3205.0,1615.0,115.65,-4405.8043569052925,85.4,False,1
28,3.694,3206.9633087732136,1607.3203609090453,117.0,-4404.967892162212,86.0,False,1
29,4.014,3229.3344786338175,1517.6516902371945,133.0,-4393.14566993999,100.0,False,1
30,4.05,3232.0,1507.0,134.5,-4391.757479568017,100.0,False,1
31,4.254,3250.066514962875,1434.1229259854404,143.0,-4383.612336606656,100.0,False,1
32,4.27,3252.0,1426.0,143.8,-4382.941706413423,100.0,False,1
33,4.47,3280.0,1305.0,153.8,-4374.12847940418,100.0,False,1
34,4.654,3292.5541650142154,1247.8768425762546,163.0,-4365.501225495545,100.0,False,1
35,4.81,3301.0,1207.0,169.825,-4357.9076728480695,100.0,False,1
36,4.974,3316.749985177601,1131.8707607571657,177.0,-4349.767892162212,100.0,False,1
37,5.07,3328.0,1072.0,178.92,-4344.9881329643085,100.0,False,1
38,5.174,3341.176927631573,993.5560308024378,181.0,-4339.712336606656,100.0,False,1
39,5.35,3361.0,865.0,188.7,-4330.336000374007,100.0,False,1
40,5.494,3368.338528275044,813.2834442314138,195.0,-4322.379003273323,100.0,False,1
41,5.65,3373.0,768.0,202.8,-4313.584575191276,100.0,False,1
42,5.654,3373.1628538921977,766.3148202682997,203.0,-4313.3567810511,100.0,False,1
43,5.93,3387.0,609.0,208.9142857142857,-4297.338573933445,100.0,False,1
44,5.934,3387.1611108798884,606.7763456800263,209.0,-4297.101225495545,100.0,False,1
45,6.15,3393.0,478.0,217.1,-4284.046832983306,100.0,False,1
46,6.174,3393.391579400215,456.5662685678493,218.0,-4282.567892162212,100.0,False,1
47,6.35,3395.0,280.0,222.38902813191473,-4271.549554899551,100.0,False,1
48,6.575,3393.7005538996304,202.68128365012566,228.0,-4257.171225495545,100.0,False,1
49,6.631,3392.0,178.0,228.46666666666667,-4253.5737176342745,76.66666666666667,False,1
50,6.815,3381.3922490851337,29.257356056424374,230.0,-4241.837892162212,0.0,True,1
51,7.031,3367.0,-162.0,219.97142857142856,-4228.72052459866,0.0,True,1
52,7.095,3364.2148490145014,-194.50275032384693,217.0,-4224.960114384434,0.0,True,1
53,7.335,3356.6911014478014,-260.81412314499954,204.0,-4211.3601143844335,0.0,True,1
