,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,3178.005881182516,1719.9770638023404,0.0,-4427.789843265865,29.0,True,1
1,0.095,3178.0028939149897,1719.988711118669,0.0,-4427.804999999998,29.0,True,1
2,0.151,3178.0,1720.0,0.0,-4427.819416695174,29.0,True,1
3,0.311,3178.0,1720.0,0.0,-4427.865462703225,29.0,True,1
4,0.415,3178.043296836147,1719.831103246958,0.0,-4427.804999999998,29.0,False,1
5,0.655,3178.469710355817,1718.4539097071126,8.0,-4427.271666666664,28.0,False,1
6,0.751,3179.0,1717.0,11.0,-4426.888685162733,28.0,False,1
7,0.971,3181.0,1711.0,17.875008,-4425.696150151411,28.0,False,1
8,0.975,3181.041334003481,1710.8378665301543,18.0,-4425.671666666664,28.0,False,1
9,1.175,3183.4036112359704,1700.2402430496122,25.0,-4424.282777777776,29.0,False,1
10,1.211,3184.0,1698.0,26.20000853333333,-4423.97754633762,29.300002133333333,False,1
11,1.351,3187.0,1688.0,30.866666666666667,-4422.606670566546,30.466666666666665,False,1
12,1.535,3192.6798236358727,1666.8798341758536,37.0,-4420.582777777775,32.0,False,1
13,1.631,3196.0,1654.0,38.92,-4419.510956549837,35.36,False,1
14,1.735,3199.6540899185575,1639.658021246497,41.0,-4418.304999999998,39.0,False,1
15,1.975,3207.598393726388,1607.8040908597088,48.0,-4415.104999999998,39.0,False,1
16,2.031,3209.0,1602.0,50.80701709361129,-4414.203159260135,41.245613674889036,False,1
17,2.331,3216.0,1572.0,65.84462149860708,-4408.445094706608,53.27569719888566,False,1
18,2.374,3218.0112004519565,1563.6386133610806,68.0,-4407.568333333331,55.0,False,1
19,2.614,3233.116660290381,1501.6690239431575,76.0,-4402.501666666664,64.0,False,1
20,2.651,3235.0,1494.0,77.85000959999999,-4401.670102497799,64.2312512,False,1
21,2.774,3239.6920445911474,1475.0268552949635,84.0,-4398.768333333331,65.0,False,1
22,2.99,3247.0,1445.0,92.64,-4392.998436051595,65.0,False,1
23,3.174,3259.134514326293,1393.4872215286862,100.0,-4387.657222222219,65.0,False,1
24,3.23,3263.0,1377.0,102.52,-4385.995508863397,65.0,False,1
25,3.374,3272.4490873407876,1336.360276647122,109.0,-4381.601666666665,65.0,False,1
26,3.41,3275.0,1325.0,110.2375,-4380.459734761181,63.0875,False,1
27,3.67,3296.0,1227.0,119.175,-4371.760054349137,49.275,False,1
28,3.694,3297.820351907061,1218.4100301235549,120.0,-4370.934999999998,48.0,False,1
29,4.014,3318.766033776324,1118.2262340732336,127.0,-4359.646111111108,61.0,False,1
30,4.05,3321.0,1107.0,128.2,-4358.330909229234,59.5,False,1
31,4.254,3334.6408126761967,1033.1870050966604,135.0,-4350.646111111108,51.0,False,1
32,4.27,3336.0,1025.0,135.56,-4350.0212210631225,52.16,False,1
33,4.47,3355.0,903.0,142.56,-4341.919498039365,66.66,False,1
34,4.654,3362.928540303129,847.5086285733366,149.0,-4334.090555555553,80.0,False,1
35,4.81,3367.0,813.0,154.3625,-4327.230975232793,80.975,False,1
36,4.974,3374.146527958596,751.5114081444658,160.0,-4319.868333333331,82.0,False,1
37,5.07,3379.0,700.0,162.4,-4315.520656590801,86.32,False,1
38,5.174,3384.422798194098,629.2609215881638,165.0,-4310.701666666664,91.0,False,1
39,5.35,3392.0,510.0,171.6,-4302.093614991553,95.4,False,1
40,5.494,3393.99285924468,461.6483184291546,177.0,-4294.9683333333305,99.0,False,1
41,5.65,3394.0,419.0,177.0,-4287.307586469558,99.975,False,1
42,5.654,3394.003600544315,417.4175618250019,177.0,-4287.101666666665,100.0,False,1
43,5.93,3394.0,269.0,201.64285714285714,-4271.621431406876,100.0,False,1
44,5.934,3393.9767163505608,266.8603457396244,202.0,-4271.390555555553,100.0,False,1
45,6.15,3390.0,144.0,208.3,-4258.866459456888,100.0,False,1
46,6.174,3388.8909122383443,124.57660057506212,209.0,-4257.45722222222,100.0,False,1
47,6.35,3378.0,-44.0,211.63341687914883,-4246.980167292379,85.51620716468145,False,1
48,6.575,3369.5924142048284,-170.68618193497247,215.0,-4233.508611111109,67.0,True,1
49,6.631,3369.0,-139.0,213.6,-4230.203599315801,51.36666666666667,True,1
50,6.815,3371.636596119116,207.2595732379091,209.0,-4219.575277777775,0.0,True,1
51,7.031,3379.0,654.0,198.97142857142856,-4207.81537160562,0.0,True,1
52,7.095,3380.945465952596,691.241923542223,196.0,-4204.330833333331,0.0,True,1
53,7.335,3387.5614548824715,565.3257783127307,196.0,-4191.264166666664,0.0,True,1
54,7.351,3388.0,556.0,194.0,-4190.447582546856,0.0,True,1
55,7.495,3391.878438201209,485.0239086905046,176.0,-4183.441944444442,0.0,True,1
56,7.551,3393.0,455.0,173.48,-4180.79367080397,0.0,True,1
57,7.695,3394.335118068501,357.9051677868887,167.0,-4174.164166666665,0.0,True,1
58,7.831,3394.0,273.0,161.05,-4168.23783190372,0.0,True,1
59,8.015,3391.9639870578962,216.1218248425296,153.0,-4160.564166666664,0.0,True,1
60,8.111,3392.0,205.0,150.25714285714287,-4156.609912463021,0.0,True,1
61,8.295,3390.7257894741315,147.03895856053052,145.0,-4149.286388888886,0.0,True,1
62,8.311,3389.0,123.0,144.24444444444444,-4148.680696979163,0.0,True,1
