,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,3259.00585378626,1395.9613963858412,0.0,-4370.198722567479,23.0,True,1
1,0.095,3259.0028804197523,1395.9809996749625,0.0,-4370.211666666666,23.0,True,1
2,0.151,3259.0,1396.0,0.0,-4370.223978731497,23.0,True,1
3,0.311,3259.0,1396.0,0.0,-4370.263302683993,23.0,True,1
4,0.415,3259.0430949293536,1395.7157297422648,0.0,-4370.211666666666,23.0,True,1
5,0.655,3259.469001418101,1393.413436879493,7.0,-4369.745,22.0,False,1
6,0.751,3260.0,1391.0,10.0,-4369.392857458519,22.0,False,1
7,0.971,3262.0,1382.0,16.875008,-4368.257788321766,22.0,False,1
8,0.975,3262.041136624811,1381.801108805584,17.0,-4368.233888888888,22.0,False,1
9,1.175,3264.395386480901,1370.388343012889,24.0,-4366.900555555555,23.0,False,1
10,1.211,3265.0,1368.0,24.700004977777777,-4366.633543671566,24.20000853333333,False,1
11,1.351,3268.0,1357.0,27.42222222222222,-4365.518860375187,28.866666666666667,False,1
12,1.535,3273.0193241162397,1332.8167938555907,31.0,-4363.800555555555,35.0,False,1
13,1.631,3276.0,1318.0,35.8,-4362.763860144029,37.88,False,1
14,1.735,3279.4641885239366,1301.550551222775,41.0,-4361.522777777777,41.0,False,1
15,1.975,3287.530045545355,1265.397135611687,51.0,-4358.122777777778,42.0,False,1
16,2.031,3289.0,1259.0,53.245613674889036,-4357.202534114025,42.70175427340283,False,1
17,2.331,3296.0,1228.0,65.27569719888567,-4351.55638814525,46.46115537465177,False,1
18,2.374,3297.7638612835613,1219.471741669451,67.0,-4350.696944444444,47.0,False,1
19,2.614,3311.0547016112337,1153.603181261903,75.0,-4345.696944444444,53.0,False,1
20,2.651,3313.0,1144.0,76.85000959999999,-4344.874803522482,53.4625024,False,1
21,2.774,3318.8359746667766,1115.424794766701,83.0,-4342.008055555555,55.0,False,1
22,2.99,3328.0,1069.0,91.1,-4336.332708360814,65.26,False,1
23,3.174,3336.493037798324,1020.9172903716575,98.0,-4331.119166666666,74.0,False,1
24,3.23,3339.0,1006.0,100.24,-4329.506905157774,74.84,False,1
25,3.374,3345.2317200101,967.347827693107,106.0,-4325.230277777777,77.0,False,1
26,3.41,3347.0,956.0,107.6875,-4324.103180456798,79.5875,False,1
27,3.67,3362.0,855.0,119.875,-4315.32316005165,98.275,False,1
28,3.694,3363.157904008246,846.4847702825144,121.0,-4314.474722222221,100.0,False,1
29,4.014,3373.83975915518,753.0203202535523,134.0,-4302.563611111111,100.0,False,1
30,4.05,3375.0,742.0,136.4,-4301.126929539846,100.0,False,1
31,4.254,3382.3531873974916,664.1162238731192,150.0,-4292.563611111111,100.0,False,1
32,4.27,3383.0,655.0,150.72,-4291.860276854857,100.0,False,1
33,4.47,3391.0,516.0,159.72,-4282.676806730223,100.0,False,1
34,4.654,3393.591080503217,451.8310271954389,168.0,-4273.896944444444,100.0,False,1
35,4.81,3394.0,412.0,171.9,-4266.389886508495,100.0,False,1
36,4.974,3394.7001906676173,342.10918068572227,176.0,-4258.2525,100.0,False,1
37,5.07,3394.0,284.0,181.76,-4253.281259898711,100.0,False,1
38,5.174,3391.613049801276,204.5182594964077,188.0,-4247.808055555555,100.0,False,1
39,5.35,3386.0,71.0,190.2,-4238.554186251643,100.0,False,1
40,5.494,3383.0472274960775,17.3654096946332,192.0,-4230.741388888889,100.0,False,1
41,5.65,3379.0,-29.0,204.675,-4221.8608122084215,100.0,False,1
