,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,2990.0058782024703,2438.9947976682943,0.0,-4502.704803034411,28.0,False,1
1,0.095,2990.0028924470357,2438.9974467536545,0.0,-4502.7203262220955,28.0,False,1
2,0.151,2990.0,2439.0,0.0,-4502.735091302391,28.0,False,1
3,0.311,2990.0,2439.0,0.0,-4502.782250030369,28.0,False,1
4,0.415,2990.043274873589,2438.9618000220894,0.0,-4502.7203262220955,28.0,False,1
5,0.655,2990.4696332406033,2437.912813897251,8.0,-4502.186992888762,27.0,False,1
6,0.751,2991.0,2436.0,10.7,-4501.823626076602,27.0,False,1
7,0.971,2993.0,2428.0,16.887507199999998,-4500.699442015779,27.0,False,1
8,0.975,2993.041312533473,2427.8175428444433,17.0,-4500.675881777651,27.0,False,1
9,1.175,2995.4027165822768,2417.208838155782,24.0,-4499.342548444318,28.0,False,1
10,1.211,2996.0,2415.0,24.9000064,-4499.0622289904295,28.200001422222222,False,1
11,1.351,2999.0,2405.0,28.4,-4497.846139352562,28.977777777777778,False,1
12,1.535,3004.6187216996286,2383.9742225913838,33.0,-4496.042548444318,30.0,False,1
13,1.631,3008.0,2371.0,35.88,-4495.046629602778,31.92,False,1
14,1.735,3011.8550693457164,2356.3365895444977,39.0,-4493.875881777651,34.0,False,1
15,1.975,3020.5181071983525,2323.640182089425,49.0,-4490.609215110984,38.0,False,1
16,2.031,3022.0,2318.0,50.82456111084734,-4489.741415221156,39.68421025616678,False,1
17,2.331,3029.0,2291.0,60.5990039740946,-4484.5284077632095,48.70677289916424,False,1
18,2.374,3031.0716052763214,2283.0942870687672,62.0,-4483.737548444317,50.0,False,1
19,2.614,3046.951506963373,2222.7650519212525,69.0,-4479.137548444318,53.0,False,1
20,2.651,3049.0,2215.0,70.6187584,-4478.384024690934,52.7687488,False,1
21,2.774,3054.3149318865317,2194.8904783414123,76.0,-4475.75977066654,52.0,False,1
22,2.99,3062.0,2165.0,83.02,-4470.549137247323,59.02,False,1
