,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,2932.985746623528,2658.05007621925,0.0,-4528.531306084092,15.736842590465168,False,1
1,0.095,2932.9929788397244,2658.0246673580505,0.0,-4528.529169664118,16.0,False,1
2,0.151,2933.0,2658.0,0.0,-4528.527137074682,16.0,False,1
3,0.311,2933.0,2658.0,0.0,-4528.520645113219,16.0,False,1
4,0.415,2932.8949540580415,2658.369056645974,0.0,-4528.529169664118,16.0,False,1
5,0.655,2932.6311613437033,2659.295836420336,0.0,-4528.529169664118,23.0,False,1
6,0.751,2933.0,2658.0,2.6999999999999997,-4528.414731322552,23.3,False,1
7,0.971,2935.0,2651.0,8.8875072,-4527.748449128448,23.9875008,False,1
8,0.975,2935.0453992528087,2650.8424671598605,9.0,-4527.729169664118,24.0,False,1
9,1.175,2937.5462930234066,2641.8998363912256,23.0,-4526.45139188634,27.0,False,1
10,1.211,2938.0,2640.0,24.00000711111111,-4526.167900700166,27.300002133333333,False,1
11,1.351,2940.0,2631.0,27.88888888888889,-4524.923717274742,28.466666666666665,False,1
12,1.535,2945.5552172936377,2609.9670172810797,33.0,-4523.15139188634,30.0,False,1
13,1.631,2949.0,2597.0,34.44,-4522.24277091558,31.92,False,1
14,1.735,2952.679840311506,2582.689424164028,36.0,-4521.15139188634,34.0,False,1
15,1.975,2960.5209826799082,2551.4919086625387,51.0,-4517.751391886341,45.0,False,1
16,2.031,2962.0,2546.0,53.245613674889036,-4516.820671215833,45.84210512808339,False,1
17,2.331,2970.0,2518.0,65.27569719888567,-4511.176204236168,50.353386449582125,False,1
18,2.374,2972.141977475233,2509.6886987008324,67.0,-4510.325558553007,51.0,False,1
19,2.614,2987.942263769766,2446.2334847969173,74.0,-4505.3922252196735,62.0,False,1
20,2.651,2990.0,2438.0,76.0812608,-4504.573750537179,63.6187584,False,1
21,2.774,2995.4511972321234,2416.458547366107,83.0,-4501.703336330785,69.0,False,1
22,2.99,3004.0,2384.0,91.1,-4495.989079435016,69.0,False,1
23,3.174,3016.093963538777,2338.6571189818146,98.0,-4490.814447441896,69.0,False,1
24,3.23,3020.0,2324.0,99.4,-4489.243485281493,71.24,False,1
25,3.374,3030.05858440357,2286.128767066846,103.0,-4485.092225219673,77.0,False,1
26,3.41,3033.0,2275.0,105.025,-4483.984317688846,77.9,False,1
27,3.67,3059.0,2176.0,119.65,-4475.194750074258,84.4,False,1
28,3.694,3061.1554385095374,2167.7383223229713,121.0,-4474.336669664118,85.0,False,1
29,4.014,3084.2483409171946,2078.5576566660216,135.0,-4462.336669664118,89.0,False,1
30,4.05,3087.0,2068.0,136.35,-4460.936610648021,90.65,False,1
