,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,3237.9876785508613,1484.0740055422586,0.0,-4360.998111100398,22.0,True,1
1,0.095,3237.9939273559253,1484.0364642979653,0.0,-4360.993450807761,22.0,True,1
2,0.151,3238.0,1484.0,0.0,-4360.989019210478,21.825,True,1
3,0.311,3238.0,1484.0,0.0,-4360.974864970433,21.325,True,1
4,0.415,3237.9091451281515,1484.5455546344751,0.0,-4360.993450807761,21.0,True,1
5,0.655,3237.9986751611746,1484.962500566004,0.0,-4360.993450807761,22.0,False,1
6,0.751,3239.0,1481.0,4.5,-4360.743944126936,22.3,False,1
7,0.971,3245.0,1456.0,14.812512,-4359.681865827454,22.9875008,False,1
8,0.975,3245.2063695899737,1455.1294462298101,15.0,-4359.660117474428,23.0,False,1
9,1.175,3258.5296332193434,1398.477647623122,22.0,-4358.437895252206,24.0,False,1
10,1.211,3260.0,1392.0,23.20000853333333,-4358.166967749355,25.300009244444446,False,1
11,1.351,3262.0,1382.0,27.866666666666667,-4356.9398007952095,30.355555555555554,False,1
12,1.535,3266.8179517904878,1360.250974311378,34.0,-4355.037895252206,37.0,False,1
13,1.631,3270.0,1346.0,37.36,-4353.964807443337,37.96,False,1
14,1.735,3273.405570730402,1330.4208093307038,41.0,-4352.760117474428,39.0,False,1
15,1.975,3280.652784079316,1296.8761260612366,45.0,-4349.760117474428,41.0,False,1
16,2.031,3282.0,1291.0,47.66666623893073,-4348.915932374495,41.98245598276395,False,1
17,2.331,3289.0,1262.0,61.952390423676725,-4343.4890428955,47.245617524512475,False,1
18,2.374,3290.8322897207145,1253.6697480097498,64.0,-4342.6667841410945,48.0,False,1
19,2.614,3304.267160467139,1190.3143394797612,71.0,-4337.933450807761,54.0,False,1
20,2.651,3306.0,1182.0,72.85000959999999,-4337.153747462367,54.4625024,False,1
21,2.774,3310.541550437116,1159.916891738023,79.0,-4334.42233969665,56.0,False,1
22,2.99,3317.0,1127.0,87.64,-4328.943545388264,62.48,False,1
23,3.174,3325.298984643218,1083.560140788888,95.0,-4323.866784141094,68.0,False,1
24,3.23,3328.0,1069.0,97.52,-4322.292467924279,69.12,False,1
25,3.374,3335.0395111886073,1029.5743585948626,104.0,-4318.089006363317,72.0,False,1
26,3.41,3337.0,1018.0,105.9125,-4316.968522416583,73.2375,False,1
27,3.67,3353.0,917.0,119.725,-4308.172035853925,82.175,False,1
28,3.694,3354.266772398897,908.5918458261389,121.0,-4307.333450807761,83.0,False,1
29,4.014,3366.69898858488,817.696476211913,130.0,-4295.777895252206,90.0,False,1
30,4.05,3368.0,807.0,132.25,-4294.390050794092,91.35,False,1
31,4.254,3376.1938455195477,730.9612084925851,145.0,-4286.111228585539,99.0,False,1
32,4.27,3377.0,722.0,145.76,-4285.430939512204,99.0,False,1
33,4.47,3388.0,585.0,155.26,-4276.5440669378495,99.0,False,1
34,4.654,3391.933379744321,522.2216759950076,164.0,-4267.889006363317,99.0,False,1
35,4.81,3393.0,483.0,170.825,-4260.2796913616185,99.0,False,1
36,4.974,3394.818788955952,413.0874747732055,178.0,-4252.066784141095,99.0,False,1
37,5.07,3395.0,355.0,181.36,-4247.185240254687,99.0,False,1
38,5.174,3393.770059781828,275.7688675618801,185.0,-4241.789006363317,99.0,False,1
39,5.35,3390.0,143.0,191.6,-4232.284282855891,99.0,False,1
40,5.494,3387.6386476844077,89.99297664101249,197.0,-4224.277895252206,99.0,False,1
41,5.65,3384.0,44.0,203.825,-4215.442089100068,99.0,False,1
42,5.654,3383.863824374652,42.28104391325314,204.0,-4215.211228585539,99.0,False,1
43,5.93,3371.0,-118.0,212.87142857142857,-4198.880253541688,17.185714285714287,False,1
44,5.934,3370.8131209450094,-120.2395101069087,213.0,-4198.644561918873,16.0,True,1
45,6.15,3359.0,-245.0,208.5,-4186.13251288862,1.5999999999999996,True,1
46,6.174,3356.7992437812004,-264.64381689513897,208.0,-4184.777895252206,0.0,True,1
47,6.35,3338.0,-423.0,200.97755498893645,-4175.092218323855,0.0,True,1
48,6.575,3330.0969324944735,-488.40705092554884,192.0,-4163.3912285855395,0.0,True,1
49,6.631,3328.0,-507.0,187.8,-4160.607422804685,0.0,True,1
50,6.815,3315.6797345829586,-618.691416732686,174.0,-4151.791228585539,0.0,True,1
51,7.031,3300.0,-762.0,165.5142857142857,-4141.957495618546,0.0,True,1
52,7.095,3297.347376863926,-786.2698814544452,163.0,-4139.113450807761,0.0,True,1
53,7.335,3292.4043845626743,-835.4032227980352,156.0,-4128.713450807762,0.0,True,1
54,7.351,3292.0,-840.0,155.1,-4128.044354959857,0.0,True,1
55,7.495,3287.571358552426,-894.344583032372,147.0,-4122.180117474428,0.0,True,1
56,7.551,3286.0,-922.0,144.76,-4119.975793168283,0.0,True,1
57,7.695,3283.186366232821,-1010.1934242302128,139.0,-4114.457895252206,0.0,True,1
58,7.831,3282.0,-1083.0,136.025,-4109.340921490144,0.0,True,1
59,8.015,3282.4853321804094,-1120.1225360695069,132.0,-4102.7245619188725,0.0,True,1
60,8.111,3284.0,-1138.0,126.51428571428572,-4099.513453708501,0.0,True,1
61,8.295,3289.439865984085,-1196.8422403987688,116.0,-4093.70233969665,0.0,True,1
62,8.311,3290.0,-1202.0,115.64444444444445,-4093.207056649344,0.0,True,1
63,8.591,3305.0,-1285.0,109.42222222222222,-4084.7706882228367,0.0,True,1
64,8.655,3312.1873251063153,-1307.928957518581,108.0,-4082.9023396966504,0.0,True,1
65,8.815,3335.46937862614,-1370.4735191744853,103.0,-4078.3245619188724,0.0,True,1
66,8.871,3343.0,-1389.0,101.94339665171455,-4076.7497106964297,0.0,True,1
67,8.974,3355.156138742794,-1416.6967820205273,100.0,-4073.907895252206,0.0,True,1
68,9.214,3386.5139630244985,-1465.760460454742,94.0,-4067.641228585539,0.0,False,1
69,9.231,3390.0,-1470.0,93.83000064,-4067.203650956107,0.0,False,1
70,9.414,3438.1267976650774,-1522.780263225051,92.0,-4062.530117474428,0.0,False,1
71,9.491,3458.0,-1543.0,91.0374976,-4060.61429210607,3.1281328,False,1
72,9.734,3504.4688196041866,-1584.9747913108545,88.0,-4054.7078952522056,13.0,False,1
73,9.93,3542.0,-1612.0,88.0,-4049.9227023699214,22.8,False,1
74,10.014,3562.2107723409313,-1625.6679899393823,88.0,-4047.863450807761,27.0,False,1
75,10.174,3604.9842481982832,-1653.3732812292485,89.0,-4043.907895252206,32.0,False,1
76,10.23,3619.0,-1662.0,90.2,-4042.48666317844,35.6,False,1
77,10.454,3667.8104324891597,-1689.3556430616873,95.0,-4036.5190063633167,50.0,False,1
78,10.71,3722.0,-1719.0,103.0,-4029.0367928855776,50.8,False,1
79,10.774,3737.650642127045,-1728.4680353561807,105.0,-4027.1856730299833,51.0,True,1
80,11.09,3816.0,-1780.0,99.075,-4018.4928307765226,0.6374999999999971,True,1
81,11.094,3816.785142824439,-1780.561801086487,99.0,-4018.3856730299835,0.0,True,1
82,11.294,3847.4440633298505,-1804.4615352681446,95.0,-4013.1078952522057,0.0,True,1
83,11.454,3863.1975212050465,-1826.1296989793366,91.0,-4009.063450807761,0.0,True,1
84,11.55,3872.0,-1848.0,88.94285714285714,-4006.736953757275,0.0,True,1
85,11.734,3886.5150360946914,-1906.3101379519567,85.0,-4002.45233969665,0.0,False,1
86,11.77,3888.0,-1918.0,84.5,-4001.6307382555847,0.0,False,1
87,12.094,3878.4151571717466,-2007.974346863939,80.0,-3994.45233969665,0.0,False,1
88,12.17,3875.0,-2022.0,79.05,-3992.815671558258,2.533333333333333,False,1
89,12.334,3869.461139621372,-2041.17821400659,77.0,-3989.319006363317,8.0,False,1
90,12.45,3864.0,-2055.0,77.0,-3986.8445512389726,15.612499999999999,False,1
91,12.654,3846.808810516211,-2093.657207533361,77.0,-3982.4745619188725,29.0,False,1
92,12.77,3835.0,-2117.0,77.32222222222222,-3979.969480215348,19.655555555555555,False,1
93,12.99,3809.0,-2157.0,77.93333333333334,-3975.194802338187,1.933333333333334,False,1
94,13.014,3805.0990000752904,-2161.6760127936777,78.0,-3974.6745619188723,0.0,False,1
95,13.231,3761.0,-2205.0,77.32398760353647,-3969.9884642836237,0.6760123964635308,False,1
96,13.335,3738.625300280862,-2221.167479293993,77.0,-3967.808728585539,1.0,False,1
97,13.495,3712.6806762158376,-2235.0636652825197,73.0,-3964.5642841410945,9.0,False,1
98,13.571,3716.0,-2232.0,73.0,-3963.0318695163473,10.9000064,False,1
99,13.791,3759.0,-2204.0,73.0,-3958.5691515282556,16.4,False,1
100,13.815,3757.8970017405877,-2204.6559072623945,73.0,-3958.075395252206,17.0,False,1
101,13.951,3730.0,-2222.0,74.7,-3955.247119227992,17.85,False,1
102,13.975,3725.4354055649987,-2224.807452863435,75.0,-3954.7420619188724,18.0,False,1
103,14.191,3686.0,-2243.0,76.54285714285714,-3950.12445323488,7.2,False,1
104,14.255,3662.3583514760567,-2249.880917066276,77.0,-3948.7531730299834,4.0,False,1
105,14.351,3624.0,-2260.0,77.0,-3946.7038182308065,19.6,False,1
106,14.415,3605.767051640489,-2264.4514532320654,77.0,-3945.3309508077614,30.0,False,1
107,14.575,3586.179143823138,-2267.4869075201314,79.0,-3941.81983969665,39.0,False,1
108,14.751,3565.0,-2268.0,84.02857142857142,-3937.661324571915,36.48571428571429,False,1
109,14.855,3541.4809041568174,-2269.6846065008344,87.0,-3935.0531730299836,35.0,False,1
110,14.931,3522.0,-2271.0,89.07273425454545,-3933.079232203744,37.24546210909091,False,1
111,15.291,3428.0,-2273.0,98.89091607272728,-3923.0684939058356,47.88182574545455,False,1
112,15.295,3426.9182394723916,-2272.9781198054043,99.0,-3922.9531730299836,48.0,False,1
113,15.411,3395.0,-2272.0,101.90909674551037,-3919.5751073193965,49.818185465943984,False,1
114,15.614,3334.943177568628,-2269.6467897618127,107.0,-3913.4717841410948,53.0,False,1
115,15.711,3301.0,-2267.0,109.4249984,-3910.4457351258634,55.963886933333335,False,1
116,15.974,3188.6347495289497,-2252.788761931898,116.0,-3901.871784141095,64.0,False,1
117,16.091,3146.0,-2246.0,119.76072045714285,-3897.8773868027088,66.9250048,False,1
118,16.254,3104.909924323935,-2237.868990378324,125.0,-3892.149561918872,71.0,False,1
119,16.47,3055.0,-2225.0,131.3,-3884.266491242433,77.3,False,1
120,16.494,3047.287665034011,-2223.0296491831477,132.0,-3883.3495619188725,78.0,False,1
121,16.67,2982.0,-2206.0,141.68,-3876.368661075058,90.32000000000001,False,1
122,16.694,2973.200954754775,-2203.5329861582873,143.0,-3875.405117474428,92.0,False,1
123,16.854,2914.8962649308014,-2185.8843352548356,146.0,-3868.916228585539,96.0,False,1
124,16.91,2890.0,-2178.0,148.56666666666666,-3866.5414995711317,96.7,False,1
125,17.094,2787.872755368575,-2145.063929218823,157.0,-3858.4495619188724,99.0,False,1
126,17.17,2751.0,-2133.0,157.95,-3855.1198427242853,98.05,False,1
127,17.254,2719.817973838324,-2122.6525656466742,159.0,-3851.382895252206,97.0,False,1
128,17.45,2664.0,-2103.0,168.8,-3842.119708288695,98.63333333333334,False,1
129,17.494,2647.8541376595963,-2097.0611612800917,171.0,-3839.9828952522057,99.0,False,1
130,17.694,2556.6955631480578,-2062.504354732857,178.0,-3830.094006363317,98.0,False,1
131,17.79,2511.0,-2044.0,181.36,-3825.2002057111813,98.48,False,1
132,17.894,2462.738106377359,-2023.336908905921,185.0,-3819.816228585539,99.0,False,1
133,17.99,2418.0,-2003.0,187.4,-3814.8033881035617,99.0,False,1
134,18.03,2399.0,-1994.0,188.4,-3812.692188822181,99.0,False,1
135,18.054,2387.6317798368714,-1988.4927669422177,189.0,-3811.416228585539,99.0,False,1
136,18.25,2295.0,-1940.0,194.6,-3800.7486449629487,99.0,False,1
137,18.334,2253.7759092483766,-1916.4555041245928,197.0,-3796.094006363317,99.0,False,1
138,18.47,2191.0,-1879.0,200.4,-3788.4916490261267,99.0,False,1
139,18.534,2167.0126492238983,-1864.329563123579,202.0,-3784.871784141095,99.0,False,1
140,18.694,2116.5530445093486,-1832.1755542790995,207.0,-3775.6717841410946,99.0,False,1
141,18.75,2095.0,-1818.0,208.4,-3772.391914970325,99.0,False,1
142,18.97,1988.0,-1746.0,213.9,-3759.228421736035,99.0,False,1
143,19.014,1966.0698681170911,-1730.881500291712,215.0,-3756.5606730299837,99.0,False,1
144,19.09,1929.0,-1705.0,216.62857142857143,-3751.929715703938,99.0,False,1
145,19.294,1832.5828021241732,-1635.448409802399,221.0,-3739.371784141095,99.0,False,1
146,19.35,1801.0,-1612.0,221.23333333333332,-3735.899233507236,98.06666666666666,False,1
147,19.534,1677.647885272282,-1518.9224982956027,222.0,-3724.5717841410947,95.0,True,1
148,19.59,1645.0,-1494.0,218.17391152254868,-3721.234038301538,61.956508603829505,True,1
149,19.695,1597.6007594773846,-1457.40089011099,211.0,-3715.135395252206,0.0,True,1
150,19.991,1502.0,-1380.0,197.125,-3698.985750938211,0.0,True,1
151,20.015,1490.3415794040513,-1370.4958725001607,196.0,-3697.7131730299834,0.0,True,1
152,20.211,1378.0,-1279.0,189.46665813333334,-3687.448453566727,0.0,True,1
153,20.375,1293.2212998322273,-1210.223142203216,184.0,-3679.313173029984,0.0,True,1
154,21.451,972.0,-939.0,138.17035946666667,-3638.0556347863585,0.0,True,1
155,21.455,970.9719258376804,-937.9814133569427,138.0,-3637.9131730299837,0.0,True,1
156,21.631,926.0,-892.0,131.0857142857143,-3631.6359645930456,0.0,True,1
157,21.735,900.7678548616897,-864.5656642216577,127.0,-3628.035395252206,0.0,True,1
158,21.871,871.0,-830.0,122.325,-3623.541300219803,0.0,True,1
159,22.055,839.3910412408244,-788.3488544199248,116.0,-3617.724284141095,0.0,True,1
160,22.151,824.0,-766.0,114.0,-3614.737687981766,0.0,True,1
161,22.291,801.0,-730.0,111.083328,-3610.445660528952,0.0,True,1
162,22.295,800.3604637890691,-728.8918395838862,111.0,-3610.3242841410947,0.0,True,1
163,22.494,770.8586825021066,-668.4327752118435,108.0,-3604.3542841410945,0.0,False,1
164,22.591,760.0,-640.0,107.3937504,-3601.4616327492677,0.0,False,1
165,22.654,754.6026397189099,-622.9747888410187,107.0,-3599.598728585539,0.0,False,1
166,22.97,744.0,-545.0,103.4888888888889,-3590.53344552878,0.0,False,1
167,23.014,743.9131972078951,-532.7291661568987,103.0,-3589.2987285855393,0.0,False,1
168,23.13,745.0,-499.0,101.26,-3586.069931950657,6.38,False,1
169,23.214,746.8518660449585,-474.87403199268124,100.0,-3583.7431730299836,11.0,False,1
170,23.31,750.0,-446.0,100.0,-3581.0856722033077,15.114285714285714,False,1
171,23.494,758.8063814932797,-381.4131674839536,100.0,-3575.965395252206,23.0,False,1
172,23.61,764.0,-344.0,101.28888888888889,-3572.6864812047415,27.511111111111113,False,1
173,23.854,769.982098047438,-290.4322990983692,104.0,-3565.5653952522057,37.0,False,1
174,24.05,769.0,-234.0,108.41,-3559.482243157585,25.240000000000002,False,1
175,24.25,763.0,-148.0,112.91,-3553.135980261648,13.240000000000002,False,1
176,24.254,762.8813681557647,-146.6511370015694,113.0,-3553.00983969665,13.0,False,1
177,24.414,758.7004504993511,-111.60671551799548,113.0,-3547.9876174744277,22.0,False,1
178,24.51,755.0,-92.0,112.76,-3544.991853577594,19.12,False,1
179,24.77,738.0,-13.0,112.11,-3536.913813694173,11.32,False,1
180,24.814,735.0367646468609,-0.9507699457381521,112.0,-3535.5431730299833,10.0,False,1
181,25.09,703.0,78.0,112.76666666666667,-3526.9015823479726,20.733333333333334,False,1
182,25.174,678.4370634691328,119.425331510263,113.0,-3524.2431730299836,24.0,False,1
183,25.27,650.0,165.0,114.02857142857142,-3521.1844286048345,29.142857142857142,False,1
184,25.454,626.1543257633607,200.52848706925946,116.0,-3515.2209508077613,39.0,False,1
185,25.61,611.0,219.0,119.25,-3510.0010481639138,46.15,False,1
186,25.694,596.0271752897179,238.26375737517762,121.0,-3507.1542841410946,50.0,False,1
187,25.79,573.0,268.0,122.6,-3503.8852907077635,54.8,False,1
188,25.934,526.4571089736484,327.4443344795064,125.0,-3498.8209508077616,62.0,False,1
189,26.09,478.0,389.0,132.77839473079575,-3492.8763994878045,71.07479385259504,False,1
190,26.295,448.47863754819946,426.3045077500093,143.0,-3484.481228585539,83.0,False,1
191,26.491,408.0,476.0,150.12728203636362,-3476.0348970293217,90.12728203636364,False,1
192,26.735,292.9803234190086,616.5475111474094,159.0,-3465.0478952522058,99.0,False,1
193,26.751,286.0,625.0,159.7,-3464.3136646120197,99.0,False,1
194,26.895,233.67470865769056,687.6594837772218,166.0,-3457.670117474428,99.0,False,1
195,27.071,186.0,743.0,166.0,-3449.6386668642144,99.0,False,1
196,27.135,170.0668197855869,761.0662008629356,166.0,-3446.6034508077614,99.0,False,1
197,27.535,76.1441781725564,860.9077439416768,188.0,-3425.7145619188727,99.0,False,1
198,27.591,60.0,877.0,190.45,-3422.696944122441,99.0,False,1
199,27.695,27.13149576081501,909.2270524862861,195.0,-3417.047895252206,99.0,False,1
200,27.791,-18.0,950.0,197.4,-3411.7333086643403,99.0,False,1
201,27.991,-164.0,1072.0,202.4,-3400.3839293713863,99.0,False,1
202,28.015,-177.60909915377513,1083.2263618365796,203.0,-3399.0034508077615,99.0,False,1
203,28.335,-261.1826819541085,1150.006390288738,211.0,-3380.247895252206,99.0,False,1
204,28.371,-273.0,1159.0,212.125008,-3378.0999165770922,98.0999936,False,1
205,28.495,-326.9726393722655,1199.9521695573644,216.0,-3370.6478952522057,95.0,False,1
