TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0.0,3361.5421189625954,850.5932254010496,276.8607122285714,0.2181252278978881,100.0,False,1
0.013,3363.729922380444,835.3224474240546,277.0,1.2227777777777753,100.0,False,1
0.069,3372.0,776.0,277.46666666666664,5.555154641273421,100.0,False,1
0.253,3386.1949658094486,653.3556987606639,279.0,19.822777777777773,100.0,False,1
0.489,3390.0,552.0,279.0,38.10573885123399,100.0,False,1
0.573,3392.3517425345717,495.72128743665183,279.0,44.62277777777777,100.0,False,1
0.689,3395.0,405.0,279.58291438539436,53.63864317928582,100.0,False,1
0.772,3395.058703711478,335.3767073296418,280.0,60.10055555555555,100.0,False,1
0.869,3394.0,257.0,280.4041664,67.66345939595007,100.0,False,1
1.012,3392.08796594831,164.65699931173407,281.0,78.83388888888888,100.0,False,1
1.129,3386.0,62.0,281.3656248,87.99105666894961,100.0,False,1
1.31,3365.0,-187.0,281.9312496,102.17647040347426,100.0,False,1
1.332,3362.4191183240005,-214.83244782534263,282.0,103.90055555555554,100.0,False,1
1.492,3345.627338025837,-378.37132561574657,282.0,116.43388888888887,100.0,False,1
1.652,3332.0202686589228,-484.61806960118287,282.0,128.9672222222222,100.0,False,1
1.79,3322.0,-562.0,282.0,139.87619834618417,100.0,False,1
1.852,3317.990824950427,-593.3977594040587,282.0,144.6338888888889,100.0,False,1
2.132,3303.0266834629633,-718.5176386061519,257.0,164.62277777777777,0.0,True,1
2.23,3298.0,-770.0,253.94704387729223,171.55845784567015,0.0,True,1
2.45,3287.0,-903.0,247.09345995632847,186.463008962136,0.0,True,1
2.453,3286.872662435099,-904.7413964879385,247.0,186.64694444444442,0.0,True,1
2.65,3281.0,-1014.0,213.140636,197.51851814940792,0.0,True,1
2.773,3281.268021322349,-1088.3215297998531,192.0,203.7136111111111,0.0,True,1
2.83,3282.0,-1120.0,188.7937536,206.54596793538315,0.0,True,1
3.03,3290.0,-1215.0,177.5437536,216.24757563280212,0.0,True,1
3.093,3298.3010694912427,-1253.2073813224956,174.0,219.18027777777777,0.0,True,1
3.27,3330.0,-1365.0,166.03500288,227.0640629587916,0.0,True,1
3.493,3353.0936847309913,-1417.1130731905353,156.0,236.51361111111112,0.0,True,1
3.59,3367.0,-1437.0,152.3625024,240.5671266900145,0.0,True,1
3.653,3379.3698993557155,-1455.028622141334,150.0,243.1802777777778,0.0,True,1
3.79,3418.0,-1505.0,147.4312512,248.79137390424418,0.0,True,1
3.813,3426.620745867767,-1514.1757879598422,147.0,249.71361111111113,0.0,True,1
4.03,3521.0,-1599.0,140.972224,258.0717297817603,0.0,True,1
4.173,3557.1963543982833,-1627.6054528447723,137.0,263.41361111111115,0.0,True,1
4.39,3597.0,-1651.0,132.2531264,271.42589646250786,0.0,True,1
4.493,3630.174371355555,-1670.3536216193472,130.0,274.9691666666667,0.0,True,1
4.57,3656.0,-1685.0,124.9468792,277.45089035133947,0.0,True,1
4.81,3724.0,-1721.0,109.1968792,284.5699983715868,0.0,True,1
4.813,3724.8612674509322,-1721.488005175236,109.0,284.65805555555556,0.0,True,1
5.013,3785.274610288929,-1758.7926388276774,104.0,290.43583333333333,0.0,True,1
5.13,3814.0,-1779.0,98.63750293333334,293.5120034281053,0.0,True,1
5.253,3833.818657463482,-1795.6920988974196,93.0,296.6358333333333,0.0,True,1
5.37,3848.0,-1812.0,93.0,299.66993960153985,0.0,True,1
5.413,3853.282432874646,-1819.2101868641337,93.0,300.76916666666665,0.0,True,1
5.613,3876.5645669715277,-1859.826609675924,88.0,305.65805555555556,0.0,True,1
5.67,3881.0,-1872.0,86.9312512,306.9946573054525,0.0,True,1
5.85,3887.0,-1913.0,83.5562512,311.0815302267433,0.0,True,1
5.933,3886.291706286481,-1937.4854145207592,82.0,312.94694444444445,0.0,False,1
6.093,3880.1706384005615,-1991.612898658456,80.0,316.5025,0.0,False,1
6.17,3877.0,-2012.0,77.593752,318.12350854894726,3.3687472,False,1
6.253,3873.7613426740245,-2028.3339684216735,75.0,319.8358333333333,7.0,False,1
6.413,3867.745535785763,-2045.2224824905566,75.0,323.1691666666666,12.0,False,1
6.549,3860.0,-2063.0,75.75555555555556,326.0256654338429,19.177777777777777,False,1
6.729,3845.0,-2098.0,76.75555555555556,329.8911841311377,28.677777777777777,False,1
6.773,3840.8166762662768,-2106.5479936296156,77.0,330.8691666666666,31.0,False,1
6.849,3833.0,-2121.0,79.28,332.590319490389,34.04,False,1
6.973,3817.8468045498835,-2144.756942733211,83.0,335.48027777777776,39.0,False,1
7.069,3805.0,-2162.0,84.5307514852663,337.7812005603116,41.624145403313655,False,1
7.309,3770.0,-2198.0,88.35763019843205,343.7757182880055,48.18450891159779,False,1
7.412,3751.2445609334627,-2212.512058458341,90.0,346.4552777777778,51.0,False,1
7.489,3735.0,-2223.0,93.3687472,348.500472543728,53.8874976,False,1
7.572,3714.986340313249,-2233.7911989269696,97.0,350.7663888888889,57.0,False,1
7.689,3684.0,-2247.0,100.656248,354.1084996660464,59.1937488,False,1
7.892,3628.1733981479106,-2261.086045503978,107.0,360.27750000000003,63.0,False,1
7.91,3623.0,-2262.0,107.6749952,360.84360844859,63.1124992,False,1
8.09,3565.0,-2269.0,114.4249952,366.67673218670467,64.2374992,False,1
8.212,3508.2940164112474,-2271.551269847087,119.0,370.8552777777778,65.0,False,1
8.39,3422.0,-2273.0,130.56999168,377.34415044896383,74.78999296,False,1
8.412,3413.8094580079146,-2273.0895324913827,132.0,378.1886111111112,76.0,False,1
8.572,3371.342410145782,-2273.173412019724,143.0,384.5441666666667,100.0,False,1
8.75,3318.0,-2269.0,143.0,391.572198015496,100.0,False,1
8.773,3307.9087796686276,-2267.928940200709,143.0,392.52833333333336,100.0,False,1
8.973,3197.6090642209274,-2254.2992208670535,160.0,401.4172222222223,100.0,False,1
9.03,3169.0,-2250.0,161.66249813333334,404.0102821788902,100.0,False,1
9.213,3098.9321356294467,-2236.2534315162393,167.0,412.55055555555555,100.0,False,1
9.33,3057.0,-2226.0,177.2374944,418.40862123990036,100.0,False,1
9.373,3040.0842769722385,-2221.7300541305635,181.0,420.595,100.0,False,1
9.533,2964.2429230725943,-2201.2450942925575,184.0,428.77277777777783,100.0,False,1
9.59,2924.0,-2189.0,185.2214272,431.7211950012472,100.0,False,1
9.77,2766.0,-2138.0,189.07857005714285,441.2150500365744,100.0,False,1
9.813,2739.171520096875,-2129.2538066500647,190.0,443.55055555555566,100.0,False,1
10.11,2654.0,-2100.0,202.37499733333334,460.39217781592737,100.0,False,1
10.173,2624.3028901339835,-2088.9833531704517,205.0,464.0505555555556,100.0,False,1
10.31,2546.0,-2059.0,210.1374976,472.0689626903665,100.0,False,1
10.333,2533.4074423798165,-2053.917307911382,211.0,473.4283333333334,100.0,False,1
10.57,2410.0,-1999.0,216.1843736,487.6965297669059,100.0,False,1
10.653,2362.9332732431913,-1975.8594279967353,218.0,492.8061111111112,100.0,False,1
10.79,2285.0,-1935.0,222.79499776,501.3608431934215,100.0,False,1
10.853,2252.6833460631015,-1916.6509311596606,225.0,505.30611111111114,100.0,False,1
10.97,2194.0,-1881.0,225.0,512.6114251941881,100.0,False,1
11.093,2124.4453325047452,-1836.546811216534,225.0,520.3061111111111,100.0,False,1
11.15,2093.0,-1816.0,225.85499904,523.8934684577364,100.0,False,1
11.293,2021.0810467647575,-1767.9795505576894,228.0,532.9727777777778,100.0,False,1
11.33,2002.0,-1755.0,228.79285577142858,535.3479263652806,100.0,False,1
11.55,1880.0,-1670.0,233.5071414857143,549.6646238583861,100.0,False,1
11.573,1867.6945169522692,-1661.1535314261425,234.0,551.1727777777778,100.0,False,1
11.81,1748.0,-1572.0,236.9624992,566.7754576401974,100.0,False,1
11.813,1746.487093603109,-1570.8487528453372,237.0,566.9727777777779,100.0,False,1
12.773,1244.5226330270323,-1170.6555288269833,230.0,628.3061111111111,42.0,True,1
12.89,1188.0,-1125.0,218.3000064,635.2420360092127,17.43001344,True,1
12.973,1149.0093935586385,-1093.5416658026743,210.0,639.9727777777779,0.0,True,1
13.129,1080.0,-1037.0,199.16666666666666,648.2658855645996,0.0,True,1
13.329,1001.0,-967.0,185.27777777777777,658.2723189924676,0.0,True,1
13.333,999.331658926049,-965.4329412722592,185.0,658.4727777777779,0.0,True,1
13.549,906.0,-872.0,179.6,669.2576661131144,0.0,True,1
13.613,882.5393153293605,-845.5315367917511,178.0,672.3172222222223,0.0,True,1
13.813,826.2313330376943,-770.8392300743272,162.0,681.3172222222223,0.0,True,1
13.949,798.0,-727.0,157.45403980763635,687.096111049128,0.0,True,1
14.172,765.8459920081137,-667.2325188330835,150.0,696.2755555555557,0.0,False,1
14.332,751.5319911394706,-621.4735627659826,148.0,702.8533333333335,0.0,False,1
14.369,749.0,-609.0,146.6125024,704.3359336599528,2.0812464,False,1
