,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,3446.0,870.0,0.0,-4294.700189218421,0.0,True,1
1,0.095,3446.0000000000005,870.0000000000001,0.0,-4294.700189218421,0.0,True,1
2,0.151,3446.0,870.0,0.0,-4294.700189218421,0.0,True,1
3,0.311,3446.0,870.0,0.0,-4294.700189218421,0.0,True,1
4,0.415,3446.0,870.0,0.0,-4294.700189218421,0.0,True,1
5,0.655,3446.0,870.0000000000002,0.0,-4294.700189218421,0.0,True,1
6,0.751,3446.0,870.0,0.0,-4294.700189218421,0.0,True,1
7,0.971,3446.0,870.0,0.0,-4294.700189218421,0.0,True,1
8,0.975,3445.9999999999995,869.9999999999999,0.0,-4294.700189218421,0.0,True,1
9,1.175,3446.0,869.9999999999999,0.0,-4294.700189218421,0.0,True,1
10,1.211,3446.0,870.0,0.0,-4294.700189218421,0.0,True,1
11,1.351,3446.0,870.0,0.0,-4294.700189218421,0.0,True,1
12,1.535,3445.999999999999,869.9999999999999,0.0,-4294.700189218421,0.0,True,1
13,1.631,3446.0,870.0,0.0,-4294.700189218421,0.0,True,1
14,1.735,3445.9999999999995,869.9999999999999,0.0,-4294.700189218421,0.0,True,1
15,1.975,3445.9999999999995,870.0,0.0,-4294.700189218421,0.0,True,1
16,2.031,3446.0,870.0,0.0,-4294.700189218421,0.0,True,1
17,2.331,3446.0,870.0,0.0,-4294.700189218421,0.0,True,1
18,2.374,3446.0,870.0000000000001,0.0,-4294.700189218421,0.0,True,1
19,2.614,3445.9999999999995,870.0000000000001,0.0,-4294.700189218421,0.0,True,1
20,2.651,3446.0,870.0,0.0,-4294.700189218421,0.0,True,1
21,2.774,3446.0,870.0000000000001,0.0,-4294.700189218421,0.0,True,1
22,2.99,3446.0,870.0,0.0,-4294.700189218421,0.0,True,1
23,3.174,3446.0,870.0000000000001,0.0,-4294.700189218421,0.0,True,1
24,3.23,3446.0,870.0,0.0,-4294.700189218421,0.0,True,1
25,3.374,3445.9999999999995,869.9999999999999,0.0,-4294.700189218421,0.0,True,1
26,3.41,3446.0,870.0,0.0,-4294.700189218421,0.0,True,1
27,3.67,3446.0,870.0,0.0,-4294.700189218421,0.0,True,1
28,3.694,3445.9999999999995,870.0,0.0,-4294.700189218421,0.0,True,1
29,4.014,3445.9999999999995,870.0,0.0,-4294.700189218421,25.0,True,1
30,4.05,3446.0,870.0,0.0,-4294.700189218421,25.3,True,1
31,4.254,3446.0000000000005,870.0000000000001,0.0,-4294.700189218421,27.0,True,1
32,4.27,3446.0,870.0,0.0,-4294.700189218421,26.96,True,1
33,4.47,3446.0,870.0,0.0,-4294.700189218421,26.46,True,1
34,4.654,3445.9999999999995,869.9999999999998,0.0,-4294.700189218421,26.0,True,1
35,4.81,3446.0,870.0,0.0,-4294.700189218421,26.4875,True,1
36,4.974,3445.9999999999995,869.9999999999999,0.0,-4294.700189218421,27.0,True,1
37,5.07,3446.0,870.0,0.0,-4294.700189218421,27.0,True,1
38,5.174,3446.0,870.0,0.0,-4294.700189218421,27.0,True,1
39,5.35,3446.0,870.0,0.0,-4294.700189218421,27.0,True,1
40,5.494,3446.0000000000005,870.0000000000001,0.0,-4294.700189218421,27.0,True,1
41,5.65,3446.0,870.0,0.0,-4294.700189218421,27.0,True,1
42,5.654,3446.0,869.9999999999999,0.0,-4294.700189218421,27.0,True,1
43,5.93,3446.0,870.0,0.0,-4294.700189218421,27.0,True,1
44,5.934,3446.0,869.9999999999999,0.0,-4294.700189218421,27.0,True,1
45,6.15,3446.0,870.0,0.0,-4294.700189218421,27.0,True,1
46,6.174,3446.000000000001,870.0000000000002,0.0,-4294.700189218421,27.0,True,1
47,6.35,3446.0,870.0,0.0,-4294.700189218421,26.561097186808528,True,1
48,6.575,3446.0000000000005,870.0,0.0,-4294.700189218421,26.0,True,1
49,6.631,3446.0,870.0,0.0,-4294.700189218421,26.0,True,1
