,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,3213.0063299958,1582.9883312231557,0.0,-4411.368853268666,19.0,False,1
1,0.095,3213.003114997761,1582.9942614063818,0.0,-4411.3690580666425,19.0,False,1
2,0.151,3213.0,1583.0,0.0,-4411.3692537696825,19.0,False,1
3,0.311,3213.0,1583.0,0.0,-4411.369878832752,19.0,False,1
4,0.415,3213.046604529891,1582.914142969463,0.0,-4411.3690580666425,19.0,False,1
5,0.655,3213.481324372439,1581.7454798439217,2.0,-4411.235724733309,19.0,False,1
6,0.751,3214.0,1580.0,6.2,-4410.948076490191,19.0,False,1
7,0.971,3216.0,1573.0,15.825011199999999,-4409.836188570285,19.0,False,1
8,0.975,3216.0445675162423,1572.844999262229,16.0,-4409.813502511087,19.0,False,1
9,1.175,3218.5383514817513,1563.925198331181,22.0,-4408.591280288865,19.0,False,1
10,1.211,3219.0,1562.0,22.500003555555555,-4408.354016449973,19.0,False,1
11,1.351,3221.0,1553.0,24.444444444444443,-4407.382434840987,19.0,False,1
12,1.535,3225.9874224685263,1533.775395367991,27.0,-4405.891280288864,19.0,False,1
13,1.631,3229.0,1522.0,31.32,-4404.980398633163,19.48,False,1
14,1.735,3232.184650948353,1508.8296422170195,36.0,-4403.891280288864,20.0,False,1
15,1.975,3238.8061184143976,1479.9101103693897,44.0,-4400.957946955531,20.0,False,1
16,2.031,3240.0,1475.0,45.68421025616678,-4400.177682639516,20.421052564041695,False,1
17,2.331,3246.0,1452.0,54.70677289916424,-4395.463736689257,22.676693224791062,False,1
18,2.374,3247.607104979438,1445.1875308281867,56.0,-4394.751280288865,23.0,False,1
19,2.614,3259.4842284471106,1392.8143835367043,62.0,-4390.617946955532,31.0,False,1
20,2.651,3261.0,1386.0,63.6187584,-4389.937925852461,31.2312512,False,1
21,2.774,3264.9116780265454,1368.1364429840744,69.0,-4387.551280288865,32.0,False,1
22,2.99,3271.0,1341.0,77.64,-4382.67692232382,41.72,False,1
23,3.174,3280.1506131060464,1302.7528692917158,85.0,-4378.10683584442,50.0,False,1
24,3.23,3283.0,1290.0,87.24,-4376.68465136396,50.28,False,1
25,3.374,3289.9638353048326,1255.9650309597712,93.0,-4372.940169177754,51.0,False,1
26,3.41,3292.0,1246.0,94.0125,-4371.976737580696,53.3625,False,1
27,3.67,3310.0,1160.0,101.325,-4364.605982488683,70.425,False,1
28,3.694,3311.3754425427146,1153.2025670144787,102.0,-4363.873502511087,72.0,False,1
29,4.014,3324.282624246759,1084.7192009699793,119.0,-4353.295724733309,85.0,False,1
30,4.05,3326.0,1076.0,120.5,-4352.045214667582,87.25,False,1
31,4.254,3338.6979648636498,1009.8642570668745,129.0,-4344.695724733309,100.0,False,1
32,4.27,3340.0,1002.0,129.8,-4344.088857505438,100.0,False,1
33,4.47,3358.0,882.0,139.8,-4336.089566595767,100.0,False,1
34,4.654,3365.737012493352,826.1546554013707,149.0,-4328.140169177754,100.0,False,1
35,4.81,3370.0,790.0,158.2625,-4321.009068567517,100.0,False,1
36,4.974,3377.3507338914083,725.5762701562747,168.0,-4313.20683584442,100.0,False,1
37,5.07,3382.0,672.0,172.32,-4308.535241243329,100.0,False,1
38,5.174,3386.747179524368,598.8635136896539,177.0,-4303.373502511087,100.0,False,1
39,5.35,3393.0,476.0,181.4,-4294.365880157908,100.0,False,1
40,5.494,3394.9596005229414,426.2626079677212,185.0,-4286.929058066643,100.0,False,1
41,5.65,3395.0,383.0,185.0,-4278.915158899228,100.0,False,1
42,5.654,3394.989985485706,381.4029632535563,185.0,-4278.70683584442,100.0,False,1
43,5.93,3393.0,233.0,194.85714285714286,-4263.766509725001,99.01428571428572,False,1
44,5.934,3392.9531881903995,230.901050725796,195.0,-4263.540169177753,99.0,False,1
45,6.15,3388.0,109.0,209.4,-4250.911376364534,99.9,False,1
46,6.174,3386.732913614749,88.65952482166975,211.0,-4249.473502511087,100.0,False,1
47,6.35,3375.0,-79.0,215.82793094510617,-4238.764063908609,100.0,False,1
48,6.575,3368.668010479946,-152.36102147898362,222.0,-4224.745169177753,100.0,False,1
49,6.631,3366.0,-176.0,222.7,-4221.219137852691,99.76666666666667,False,1
50,6.815,3349.864878174202,-318.85629049837826,225.0,-4209.745169177753,99.0,False,1
51,7.031,3329.0,-502.0,211.1142857142857,-4197.2360313341405,22.628571428571423,False,1
52,7.095,3325.4010044631063,-532.711405606836,207.0,-4193.645169177754,0.0,True,1
53,7.335,3317.7215253853615,-594.9285300475225,197.0,-4180.511835844421,0.0,True,1
54,7.351,3317.0,-601.0,195.8,-4179.66710063044,0.0,True,1
55,7.495,3308.6690034958474,-673.2094350813401,185.0,-4172.289613622198,0.0,True,1
56,7.551,3305.0,-708.0,181.08,-4169.553938214273,0.0,True,1
57,7.695,3295.1922622433553,-811.8129198136447,171.0,-4162.789613622198,0.0,True,1
58,7.831,3288.0,-895.0,166.75,-4156.556474793662,0.0,True,1
59,8.015,3284.933480939295,-939.0013658097596,161.0,-4148.478502511087,0.0,True,1
60,8.111,3284.0,-963.0,155.17142857142858,-4144.507243665922,0.0,True,1
61,8.295,3281.1491984937607,-1043.0882949411105,144.0,-4137.278502511087,0.0,True,1
62,8.311,3281.0,-1050.0,143.51111111111112,-4136.665670133648,0.0,True,1
63,8.591,3285.0,-1158.0,134.95555555555555,-4126.291580068191,0.0,True,1
64,8.655,3288.9883483046865,-1188.1975864944918,133.0,-4123.978502511087,0.0,True,1
65,8.815,3302.8677369474094,-1269.9708156626166,128.0,-4118.289613622198,0.0,True,1
66,8.871,3307.0,-1292.0,125.88679330342912,-4116.363362428174,0.0,True,1
67,8.974,3312.890653860395,-1320.4945284066034,122.0,-4112.901280288865,0.0,True,1
68,9.214,3328.740374219409,-1359.5269110983352,117.0,-4105.1012802888645,0.0,True,1
69,9.231,3331.0,-1364.0,116.49000192,-4104.565769431588,0.0,True,1
70,9.414,3365.255146329632,-1428.4834644983941,111.0,-4098.934613622198,0.0,True,1
71,9.491,3381.0,-1455.0,109.796872,-4096.6162674278585,0.0,True,1
72,9.734,3426.0173722141435,-1513.319677039346,106.0,-4089.512391399976,0.0,True,1
73,9.93,3467.0,-1551.0,101.1,-4084.0833644783406,0.0,True,1
74,10.014,3488.085756641676,-1568.8567421441446,99.0,-4081.812391399976,0.0,False,1
75,10.174,3531.3422056307727,-1603.5526726792875,96.0,-4077.5457247333093,0.0,False,1
76,10.23,3545.0,-1614.0,95.6,-4076.063777678129,0.0,False,1
77,10.454,3589.484298976653,-1645.068611612328,94.0,-4070.234613622198,0.0,False,1
78,10.71,3636.0,-1672.0,89.2,-4063.9430669068215,0.0,False,1
79,10.774,3649.829432343483,-1679.6373244903791,88.0,-4062.412391399976,0.0,False,1
80,11.09,3721.0,-1718.0,84.05,-4055.0370410518963,4.9375,False,1
81,11.094,3721.7371414472877,-1718.4015918787347,84.0,-4054.9457247333094,5.0,False,1
82,11.294,3751.5796501933337,-1734.9638716669756,81.0,-4050.4457247333094,0.0,True,1
83,11.454,3772.0990351304895,-1747.9662191229759,79.0,-4046.934613622198,0.0,False,1
84,11.55,3789.0,-1760.0,77.97142857142858,-4044.861805453452,0.0,False,1
85,11.734,3829.0019244399323,-1791.322878608055,76.0,-4041.023502511087,0.0,True,1
86,11.77,3836.0,-1798.0,75.2,-4040.3083056631494,0.0,True,1
87,12.094,3873.7616476085077,-1857.651452629325,68.0,-4034.223502511087,0.0,True,1
88,12.17,3878.0,-1868.0,68.0,-4032.7858660962665,0.0,True,1
89,12.334,3882.619373651884,-1883.3344999851895,68.0,-4029.690169177754,0.0,False,1
90,12.45,3884.0,-1896.0,66.55,-4027.582815167167,0.0,False,1
91,12.654,3885.4168009728837,-1932.9355623492036,64.0,-4024.001280288865,0.0,False,1
92,12.77,3885.0,-1955.0,63.355555555555554,-4021.9920200830556,0.32222222222222224,False,1
93,12.99,3880.0,-1993.0,62.13333333333333,-4018.213483755887,0.9333333333333333,False,1
