,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,-8325.0,-7058.0,0.0,-5082.789884610397,26.0,False,1
1,0.219,-8325.000000000002,-7058.000000000001,0.0,-5082.78417789217,26.0,False,1
2,0.448,-8325.0,-7058.0,0.0,-5082.76169873233,26.0,False,1
3,0.539,-8325.000000000002,-7058.000000000001,0.0,-5082.78417789217,26.0,False,1
4,0.628,-8325.0,-7058.0,0.0,-5082.833515803838,28.2250048,False,1
5,0.699,-8325.0,-7058.0,0.0,-5082.78417789217,30.0,False,1
6,1.049,-8325.0,-7058.0,16.985300329411764,-5080.237244444278,27.426469647058823,False,1
7,1.379,-8325.0,-7058.0,33.0,-5076.550844558837,25.0,False,1
8,1.389,-8325.0,-7058.0,33.0,-5076.451521741439,25.0,False,1
9,1.569,-8325.0,-7058.0,33.0,-5074.780599910135,25.0,False,1
10,1.66,-8325.0,-7058.0,33.0,-5073.975011225503,25.0,False,1
11,1.729,-8325.0,-7058.0,33.0,-5073.369537092846,33.624992,False,1
12,1.82,-8325.0,-7058.0,33.0,-5072.508344558837,45.0,False,1
13,2.109,-8325.0,-7058.0,44.4395808,-5068.653264715951,48.010416,False,1
14,2.3,-8325.0,-7058.0,52.0,-5065.575011225504,50.0,False,1
15,2.369,-8325.0,-7058.0,55.10499712,-5064.418089253532,51.7249984,False,1
16,2.5,-8325.000000000002,-7058.000000000001,61.0,-5062.186122336615,55.0,False,1
17,2.569,-8325.0,-7058.0,61.0,-5061.015944377528,55.0,False,1
18,2.66,-8325.000000000002,-7058.000000000001,61.0,-5059.475011225503,55.0,False,1
19,2.809,-8325.0,-7058.0,61.0,-5056.943340331637,57.483332266666665,False,1
20,2.9,-8325.000000000002,-7058.000000000002,61.0,-5055.408344558837,59.0,False,1
21,3.029,-8325.0,-7058.0,61.0,-5053.261999004527,59.0,False,1
22,3.26,-8324.999999999996,-7057.999999999995,61.0,-5049.308344558837,59.0,True,1
23,3.309,-8325.0,-7058.0,63.18384232673461,-5048.4039390749285,61.72980290841827,True,1
24,3.549,-8325.0,-7058.0,73.88022687744724,-5043.441777566489,75.10028359680905,True,1
25,3.619,-8324.999999999938,-7057.9999999999445,77.0,-5041.629733447726,79.0,False,1
26,3.859,-8324.999999999753,-7057.999999999777,115.0,-5033.963066781059,76.0,False,1
27,3.929,-8325.0,-7058.0,122.5833472,-5031.355187488619,76.0,False,1
28,4.099,-8325.000000001339,-7058.000000001202,141.0,-5024.563066781059,76.0,False,1
29,4.379,-8325.00000000087,-7058.000000000779,147.0,-5013.129733447726,76.0,False,1
30,4.409,-8325.0,-7058.0,147.0,-5011.904357072257,80.5000192,False,1
31,4.539,-8324.999999994283,-7057.999999994861,147.0,-5006.596400114392,100.0,False,1
32,4.669,-8325.0,-7058.0,147.0,-5001.2651203104615,100.0,False,1
33,4.859,-8325.000000054755,-7058.000000049209,147.0,-4993.529733447725,100.0,False,1
34,5.029,-8325.0,-7058.0,147.0,-4986.804033278494,100.0,False,1
35,5.179,-8324.999999763782,-7057.999999787713,147.0,-4980.463066781059,100.0,False,1
36,5.368,-8325.0,-7058.0,168.26252159999999,-4971.365960418927,100.0,False,1
37,5.419,-8325.000000347316,-7058.0000003121295,174.0,-4968.863066781059,100.0,False,1
38,5.568,-8325.0,-7058.0,176.98000384,-4961.586886287265,100.0,False,1
39,5.619,-8324.99999818857,-7057.999998372084,178.0,-4958.97417789217,100.0,False,1
40,5.728,-8325.0,-7058.0,186.1750144,-4953.048866477321,69.72216888888889,False,1
41,5.888,-8325.0,-7058.0,198.1750144,-4943.713843925913,25.27772444444445,False,1
42,5.979,-8324.999869311143,-7057.999882550963,205.0,-4938.47417789217,0.0,True,1
43,6.139,-8324.999543453083,-7057.9995897049175,203.0,-4929.451955669948,52.0,False,1
44,6.248,-8325.0,-7058.0,204.3625024,-4923.250183933247,52.0,False,1
45,6.299,-8325.000457985765,-7058.000411588164,205.0,-4920.340844558837,52.0,False,1
46,6.428,-8325.0,-7058.0,205.0,-4912.993629530809,52.0,False,1
47,6.499,-8324.996359325458,-7057.996728154757,205.0,-4908.951955669948,52.0,False,1
48,6.648,-8325.0,-7058.0,205.0,-4900.467397094794,52.0,False,1
49,6.699,-8325.014363357255,-7058.012908234889,205.0,-4897.563066781059,52.0,False,1
50,6.928,-8325.0,-7058.0,205.0,-4884.522650880354,52.0,False,1
51,7.019,-8324.81334698268,-7057.832256418355,205.0,-4879.340844558837,52.0,False,1
52,7.168,-8325.0,-7058.0,205.0,-4870.856411952581,84.28337493333333,False,1
53,7.259,-8326.065023829831,-7058.957128442508,205.0,-4865.6741778921705,104.0,True,1
54,7.469,-8325.0,-7058.0,205.0,-4853.712644800915,104.0,True,1
55,7.809,-8325.0,-7058.0,205.0,-4834.347735898709,104.0,True,1
56,7.939,-8336.642185536666,-7068.462739516209,205.0,-4826.951955669948,104.0,True,1
57,7.949,-8325.0,-7058.0,205.0,-4826.3832645240955,104.0,True,1
58,8.14,-7613.867830283476,-6418.911176865648,205.0,-4815.506122336615,104.0,True,1
59,8.54,-3966.098961165478,-3120.6031306767295,208.0,-4792.395011225503,100.0,True,1
60,8.7,-3195.8108667901565,-2377.1416026791953,208.0,-4783.150566781059,100.0,True,1
61,8.769,-3073.0,-2235.0,208.0,-4779.172264433772,100.0,True,1
62,8.9,-3162.617997507999,-2240.0182917753114,208.0,-4771.595011225503,100.0,True,1
63,8.949,-3229.0,-2269.0,208.8166656,-4768.732885178689,100.0,True,1
64,9.26,-3514.8492175524157,-2333.8305912488527,214.0,-4750.195011225504,100.0,False,1
65,9.329,-3552.0,-2339.0,216.06999808,-4745.9947926246,100.0,False,1
66,9.46,-3609.1668624484005,-2351.243321038658,220.0,-4737.972789003281,100.0,False,1
67,9.489,-3630.0,-2356.0,220.0,-4736.199016627869,100.0,False,1
68,9.62,-3783.194453713631,-2389.9768235811525,220.0,-4728.195011225504,100.0,False,1
69,9.689,-3884.0,-2412.0,220.0,-4723.978831531884,100.0,False,1
70,9.82,-4089.8337472770963,-2456.554106894943,220.0,-4715.972789003281,100.0,False,1
71,9.849,-4138.0,-2467.0,220.0,-4714.200515958307,100.0,False,1
72,10.02,-4419.290925464518,-2528.4254319289143,220.0,-4703.750566781059,100.0,False,1
73,10.029,-4431.0,-2531.0,220.0,-4703.200575199011,100.09022496572229,False,1
74,10.419,-4614.365686061157,-2567.5033707349767,220.0,-4679.367233447726,104.0,True,1
75,10.469,-4637.0,-2569.0,220.0,-4676.311668252594,104.0,True,1
76,10.579,-4704.917536905123,-2572.7075165975875,220.0,-4669.589455669948,104.0,True,1
77,10.649,-4757.0,-2572.0,220.0,-4665.311670762104,104.0,True,1
78,10.899,-4967.650037605378,-2539.242811591092,220.0,-4650.033900114393,104.0,True,1
79,10.969,-5013.0,-2529.0,220.0,-4645.756114469853,104.0,True,1
80,11.059,-5055.2454375087655,-2517.770425743999,220.0,-4640.256122336615,104.0,True,1
81,11.219,-5109.752925155362,-2493.7928351731493,220.0,-4630.478344558837,104.0,True,1
82,11.249,-5124.0,-2486.0,220.0,-4628.645003402162,104.0,True,1
83,11.379,-5203.8270540182675,-2438.8709488644145,220.0,-4620.700566781059,104.0,True,1
84,11.549,-5311.0,-2370.0,220.0,-4610.311670071267,104.0,True,1
85,11.619,-5339.005041633858,-2349.7170114571463,220.0,-4606.033900114393,104.0,True,1
86,11.779,-5373.1942573629,-2317.698534538459,220.0,-4596.256122336615,104.0,True,1
87,11.869,-5393.0,-2297.0,220.0,-4590.756114536867,104.0,True,1
88,11.979,-5423.373987249981,-2265.658742353778,220.0,-4584.033900114393,104.0,True,1
89,12.168,-5486.0,-2193.0,220.0,-4572.48388801011,104.0,True,1
90,12.299,-5530.753177961781,-2126.155607984377,220.0,-4564.478344558837,104.0,True,1
91,12.348,-5546.0,-2101.0,220.0,-4561.483888790746,104.0,True,1
92,12.608,-5607.0,-1975.0,220.0,-4545.595002269207,104.0,True,1
93,12.699,-5623.220166727716,-1924.5831265925683,220.0,-4540.033900114393,104.0,True,1
94,12.859,-5645.964995895025,-1832.604982105792,220.0,-4530.256122336615,104.0,True,1
95,12.928,-5653.0,-1802.0,220.0,-4526.039464497962,104.0,True,1
96,13.099,-5662.975187310198,-1754.959401889459,220.0,-4515.589455669948,104.0,True,1
97,13.259,-5664.511370551492,-1722.266284288326,220.0,-4505.81167789217,104.0,True,1
98,13.348,-5664.0,-1682.0,220.0,-4500.373780825359,104.0,True,1
99,13.419,-5662.94606006947,-1637.7930642685374,220.0,-4496.033900114392,104.0,True,1
100,13.508,-5661.0,-1582.0,220.0,-4490.588969124854,104.0,True,1
101,13.748,-5651.0,-1503.0,220.0,-4475.918696356605,104.0,True,1
102,13.779,-5648.321143236328,-1491.3141540240442,220.0,-4474.033900114392,104.0,True,1
103,14.089,-5609.0,-1349.0,220.0,-4455.108360200706,104.0,True,1
104,14.099,-5607.878765778165,-1345.7277356218601,220.0,-4454.478344558836,104.0,True,1
105,14.299,-5590.546312333128,-1304.2593543723463,220.0,-4442.256122336615,100.0,False,1
106,14.309,-5590.0,-1303.0,217.2812152,-4441.745807562559,100.0,False,1
107,14.549,-5577.0,-1276.0,152.0312152,-4432.805255610634,100.0,False,1
108,14.619,-5564.803224364204,-1256.4546578183952,133.0,-4430.433900114393,100.0,False,1
109,14.809,-5522.0,-1192.0,133.0,-4423.411615552527,49.964413291219394,False,1
110,14.9,-5510.70446729766,-1177.58078415178,133.0,-4420.052511225504,26.0,False,1
111,14.969,-5503.0,-1169.0,131.0593768,-4417.59182092383,20.3937552,False,1
112,15.149,-5476.0,-1140.0,125.9968768,-4411.4493203473085,5.768755199999999,False,1
113,15.22,-5465.238440113246,-1129.655900919516,124.0,-4409.030289003282,0.0,True,1
114,15.349,-5446.0,-1113.0,124.0,-4404.594940244203,0.0,True,1
115,15.38,-5441.269374930422,-1109.1370166082088,124.0,-4403.519177892171,0.0,True,1
116,15.66,-5397.391753067854,-1076.880612216077,124.0,-4393.874733447726,5.0,True,1
117,15.709,-5390.0,-1072.0,120.3250048,-4392.323160501839,5.0,True,1
118,15.86,-5368.697155438091,-1058.8875964109982,109.0,-4387.81917789217,5.0,True,1
119,15.949,-5364.0,-1056.0,106.7750016,-4385.2779988345865,5.0,True,1
120,15.989,-5364.0,-1056.0,105.7750016,-4384.160907599542,5.0,True,1
121,16.22,-5283.742331340167,-1020.2697567340285,100.0,-4377.81917789217,5.0,True,1
122,16.249,-5273.0,-1016.0,100.0,-4377.016394532175,5.0,True,1
123,16.38,-5235.382730445492,-1003.7616209644859,100.0,-4373.374733447726,5.0,True,1
124,16.449,-5216.0,-999.0,100.0,-4371.457586861689,47.6937104,True,1
125,16.54,-5186.143370117684,-992.417841751608,100.0,-4368.930289003281,104.0,True,1
126,16.629,-5157.0,-987.0,100.0,-4366.45719816844,79.45682903540717,True,1
127,16.869,-5097.0,-982.0,100.0,-4359.789609346551,13.272949627872782,True,1
128,16.899,-5089.816166411444,-981.7121191188929,100.0,-4358.958066781059,5.0,False,1
129,17.069,-5047.0,-981.0,100.0,-4354.2498854885,13.5000064,False,1
130,17.139,-5027.401057109824,-981.6731372200353,100.0,-4352.291400114393,17.0,False,1
131,17.269,-4987.0,-986.0,100.0,-4348.602790652477,17.0,False,1
132,17.409,-4939.0,-997.0,100.0,-4344.702688238162,17.0,False,1
133,17.459,-4924.4417849875945,-1000.8333493548821,100.0,-4343.402511225504,17.0,True,1
134,17.739,-4868.553150492187,-1020.3139904784293,84.0,-4336.86917789217,0.0,True,1
135,17.769,-4863.0,-1023.0,84.0,-4336.193206128875,0.0,True,1
136,17.939,-4830.269582162501,-1041.4587511758264,84.0,-4332.202511225503,0.0,False,1
137,17.989,-4820.0,-1048.0,89.0000128,-4330.867650352807,0.0,False,1
138,18.099,-4796.165600004032,-1064.228755336807,100.0,-4327.758066781059,0.0,False,1
139,18.229,-4772.0,-1083.0,100.0,-4324.140177304781,0.0,False,1
140,18.299,-4764.007859215758,-1091.0186029712731,100.0,-4322.202511225503,0.0,False,1
141,18.369,-4758.0,-1098.0,100.0,-4320.260891206762,0.0,False,1
142,18.539,-4745.079647533618,-1112.6815773691976,100.0,-4315.535844558837,0.0,False,1
143,18.628,-4738.0,-1121.0,100.0,-4313.063023186929,0.0,False,1
144,18.939,-4707.436499109069,-1166.6811246103887,100.0,-4304.424733447726,0.0,False,1
145,18.988,-4702.0,-1180.0,100.0,-4303.06273024859,14.155611022222223,False,1
146,19.228,-4677.0,-1266.0,100.0,-4296.392114247226,83.48894435555556,False,1
147,19.299,-4673.488722829553,-1288.136730558746,100.0,-4294.424733447726,104.0,True,1
148,19.459,-4673.864592399194,-1327.1756681579673,100.0,-4289.9802890032815,104.0,True,1
149,19.659,-4680.688248315936,-1364.4642191010798,100.0,-4284.424733447726,104.0,True,1
150,19.668,-4681.0,-1366.0,99.0437296,-4284.1996945674255,104.0,True,1
151,19.819,-4686.303463047671,-1389.9786309149572,83.0,-4280.735844558837,104.0,True,1
152,19.948,-4693.0,-1414.0,83.0,-4277.77126850375,104.0,True,1
153,20.019,-4698.242369591513,-1430.740597991416,83.0,-4276.124733447726,104.0,True,1
154,20.128,-4709.0,-1461.0,83.0,-4273.5975674159,104.0,True,1
155,20.379,-4743.5518365832895,-1537.976998923297,83.0,-4267.8247334477255,104.0,True,1
156,20.408,-4746.0,-1543.0,83.0,-4267.168175626916,104.0,True,1
157,20.579,-4754.094090291971,-1558.2009620034787,83.0,-4263.213622336614,104.0,True,1
158,20.589,-4755.0,-1560.0,83.4318237090909,-4262.965101916671,101.63633338181818,True,1
159,20.809,-4789.0,-1633.0,92.9318237090909,-4256.909239661794,49.63633338181818,True,1
160,21.019,-4807.109627491627,-1693.4067406682252,102.0,-4250.746955669948,0.0,True,1
161,21.129,-4811.0,-1720.0,102.0,-4247.598876895018,0.0,True,1
162,21.219,-4812.353927711688,-1740.5054027376764,102.0,-4245.080289003281,0.0,True,1
163,21.469,-4807.0,-1799.0,97.46485226020037,-4238.41667314924,0.0,True,1
164,21.629,-4795.0,-1847.0,94.56235919280508,-4234.342829620355,0.0,True,1
165,21.66,-4791.323538410387,-1856.8827168994696,94.0,-4233.565289003282,0.0,True,1
166,21.86,-4759.4308920035655,-1919.6650834918846,89.0,-4228.620844558837,0.0,True,1
167,21.889,-4755.0,-1927.0,88.85500032,-4227.906777197738,0.0,True,1
168,22.06,-4732.537812474557,-1957.9688468324377,88.0,-4223.731955669948,0.0,False,1
169,22.3,-4709.71650235493,-1979.2876003466079,84.0,-4218.131955669948,3.0,False,1
170,22.309,-4709.0,-1980.0,84.03749973333333,-4217.921939658419,3.8249941333333335,False,1
171,22.54,-4688.226142375116,-1999.2581768205769,85.0,-4212.465289003281,25.0,False,1
172,22.589,-4678.0,-2006.0,85.34999954285715,-4211.290021590049,25.0,False,1
173,22.709,-4644.0,-2026.0,86.2071424,-4208.386297180974,25.0,False,1
