,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,-8325.0,-7058.0,0.0,-5158.703298416588,30.0,False,1
1,0.219,-8325.000000000004,-7058.000000000002,0.0,-5158.698888888894,30.0,False,1
2,0.448,-8325.0,-7058.0,0.0,-5158.681519180279,29.2843744,False,1
3,0.539,-8325.000000000002,-7058.000000000001,0.0,-5158.698888888894,29.0,False,1
4,0.628,-8325.0,-7058.0,0.0,-5158.737012428893,29.5562512,False,1
5,0.699,-8325.0,-7058.000000000001,0.0,-5158.698888888894,30.0,False,1
6,1.049,-8325.0,-7058.0,14.411769976470588,-5156.730457771571,34.11764856470588,False,1
7,1.379,-8324.999999999996,-7057.999999999994,28.0,-5153.410000000004,38.0,False,1
8,1.389,-8325.0,-7058.0,28.427051437744215,-5153.3050572211805,37.92882476037597,False,1
9,1.569,-8325.0,-7058.0,36.11387892574821,-5151.363137460549,36.647686845708634,False,1
10,1.66,-8324.999999999609,-7057.999999999646,40.0,-5150.287777777782,36.0,False,1
11,1.729,-8325.0,-7058.0,43.0187472,-5149.415538239099,36.0,False,1
12,1.82,-8325.00000000237,-7058.00000000214,47.0,-5148.198888888894,36.0,False,1
13,2.109,-8325.0,-7058.0,52.4187488,-5143.917570693778,36.6020832,False,1
14,2.3,-8324.999999969745,-7057.999999972664,56.0,-5140.732222222227,37.0,False,1
15,2.369,-8325.0,-7058.0,59.4499968,-5139.510747842757,37.34499968,False,1
16,2.5,-8325.00000012799,-7058.000000115639,66.0,-5137.06555555556,38.0,False,1
17,2.569,-8325.0,-7058.0,69.01874719999999,-5135.692852561193,38.4312496,False,1
18,2.66,-8324.999999464026,-7057.999999515746,73.0,-5133.821111111116,39.0,False,1
19,2.809,-8325.0,-7058.0,74.8624992,-5130.6966770977715,43.966664533333336,False,1
20,2.9,-8325.000003205632,-7058.000002896298,76.0,-5128.754444444449,47.0,False,1
21,3.029,-8325.0,-7058.0,78.50833208888889,-5125.958698469719,50.58333155555555,False,1
22,3.26,-8324.999968885419,-7057.999971887892,83.0,-5120.454444444449,57.0,False,1
23,3.309,-8325.0,-7058.0,86.41225363552283,-5119.114561337312,57.81894087252548,False,1
24,3.549,-8325.0,-7058.0,103.12535449601133,-5111.833175162409,61.83008507904272,False,1
25,3.619,-8324.999545536431,-7057.999589390935,108.0,-5109.68444444445,63.0,False,1
26,3.859,-8324.998231339614,-7057.998402010548,108.0,-5102.484444444449,75.0,False,1
27,3.929,-8325.0,-7058.0,108.0,-5100.424506718081,75.0,False,1
28,4.099,-8325.009576854047,-7058.008652713592,108.0,-5095.284444444449,75.0,False,1
29,4.379,-8325.006210725807,-7058.0056114076015,126.0,-5085.484444444449,80.0,False,1
30,4.409,-8325.0,-7058.0,126.937504,-5084.392062671916,80.0,False,1
31,4.539,-8324.959059151493,-7057.963009832398,131.0,-5079.662222222227,80.0,False,1
32,4.669,-8325.0,-7058.0,131.0,-5075.099218270469,88.125008,False,1
33,4.859,-8325.392065857372,-7058.354232564896,131.0,-5068.017777777783,100.0,False,1
34,5.029,-8325.0,-7058.0,151.1875152,-5060.258832509669,100.0,False,1
35,5.179,-8323.308609293737,-7056.471823912092,169.0,-5052.995555555561,100.0,False,1
36,5.368,-8325.0,-7058.0,169.0,-5044.114518385882,100.0,False,1
37,5.419,-8327.486885696202,-7060.246907967642,169.0,-5041.728888888893,100.0,False,1
38,5.568,-8325.0,-7058.0,169.0,-5034.735803852462,100.0,False,1
39,5.619,-8312.0296040097,-7046.281212064313,169.0,-5032.340000000005,100.0,False,1
40,5.728,-8325.0,-7058.0,169.0,-5027.221405580043,100.0,False,1
41,5.888,-8325.0,-7058.0,169.0,-5019.711465865052,100.0,False,1
42,5.979,-7389.227262628099,-6212.526795214353,169.0,-5015.440000000005,100.0,False,1
43,6.139,-4229.667506384521,-3352.0219823747293,169.0,-5007.928888888893,104.0,True,1
44,6.248,-3014.0,-2222.0,169.0,-5002.811931188621,104.0,True,1
45,6.299,-2857.4126945650814,-2056.264504861158,169.0,-5000.417777777782,104.0,True,1
46,6.428,-3171.0,-2256.0,169.0,-4994.3619187141985,104.0,True,1
47,6.499,-3296.5702869509546,-2314.668715917707,169.0,-4991.028888888894,104.0,True,1
48,6.648,-3415.0,-2309.0,169.0,-4984.034257494033,104.0,True,1
49,6.699,-3446.557580903955,-2310.1495492291515,169.0,-4981.640000000005,104.0,True,1
50,6.928,-3571.0,-2344.0,169.0,-4970.888468370767,104.0,True,1
51,7.019,-3629.3092792138327,-2357.7462291524566,169.0,-4966.617777777782,104.0,True,1
52,7.168,-3747.0,-2382.0,169.0,-4959.628113080986,104.0,True,1
53,7.259,-3839.0240603853736,-2401.5929341451438,169.0,-4955.351111111116,104.0,True,1
54,7.469,-4070.0,-2452.0,169.0,-4945.437127866321,104.0,True,1
55,7.809,-4304.0,-2504.0,169.0,-4929.409413704835,104.0,True,1
56,7.939,-4359.017829602565,-2515.189544094346,169.0,-4923.428888888893,104.0,True,1
