,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,-8325.0,-7058.0,0.0,-5396.938731750309,22.3156256,False,1
1,0.219,-8325.000000000002,-7058.000000000001,0.0,-5396.950825362982,23.0,False,1
2,0.448,-8325.0,-7058.0,0.0,-5396.998396202627,23.7156256,False,1
3,0.539,-8325.000000000002,-7058.000000000001,0.0,-5396.950825362982,24.0,False,1
4,0.628,-8325.0,-7058.0,3.3375071999999997,-5396.843040361091,24.0,False,1
5,0.699,-8325.0,-7058.0,6.0,-5396.6841586963155,24.0,False,1
6,1.049,-8325.0,-7058.0,16.80882748235294,-5394.641290309576,26.573530352941177,False,1
7,1.379,-8325.0,-7057.999999999999,27.0,-5391.584158696315,29.0,False,1
8,1.389,-8325.0,-7058.0,27.35587619812018,-5391.485661929508,29.071175239624036,False,1
9,1.569,-8325.0,-7058.0,33.76156577145684,-5389.655188887074,30.35231315429137,False,1
10,1.66,-8325.0,-7058.0,37.0,-5388.69610314076,31.0,False,1
11,1.729,-8325.0,-7058.0,38.2937488,-5387.955918804256,35.312496,False,1
12,1.82,-8325.0,-7058.0,40.0,-5386.918325362982,41.0,False,1
13,2.109,-8325.0,-7058.0,49.6333312,-5382.745752485915,50.031248,False,1
14,2.3,-8325.000000000002,-7058.0,56.0,-5379.4516586963155,56.0,False,1
15,2.369,-8325.0,-7058.0,60.13999616,-5378.18528780513,56.34499968,False,1
16,2.5,-8325.000000000002,-7058.000000000001,68.0,-5375.673880918537,57.0,False,1
17,2.569,-8325.0,-7058.0,69.7249984,-5374.298169593119,57.0,False,1
18,2.66,-8325.000000000002,-7058.000000000001,72.0,-5372.473880918537,57.0,False,1
19,2.809,-8325.0,-7058.0,72.0,-5369.589395320357,57.0,False,1
20,2.9,-8325.000000000002,-7058.0,72.0,-5367.673880918537,57.0,False,1
21,3.029,-8325.0,-7058.0,79.88332942222222,-5364.560376309186,62.01666417777778,False,1
22,3.26,-8325.000000000004,-7058.000000000004,94.0,-5358.2738809185375,71.0,False,1
23,3.309,-8325.0,-7058.0,94.54596058168366,-5356.933012327519,71.13649014542091,False,1
24,3.549,-8325.0,-7058.0,97.2200567193618,-5350.385297416546,71.80501417984046,False,1
25,3.619,-8325.00000000007,-7058.000000000062,98.0,-5348.501103140759,72.0,False,1
26,3.859,-8325.000000000264,-7058.00000000024,98.0,-5341.9677698074265,74.0,False,1
27,3.929,-8325.0,-7058.0,103.833344,-5339.868853083856,74.8750016,False,1
28,4.099,-8324.99999999857,-7057.999999998692,118.0,-5334.10110314076,77.0,False,1
29,4.379,-8324.999999999072,-7057.999999999151,156.0,-5321.9677698074265,84.0,False,1
30,4.409,-8325.0,-7058.0,156.937504,-5320.62680938914,84.0,False,1
31,4.539,-8325.000000006115,-7058.0000000055925,161.0,-5314.8122142518705,84.0,False,1
32,4.669,-8325.0,-7058.0,164.6562536,-5308.857628957214,90.5000064,False,1
33,4.859,-8324.999999941445,-7057.999999946444,170.0,-5299.70110314076,100.0,False,1
34,5.029,-8325.0,-7058.0,181.6875088,-5290.818395725093,100.0,False,1
35,5.179,-8325.000000252618,-7058.000000231043,192.0,-5282.6344364740935,100.0,False,1
36,5.368,-8325.0,-7058.0,198.3000064,-5272.127192895396,100.0,False,1
37,5.419,-8324.999999628571,-7057.999999660294,200.0,-5269.30110314076,100.0,False,1
38,5.568,-8325.0,-7058.0,200.0,-5261.086157865452,100.0,False,1
39,5.619,-8325.000001937187,-7058.000001771745,200.0,-5258.189992029648,100.0,False,1
