,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,-8325.0,-7058.0,0.0,-5206.446372788568,20.0,True,1
1,0.219,-8325.000000000002,-7058.000000000001,0.0,-5206.444986136248,20.0,True,1
2,0.448,-8325.0,-7058.0,0.0,-5206.439524018389,20.7156256,True,1
3,0.539,-8325.000000000002,-7058.000000000001,0.0,-5206.444986136248,21.0,True,1
4,0.628,-8325.0,-7058.0,0.0,-5206.456974550867,20.4437488,True,1
5,0.699,-8325.0,-7058.0,0.0,-5206.444986136248,20.0,True,1
6,1.049,-8325.0,-7058.0,4.117648564705882,-5205.826120364803,20.0,True,1
7,1.379,-8325.0,-7057.999999999999,8.0,-5204.933875025137,20.0,False,1
8,1.389,-8325.0,-7058.0,8.0,-5204.909949940883,20.0,False,1
9,1.569,-8325.0,-7058.0,8.0,-5204.5079009100955,20.0,False,1
10,1.66,-8325.0,-7057.999999999999,8.0,-5204.309430580693,20.0,False,1
11,1.729,-8325.0,-7058.0,8.0,-5204.156813646251,20.0,False,1
12,1.82,-8325.000000000004,-7058.000000000003,8.0,-5203.953875025137,20.0,False,1
13,2.109,-8325.0,-7058.0,8.0,-5203.308126329811,20.0,False,1
14,2.3,-8324.999999999958,-7057.999999999963,8.0,-5202.88720835847,20.0,False,1
15,2.369,-8325.0,-7058.0,8.0,-5202.737283364791,48.97997312,False,1
16,2.5,-8325.000000000178,-7058.00000000016,8.0,-5202.442763914026,104.0,True,1
17,2.569,-8325.0,-7058.0,8.0,-5202.272001062376,67.7750336,True,1
18,2.66,-8324.999999999256,-7057.999999999334,8.0,-5202.08720835847,20.0,False,1
19,2.809,-8325.0,-7058.0,8.0,-5202.023709610457,20.0,False,1
20,2.9,-8325.000000004455,-7058.000000003989,8.0,-5201.553875025137,20.0,False,1
21,3.029,-8325.0,-7058.0,28.783323022222223,-5199.80047336871,29.674995199999998,False,1
22,3.26,-8324.999999956766,-7057.999999961286,66.0,-5194.953875025137,47.0,False,1
23,3.309,-8325.0,-7058.0,66.0,-5194.001431656221,43.45125621905625,False,1
24,3.549,-8325.0,-7058.0,66.0,-5189.689269030924,26.06963132414823,False,1
25,3.619,-8324.999999368523,-7057.999999434557,66.0,-5188.372208358471,21.0,True,1
26,3.859,-8324.999997542436,-7057.999997799432,66.0,-5183.97220835847,21.0,True,1
27,3.929,-8325.0,-7058.0,54.6249792,-5183.22303133354,21.0,True,1
28,4.099,-8325.00001330709,-7058.000011915521,27.0,-5182.17220835847,21.0,True,1
29,4.379,-8325.000008629837,-7058.000007727384,27.0,-5180.072208358471,21.0,True,1
30,4.409,-8325.0,-7058.0,27.0,-5179.844394635018,21.0,True,1
31,4.539,-8324.99994311248,-7057.999949061403,27.0,-5178.872208358471,21.0,False,1
32,4.669,-8325.0,-7058.0,27.0,-5177.898794369426,21.0,False,1
33,4.859,-8325.000544777542,-7058.000487808279,27.0,-5176.47220835847,21.0,False,1
34,5.029,-8325.0,-7058.0,27.0,-5175.197002831592,21.0,False,1
35,5.179,-8324.997649803843,-7057.997895571949,27.0,-5174.072208358471,21.0,False,1
36,5.368,-8325.0,-7058.0,27.0,-5172.654714796401,86.3625664,False,1
37,5.419,-8325.00345554057,-7058.0030941827945,27.0,-5172.27220835847,104.0,True,1
38,5.568,-8325.0,-7058.0,27.0,-5171.15470537003,104.0,True,1
39,5.619,-8324.981977567519,-7057.98386223534,27.0,-5170.77220835847,104.0,True,1
40,5.728,-8325.0,-7058.0,27.0,-5169.954708603285,104.0,True,1
41,5.888,-8325.0,-7058.0,27.0,-5168.754707764505,104.0,True,1
42,5.979,-8323.699738929432,-7056.8357117066835,27.0,-5168.072208358471,104.0,True,1
