,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,-8325.0,-7058.0,0.0,-4512.755985708894,34.684374399999996,True,1
1,0.219,-8325.000000000002,-7058.000000000001,0.0,-4512.7549456897905,34.0,True,1
2,0.448,-8325.0,-7058.0,0.0,-4512.750848983782,34.0,True,1
3,0.539,-8325.000000000002,-7058.000000000001,0.0,-4512.7549456897905,34.0,True,1
4,0.628,-8325.0,-7058.0,0.0,-4512.763937258898,44.5687728,True,1
5,0.699,-8325.0,-7058.0,0.0,-4512.7549456897905,53.0,True,1
6,1.049,-8325.0,-7058.0,3.0882364235294117,-4512.29078306344,54.544118211764705,True,1
7,1.379,-8325.0,-7057.999999999999,6.0,-4511.621612356457,56.0,False,1
8,1.389,-8325.0,-7058.0,6.0,-4511.603669970292,56.0,False,1
9,1.569,-8325.0,-7058.0,6.0,-4511.302161359822,56.0,False,1
10,1.66,-8325.0,-7058.0,6.0,-4511.153279023124,56.0,False,1
11,1.729,-8325.0,-7058.0,6.0,-4511.038761958421,56.0,False,1
12,1.82,-8325.0,-7058.0,6.0,-4510.886612356458,56.0,False,1
13,2.109,-8325.0,-7058.0,6.0,-4510.4047530468215,45.1625024,False,1
14,2.3,-8325.000000000002,-7058.0,6.0,-4510.086612356457,38.0,False,1
15,2.369,-8325.0,-7058.0,6.0,-4509.97162196629,38.0,False,1
16,2.5,-8325.000000000002,-7058.000000000001,6.0,-4509.7532790231235,38.0,False,1
17,2.569,-8325.0,-7058.0,6.0,-4509.6383079908255,38.0,False,1
18,2.66,-8325.0,-7058.000000000001,6.0,-4509.486612356457,38.0,False,1
19,2.809,-8325.0,-7058.0,6.0,-4509.237807717743,38.0,False,1
20,2.9,-8325.000000000002,-7058.000000000002,6.0,-4509.086612356457,38.0,False,1
21,3.029,-8325.0,-7058.0,6.0,-4508.8741979447495,61.64998826666667,False,1
22,3.26,-8324.999999999995,-7057.999999999995,6.0,-4508.486612356457,104.0,True,1
23,3.309,-8325.0,-7058.0,6.0,-4508.4001084530855,104.0,True,1
24,3.549,-8325.0,-7058.0,6.0,-4507.980423173777,104.0,True,1
25,3.619,-8324.999999999938,-7057.999999999944,6.0,-4507.888279023124,104.0,True,1
26,3.859,-8324.999999999756,-7057.999999999778,6.0,-4507.488279023124,104.0,True,1
27,3.929,-8325.0,-7058.0,10.958342400000001,-4507.1384491670005,104.0,True,1
28,4.099,-8325.000000001311,-7058.000000001197,23.0,-4505.95494568979,104.0,True,1
29,4.379,-8325.000000000851,-7058.000000000776,23.0,-4504.166056800902,38.0,False,1
30,4.409,-8325.0,-7058.0,23.0,-4503.980504597901,38.0,False,1
31,4.539,-8324.999999994396,-7057.999999994887,23.0,-4503.143834578679,38.0,False,1
32,4.669,-8325.0,-7058.0,25.8437528,-4502.131101826386,42.8750048,False,1
33,4.859,-8325.000000053682,-7058.000000048967,30.0,-4500.477167912013,50.0,False,1
34,5.029,-8325.0,-7058.0,30.0,-4499.051399416585,50.0,False,1
35,5.179,-8324.999999768415,-7057.999999788756,30.0,-4497.810501245346,50.0,False,1
36,5.368,-8325.0,-7058.0,30.0,-4496.235849857617,50.0,False,1
37,5.419,-8325.000000340504,-7058.000000310596,30.0,-4495.810501245346,50.0,False,1
38,5.568,-8325.0,-7058.0,30.0,-4494.56876537631,50.0,False,1
39,5.619,-8324.999998224097,-7057.999998380081,30.0,-4494.143834578679,50.0,True,1
40,5.728,-8325.0,-7058.0,30.0,-4493.23556703531,66.3500288,True,1
41,5.888,-8325.0,-7058.0,30.0,-4491.902185602678,90.3500288,True,1
42,5.979,-8324.999871874226,-7057.999883128016,30.0,-4491.143834578679,104.0,True,1
43,6.139,-8324.999552406927,-7057.9995917207825,30.0,-4489.810501245346,104.0,True,1
44,6.248,-8325.0,-7058.0,30.0,-4488.902166578697,104.0,True,1
45,6.299,-8325.000449003703,-7058.000409565945,30.0,-4488.477167912013,104.0,True,1
46,6.428,-8325.0,-7058.0,30.0,-4487.402166241451,69.16994816,True,1
47,6.499,-8324.996430726735,-7057.996744230014,30.0,-4486.810501245346,50.0,False,1
48,6.648,-8325.0,-7058.0,30.0,-4485.5688329878885,50.0,False,1
49,6.699,-8325.014081661648,-7058.012844814042,30.0,-4485.143834578679,50.0,False,1
50,6.928,-8325.0,-7058.0,30.0,-4483.235499635968,50.0,False,1
51,7.019,-8324.817007640453,-7057.833080577521,30.0,-4482.477167912013,50.0,False,1
52,7.168,-8325.0,-7058.0,30.0,-4481.235499672344,50.0,False,1
53,7.259,-8326.044136475244,-7058.952425871049,30.0,-4480.477167912013,50.0,False,1
54,7.469,-8325.0,-7058.0,30.0,-4478.7271665544085,66.67648075294117,False,1
55,7.809,-8325.0,-7058.0,30.0,-4475.893832874044,93.67648075294117,False,1
56,7.939,-8336.41385782166,-7068.411333897018,30.0,-4474.810501245346,104.0,True,1
57,7.949,-8325.0,-7058.0,30.0,-4474.727166914767,104.0,True,1
58,8.14,-7627.814626000288,-6422.051153410025,30.0,-4473.135501245346,104.0,True,1
59,8.54,-4056.262989069028,-3140.7871094120183,30.0,-4469.802167912013,104.0,True,1
60,8.7,-3313.0048299036275,-2403.116592926416,30.0,-4468.468834578679,104.0,True,1
61,8.769,-3200.0,-2263.0,30.0,-4467.893835075107,104.0,True,1
62,8.9,-3305.097903044411,-2271.0915230098944,30.0,-4466.802167912013,104.0,True,1
63,8.949,-3376.0,-2301.0,30.0,-4466.393835268902,104.0,True,1
64,9.26,-3676.7806372888326,-2369.779106358432,30.0,-4463.802167912013,104.0,True,1
65,9.329,-3718.0,-2376.0,30.0,-4463.227166738251,104.0,True,1
66,9.46,-3780.3126759213123,-2389.471216390189,30.0,-4462.135501245346,104.0,True,1
67,9.489,-3796.0,-2393.0,30.0,-4461.893838220029,104.0,True,1
68,9.62,-3885.0202640275725,-2411.801459886497,30.0,-4460.802167912013,104.0,True,1
69,9.689,-3933.0,-2422.0,30.0,-4460.227116810748,104.0,True,1
70,9.82,-4021.384811899578,-2441.6923996000146,30.0,-4459.135501245346,104.0,True,1
71,9.849,-4050.0,-2448.0,30.0,-4458.8939412721575,104.0,True,1
72,10.02,-4283.701928987468,-2498.7549828530446,30.0,-4457.468834578679,104.0,True,1
73,10.029,-4294.0,-2501.0,30.0,-4457.393665282243,104.0,True,1
74,10.419,-4441.20486743311,-2534.1379956205787,30.0,-4454.143834578679,104.0,True,1
75,10.469,-4470.0,-2540.0,30.0,-4453.736219040972,104.0,True,1
76,10.579,-4562.608831708355,-2558.380661558573,30.0,-4452.810501245346,104.0,True,1
77,10.649,-4628.0,-2568.0,30.0,-4452.155621977011,104.0,True,1
78,10.899,-4832.962712002125,-2565.647799511358,30.0,-4450.143834578679,104.0,True,1
79,10.969,-4877.0,-2561.0,30.0,-4450.0603928241435,80.3749568,True,1
80,11.059,-4923.133563959165,-2554.695123818771,30.0,-4448.810501245346,50.0,True,1
81,11.219,-4995.290603967498,-2535.677139378052,202.0,-4439.832723467568,0.0,True,1
82,11.249,-5013.0,-2529.0,202.0,-4438.059146412106,0.0,True,1
83,11.379,-5107.717083113495,-2487.737887000099,202.0,-4430.854945689791,0.0,True,1
84,11.549,-5229.0,-2428.0,202.0,-4421.322853920413,0.0,True,1
85,11.619,-5258.964772503113,-2411.5202052949985,202.0,-4417.388279023124,0.0,False,1
86,11.779,-5290.94647572156,-2387.7824314687646,202.0,-4408.410501245346,0.0,False,1
87,11.869,-5311.0,-2370.0,202.0,-4403.2407052790895,0.0,False,1
88,11.979,-5344.795676711997,-2340.075788244721,202.0,-4397.188279023124,0.0,False,1
89,12.168,-5414.0,-2276.0,174.2405968,-4388.7104228122535,0.0,False,1
90,12.299,-5457.049219493593,-2230.129698347843,155.0,-4383.410501245346,0.0,False,1
91,12.348,-5474.0,-2209.0,154.14249664,-4381.413907834079,0.0,False,1
92,12.608,-5571.0,-2057.0,149.59249664,-4370.714406736975,0.0,False,1
93,12.699,-5595.319843828118,-2005.4630758338965,148.0,-4366.966056800901,0.0,False,1
94,12.859,-5623.224134631932,-1925.9845432547277,148.0,-4360.388279023124,0.0,False,1
95,12.928,-5632.0,-1899.0,148.0,-4357.551971550244,0.0,False,1
96,13.099,-5646.602396382591,-1852.5404814692554,148.0,-4350.521612356457,0.0,False,1
97,13.259,-5653.813982637048,-1813.863826355371,148.0,-4343.943834578679,0.0,False,1
98,13.348,-5658.0,-1772.0,148.0,-4340.284942413617,0.0,False,1
99,13.419,-5661.510944662866,-1727.5332685585126,148.0,-4337.366056800902,0.0,False,1
100,13.508,-5665.0,-1672.0,148.0,-4333.707157085301,0.0,False,1
101,13.748,-5662.0,-1592.0,148.0,-4323.840493066199,0.0,False,1
102,13.779,-5660.380546288896,-1579.894522738843,148.0,-4322.566056800902,0.0,False,1
103,14.089,-5636.0,-1435.0,148.0,-4309.821607101294,0.0,False,1
104,14.099,-5635.366497109967,-1432.0293606731352,148.0,-4309.410501245346,0.0,False,1
105,14.299,-5625.483637523652,-1397.5024406905916,148.0,-4301.188279023124,104.0,True,1
106,14.309,-5625.0,-1396.0,148.0,-4300.777162627255,104.0,True,1
107,14.549,-5609.0,-1349.0,148.0,-4290.910495157595,104.0,True,1
108,14.619,-5600.166945640177,-1327.8451627175104,148.0,-4288.032723467568,104.0,True,1
109,14.809,-5572.0,-1267.0,148.0,-4280.221612780726,104.0,True,1
110,14.9,-5562.839077282488,-1250.5323115995025,148.0,-4276.480501245346,104.0,True,1
111,14.969,-5557.0,-1241.0,148.0,-4273.643838027655,104.0,True,1
112,15.149,-5541.0,-1216.0,148.0,-4266.243837440367,104.0,True,1
113,15.22,-5531.873846914806,-1203.6301588052058,148.0,-4263.32494568979,104.0,True,1
114,15.349,-5510.0,-1177.0,148.0,-4258.0216149719845,104.0,True,1
115,15.38,-5503.669492744589,-1169.9355903535024,148.0,-4256.747167912013,104.0,True,1
116,15.66,-5429.819683878083,-1099.2238434118083,148.0,-4245.236056800902,104.0,True,1
117,15.709,-5415.0,-1088.0,148.0,-4243.221614985036,104.0,True,1
118,15.86,-5368.040147206698,-1058.089292756188,148.0,-4237.013834578679,104.0,True,1
119,15.949,-5356.0,-1051.0,148.0,-4233.35494832767,104.0,True,1
120,15.989,-5356.0,-1051.0,148.0,-4231.710503887482,104.0,True,1
121,16.22,-5283.1565727488205,-1019.9020004960973,148.0,-4222.21383457868,104.0,True,1
122,16.249,-5273.0,-1016.0,148.0,-4221.021614976749,104.0,True,1
123,16.38,-5235.673282916107,-1003.9440898058432,148.0,-4215.636056800901,104.0,True,1
124,16.449,-5216.0,-999.0,148.0,-4212.799392922455,104.0,True,1
125,16.54,-5186.071008218159,-992.3721805772368,148.0,-4209.058279023124,104.0,True,1
126,16.629,-5157.0,-987.0,148.0,-4205.399391458059,104.0,True,1
127,16.869,-5097.0,-982.0,148.0,-4195.5327185971055,104.0,True,1
128,16.899,-5089.815700877742,-981.7097792987664,148.0,-4194.299390134235,104.0,True,1
129,17.069,-5047.0,-981.0,148.0,-4187.31049577616,104.0,True,1
130,17.139,-5027.377615426598,-981.6909581134397,148.0,-4184.432723467568,104.0,True,1
131,17.269,-4987.0,-986.0,148.0,-4179.088273928426,104.0,True,1
132,17.409,-4939.0,-997.0,148.0,-4173.3327182827925,104.0,True,1
133,17.459,-4923.944268891814,-1001.1972073224106,148.0,-4171.277167912012,104.0,True,1
134,17.739,-4866.768837785314,-1021.618851838931,148.0,-4159.766056800901,104.0,True,1
135,17.769,-4863.0,-1023.0,148.0,-4158.532718479026,104.0,True,1
136,17.939,-4846.057264999275,-1030.121778863422,148.0,-4151.54383457868,104.0,True,1
137,17.989,-4836.0,-1037.0,148.0,-4149.4882710900365,104.0,True,1
138,18.099,-4799.8567516336825,-1064.3322886730416,148.0,-4144.966056800901,104.0,True,1
139,18.229,-4758.0,-1098.0,148.0,-4139.621654521744,104.0,True,1
140,18.299,-4749.208472959073,-1106.2101649766196,148.0,-4136.7438345786795,104.0,True,1
141,18.369,-4744.0,-1113.0,148.0,-4133.865909964876,104.0,True,1
142,18.539,-4721.6472319592585,-1145.5907760996563,148.0,-4126.877167912013,104.0,True,1
143,18.628,-4711.0,-1162.0,148.0,-4123.219448492661,104.0,True,1
144,18.939,-4697.143636033361,-1191.8893591591816,148.0,-4110.432723467568,104.0,True,1
145,18.988,-4695.0,-1199.0,148.0,-4108.4144085358275,104.0,True,1
146,19.228,-4681.0,-1247.0,148.0,-4098.532420039201,104.0,True,1
147,19.299,-4678.358311916557,-1257.3269930506956,148.0,-4095.632723467568,104.0,True,1
148,19.459,-4676.309654978747,-1269.8024599562177,148.0,-4089.0549456897907,104.0,True,1
149,19.659,-4676.039842547149,-1275.7930557089956,148.0,-4080.8327234675685,104.0,True,1
150,19.668,-4676.0,-1276.0,144.2311696,-4080.5611623767,104.0,True,1
151,19.819,-4674.984594472734,-1278.76782076428,81.0,-4077.2327234675686,104.0,True,1
152,19.948,-4675.0,-1296.0,81.0,-4074.361812324566,62.0749376,True,1
153,20.019,-4675.83623174836,-1316.7891117321435,81.0,-4072.7327234675686,39.0,False,1
154,20.128,-4679.0,-1356.0,81.0,-4070.2589096654456,42.330561422222225,False,1
155,20.379,-4696.992185049614,-1426.5634189693221,81.0,-4064.632723467568,50.0,False,1
156,20.408,-4699.0,-1433.0,81.0,-4063.98117333447,50.0,False,1
157,20.579,-4710.921743806136,-1468.39444277763,81.0,-4060.132723467568,50.0,False,1
158,20.589,-4712.0,-1471.0,81.0,-4059.9077033763388,50.0,False,1
159,20.809,-4746.0,-1543.0,81.0,-4054.961605351851,50.0,False,1
160,21.019,-4771.113072510374,-1594.0045692101603,81.0,-4050.2327234675686,50.0,True,1
161,21.129,-4781.0,-1614.0,81.0,-4047.7477369239396,50.0,True,1
162,21.219,-4787.956280137898,-1628.1355948772589,81.0,-4045.732723467568,50.0,True,1
163,21.469,-4804.0,-1680.0,81.0,-4040.2996202691643,80.61224724364746,True,1
164,21.629,-4812.0,-1749.0,81.0,-4036.582520816193,100.20407544856579,True,1
165,21.66,-4811.739299100468,-1762.5286480866846,81.0,-4035.8102234675684,104.0,True,1
166,21.86,-4797.122923092037,-1838.9881989230078,96.0,-4030.476890134235,50.0,True,1
167,21.889,-4795.0,-1847.0,96.28999936,-4029.674081738807,42.750016,True,1
168,22.06,-4786.082019339326,-1875.4451178706686,98.0,-4025.0324456897906,0.0,True,1
169,22.3,-4775.60777018219,-1891.9481754337999,79.0,-4019.7657790231237,0.0,True,1
170,22.309,-4775.0,-1893.0,79.0,-4019.572512584953,0.0,True,1
171,22.54,-4751.718895231246,-1931.8143678146364,79.0,-4014.4991123564573,0.0,True,1
172,22.589,-4743.0,-1943.0,79.0,-4013.420461183049,0.0,True,1
173,22.709,-4716.0,-1973.0,79.0,-4010.787782059549,0.0,True,1
174,22.82,-4691.243694514319,-1995.2381573401049,79.0,-4008.3546679120127,0.0,True,1
175,22.909,-4678.0,-2006.0,79.0,-4006.4023841152975,33.05711908571429,True,1
176,23.089,-4670.0,-2011.0,79.0,-4002.451645526869,99.91426194285715,True,1
177,23.1,-4668.534912667548,-2011.6908205306843,79.0,-4002.2102234675685,104.0,True,1
178,23.26,-4625.453967022338,-2032.3890249076358,79.0,-3998.699112356457,104.0,True,1
179,23.409,-4579.0,-2052.0,79.0,-3995.43045872315,104.0,True,1
180,23.5,-4559.433474806094,-2057.2823468555416,79.0,-3993.4324456897907,104.0,True,1
181,23.609,-4540.0,-2060.0,79.0,-3991.035934468008,104.0,True,1
182,23.849,-4490.0,-2064.0,79.0,-3985.7657630817857,104.0,True,1
183,23.899,-4477.705966775537,-2063.2528589308718,79.0,-3984.676612356457,104.0,True,1
184,24.009,-4451.0,-2060.0,78.3124992,-3982.292204851593,32.499916799999994,True,1
185,24.059,-4441.114119473007,-2058.3848733530617,78.0,-3981.2099456897904,0.0,False,1
186,24.169,-4421.0,-2054.0,78.0,-3978.827235060928,0.0,False,1
187,24.299,-4390.159389951362,-2045.471852395935,78.0,-3976.0099456897906,0.0,False,1
188,24.329,-4383.0,-2043.0,78.0,-3975.3598919145866,0.0,False,1
189,24.459,-4354.256968457881,-2030.1541952504385,78.0,-3972.543279023124,0.0,False,1
190,24.569,-4330.0,-2015.0,78.0,-3970.159966917252,18.4643072,False,1
191,24.739,-4288.829295334809,-1981.6472238443616,78.0,-3966.4766123564573,47.0,False,1
192,24.789,-4277.0,-1970.0,78.0,-3965.3932738930343,47.0,False,1
193,24.939,-4243.912262239705,-1930.748249536096,78.0,-3962.143279023124,47.0,False,1
194,25.049,-4221.0,-1899.0,78.0,-3959.759944003871,47.0,False,1
195,25.339,-4163.106432224751,-1806.918606962239,78.0,-3953.4766123564573,47.0,True,1
196,25.619,-4112.654622799316,-1710.9632341836789,78.0,-3947.40994568979,47.0,True,1
197,25.779,-4089.303904892635,-1659.9528723791625,78.0,-3943.943279023124,104.0,True,1
198,25.828,-4083.0,-1645.0,78.0,-3942.881608194405,104.0,True,1
199,26.019,-4061.5683485280174,-1587.5064782931388,78.0,-3938.7432790231237,104.0,True,1
200,26.068,-4056.0,-1570.0,78.0,-3937.681608196678,104.0,True,1
201,26.219,-4038.065347495974,-1506.0348250097395,78.0,-3934.40994568979,104.0,True,1
202,26.248,-4035.0,-1493.0,78.0,-3933.7816081966466,104.0,True,1
203,26.528,-4018.0,-1354.0,78.0,-3927.7149415334443,104.0,True,1
204,26.619,-4018.8876339450594,-1298.439449607974,78.0,-3925.7432790231237,104.0,True,1
205,26.628,-4019.0,-1294.0,78.0,-3925.548274862565,104.0,True,1
206,26.788,-4023.0,-1244.0,78.0,-3922.0816081800353,104.0,True,1
207,27.019,-4061.8166098510164,-1095.3670699612,78.0,-3917.076612356457,104.0,True,1
208,27.109,-4075.0,-1052.0,78.0,-3915.1266096253403,104.0,True,1
209,27.289,-4093.0,-1016.0,78.0,-3911.22660969815,104.0,True,1
210,27.379,-4115.0192893265275,-981.5363936123796,78.0,-3909.276612356457,104.0,True,1
211,27.569,-4188.0,-875.0,78.0,-3905.159942262394,104.0,True,1
212,27.779,-4282.630103921742,-763.6779923608201,78.0,-3900.6099456897905,104.0,True,1
213,27.809,-4298.0,-746.0,78.0,-3899.9599433182484,104.0,True,1
214,28.02,-4411.0967824052705,-613.5965871591214,78.0,-3895.3882790231237,104.0,True,1
215,28.029,-4415.0,-609.0,78.0,-3895.1932805146425,104.0,True,1
216,28.309,-4499.0,-510.0,78.0,-3889.1266140293874,104.0,True,1
217,28.42,-4540.73877048431,-461.1156258294446,78.0,-3886.721612356457,104.0,True,1
218,28.589,-4616.0,-373.0,78.0,-3883.0599470503566,104.0,True,1
219,28.66,-4648.346049806019,-334.997045983745,78.0,-3881.521612356457,104.0,True,1
220,28.86,-4731.940693048856,-236.44561123096844,78.0,-3877.188279023124,104.0,True,1
221,28.909,-4745.0,-221.0,78.0,-3876.1266137404773,104.0,True,1
222,29.189,-4777.0,-183.0,78.0,-3870.0599470722746,104.0,True,1
223,29.3,-4802.759788268223,-152.95855065473003,78.0,-3867.65494568979,104.0,True,1
224,29.449,-4849.0,-99.0,78.0,-3864.4266137513882,104.0,True,1
225,29.54,-4877.607230088384,-65.40514748474388,78.0,-3862.4549456897903,104.0,True,1
226,29.609,-4901.0,-38.0,78.0,-3860.9599470582257,104.0,True,1
227,29.9,-5020.325221288288,100.69933418924604,78.0,-3854.6549456897906,104.0,True,1
228,29.909,-5024.0,105.0,78.0,-3854.459947089029,104.0,True,1
229,30.1,-5101.5285794403635,196.23012259318526,78.0,-3850.321612356457,104.0,True,1
230,30.129,-5115.0,212.0,78.0,-3849.6932801941275,104.0,True,1
231,30.309,-5206.0,318.0,78.0,-3845.793277447613,104.0,True,1
232,30.419,-5248.501158043083,367.8837347810245,78.0,-3843.40994568979,104.0,True,1
233,30.429,-5252.0,372.0,78.0,-3843.193276192741,104.0,True,1
234,30.619,-5319.516936309525,451.4296114488791,78.0,-3839.076612356457,104.0,True,1
235,30.669,-5349.0,486.0,78.0,-3837.993276289081,104.0,True,1
236,30.819,-5477.006977661066,635.8678835079266,78.0,-3834.7432790231237,104.0,True,1
237,30.889,-5524.0,691.0,78.0,-3833.2266095286955,104.0,True,1
238,31.099,-5554.316012513155,727.5759313598018,78.0,-3828.676612356457,104.0,True,1
239,31.169,-5569.0,745.0,78.0,-3827.159943201826,104.0,True,1
240,31.259,-5608.651767036383,791.47008262157,78.0,-3825.2099456897904,104.0,True,1
241,31.429,-5712.0,912.0,78.0,-3821.526607460527,104.0,True,1
242,31.459,-5726.947019873979,929.3856969861051,78.0,-3820.876612356457,104.0,True,1
243,31.629,-5803.0,1018.0,78.0,-3817.193288677454,104.0,True,1
244,31.659,-5819.392671776711,1037.282202924044,78.0,-3816.5432790231234,104.0,True,1
245,31.808,-5906.0,1140.0,78.0,-3813.3149140286046,104.0,True,1
246,31.819,-5911.1439184631845,1146.176587015223,78.0,-3813.0766123564567,104.0,True,1
247,32.059,-5982.830012684764,1245.4427258228295,78.0,-3807.876612356457,104.0,True,1
248,32.088,-5992.0,1263.0,78.0,-3807.2475957029887,103.6374976,True,1
249,32.328,-6081.0,1464.0,78.0,-3802.042912725629,100.6374976,True,1
250,32.379,-6094.727654238956,1501.492811239262,78.0,-3800.9432790231235,100.0,False,1
251,32.528,-6128.0,1606.0,78.0,-3797.7486865648543,100.0,False,1
252,32.728,-6191.0,1796.0,78.0,-3793.4420250106077,100.0,False,1
253,32.819,-6215.540044440457,1870.1538587375942,78.0,-3791.40994568979,100.0,False,1
254,33.108,-6269.0,2034.0,78.0,-3784.8903247509893,100.0,False,1
255,33.179,-6278.632552801321,2063.3420719317405,78.0,-3783.60994568979,100.0,True,1
256,33.288,-6297.0,2119.0,78.0,-3782.0296110770396,100.0,True,1
257,33.508,-6366.0,2328.0,78.0,-3777.277211297172,100.0,True,1
258,33.539,-6374.408120273555,2353.547416133464,78.0,-3775.8099456897903,100.0,False,1
259,33.729,-6413.0,2471.0,190.812576,-3762.1455875541837,100.0,False,1
260,33.859,-6433.655352873252,2532.9577459740663,268.0,-3751.987723467568,100.0,True,1
261,33.969,-6454.0,2594.0,249.05553351111112,-3744.7100241748108,69.44440888888889,True,1
262,34.219,-6517.878589624593,2787.567427613937,206.0,-3731.3877234675683,0.0,True,1
263,34.229,-6520.0,2794.0,205.00275784894873,-3730.890092523985,0.0,True,1
264,34.58,-6561.934341551243,2920.7318038848366,170.0,-3714.340501245346,0.0,True,1
265,34.629,-6567.0,2936.0,170.0,-3712.0345843967557,0.0,True,1
266,34.74,-6579.807413199912,2974.6121691065905,170.0,-3706.78494568979,0.0,True,1
267,34.849,-6592.0,3012.0,170.0,-3701.6354580601837,0.0,True,1
268,34.969,-6604.0,3050.0,170.0,-3695.970943143964,0.0,True,1
269,34.98,-6605.402972599823,3054.3825203402375,170.0,-3695.451612356457,0.0,True,1
270,35.22,-6649.515227523384,3189.176937155161,170.0,-3684.1182790231237,0.0,True,1
271,35.289,-6660.0,3221.0,170.0,-3680.859894152649,0.0,True,1
272,35.42,-6672.648452132651,3259.317121547266,170.0,-3674.673834578679,0.0,True,1
273,35.58,-6677.441816384318,3273.6167904033796,170.0,-3667.1182790231237,104.0,True,1
274,35.709,-6682.0,3287.0,170.0,-3661.0266109885474,104.0,True,1
275,35.889,-6692.0,3316.0,170.0,-3652.5266148209353,104.0,True,1
276,35.9,-6692.754976502388,3318.1313909099504,170.0,-3652.007167912013,104.0,True,1
277,36.1,-6709.420024580573,3363.8613771098353,170.0,-3642.562723467568,104.0,True,1
278,36.3,-6726.875224780238,3420.9603672048574,170.0,-3633.1182790231237,104.0,True,1
279,36.329,-6729.0,3430.0,170.0,-3631.7488815298375,104.0,True,1
280,36.509,-6739.0,3479.0,170.0,-3623.249040955139,104.0,True,1
281,36.54,-6739.762553262991,3480.93718372457,170.0,-3621.78494568979,104.0,True,1
282,36.669,-6739.0,3479.0,170.0,-3615.691453313092,104.0,True,1
283,36.82,-6728.273703343227,3525.1103339314577,170.0,-3608.562723467568,104.0,True,1
284,36.969,-6713.0,3584.0,170.0,-3601.5382615671374,104.0,True,1
285,37.059,-6704.3227708141685,3604.3975215447804,170.0,-3597.276612356457,104.0,True,1
286,37.309,-6682.0,3623.0,170.0,-3585.3812050317792,104.0,True,1
287,37.379,-6676.045038840107,3628.0257612944024,170.0,-3582.165501245346,104.0,True,1
288,37.669,-6642.0,3653.0,162.19230424615384,-3569.711236493411,74.9999872,True,1
289,37.989,-6556.0,3676.0,153.57691963076923,-3557.5062921215967,42.9999872,True,1
290,38.309,-6487.0,3664.0,144.9615350153846,-3545.4066715574927,10.999987200000005,True,1
291,38.419,-6492.803309322236,3667.625152827846,142.0,-3541.143279023124,0.0,True,1
292,38.488,-6487.0,3664.0,142.0,-3538.4417620486497,25.628642742857146,True,1
293,38.699,-6387.15269061805,3607.46157479082,142.0,-3530.0988345786795,104.0,True,1
294,38.708,-6383.0,3605.0,142.0,-3529.74295624151,104.0,True,1
295,38.948,-6308.0,3556.0,142.0,-3520.2685924664424,104.0,True,1
296,39.099,-6278.370053342578,3535.8808764481987,142.0,-3514.3210568009017,104.0,True,1
297,39.299,-6236.601444049237,3505.952504061337,142.0,-3506.4321679120126,104.0,True,1
298,39.308,-6234.0,3504.0,142.0,-3506.0738630678898,101.0749376,True,1
299,39.508,-6163.0,3449.0,142.0,-3498.045800280191,36.0749376,True,1
300,39.619,-6119.676502139145,3413.5634941685003,142.0,-3493.8099456897903,0.0,True,1
301,39.819,-6044.03978712743,3348.686252505822,127.0,-3486.754390134235,0.0,True,1
302,39.828,-6041.0,3346.0,127.0,-3486.439241883496,0.0,True,1
303,40.019,-5984.469810031223,3294.2659516898475,127.0,-3479.6988345786795,0.0,True,1
304,40.249,-5919.0,3227.0,127.0,-3471.582670587793,0.0,True,1
305,40.379,-5873.243429009846,3176.1647515818136,127.0,-3466.9988345786796,0.0,True,1
306,40.539,-5814.643698006126,3108.4994057920294,127.0,-3461.3543901342346,0.0,True,1
307,40.609,-5794.0,3084.0,127.0,-3458.881361515161,0.0,True,1
308,40.739,-5764.671831408548,3047.8673946660456,127.0,-3454.2988345786794,0.0,True,1
309,40.889,-5744.0,3021.0,120.99999488,-3449.156669853835,0.0,True,1
310,40.939,-5739.869889429985,3015.4910798941632,119.0,-3447.687723467568,0.0,True,1
311,41.069,-5738.0,3013.0,96.88381327098693,-3444.707708407699,29.12863617967574,True,1
312,41.18,-5751.345448443276,3031.896054560791,78.0,-3442.4660568009012,54.0,True,1
313,41.289,-5744.0,3021.0,80.0437488,-3440.0328526913504,54.6812496,True,1
314,41.34,-5722.170247980615,2989.5472049770024,81.0,-3438.8660568009013,55.0,False,1
315,41.489,-5625.0,2849.0,81.41388871111111,-3435.46717563062,55.0,False,1
316,41.7,-5561.26433761422,2749.9527917769738,82.0,-3430.666056800901,55.0,False,1
317,41.86,-5547.92416786172,2721.0836059512458,82.0,-3427.021612356457,55.0,False,1
318,41.929,-5538.0,2702.0,82.0,-3425.449840041182,55.0,False,1
319,42.22,-5469.324290574902,2578.8205819378063,82.0,-3418.821612356457,55.0,False,1
320,42.369,-5426.0,2502.0,82.0,-3415.4277511438563,71.7624928,False,1
321,42.62,-5348.957122293494,2364.150448199119,82.0,-3409.7105012453458,100.0,True,1
322,42.809,-5275.0,2231.0,82.0,-3405.4055026084034,100.0,True,1
323,42.82,-5270.009595913881,2222.0044646195015,82.0,-3405.15494568979,100.0,True,1
324,43.06,-5154.611677385361,2014.0223520490797,82.0,-3399.6882790231234,100.0,True,1
325,43.089,-5144.0,1995.0,82.0,-3399.027724926227,100.3624992,True,1
326,43.38,-5085.591539295475,1891.9286041046844,82.0,-3392.3993901342346,104.0,True,1
