,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,-8325.0,-7058.0,0.0,-5542.377247794201,21.0,True,1
1,0.219,-8325.000000000002,-7058.000000000001,0.0,-5542.373431006061,21.0,True,1
2,0.448,-8325.0,-7058.0,0.0,-5542.358396092905,21.0,True,1
3,0.539,-8325.000000000002,-7058.000000000001,0.0,-5542.373431006061,21.0,False,1
4,0.628,-8325.0,-7058.0,0.0,-5542.406430069302,21.0,False,1
5,0.699,-8325.0,-7058.0,0.0,-5542.373431006061,21.0,False,1
6,1.049,-8325.0,-7058.0,12.867651764705881,-5540.669466989103,25.632354635294117,False,1
7,1.379,-8325.0,-7057.999999999999,25.0,-5537.651208783838,30.0,False,1
8,1.389,-8325.0,-7058.0,25.427051437744215,-5537.5517617766145,30.0,False,1
9,1.569,-8325.0,-7058.0,33.11387892574821,-5535.692008211392,30.0,False,1
10,1.66,-8325.0,-7058.0,37.0,-5534.763153228283,30.0,False,1
11,1.729,-8325.0,-7058.0,37.0,-5534.080571662028,35.1749952,False,1
12,1.82,-8325.0,-7058.0,37.0,-5533.118708783839,42.0,False,1
13,2.109,-8325.0,-7058.0,49.6437472,-5528.763683274032,54.041664,False,1
14,2.3,-8325.000000000002,-7058.0,58.0,-5525.385375450505,62.0,False,1
15,2.369,-8325.0,-7058.0,60.75999744,-5524.1522468014755,63.7249984,False,1
16,2.5,-8325.000000000002,-7058.000000000001,66.0,-5521.718708783838,67.0,False,1
17,2.569,-8325.0,-7058.0,69.4499968,-5520.32899937064,69.5874976,False,1
18,2.66,-8325.0,-7058.000000000001,74.0,-5518.42981989495,73.0,False,1
19,2.809,-8325.0,-7058.0,75.8624992,-5515.309784849289,76.7249984,False,1
20,2.9,-8325.000000000002,-7058.000000000002,77.0,-5513.296486561617,79.0,False,1
21,3.029,-8325.0,-7058.0,82.37499733333334,-5510.209050996362,75.05833528888888,False,1
22,3.26,-8324.999999999996,-7057.999999999995,92.0,-5504.096486561616,68.0,False,1
23,3.309,-8325.0,-7058.0,93.63788174505096,-5502.727716565426,68.81894087252547,False,1
24,3.549,-8325.0,-7058.0,101.66017015808544,-5495.752451580633,72.83008507904272,False,1
25,3.619,-8324.999999999942,-7057.9999999999445,104.0,-5493.725375450505,74.0,False,1
26,3.859,-8324.999999999767,-7057.999999999781,104.0,-5486.792042117172,74.0,False,1
27,3.929,-8325.0,-7058.0,107.5000064,-5484.6550168003605,81.5833472,False,1
28,4.099,-8325.000000001253,-7058.000000001183,116.0,-5479.0587087838385,100.0,False,1
29,4.379,-8325.000000000815,-7058.0000000007685,140.0,-5468.16981989495,100.0,False,1
30,4.409,-8325.0,-7058.0,141.875008,-5466.943632705818,100.0,False,1
31,4.539,-8324.999999994641,-7057.99999999494,150.0,-5461.503153228283,100.0,False,1
32,4.669,-8325.0,-7058.0,156.5000064,-5455.699143904549,100.0,False,1
33,4.859,-8325.00000005132,-7058.000000048465,166.0,-5446.747597672727,100.0,False,1
34,5.029,-8325.0,-7058.0,170.2500032,-5438.562850206277,100.0,False,1
35,5.179,-8324.999999778609,-7057.999999790927,174.0,-5431.280931006061,100.0,False,1
36,5.368,-8325.0,-7058.0,174.0,-5422.125488432831,100.0,False,1
37,5.419,-8325.000000325517,-7058.000000307405,174.0,-5419.680931006061,100.0,False,1
38,5.568,-8325.0,-7058.0,174.0,-5412.574108553477,100.0,False,1
39,5.619,-8324.99999830226,-7057.999998396725,174.0,-5410.014264339394,100.0,False,1
40,5.728,-8325.0,-7058.0,183.38612764444446,-5404.188557870642,100.0,False,1
41,5.888,-8325.0,-7058.0,197.16390542222223,-5394.903246697656,100.0,False,1
42,5.979,-8324.999877513561,-7057.999884328749,205.0,-5389.514264339394,100.0,False,1
43,6.139,-8324.999572107314,-7057.999595915414,216.0,-5379.914264339394,100.0,False,1
44,6.248,-8325.0,-7058.0,220.0875072,-5373.208595669396,100.0,False,1
45,6.299,-8325.000429241229,-7058.000405358094,222.0,-5370.0475976727275,100.0,False,1
46,6.428,-8325.0,-7058.0,223.29000192,-5362.031957380025,100.0,False,1
47,6.499,-8324.996587824935,-7057.996777679561,224.0,-5357.603153228283,100.0,False,1
48,6.648,-8325.0,-7058.0,226.23500288,-5348.247995180558,100.0,False,1
49,6.699,-8325.013461870582,-7058.012712847345,227.0,-5344.992042117172,100.0,False,1
50,6.928,-8325.0,-7058.0,234.156256,-5329.949882901296,100.0,False,1
51,7.019,-8324.825061876703,-7057.8347954956835,237.0,-5323.925375450505,100.0,False,1
52,7.168,-8325.0,-7058.0,237.0,-5314.109630717589,100.0,False,1
53,7.259,-8325.998179792285,-7058.942640716028,237.0,-5308.125375450505,100.0,False,1
54,7.469,-8325.0,-7058.0,237.0,-5294.307326590897,100.0,False,1
55,7.809,-8325.0,-7058.0,237.0,-5271.918230680447,100.0,False,1
56,7.939,-8335.911487626132,-7068.304368600041,237.0,-5263.358708783839,100.0,True,1
57,7.949,-8325.0,-7058.0,237.0,-5262.700322189146,100.0,True,1
58,8.14,-7658.500583205174,-6428.584846202036,237.0,-5250.126208783839,100.0,True,1
59,8.54,-4234.486333292523,-3178.8371334623866,237.0,-5223.792875450506,104.0,True,1
60,8.7,-3499.3122445951294,-2443.1491583857573,237.0,-5213.259542117172,104.0,True,1
61,8.769,-3376.0,-2301.0,237.0,-5208.717091820658,104.0,True,1
62,8.9,-3442.1882756383807,-2301.169588757151,237.0,-5200.092875450505,104.0,True,1
63,8.949,-3503.0,-2329.0,237.0,-5196.866873020141,104.0,True,1
64,9.26,-3859.389699936994,-2409.0062671897617,237.0,-5176.392875450505,104.0,True,1
65,9.329,-3923.0,-2420.0,237.0,-5171.8522525662,104.0,True,1
66,9.46,-4026.7728784870146,-2442.6864815075382,237.0,-5163.226208783839,104.0,True,1
67,9.489,-4050.0,-2448.0,237.0,-5161.313636664464,104.0,True,1
68,9.62,-4163.325178065749,-2473.2136382472177,237.0,-5152.692875450505,104.0,True,1
69,9.689,-4226.0,-2487.0,237.0,-5148.207025477238,104.0,True,1
70,9.82,-4350.380545462687,-2514.25513763712,237.0,-5139.526208783838,104.0,True,1
71,9.849,-4382.0,-2521.0,239.60999424,-5137.500583191836,103.42000128,True,1
72,10.02,-4589.008036682135,-2563.286734724824,255.0,-5125.359542117172,100.0,True,1
73,10.029,-4598.0,-2565.0,253.73685047988795,-5124.765259717091,97.74437585694277,True,1
74,10.419,-4761.505590899277,-2573.8195252456526,199.0,-5103.303708783838,0.0,True,1
75,10.469,-4787.0,-2571.0,195.5624912,-5100.697268765616,0.0,True,1
76,10.579,-4861.808679556602,-2563.7007430437616,188.0,-5094.9481532282825,0.0,True,1
77,10.649,-4916.0,-2555.0,187.5624992,-5091.297022720014,5.250009599999999,True,1
78,10.899,-5110.90485907896,-2489.953225904559,186.0,-5078.41481989495,24.0,False,1
79,10.969,-5151.0,-2473.0,183.3749952,-5074.903365253344,23.5624992,False,1
80,11.059,-5187.961155806709,-2455.841969714192,180.0,-5070.41481989495,23.0,False,1
81,11.219,-5234.077561803833,-2426.027355287702,180.0,-5062.41481989495,20.0,False,1
82,11.249,-5246.0,-2417.0,179.062496,-5060.938876475131,16.249984,False,1
83,11.379,-5312.575932535822,-2363.6150864572824,175.0,-5054.637042117172,0.0,True,1
84,11.549,-5400.0,-2290.0,172.8749984,-5046.492255839109,12.7500096,True,1
85,11.619,-5421.2776697426825,-2271.215353530919,172.0,-5043.170375450505,18.0,False,1
86,11.779,-5443.803604489638,-2247.1183747303635,169.0,-5035.659264339394,11.0,False,1
87,11.869,-5461.0,-2224.0,167.64999808,-5031.498032505733,13.2500032,False,1
88,11.979,-5492.549146455854,-2180.1096785601367,166.0,-5026.437042117172,16.0,False,1
89,12.168,-5552.0,-2092.0,166.0,-5017.684595456642,17.1812512,False,1
90,12.299,-5574.659065145424,-2049.1035806334316,166.0,-5011.681486561616,18.0,False,1
91,12.348,-5583.0,-2030.0,165.26499712,-5009.466173401448,20.57251008,False,1
92,12.608,-5637.0,-1880.0,161.36499712,-4997.9345060342675,34.22251008,False,1
93,12.699,-5649.165775668076,-1825.9610093395331,160.0,-4993.903708783839,39.0,False,1
94,12.859,-5659.984376161038,-1740.08861640999,160.0,-4986.792597672727,43.0,False,1
95,12.928,-5663.0,-1712.0,159.7124992,-4983.737658780172,43.0,False,1
96,13.099,-5667.464007787549,-1668.337848114872,159.0,-4976.192597672727,43.0,False,1
97,13.259,-5666.663254493042,-1638.1008221400257,159.0,-4969.1259310060605,47.0,False,1
98,13.348,-5663.0,-1602.0,159.0,-4965.195726739466,50.3375072,False,1
99,13.419,-5658.395742485606,-1562.6393385470847,159.0,-4962.059264339394,53.0,False,1
100,13.508,-5652.0,-1513.0,159.0,-4958.124088277283,40.88608497777778,False,1
101,13.748,-5638.0,-1444.0,159.0,-4947.52140716145,8.219418311111113,False,1
