,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,-8325.0,-7058.0,0.0,-5260.724508678051,18.0,False,1
1,0.219,-8325.000000000002,-7058.000000000001,0.0,-5260.720765522477,18.0,False,1
2,0.448,-8325.0,-7058.0,0.0,-5260.706020715907,18.7156256,False,1
3,0.539,-8325.000000000002,-7058.000000000001,0.0,-5260.720765522477,19.0,False,1
4,0.628,-8325.0,-7058.0,0.0,-5260.753127851378,20.1125024,False,1
5,0.699,-8325.0,-7058.0,0.0,-5260.720765522477,21.0,False,1
6,1.049,-8325.0,-7058.0,12.352945694117647,-5259.049764969761,21.0,False,1
7,1.379,-8325.0,-7058.0,24.0,-5256.187432189144,21.0,False,1
8,1.389,-8325.0,-7058.0,24.391463817932195,-5256.095739959572,21.46263905755623,False,1
9,1.569,-8325.0,-7058.0,31.437722348602524,-5254.389952425931,29.790035502893893,False,1
10,1.66,-8325.0,-7058.0,35.0,-5253.4554877447,34.0,False,1
11,1.729,-8325.0,-7058.0,37.5874976,-5252.7059808352715,35.7249984,False,1
12,1.82,-8325.0,-7058.0,41.0,-5251.633265522478,38.0,False,1
13,2.109,-8325.0,-7058.0,51.2354144,-5247.312106636249,46.4291648,False,1
14,2.3,-8325.0,-7058.0,58.0,-5243.899932189144,52.0,False,1
15,2.369,-8325.0,-7058.0,62.13999616,-5242.588506234763,52.34499968,False,1
16,2.5,-8325.000000000002,-7058.000000000001,70.0,-5240.011043300256,53.0,False,1
17,2.569,-8325.0,-7058.0,71.7249984,-5238.629250668249,53.0,False,1
18,2.66,-8325.000000000002,-7058.000000000001,74.0,-5236.722154411366,53.0,False,1
19,2.809,-8325.0,-7058.0,81.4499968,-5233.213752484529,59.82916373333333,False,1
20,2.9,-8325.000000000002,-7058.000000000001,86.0,-5230.988821078033,64.0,False,1
21,3.029,-8325.0,-7058.0,87.79166577777778,-5227.868913034899,64.0,False,1
22,3.26,-8325.000000000004,-7058.000000000004,91.0,-5221.888821078033,64.0,False,1
23,3.309,-8325.0,-7058.0,94.68523392636466,-5220.4363469319405,64.9554310179464,False,1
24,3.549,-8325.0,-7058.0,112.73538285569222,-5212.5114721762575,69.63509925888317,False,1
25,3.619,-8325.00000000007,-7058.000000000063,118.0,-5210.121598855811,71.0,False,1
26,3.859,-8325.000000000264,-7058.000000000242,123.0,-5201.921598855811,71.0,False,1
27,3.929,-8325.0,-7058.0,123.0,-5199.5586557302595,71.0,False,1
28,4.099,-8324.999999998563,-7057.99999999869,123.0,-5193.721598855811,71.0,False,1
29,4.379,-8324.999999999069,-7057.9999999991505,136.0,-5183.143821078033,82.0,False,1
30,4.409,-8325.0,-7058.0,136.0,-5182.0113740391635,82.0,False,1
31,4.539,-8325.000000006148,-7058.000000005601,136.0,-5177.099376633589,82.0,False,1
32,4.669,-8325.0,-7058.0,139.2500032,-5171.955995435195,82.0,False,1
33,4.859,-8324.999999941123,-7057.999999946367,144.0,-5164.2993766335885,82.0,False,1
34,5.029,-8325.0,-7058.0,144.0,-5157.745143771297,82.0,False,1
35,5.179,-8325.000000253996,-7058.000000231379,144.0,-5151.499376633588,82.0,False,1
36,5.368,-8325.0,-7058.0,169.2000256,-5142.302460375833,89.0875072,False,1
37,5.419,-8324.999999626545,-7057.9999996598,176.0,-5139.766043300256,91.0,False,1
38,5.568,-8325.0,-7058.0,178.98000384,-5132.414035711922,97.70500864,False,1
39,5.619,-8325.000001947765,-7058.000001774323,180.0,-5129.766043300256,100.0,False,1
40,5.728,-8325.0,-7058.0,189.08334933333333,-5123.732761138244,100.0,False,1
41,5.888,-8325.0,-7058.0,202.41668266666667,-5114.165081072947,100.0,False,1
42,5.979,-8325.000140524955,-7058.000128011753,210.0,-5108.766043300256,100.0,False,1
43,6.139,-8325.000490908227,-7058.000447194752,210.0,-5099.432709966922,100.0,False,1
44,6.248,-8325.0,-7058.0,212.0437536,-5093.026537042259,100.0,False,1
45,6.299,-8324.999507544628,-7057.999551395871,213.0,-5089.9660433002555,100.0,False,1
46,6.428,-8325.0,-7058.0,219.4500096,-5081.988122295383,100.0,False,1
47,6.499,-8325.003914684405,-7058.003566096917,223.0,-5077.577154411367,100.0,False,1
48,6.648,-8325.0,-7058.0,223.0,-5068.417889016133,100.0,False,1
49,6.699,-8324.984555606374,-7057.98593086982,223.0,-5065.188265522477,100.0,False,1
50,6.928,-8325.0,-7058.0,238.0281376,-5049.739425621654,100.0,False,1
51,7.019,-8325.200701174484,-7058.182829512083,244.0,-5043.499376633588,100.0,False,1
52,7.168,-8325.0,-7058.0,244.0,-5033.398486054455,100.0,False,1
53,7.259,-8323.854818761729,-7056.956792716445,244.0,-5027.232709966922,100.0,False,1
54,7.469,-8325.0,-7058.0,245.23529487058823,-5012.8753819365675,100.0,False,1
55,7.809,-8325.0,-7058.0,247.23529487058823,-4989.3627503202,100.0,False,1
56,7.939,-8312.481582969695,-7046.596299530452,248.0,-4980.388265522477,100.0,False,1
57,7.949,-8325.0,-7058.0,248.0,-4979.698648311127,100.0,False,1
58,8.14,-9089.654457373053,-7754.564938959788,248.0,-4966.541598855811,100.0,False,1
59,8.54,-11911.36838159155,-10325.016164913119,248.0,-4938.986043300255,100.0,True,1
60,8.7,-9933.793298526876,-8523.53648511666,248.0,-4927.963821078033,104.0,True,1
61,8.769,-8325.0,-7058.0,248.0,-4923.222088596754,104.0,True,1
62,8.9,-4235.080290364988,-3329.751726423567,248.0,-4914.186043300255,104.0,True,1
63,8.949,-3034.0,-2226.0,248.95277653333332,-4910.765632690944,103.45555626666666,True,1
64,9.26,-3069.492806924526,-2068.626420373119,255.0,-4888.686043300256,100.0,False,1
65,9.329,-3356.0,-2297.0,255.0,-4883.778452922664,100.0,False,1
66,9.46,-3424.1161645900315,-2321.7470109391147,255.0,-4874.519376633589,100.0,False,1
67,9.489,-3425.0,-2312.0,254.093752,-4872.492508422469,90.3937712,False,1
68,9.62,-3521.9512523909475,-2328.2037679744135,250.0,-4863.408265522477,47.0,False,1
69,9.689,-3591.0,-2348.0,250.0,-4858.624264886861,50.79499648,False,1
70,9.82,-3715.6071258708894,-2375.2726635592144,250.0,-4849.519376633589,58.0,False,1
71,9.849,-3757.0,-2384.0,250.0,-4847.497446120451,53.36001024,False,1
72,10.02,-4103.445353201719,-2459.5956174852886,250.0,-4835.6304877447,26.0,False,1
73,10.029,-4119.0,-2463.0,249.57143141281912,-4835.017681889278,25.458650205666263,False,1
74,10.419,-4337.929517485347,-2510.1725636187293,231.0,-4810.0279877447,2.0,True,1
75,10.469,-4363.0,-2516.0,223.8124816,-4807.09580179167,2.3125008,True,1
76,10.579,-4441.330573623425,-2534.343667678428,208.0,-4800.783543300256,3.0,True,1
77,10.649,-4500.0,-2546.0,208.0,-4796.755578716423,3.0,True,1
78,10.899,-4719.533783190305,-2569.7484140804986,208.0,-4782.2946544113665,3.0,True,1
79,10.969,-4767.0,-2572.0,208.0,-4778.2491416981975,3.0,True,1
80,11.059,-4813.052907289763,-2572.2840055226284,208.0,-4773.050209966922,3.0,True,1
81,11.219,-4878.668765461461,-2562.3029193646576,208.0,-4763.8057655224775,3.0,True,1
82,11.249,-4896.0,-2558.0,208.0,-4762.072398744696,3.0,True,1
83,11.379,-4993.032415146938,-2530.024365343571,208.0,-4754.561321078033,3.0,True,1
84,11.549,-5124.0,-2486.0,208.0,-4744.739095244222,74.54172053333333,True,1
85,11.619,-5158.90002253923,-2471.7486784198722,208.0,-4740.694654411366,104.0,True,1
86,11.779,-5203.4296810756305,-2445.644937054284,208.0,-4731.450209966922,104.0,True,1
87,11.869,-5229.0,-2428.0,208.0,-4726.250203312161,104.0,True,1
88,11.979,-5267.34087778015,-2401.4765000606785,208.0,-4719.894654411366,104.0,True,1
89,12.168,-5349.0,-2338.0,208.0,-4708.974634553118,104.0,True,1
90,12.299,-5413.403419417746,-2276.447103880715,208.0,-4701.405765522477,104.0,True,1
91,12.348,-5435.0,-2254.0,208.0,-4698.574652954848,104.0,True,1
92,12.608,-5515.0,-2152.0,208.0,-4683.552486353885,104.0,True,1
93,12.699,-5539.511047435931,-2111.5729239413927,208.0,-4678.2946544113665,104.0,True,1
94,12.859,-5580.426923886512,-2034.025123468941,208.0,-4669.050209966922,104.0,True,1
95,12.928,-5595.0,-2003.0,208.0,-4665.064015351553,104.0,True,1
96,13.099,-5622.011453969165,-1934.9133545989937,208.0,-4655.183543300255,104.0,True,1
97,13.259,-5638.144890650708,-1876.8547192331425,208.0,-4645.939098855811,104.0,True,1
98,13.348,-5646.0,-1841.0,208.0,-4640.820446786136,104.0,True,1
99,13.419,-5651.769985810474,-1810.4031569331921,208.0,-4636.694654411366,104.0,True,1
100,13.508,-5658.0,-1772.0,208.0,-4631.410721322351,104.0,True,1
101,13.748,-5665.0,-1672.0,208.0,-4617.459319555744,104.0,True,1
102,13.779,-5664.280076153119,-1655.0439734949534,208.0,-4615.894654411366,104.0,True,1
103,14.089,-5645.0,-1474.0,152.7812272,-4602.881065336973,39.0937232,True,1
104,14.099,-5644.656513191058,-1471.3068976670966,151.0,-4602.4724321891445,37.0,False,1
105,14.299,-5641.343549383092,-1455.1830450340346,151.0,-4594.083543300256,38.0,False,1
106,14.309,-5641.0,-1454.0,151.0,-4593.66168557838,38.0,False,1
107,14.549,-5625.0,-1396.0,151.0,-4583.580813858491,38.0,False,1
108,14.619,-5619.191369418862,-1377.3890398552026,151.0,-4580.661321078033,38.0,False,1
109,14.809,-5602.0,-1330.0,149.64768684570862,-4572.788201594362,12.30605006846401,False,1
110,14.9,-5592.928789217652,-1308.904827538707,149.0,-4569.031043300255,0.0,True,1
111,14.969,-5586.0,-1294.0,149.0,-4566.184569322484,0.0,True,1
112,15.149,-5567.0,-1258.0,149.0,-4558.749812316513,0.0,True,1
113,15.22,-5556.695381450993,-1240.9620932689184,149.0,-4555.786598855811,0.0,True,1
114,15.349,-5535.0,-1208.0,149.0,-4550.397864363249,0.0,True,1
115,15.38,-5529.806283944266,-1200.747496415163,149.0,-4549.164376633588,0.0,True,1
116,15.66,-5479.658779136485,-1143.7769064062593,127.0,-4539.286598855811,11.0,True,1
117,15.709,-5468.0,-1133.0,126.02000128,-4537.613697685773,12.95999744,True,1
118,15.86,-5426.219125525274,-1097.4047873251184,123.0,-4532.4532655224775,19.0,True,1
119,15.949,-5415.0,-1088.0,122.75277795555556,-4529.429493252294,16.280557511111112,True,1
120,15.989,-5415.0,-1088.0,122.64166684444444,-4528.075417201799,15.05833528888889,True,1
121,16.22,-5339.329326844682,-1043.3996098041011,122.0,-4520.253265522478,8.0,False,1
122,16.249,-5329.0,-1038.0,122.0,-4519.264636354913,8.5437488,False,1
123,16.38,-5292.082769385009,-1022.3257422510443,122.0,-4514.831043300255,11.0,False,1
