,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,-8325.0,-7058.0,0.0,-5147.518588060639,23.0,True,1
1,0.219,-8325.000000000002,-7058.000000000001,0.0,-5147.533611111108,23.0,True,1
2,0.448,-8325.0,-7058.0,0.0,-5147.592710109722,21.5687488,True,1
3,0.539,-8325.000000000002,-7058.000000000001,0.0,-5147.533611111108,21.0,False,1
4,0.628,-8325.0,-7058.0,3.8937584,-5147.399961247722,21.0,False,1
5,0.699,-8324.999999999998,-7057.999999999999,7.0,-5147.222499999997,21.0,False,1
6,1.049,-8325.0,-7058.0,16.77941534117647,-5145.247040310233,22.544118211764705,False,1
7,1.379,-8325.000000000002,-7058.000000000003,26.0,-5142.311388888886,24.0,False,1
8,1.389,-8325.0,-7058.0,26.35587619812018,-5142.21481142615,24.0,False,1
9,1.569,-8325.0,-7058.0,32.76156577145684,-5140.4090550445735,24.0,False,1
10,1.66,-8325.000000000166,-7058.000000000151,36.0,-5139.501388888886,24.0,False,1
11,1.729,-8325.0,-7058.0,36.0,-5138.830033360732,29.6062448,False,1
12,1.82,-8324.999999999,-7057.999999999091,36.0,-5137.901388888886,37.0,False,1
13,2.109,-8325.0,-7058.0,45.6333312,-5134.014605306419,37.0,False,1
14,2.3,-8325.000000012795,-7058.000000011621,52.0,-5130.968055555552,37.0,False,1
15,2.369,-8325.0,-7058.0,55.4499968,-5129.81846799476,37.0,False,1
16,2.5,-8324.999999945878,-7057.999999950847,62.0,-5127.523611111108,37.0,False,1
17,2.569,-8325.0,-7058.0,65.4499968,-5126.223020031347,37.0,False,1
18,2.66,-8325.000000226644,-7058.000000205839,70.0,-5124.412499999997,37.0,False,1
19,2.809,-8325.0,-7058.0,75.5874976,-5121.226093562358,47.554162133333335,False,1
20,2.9,-8324.999998644467,-7057.999998768905,79.0,-5119.14583333333,54.0,False,1
21,3.029,-8325.0,-7058.0,83.65833102222223,-5116.0236735802955,57.2249984,False,1
22,3.26,-8325.000013157114,-7058.0000119492925,92.0,-5109.9458333333305,63.0,False,1
23,3.309,-8325.0,-7058.0,94.0473521813137,-5108.581223116463,64.50139159963005,False,1
24,3.549,-8325.0,-7058.0,104.07521269760679,-5101.494373598541,71.85515597824498,False,1
25,3.619,-8325.000192174506,-7058.000174532909,107.0,-5099.275555555552,74.0,False,1
26,3.859,-8325.000747895881,-7058.000679239131,121.0,-5091.208888888886,81.0,False,1
27,3.929,-8325.0,-7058.0,122.458336,-5088.809911665081,83.916672,False,1
28,4.099,-8324.995950330682,-7057.996322089828,126.0,-5082.808888888886,91.0,False,1
29,4.379,-8324.997373731956,-7057.99761482304,140.0,-5071.919999999997,100.0,False,1
30,4.409,-8325.0,-7058.0,140.0,-5070.761077335349,100.0,False,1
31,4.539,-8325.017312250697,-7058.015722988202,140.0,-5065.697777777775,100.0,False,1
32,4.669,-8325.0,-7058.0,148.5312584,-5060.149483482703,100.0,False,1
33,4.859,-8324.83421099807,-7057.849430408148,161.0,-5051.386666666664,100.0,False,1
34,5.029,-8325.0,-7058.0,166.312504,-5043.306202557021,100.0,False,1
35,5.179,-8325.715221618495,-7058.649564361493,171.0,-5036.186666666664,100.0,False,1
36,5.368,-8325.0,-7058.0,171.0,-5027.337717543232,100.0,False,1
37,5.419,-8323.94839530212,-7057.044932484625,171.0,-5024.786666666664,100.0,False,1
38,5.568,-8325.0,-7058.0,188.88002304,-5016.756637432998,100.0,False,1
39,5.619,-8330.484662756142,-7062.981171386687,195.0,-5013.95333333333,100.0,False,1
40,5.728,-8325.0,-7058.0,195.0,-5008.008470298116,100.0,False,1
41,5.888,-8325.0,-7058.0,195.0,-4999.370843820743,100.0,False,1
42,5.979,-8720.700939640888,-7417.375641832687,195.0,-4994.45333333333,100.0,False,1
43,6.139,-9707.337013902685,-8313.438645283984,195.0,-4985.786666666664,100.0,False,1
44,6.248,-8325.0,-7058.0,195.0,-4979.882338784935,100.0,False,1
45,6.299,-6938.306423016317,-5798.604723592421,195.0,-4977.119999999997,100.0,False,1
46,6.428,-3024.0,-2224.0,195.0,-4970.132448739915,100.0,False,1
47,6.499,-2384.475644288378,-1599.9931748328847,195.0,-4966.286666666664,100.0,False,1
48,6.648,-3268.0,-2278.0,195.0,-4958.2162703974955,102.98000384,False,1
49,6.699,-3443.443761349601,-2406.572180930045,195.0,-4955.45333333333,104.0,True,1
50,6.928,-3425.0,-2312.0,195.0,-4943.043525136981,104.0,True,1
51,7.019,-3439.4757362819337,-2298.6969815469906,195.0,-4938.119999999997,104.0,True,1
52,7.168,-3552.0,-2339.0,195.0,-4930.07208069234,104.0,True,1
53,7.259,-3652.518258307552,-2364.704008710163,195.0,-4925.119999999997,104.0,True,1
54,7.469,-3913.0,-2418.0,197.16176602352942,-4913.493219911852,102.76470512941177,True,1
55,7.809,-4148.0,-2469.0,200.66176602352942,-4894.270780025435,100.76470512941177,True,1
56,7.939,-4220.825102368873,-2485.787749207744,202.0,-4886.964444444442,100.0,True,1
57,7.949,-4226.0,-2487.0,202.0,-4886.404044209819,100.0,True,1
58,8.14,-4309.270723566672,-2507.145689458481,202.0,-4875.686111111108,100.0,False,1
59,8.54,-4421.63873629637,-2535.2806741970335,209.0,-4852.463888888886,100.0,False,1
60,8.7,-4502.997621727232,-2549.116593682035,209.0,-4843.174999999997,100.0,False,1
61,8.769,-4548.0,-2556.0,209.0,-4839.170057761544,100.0,False,1
62,8.9,-4648.527733093132,-2569.8503005323096,209.0,-4831.563888888886,100.0,False,1
63,8.949,-4687.0,-2573.0,209.0,-4828.718958441089,100.54444373333334,False,1
64,9.26,-4903.000519475133,-2556.284754600434,209.0,-4810.6638888888865,104.0,True,1
65,9.329,-4936.0,-2550.0,209.0,-4806.658082521829,104.0,True,1
66,9.46,-4982.335879980203,-2538.1903864143305,209.0,-4799.052777777775,104.0,True,1
67,9.489,-4993.0,-2535.0,209.0,-4797.369168186848,104.0,True,1
68,9.62,-5050.717665434514,-2516.3816885603333,209.0,-4789.763888888886,104.0,True,1
69,9.689,-5088.0,-2502.0,209.0,-4785.758059919971,104.0,True,1
70,9.82,-5173.099048814576,-2461.9733490907224,209.0,-4778.152777777775,104.0,True,1
71,9.849,-5195.0,-2449.0,209.0,-4776.469170375103,104.0,True,1
72,10.02,-5334.9685828723295,-2348.6063993624434,209.0,-4766.541666666664,104.0,True,1
73,10.029,-5341.0,-2344.0,209.0,-4766.019170276166,104.0,True,1
74,10.419,-5442.595775360773,-2248.0265458546723,209.0,-4743.377499999997,104.0,True,1
75,10.469,-5455.0,-2232.0,209.0,-4740.474714503509,104.0,True,1
76,10.579,-5490.839104533645,-2186.123317613562,209.0,-4734.088611111109,104.0,True,1
77,10.649,-5515.0,-2152.0,209.0,-4730.024714900643,104.0,True,1
78,10.899,-5586.238470571154,-2019.519239712642,209.0,-4715.51083333333,104.0,True,1
79,10.969,-5599.0,-1993.0,209.0,-4711.4469370062825,104.0,True,1
80,11.059,-5609.732426053416,-1970.517588397058,209.0,-4706.221944444442,104.0,True,1
81,11.219,-5620.194832656901,-1939.3741004556264,209.0,-4696.9330555555525,104.0,True,1
82,11.249,-5623.0,-1928.0,209.0,-4695.191381457602,104.0,True,1
83,11.379,-5639.243867474899,-1855.2030081950281,209.0,-4687.644166666664,104.0,True,1
84,11.549,-5660.0,-1752.0,209.0,-4677.774714791123,104.0,True,1
85,11.619,-5664.078199346855,-1727.2150919131122,209.0,-4673.710833333331,104.0,True,1
86,11.779,-5664.783406658775,-1701.9687954072124,209.0,-4664.421944444442,104.0,True,1
87,11.869,-5664.0,-1682.0,209.0,-4659.196937013138,104.0,True,1
88,11.979,-5663.107052959728,-1644.5124748321746,209.0,-4652.81083333333,104.0,True,1
89,12.168,-5659.0,-1562.0,209.0,-4641.838322189862,104.0,True,1
90,12.299,-5651.619521896511,-1509.0440238626272,209.0,-4634.233055555553,104.0,True,1
91,12.348,-5649.0,-1493.0,209.0,-4631.388322183131,104.0,True,1
92,12.608,-5636.0,-1435.0,209.0,-4616.293877718272,104.0,True,1
93,12.699,-5624.854327204417,-1401.5667232372882,209.0,-4611.01083333333,104.0,True,1
94,12.859,-5598.560290683417,-1327.5727357943395,209.0,-4601.721944444442,104.0,True,1
95,12.928,-5590.0,-1303.0,209.0,-4597.716099787129,104.0,True,1
96,13.099,-5578.75585113506,-1267.9320926198827,209.0,-4587.788611111108,104.0,True,1
97,13.259,-5565.56731372237,-1246.3114928070595,209.0,-4578.499722222219,104.0,True,1
98,13.348,-5541.0,-1216.0,209.0,-4573.332757976841,104.0,True,1
99,13.419,-5512.1084394696145,-1181.7901320542765,209.0,-4569.210833333331,104.0,True,1
100,13.508,-5476.0,-1140.0,209.0,-4564.043929745732,104.0,True,1
101,13.748,-5431.0,-1101.0,209.0,-4550.110627509999,104.0,True,1
102,13.779,-5421.171879301358,-1095.2549301547426,209.0,-4548.31083333333,104.0,True,1
103,14.089,-5282.0,-1019.0,209.0,-4530.313440587312,104.0,True,1
104,14.099,-5279.453434690433,-1017.7332568594943,209.0,-4529.733055555553,104.0,True,1
105,14.299,-5255.40868343795,-1009.369168231086,209.0,-4518.121944444441,104.0,True,1
106,14.309,-5254.0,-1009.0,209.0,-4517.540512162396,104.0,True,1
107,14.549,-5196.0,-994.0,209.0,-4503.578900016953,104.0,True,1
108,14.619,-5171.909806057265,-989.8304072433477,209.0,-4499.544166666664,104.0,True,1
109,14.809,-5107.0,-982.0,209.0,-4488.6791230981,104.0,True,1
110,14.9,-5089.947770284797,-981.0545746661764,209.0,-4483.230555555552,104.0,True,1
111,14.969,-5077.0,-981.0,209.0,-4478.913960324324,104.0,True,1
112,15.149,-5027.0,-982.0,209.0,-4467.76410752039,104.0,True,1
113,15.22,-5008.673633908462,-983.3778931433194,209.0,-4464.652777777775,104.0,True,1
114,15.349,-4977.0,-988.0,117.8937952,-4461.12949274327,20.150041599999998,True,1
115,15.38,-4968.685674480726,-989.6542046417107,96.0,-4460.386111111108,0.0,False,1
116,15.66,-4885.309823013471,-1013.5553504720798,95.0,-4452.9972222222195,0.0,False,1
117,15.709,-4872.0,-1019.0,94.26500096,-4451.719881882952,0.0,False,1
118,15.86,-4836.344048361194,-1037.2654537838387,92.0,-4447.886111111108,0.0,False,1
119,15.949,-4828.0,-1042.0,91.01111182222222,-4445.665088267771,0.0,False,1
120,15.989,-4828.0,-1042.0,90.56666737777778,-4444.6752187586735,0.0,False,1
121,16.22,-4778.178043962919,-1078.0010056534543,88.0,-4439.086111111108,0.0,False,1
122,16.249,-4772.0,-1083.0,87.2750016,-4438.402467325531,0.0,False,1
123,16.38,-4753.045244717615,-1101.5129591720886,84.0,-4435.3527777777745,0.0,False,1
124,16.449,-4744.0,-1113.0,84.0,-4433.755994311385,0.0,False,1
125,16.54,-4729.575059104686,-1133.086207055728,84.0,-4431.619444444442,0.0,False,1
126,16.629,-4716.0,-1154.0,85.73537572476918,-4429.443634124154,7.93314617037344,False,1
127,16.869,-4695.0,-1199.0,90.41504396570596,-4423.305862711989,29.325915271798696,False,1
128,16.899,-4693.028026171345,-1204.2667822836427,91.0,-4422.544722222219,32.0,False,1
129,17.069,-4683.0,-1237.0,91.0,-4418.27287299422,32.0,False,1
130,17.139,-4679.329737385268,-1254.9768418347867,91.0,-4416.478055555553,32.0,False,1
131,17.269,-4675.0,-1296.0,94.2500032,-4413.035814303186,36.8750048,False,1
132,17.409,-4677.0,-1346.0,97.7500032,-4409.136332463693,42.1250048,False,1
133,17.459,-4678.118572251709,-1359.1723627873098,99.0,-4407.678055555552,44.0,False,1
134,17.739,-4687.898170232144,-1397.4203710945858,111.0,-4399.044722222219,51.0,True,1
135,17.769,-4690.0,-1404.0,110.84999936,-4398.120710958869,43.34996736,True,1
136,17.939,-4706.328939511189,-1455.5492802492722,110.0,-4392.933611111108,0.0,True,1
137,17.989,-4712.0,-1471.0,110.0,-4391.40789955265,0.0,True,1
138,18.099,-4725.356664853867,-1501.5294110532575,110.0,-4388.044722222219,0.0,True,1
139,18.229,-4742.0,-1534.0,110.0,-4384.059119249601,0.0,True,1
140,18.299,-4750.981691802473,-1551.1781239338281,110.0,-4381.933611111108,0.0,True,1
141,18.369,-4760.0,-1569.0,109.1249984,-4379.834221976813,0.0,True,1
142,18.539,-4781.970066283936,-1617.9245457653744,107.0,-4374.800277777775,0.0,True,1
143,18.628,-4792.0,-1642.0,107.0,-4372.159549521696,0.0,True,1
144,18.939,-4812.003602291682,-1712.808812961265,107.0,-4362.911388888886,0.0,True,1
145,18.988,-4812.0,-1729.0,106.86388835555556,-4361.458851339985,0.0,True,1
146,19.228,-4800.0,-1828.0,106.19722168888889,-4354.380351653464,0.0,True,1
147,19.299,-4794.8918730001205,-1850.8204378153791,106.0,-4352.311388888886,0.0,True,1
148,19.459,-4781.997483222266,-1884.6087836892032,104.0,-4347.689166666663,0.0,True,1
149,19.659,-4766.616390155084,-1910.0081835208596,104.0,-4341.911388888886,0.0,True,1
150,19.668,-4766.0,-1911.0,104.0,-4341.651779426433,0.0,True,1
151,19.819,-4756.588081694615,-1925.7455550818588,104.0,-4337.289166666664,0.0,True,1
152,19.948,-4743.0,-1943.0,104.0,-4333.507851712324,0.0,True,1
153,20.019,-4730.9614111323535,-1956.8960372506178,104.0,-4331.511388888886,0.0,True,1
154,20.128,-4709.0,-1980.0,99.15554702222222,-4328.663651684761,0.0,True,1
155,20.379,-4664.225468581379,-2013.7957684767243,88.0,-4322.711388888886,0.0,True,1
156,20.408,-4661.0,-2016.0,87.85499904,-4322.021634186608,0.0,True,1
157,20.579,-4645.787607033735,-2025.1805133687228,87.0,-4317.878055555552,0.0,True,1
158,20.589,-4644.0,-2026.0,87.18182050909091,-4317.627952951512,0.6590993454545454,True,1
159,20.809,-4579.0,-2052.0,91.18182050909091,-4311.877555545661,15.159099345454544,True,1
160,21.019,-4537.688281053641,-2060.9546983467208,95.0,-4306.266944444442,29.0,True,1
161,21.129,-4520.0,-2062.0,95.0,-4303.389648439232,29.0,True,1
162,21.219,-4504.431114176232,-2062.623651005509,95.0,-4300.989166666664,29.0,True,1
163,21.469,-4451.0,-2060.0,101.23582814222448,-4293.79851993923,39.7709758820241,True,1
164,21.629,-4402.0,-2049.0,105.22675610989303,-4288.952041627948,46.66439691708796,True,1
165,21.66,-4391.006490866107,-2045.002223663906,106.0,-4288.004166666664,48.0,False,1
166,21.86,-4310.91270811185,-2000.0862995439002,111.0,-4281.837499999997,48.0,False,1
167,21.889,-4299.0,-1990.0,111.43499904,-4280.942648008393,50.02999552,False,1
168,22.06,-4229.20174240939,-1910.5147325847809,114.0,-4275.504166666664,62.0,False,1
169,22.3,-4148.164272531802,-1784.6816865445167,133.0,-4266.637499999997,74.0,False,1
170,22.309,-4146.0,-1781.0,133.0,-4266.303818758152,74.0,False,1
171,22.54,-4107.12162078811,-1703.484890348148,133.0,-4257.77083333333,74.0,False,1
172,22.589,-4098.0,-1682.0,135.62499657142857,-4255.849700327826,74.0,False,1
173,22.709,-4072.0,-1617.0,142.053568,-4250.927670193801,74.0,False,1
174,22.82,-4051.8463717086875,-1554.420455916256,148.0,-4246.259722222219,74.0,False,1
175,22.909,-4042.0,-1522.0,149.90714148571428,-4242.487230529199,74.0,False,1
176,23.089,-4039.0,-1512.0,153.76428434285714,-4234.759671525058,74.0,False,1
177,23.1,-4038.638971919659,-1508.7362086497287,154.0,-4234.281944444441,74.0,False,1
178,23.26,-4026.4642693033234,-1401.1053761494788,158.0,-4227.259722222219,100.0,False,1
179,23.409,-4019.0,-1284.0,160.48333226666668,-4220.596168027733,100.0,False,1
180,23.5,-4022.329213106222,-1237.3536386461808,162.0,-4216.459722222219,100.0,False,1
181,23.609,-4031.0,-1195.0,163.63909757069356,-4211.4329766462415,100.0,False,1
