,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,-8325.0,-7058.0,0.0,-5609.570534567761,25.0,False,1
1,0.219,-8325.000000000002,-7058.000000000001,0.0,-5609.498611111123,25.0,False,1
2,0.448,-8325.0,-7058.0,4.2937536,-5609.114847581101,25.0,False,1
3,0.539,-8325.000000000002,-7058.000000000001,6.0,-5608.965277777789,25.0,False,1
4,0.628,-8325.0,-7058.0,6.0,-5608.848391847877,24.4437488,False,1
5,0.699,-8325.0,-7058.0,6.0,-5608.698611111123,24.0,False,1
6,1.049,-8325.0,-7058.0,17.83823962352941,-5606.401171995313,24.514706070588236,False,1
7,1.379,-8325.0,-7057.999999999999,29.0,-5603.220833333346,25.0,False,1
8,1.389,-8325.0,-7058.0,29.106762859436053,-5603.128580890608,25.17793809906009,False,1
9,1.569,-8325.0,-7058.0,31.028469731437053,-5601.5097940004,28.38078288572842,False,1
10,1.66,-8325.0,-7058.0,32.0,-5600.723055555567,30.0,False,1
11,1.729,-8325.0,-7058.0,32.0,-5600.141106084809,35.1749952,False,1
12,1.82,-8325.0,-7058.0,32.0,-5599.3008333333455,42.0,False,1
13,2.109,-8325.0,-7058.0,44.6437472,-5595.243008590551,50.4291648,False,1
14,2.3,-8325.000000000002,-7058.0,53.0,-5592.234166666679,56.0,False,1
15,2.369,-8325.0,-7058.0,53.0,-5591.204079794645,56.0,False,1
16,2.5,-8325.000000000002,-7058.000000000001,53.0,-5589.289722222234,56.0,False,1
17,2.569,-8325.0,-7058.0,53.0,-5588.269653081807,56.0,False,1
18,2.66,-8325.000000000002,-7058.000000000001,53.0,-5586.934166666679,56.0,False,1
19,2.809,-8325.0,-7058.0,53.0,-5584.833772219012,56.0,False,1
20,2.9,-8325.000000000002,-7058.0,53.0,-5583.400833333345,56.0,False,1
21,3.029,-8325.0,-7058.0,60.16666311111111,-5580.989020377777,55.641666844444444,False,1
22,3.26,-8325.000000000004,-7058.000000000004,73.0,-5576.100833333345,55.0,False,1
23,3.309,-8325.0,-7058.0,73.0,-5575.101749239477,55.0,False,1
24,3.549,-8325.0,-7058.0,73.0,-5570.319114740446,55.0,False,1
25,3.619,-8325.00000000007,-7058.000000000063,73.0,-5568.821111111123,55.0,False,1
26,3.859,-8325.000000000264,-7058.000000000242,89.0,-5562.88777777779,68.0,False,1
27,3.929,-8325.0,-7058.0,99.5000192,-5560.681562502235,69.458336,False,1
28,4.099,-8324.999999998563,-7057.99999999869,125.0,-5554.554444444456,73.0,False,1
29,4.379,-8324.99999999907,-7057.9999999991505,140.0,-5543.665555555567,100.0,False,1
30,4.409,-8325.0,-7058.0,140.7500032,-5542.483768275676,100.0,False,1
31,4.539,-8325.000000006148,-7058.000000005601,144.0,-5537.2655555555675,100.0,False,1
32,4.669,-8325.0,-7058.0,152.125008,-5531.581155190623,100.0,False,1
33,4.859,-8324.999999941127,-7057.999999946368,164.0,-5522.68777777779,100.0,False,1
34,5.029,-8325.0,-7058.0,168.7812536,-5514.573430443402,100.0,False,1
35,5.179,-8325.000000253978,-7058.0000002313745,173.0,-5507.310000000012,100.0,False,1
36,5.368,-8325.0,-7058.0,175.3625024,-5498.056651511911,100.0,False,1
37,5.419,-8324.999999626572,-7057.999999659804,176.0,-5495.576666666679,100.0,False,1
38,5.568,-8325.0,-7058.0,176.0,-5488.370663153662,100.0,False,1
39,5.619,-8325.000001947623,-7058.000001774296,176.0,-5485.7988888889,100.0,False,1
40,5.728,-8325.0,-7058.0,183.26667946666666,-5480.005513584222,100.0,False,1
41,5.888,-8325.0,-7058.0,193.93334613333334,-5470.933258202253,100.0,False,1
42,5.979,-8325.00014051485,-7058.000128009722,200.0,-5465.7988888889,100.0,False,1
43,6.139,-8325.000490872928,-7058.000447187661,200.0,-5456.910000000012,100.0,False,1
44,6.248,-8325.0,-7058.0,200.0,-5450.906500089943,100.0,False,1
45,6.299,-8324.99950758004,-7057.999551402985,200.0,-5448.021111111123,100.0,False,1
46,6.428,-8325.0,-7058.0,209.6750144,-5440.366221760584,100.0,False,1
47,6.499,-8325.003914402902,-7058.003566040366,215.0,-5436.076666666679,100.0,False,1
48,6.648,-8325.0,-7058.0,217.23500288,-5427.094152657759,100.0,False,1
49,6.699,-8324.984556716974,-7057.985931092921,218.0,-5423.965555555567,100.0,False,1
50,6.928,-8325.0,-7058.0,226.5875072,-5409.402570387816,100.0,False,1
51,7.019,-8325.200686742153,-7058.182826612862,230.0,-5403.521111111123,100.0,False,1
52,7.168,-8325.0,-7058.0,231.8625024,-5393.879093657487,100.0,False,1
53,7.259,-8323.854901111195,-7056.956809259114,233.0,-5387.987777777789,100.0,False,1
54,7.469,-8325.0,-7058.0,233.0,-5374.394420250109,100.0,False,1
55,7.809,-8325.0,-7058.0,233.0,-5352.390302539635,100.0,False,1
56,7.939,-8312.482483163414,-7046.596480364731,233.0,-5343.976666666678,100.0,False,1
57,7.949,-8325.0,-7058.0,233.0,-5343.329441868708,100.1990073322915,False,1
58,8.14,-9089.599471416293,-7754.553893175254,233.0,-5330.967500000012,104.0,True,1
59,8.54,-11911.110487460608,-10324.964358176074,233.0,-5305.078611111123,100.0,True,1
60,8.7,-9933.677610927209,-8523.513245359192,233.0,-5294.723055555567,100.0,True,1
61,8.769,-8325.0,-7058.0,233.0,-5290.265896977443,100.0,True,1
62,8.9,-4235.29543415178,-3329.7949453116757,233.0,-5281.778611111123,100.0,True,1
63,8.949,-3034.0,-2226.0,233.68055466666667,-5278.573652544521,86.38890666666667,True,1
64,9.26,-3066.380895380391,-2068.001287949659,238.0,-5257.978611111123,0.0,True,1
65,9.329,-3356.0,-2297.0,238.0,-5253.4191834141775,0.0,True,1
66,9.46,-3433.7799557609783,-2323.6847178575745,238.0,-5244.756388888901,0.0,True,1
67,9.489,-3435.0,-2314.0,238.0,-5242.8284665351475,0.0,True,1
68,9.62,-3521.3341396810674,-2328.0287272485557,238.0,-5234.178611111123,0.0,True,1
69,9.689,-3591.0,-2348.0,233.17000448,-5229.800706862441,0.0,True,1
70,9.82,-3733.108299866702,-2378.940422312371,224.0,-5221.734166666679,0.0,True,1
71,9.849,-3767.0,-2386.0,223.2750016,-5219.955445494384,0.0,True,1
72,10.02,-3972.8393197372293,-2430.969074748222,219.0,-5209.567500000012,0.0,True,1
73,10.029,-3982.0,-2433.0,218.70676886140257,-5209.03172214291,0.0,True,1
74,10.419,-4196.40824466624,-2480.61497850317,206.0,-5186.735833333345,0.0,True,1
75,10.469,-4226.0,-2487.0,205.0624976,-5183.916359793854,0.0,True,1
76,10.579,-4304.552890295209,-2503.787263252316,203.0,-5177.713611111123,0.0,True,1
77,10.649,-4363.0,-2516.0,203.0,-5173.763967557727,0.0,True,1
78,10.899,-4604.7091835215115,-2563.58997398832,203.0,-5159.669166666678,0.0,True,1
79,10.969,-4657.0,-2572.0,203.0,-5155.739711639878,0.0,True,1
80,11.059,-4705.58774745665,-2577.510586132069,203.0,-5150.6469444444565,0.0,True,1
81,11.219,-4769.635649770028,-2573.470667258797,203.0,-5141.624722222234,0.0,True,1
82,11.249,-4787.0,-2571.0,196.2499712,-5140.1210456889075,0.0,True,1
83,11.379,-4885.951306016603,-2554.1683673314615,167.0,-5134.202500000012,0.0,True,1
84,11.549,-5022.0,-2526.0,164.8749984,-5126.399949703197,0.0,True,1
85,11.619,-5059.109178057798,-2516.0054908471357,164.0,-5123.269166666679,0.0,True,1
86,11.779,-5109.759309337266,-2494.6619415424975,154.0,-5116.424722222234,3.0,True,1
87,11.869,-5142.0,-2477.0,153.54999936,-5112.603904750836,3.45000064,True,1
88,11.979,-5192.416187292099,-2447.9234897603583,153.0,-5107.924722222234,4.0,False,1
89,12.168,-5287.0,-2388.0,153.0,-5099.863571103832,15.2218864,False,1
90,12.299,-5337.59022534813,-2348.2558020613856,153.0,-5094.324722222234,23.0,False,1
91,12.348,-5357.0,-2331.0,152.50999808,-5092.273340590016,25.20500864,False,1
92,12.608,-5474.0,-2209.0,149.90999808,-5081.534461577697,36.90500864,False,1
