,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,2606.0202557840275,-1708.0099547892264,0.0,-5927.707032186932,38.0,True,1
1,0.075,2606.031851739166,-1708.0158219551795,0.0,-5927.711388888888,38.0,True,1
2,0.206,2606.0,-1708.0,0.0,-5927.729365967067,38.0,True,1
3,0.315,2605.9241903168054,-1707.9623424829829,0.0,-5927.711388888888,38.0,True,1
4,0.446,2606.0,-1708.0,2.0888389847706264,-5927.605505380373,38.0,True,1
5,0.754,2608.8703932035137,-1710.3063400806257,7.0,-5926.857777777777,38.0,False,1
6,0.846,2612.0,-1714.0,11.271428571428572,-5926.438274859711,37.67142857142857,False,1
7,1.006,2620.0,-1724.0,18.7,-5925.4937328681535,37.1,False,1
8,1.034,2621.288602237049,-1725.6143489497188,20.0,-5925.302222222222,37.0,False,1
9,1.354,2633.417929516863,-1740.3248008864568,30.0,-5922.635555555555,38.0,False,1
10,1.366,2634.0,-1741.0,30.2,-5922.524362235847,38.3,False,1
11,1.594,2648.0929846139657,-1756.9904597649256,34.0,-5920.368888888888,44.0,False,1
12,1.606,2649.0,-1758.0,34.0,-5920.260940379209,44.0,False,1
13,1.806,2666.0,-1777.0,34.0,-5918.496318680197,44.0,False,1
14,1.874,2671.9665152899192,-1784.0688599854616,34.0,-5917.724444444443,44.0,False,1
15,2.026,2686.0,-1801.0,47.24481679530405,-5915.511751207286,55.98340567194175,False,1
16,2.115,2695.4204345337207,-1811.853946585321,55.0,-5914.042499999999,63.0,False,1
17,2.266,2713.0,-1832.0,60.93214537142857,-5911.417561314951,67.31428754285714,False,1
18,2.395,2728.8223939495033,-1851.099580883355,66.0,-5908.909166666665,71.0,False,1
19,2.526,2746.0,-1872.0,75.17000448,-5906.014715855162,71.65500032,False,1
20,2.595,2755.6540462175085,-1883.5021048387573,80.0,-5904.464722222221,72.0,False,1
21,2.686,2769.0,-1899.0,80.0,-5902.47058151754,72.0,False,1
22,2.755,2779.560141582644,-1910.8170610762825,80.0,-5900.909166666665,72.0,False,1
23,2.846,2794.0,-1927.0,83.6968776,-5898.693091591643,72.0,False,1
24,3.075,2832.9710297023385,-1973.6015239749893,93.0,-5892.642499999999,72.0,False,1
25,3.086,2835.0,-1976.0,93.0,-5892.353129418975,72.0,False,1
26,3.305,2878.0,-2026.0,93.0,-5886.669715436306,72.0,False,1
27,3.385,2894.0,-2045.0,93.0,-5884.6295231250015,72.0,False,1
28,3.395,2896.049856771375,-2047.4245880649694,93.0,-5884.375833333333,72.0,False,1
29,3.595,2939.726488034001,-2098.359908700984,93.0,-5879.209166666666,104.0,True,1
30,3.605,2942.0,-2101.0,93.63889706666667,-5878.929148318959,103.166656,True,1
31,3.865,3003.0,-2172.0,110.25000817777777,-5870.726592390116,81.49998933333333,True,1
32,3.955,3024.498818557421,-2197.29134697722,116.0,-5867.609166666666,74.0,False,1
33,4.125,3070.0,-2251.0,124.5000064,-5861.437887826468,84.0937576,False,1
34,4.275,3122.841945953629,-2313.048340945331,132.0,-5855.875833333333,93.0,False,1
35,4.365,3157.0,-2353.0,132.0,-5852.562468027386,93.0,False,1
36,4.595,3244.3878213494663,-2454.5981348298656,132.0,-5844.142499999999,93.0,False,1
37,4.766,3300.0,-2519.0,132.0,-5837.873057545736,93.0,False,1
38,4.835,3318.3792196515687,-2540.264553473852,132.0,-5835.342499999999,93.0,False,1
39,4.995,3352.0780520950707,-2579.202599390087,132.0,-5829.475833333332,93.0,False,1
40,5.206,3416.0,-2654.0,132.0,-5821.739181887103,101.28928822857142,False,1
41,5.275,3447.664886668164,-2691.2919270617,132.0,-5819.209166666666,104.0,True,1
42,5.426,3523.0,-2780.0,132.0,-5813.672490584769,104.0,True,1
43,5.555,3571.749368853401,-2836.8742682222223,132.0,-5808.942499999999,104.0,True,1
44,5.806,3646.0,-2923.0,132.0,-5799.739165270536,104.0,True,1
45,5.915,3685.463832609458,-2969.539341151676,132.0,-5795.742499999999,104.0,True,1
46,5.966,3707.0,-2995.0,132.0,-5793.872497419648,104.0,True,1
47,6.075,3761.3133081764668,-3059.2222895936293,132.0,-5789.875833333333,104.0,True,1
48,6.226,3844.0,-3157.0,132.0,-5784.339166119995,104.0,True,1
49,6.275,3869.0845397747917,-3186.658868849323,132.0,-5782.542499999999,104.0,True,1
50,6.475,3962.108093198582,-3296.6244055650413,132.0,-5775.209166666666,104.0,True,1
51,6.715,4056.389353413369,-3407.955388480698,132.0,-5766.409166666665,104.0,True,1
52,6.915,4136.676902788817,-3502.203445235117,132.0,-5759.075833333332,104.0,True,1
53,7.006,4175.0,-3547.0,132.0,-5755.740773213946,104.0,True,1
54,7.075,4204.8053120699615,-3581.764371062086,132.0,-5753.209166666666,104.0,True,1
55,7.346,4326.0,-3724.0,132.0,-5743.253031542149,104.0,True,1
56,7.395,4347.967864950699,-3750.3907095394584,132.0,-5741.475833333332,104.0,True,1
57,7.446,4371.0,-3778.0,132.0,-5739.637808780923,104.0,True,1
58,7.646,4464.0,-3887.0,132.0,-5732.469189466772,104.0,True,1
59,7.754,4513.973178254174,-3946.1861194404596,132.0,-5728.312499999999,104.0,True,1
60,7.906,4583.0,-4028.0,155.56,-5721.807684098269,104.0,True,1
61,7.954,4604.353716280697,-4052.8982558080793,163.0,-5719.256944444443,104.0,True,1
62,8.186,4708.0,-4173.0,227.96,-5702.408606010654,101.68,True,1
63,8.346,4786.0,-4266.0,272.76,-5689.335781898562,100.08,True,1
64,8.354,4789.976397675379,-4270.680716388682,275.0,-5688.701388888888,100.0,False,1
65,8.506,4866.0,-4359.0,277.28,-5676.947443126834,100.0,False,1
66,8.554,4889.894317554376,-4386.912346664757,278.0,-5673.256944444443,100.0,False,1
67,8.666,4947.0,-4454.0,279.1957298097036,-5664.579152585951,100.0,False,1
68,8.835,5044.557178628596,-4568.389819493781,281.0,-5651.323333333332,100.0,True,1
69,8.986,5132.0,-4671.0,281.83888924444443,-5639.335662710838,58.05553777777778,True,1
70,9.195,5237.798700538042,-4795.829794117214,283.0,-5623.023333333333,0.0,True,1
71,9.206,5243.0,-4802.0,282.1291616,-5622.194481085052,0.0,True,1
72,9.346,5307.0,-4878.0,271.04582826666666,-5611.897175519178,0.0,True,1
73,9.435,5346.936690338354,-4924.835411221969,264.0,-5605.423333333332,0.0,True,1
74,9.506,5377.0,-4960.0,264.0,-5600.238847386295,0.0,True,1
75,9.795,5489.377905067724,-5093.831639506795,264.0,-5579.023333333333,0.0,True,1
76,9.825,5506.0,-5114.0,264.0,-5576.822285567857,0.0,True,1
77,10.005,5620.0,-5253.0,264.0,-5563.624616869435,0.0,True,1
78,10.035,5633.961229604623,-5270.006055937513,264.0,-5561.423333333332,0.0,True,1
79,10.355,5690.837248218428,-5340.500985569459,264.0,-5537.956666666666,104.0,True,1
80,10.385,5698.0,-5350.0,264.0,-5535.7722908642845,104.0,True,1
81,10.555,5758.660447978033,-5431.154054493508,264.0,-5523.289999999999,104.0,True,1
82,10.705,5811.0,-5504.0,264.0,-5512.184814369462,104.0,True,1
83,10.715,5813.5702007219925,-5507.785118944007,264.0,-5511.5566666666655,104.0,True,1
84,10.915,5846.486863964918,-5563.870016611303,170.0,-5502.112222222221,0.0,False,1
85,10.945,5851.0,-5573.0,169.8124992,-5500.782585302859,3.9375167999999996,False,1
86,11.235,5902.136304262983,-5691.681360426401,168.0,-5487.178888888888,42.0,False,1
87,11.286,5910.0,-5715.0,168.0,-5484.782113989043,39.87499733333333,False,1
88,11.475,5932.972920332663,-5801.711611982957,168.0,-5475.978888888888,32.0,False,1
89,11.506,5936.0,-5815.0,167.87083306666668,-5474.541619018956,32.516667733333335,False,1
90,11.686,5950.0,-5893.0,167.12083306666668,-5466.200183529207,35.516667733333335,False,1
91,11.715,5951.693679679525,-5909.472043123089,167.0,-5464.845555555555,36.0,False,1
