,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,3428.014861144188,-2669.0097870538866,0.0,-5296.126412562356,35.0,True,1
1,0.075,3428.023401772939,-2669.015505780662,0.0,-5296.129444444448,35.0,True,1
2,0.206,3428.0,-2669.0,0.0,-5296.141952894353,35.0,True,1
3,0.315,3427.9443019113196,-2668.9630950035867,0.0,-5296.129444444448,35.0,False,1
4,0.446,3428.0,-2669.0,1.492027846264733,-5296.055770705653,36.79043341551768,False,1
5,0.754,3430.2814573290816,-2671.003614589227,5.0,-5295.519722222226,41.0,False,1
6,0.846,3433.0,-2674.0,8.285714285714285,-5295.211832450178,41.32857142857143,False,1
7,1.006,3440.0,-2682.0,14.0,-5294.501828536998,41.9,False,1
8,1.034,3441.0894689279007,-2683.2621277462094,15.0,-5294.35305555556,42.0,False,1
9,1.354,3450.532830475723,-2694.4514280847998,24.0,-5292.219722222226,37.0,False,1
10,1.366,3451.0,-2695.0,24.15,-5292.131664012589,36.95,False,1
11,1.594,3462.3211607470666,-2708.2062306734056,27.0,-5290.4197222222265,36.0,False,1
12,1.606,3463.0,-2709.0,27.0,-5290.330229923401,36.0,False,1
13,1.806,3475.0,-2723.0,27.0,-5288.848793407527,36.0,False,1
14,1.874,3479.1667288563026,-2727.744771260184,27.0,-5288.319722222226,36.0,False,1
15,2.026,3489.0,-2739.0,30.153527808405727,-5287.054640923593,36.63070556168115,False,1
16,2.115,3495.5965941031836,-2746.92968475429,32.0,-5286.177500000004,37.0,False,1
17,2.266,3508.0,-2762.0,40.08928914285714,-5284.361635860083,39.15714377142857,False,1
18,2.395,3519.4024533481474,-2775.360169742047,47.0,-5282.521944444448,41.0,False,1
19,2.526,3532.0,-2790.0,54.20500352,-5280.422227115773,39.68999936,False,1
20,2.595,3539.1601953863565,-2798.4155578572054,58.0,-5279.299722222227,39.0,False,1
21,2.686,3549.0,-2810.0,58.0,-5277.85336853057,40.7062512,False,1
22,2.755,3556.6120202649777,-2818.9065990148924,58.0,-5276.721944444448,42.0,False,1
23,2.846,3567.0,-2831.0,60.5593768,-5275.120370954067,43.9906264,False,1
24,3.075,3595.5767598396105,-2864.306746254927,67.0,-5270.766388888893,49.0,False,1
25,3.086,3597.0,-2866.0,67.0,-5270.558786130503,49.0,False,1
26,3.305,3626.0,-2901.0,67.0,-5266.484172143978,49.0,False,1
27,3.385,3637.0,-2914.0,67.0,-5264.997236309736,49.0,False,1
28,3.395,3638.4151395223203,-2915.653721921804,67.0,-5264.8108333333375,49.0,False,1
29,3.595,3668.463759057227,-2950.2221432492856,67.0,-5261.088611111115,49.0,False,1
30,3.605,3670.0,-2952.0,67.0833344,-5260.906202973925,49.305559466666665,False,1
31,3.865,3710.0,-2999.0,69.25000106666667,-5256.152160523241,57.25000391111111,False,1
