,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,2553.0152373639394,-1646.0045657648159,0.0,-5821.616530307501,29.0,True,1
1,0.075,2553.0239872234424,-1646.0073807231338,0.0,-5821.619914052671,29.0,True,1
2,0.206,2553.0,-1646.0,0.0,-5821.633868048575,29.0,True,1
3,0.315,2552.942908492363,-1645.9824332894475,0.0,-5821.619914052671,29.0,True,1
4,0.446,2553.0,-1646.0,1.7904334155176798,-5821.5377261671065,29.89521670775884,True,1
5,0.754,2555.3020580548764,-1647.7177115429795,6.0,-5820.888247386005,32.0,False,1
6,0.846,2558.0,-1651.0,10.271428571428572,-5820.492576835882,32.65714285714286,False,1
7,1.006,2565.0,-1660.0,17.7,-5819.591507823069,33.8,False,1
8,1.034,2566.1376515797165,-1661.4159344648233,19.0,-5819.410469608227,34.0,False,1
9,1.354,2577.420831544116,-1674.3129877925196,29.0,-5816.832691830449,39.0,False,1
10,1.366,2578.0,-1675.0,29.5,-5816.71563687608,39.3,False,1
11,1.594,2592.1247819377136,-1691.985941702462,39.0,-5814.232691830449,45.0,False,1
12,1.606,2593.0,-1693.0,39.3,-5814.092029763877,45.128571428571426,False,1
13,1.806,2609.0,-1711.0,44.3,-5811.602925054432,47.27142857142857,False,1
14,1.874,2614.744674223538,-1717.5655613034821,46.0,-5810.654914052671,48.0,False,1
15,2.026,2628.0,-1733.0,52.93776117849259,-5808.313593049629,51.15352780840573,False,1
16,2.115,2636.063277483654,-1742.4785737846212,57.0,-5806.839080719338,53.0,False,1
17,2.266,2651.0,-1760.0,61.314287542857144,-5804.207467330041,55.15714377142857,False,1
18,2.395,2666.09077419863,-1777.422430636067,65.0,-5801.7835251637825,57.0,False,1
19,2.526,2683.0,-1797.0,70.24000256,-5799.127560370022,62.24000256,False,1
20,2.595,2692.2798276010703,-1807.8836685170052,73.0,-5797.727969608227,65.0,False,1
21,2.686,2705.0,-1823.0,73.0,-5795.932276953657,65.0,False,1
22,2.755,2715.093446708113,-1835.1915613723804,73.0,-5794.483525163782,65.0,False,1
23,2.846,2729.0,-1852.0,79.5406296,-5792.326402867514,68.9812528,False,1
24,3.075,2767.05486920225,-1896.730647401174,96.0,-5785.9501918304495,79.0,False,1
25,3.086,2769.0,-1899.0,96.4812528,-5785.626774933898,79.0,False,1
26,3.305,2810.0,-1947.0,106.0625056,-5778.944227022875,79.0,False,1
27,3.385,2826.0,-1966.0,109.5625056,-5776.479335804175,79.0,False,1
28,3.395,2828.0250086430256,-1968.3796165797933,110.0,-5776.172414052671,79.0,False,1
