,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,3031.9999748578543,-2205.9891926563796,0.0,-5690.671808661132,23.0,True,1
1,0.075,3032.0000711767307,-2205.9832925655182,0.0,-5690.672189198827,23.0,True,1
2,0.206,3032.0,-2206.0,0.0,-5690.673767744938,23.0,True,1
3,0.315,3031.9998305936956,-2206.039765028477,0.0,-5690.672189198827,23.0,True,1
4,0.446,3032.0,-2206.0,0.0,-5690.662891692361,28.669705815805987,True,1
5,0.754,3032.5857045538646,-2205.9953018347915,0.0,-5690.672189198827,42.0,True,1
6,0.846,3034.0,-2208.0,0.0,-5690.711352765645,43.97142857142857,True,1
7,1.006,3038.0,-2214.0,0.0,-5690.710286404653,47.4,True,1
8,1.034,3038.658257854138,-2214.9223759896827,0.0,-5690.672189198827,48.0,False,1
9,1.354,3045.607012098075,-2222.5852011290785,14.0,-5689.427744754383,45.0,False,1
10,1.366,3046.0,-2223.0,14.5,-5689.357846900284,44.5,False,1
11,1.594,3055.4812838489943,-2233.391020698416,24.0,-5687.827744754382,35.0,False,1
12,1.606,3056.0,-2234.0,24.0,-5687.745094574791,35.0,False,1
13,1.806,3065.0,-2245.0,24.0,-5686.39449943461,35.0,False,1
14,1.874,3068.9527870785623,-2249.5836842935946,24.0,-5685.9610780877165,35.0,False,1
15,2.026,3079.0,-2261.0,24.0,-5685.039355869326,36.26141112336229,False,1
16,2.115,3084.754897504953,-2267.7438528245516,24.0,-5684.35441142105,37.0,False,1
17,2.266,3095.0,-2280.0,32.62857508571429,-5682.744171535249,33.2249984,False,1
18,2.395,3105.428083740417,-2292.4595649804783,40.0,-5681.243300309939,30.0,False,1
19,2.526,3117.0,-2306.0,40.0,-5679.847687726088,33.2750016,False,1
20,2.595,3123.2288968105145,-2313.0673167664218,40.0,-5679.021078087716,35.0,False,1
21,2.686,3132.0,-2323.0,46.8250048,-5677.738162787469,35.0,False,1
22,2.755,3139.467615422576,-2331.6433007476144,52.0,-5676.709966976605,35.0,False,1
23,2.846,3150.0,-2344.0,52.0,-5675.376067855811,37.5593768,False,1
24,3.075,3177.6068790369477,-2376.4181651852177,52.0,-5672.087744754383,44.0,False,1
25,3.086,3179.0,-2378.0,52.0,-5671.929754665967,44.171876,False,1
26,3.305,3208.0,-2411.0,52.0,-5668.774337597381,47.593752,False,1
27,3.385,3219.0,-2425.0,52.0,-5667.611399601407,48.843752,False,1
28,3.395,3220.4279555798107,-2426.7638435642707,52.0,-5667.46552253216,49.0,False,1
29,3.595,3251.4028457935433,-2462.16001520618,52.0,-5664.576633643272,49.0,False,1
30,3.605,3253.0,-2464.0,52.0,-5664.43940448423,49.0,False,1
31,3.865,3295.0,-2514.0,52.0,-5660.987976106405,49.0,False,1
32,3.955,3309.7051495723967,-2531.037524339505,52.0,-5659.376633643272,49.0,False,1
33,4.125,3341.0,-2567.0,71.6562648,-5655.382424901656,61.2187592,False,1
34,4.275,3377.802763215911,-2610.506207177007,89.0,-5651.46552253216,72.0,False,1
35,4.365,3402.0,-2639.0,89.0,-5649.195668694574,72.0,False,1
36,4.595,3465.8525279686482,-2712.564617039801,89.0,-5643.55441142105,72.0,False,1
37,4.766,3508.0,-2761.0,89.0,-5639.328230525156,72.0,False,1
38,4.835,3522.347901014177,-2777.707211189184,89.0,-5637.621078087716,72.0,True,1
39,4.995,3549.780043489771,-2810.2227847122003,89.0,-5633.66552253216,104.0,True,1
40,5.206,3600.0,-2870.0,89.0,-5628.425848627878,104.0,True,1
41,5.275,3623.9850856910816,-2898.3833663576374,89.0,-5626.743300309939,104.0,True,1
42,5.426,3678.0,-2962.0,89.0,-5623.148359606721,89.43927954285715,True,1
43,5.555,3705.383794202788,-2993.6250903119426,89.0,-5619.821078087716,77.0,True,1
44,5.806,3766.0,-3064.0,106.43056,-5611.961284689425,81.1833344,True,1
45,5.915,3831.755323265964,-3142.236428121969,114.0,-5608.4210780877165,83.0,True,1
46,5.966,3861.0,-3177.0,114.0,-5606.794376866363,83.0,True,1
47,6.075,3907.062240782342,-3231.410716457852,114.0,-5603.35441142105,83.0,True,1
48,6.226,3952.0,-3284.0,114.0,-5598.573823994537,83.0,True,1
49,6.275,3967.7079964900113,-3302.451427846867,114.0,-5597.021078087716,83.0,True,1
50,6.475,4038.3225804206227,-3385.75289780624,114.0,-5590.687744754383,83.0,True,1
51,6.715,4134.751429877815,-3500.0662700414396,114.0,-5583.087744754383,83.0,True,1
52,6.915,4211.3460236565015,-3590.569862290287,114.0,-5576.75441142105,86.0,True,1
53,7.006,4244.0,-3629.0,114.0,-5574.0411431682705,86.0,True,1
54,7.075,4267.8438061773595,-3656.9932135806575,114.0,-5571.687744754383,86.0,False,1
55,7.346,4363.0,-3769.0,170.7406384,-5558.202256133971,90.234376,False,1
56,7.395,4383.28593150369,-3793.190871186593,181.0,-5555.5988558654935,91.0,False,1
57,7.446,4405.0,-3819.0,181.0,-5552.929128825703,91.0,False,1
58,7.646,4490.0,-3918.0,181.0,-5542.833269595527,91.0,False,1
59,7.754,4535.793906926836,-3971.490615430392,181.0,-5537.5491336432715,91.0,False,1
60,7.906,4600.0,-4047.0,181.0,-5530.130996943743,91.0,False,1
61,7.954,4620.179107442565,-4070.81709438581,181.0,-5527.493578087716,91.0,False,1
62,8.186,4718.0,-4186.0,223.34,-5511.704148008087,96.22,False,1
63,8.346,4788.0,-4267.0,252.54,-5499.8505485142505,99.82,False,1
64,8.354,4791.618818610762,-4271.219865857302,254.0,-5499.271355865494,100.0,False,1
65,8.506,4862.0,-4354.0,255.52,-5488.46752283435,100.0,False,1
66,8.554,4884.095488391157,-4380.021620862714,256.0,-5485.0491336432715,100.0,False,1
67,8.666,4936.0,-4441.0,258.7900362226417,-5476.966234640085,100.0,False,1
68,8.835,5019.868929470331,-4538.802865867304,263.0,-5464.520522532161,100.0,False,1
69,8.986,5096.0,-4628.0,266.7750016,-5453.193431771036,100.0,False,1
70,9.195,5197.623278199475,-4748.663449055704,272.0,-5437.320522532161,100.0,False,1
