,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,3076.9998534469323,-2259.004997137424,0.0,-5609.459979459609,18.0,True,1
1,0.075,3076.9999373969335,-2259.0079968494447,0.0,-5609.459973174068,18.0,True,1
2,0.206,3077.0,-2259.0,0.0,-5609.459947100399,18.0,True,1
3,0.315,3077.0001490002983,-2258.980966859617,0.0,-5609.459973174068,18.0,True,1
4,0.446,3077.0,-2259.0,0.0,-5609.460126745827,18.0,True,1
5,0.754,3077.8725971346857,-2260.4477916835394,0.0,-5609.459973174068,18.0,False,1
6,0.846,3080.0,-2263.0,0.0,-5609.459326289026,18.0,False,1
7,1.006,3086.0,-2270.0,0.0,-5609.459343902666,18.0,False,1
8,1.034,3086.973447759567,-2271.140441739622,0.0,-5609.459973174068,18.0,False,1
9,1.354,3096.4972338800026,-2282.413982780311,0.0,-5609.459973174068,18.0,False,1
10,1.366,3097.0,-2283.0,0.0,-5609.45792882009,18.0,False,1
11,1.594,3109.2672144093176,-2297.1594725769664,0.0,-5609.459973174068,18.0,False,1
12,1.606,3110.0,-2298.0,0.0,-5609.470626702877,18.0,False,1
13,1.806,3123.0,-2313.0,0.0,-5609.691776077523,18.0,False,1
14,1.874,3127.6701178387175,-2318.5904846441654,0.0,-5609.459973174068,18.0,False,1
15,2.026,3139.0,-2332.0,22.074694658840073,-5608.089495064916,18.0,False,1
16,2.115,3146.7115736238725,-2340.4110960182547,35.0,-5607.116917618513,18.0,False,1
17,2.266,3161.0,-2356.0,35.0,-5605.6181888447745,20.157143771428572,False,1
18,2.395,3173.409746273683,-2371.179636122109,35.0,-5604.39469539629,22.0,False,1
19,2.526,3187.0,-2388.0,35.0,-5603.128567272124,22.0,False,1
20,2.595,3194.9014180246054,-2397.276496711786,35.0,-5602.450250951846,22.0,False,1
21,2.686,3206.0,-2410.0,35.0,-5601.543311301638,22.0,False,1
22,2.755,3214.828121655702,-2420.0654901569937,35.0,-5600.89469539629,22.0,False,1
23,2.846,3227.0,-2434.0,35.0,-5600.141633889157,22.0,False,1
24,3.075,3260.2937736217978,-2472.994864432931,35.0,-5597.783584285179,22.0,True,1
25,3.086,3262.0,-2475.0,36.71876,-5597.596739557874,22.0,True,1
26,3.305,3298.0,-2517.0,70.93752,-5592.490658005244,22.0,True,1
27,3.385,3312.0,-2533.0,83.43752,-5590.474282059829,22.0,True,1
28,3.395,3313.783180303101,-2535.051511906521,85.0,-5590.2280287296235,22.0,False,1
29,3.595,3351.054102114235,-2578.7116471811228,85.0,-5585.505806507402,22.0,False,1
30,3.605,3353.0,-2581.0,85.0,-5585.272432958056,22.0,False,1
31,3.865,3406.0,-2643.0,85.0,-5579.168610279032,22.0,False,1
32,3.955,3425.025532207683,-2664.9225111838277,85.0,-5577.005806507402,22.0,False,1
33,4.125,3465.0,-2711.0,87.1250016,-5572.824185904771,65.5625328,False,1
34,4.275,3509.9418416389585,-2763.7343640336985,89.0,-5569.09469539629,104.0,True,1
35,4.365,3539.0,-2798.0,89.0,-5566.86508907816,104.0,True,1
36,4.595,3614.577401342047,-2887.2610901907506,89.0,-5561.18358428518,104.0,True,1
37,4.766,3662.0,-2943.0,89.0,-5556.956782398373,104.0,True,1
38,4.835,3677.113020412844,-2960.5995193986296,89.0,-5555.250250951846,104.0,True,1
39,4.995,3703.3420943872065,-2990.689159387565,89.0,-5551.29469539629,104.0,True,1
40,5.206,3769.0,-3068.0,89.0,-5546.099479689202,104.0,True,1
41,5.275,3805.847773800769,-3111.9203990906617,89.0,-5544.372473174069,104.0,True,1
42,5.426,3894.0,-3217.0,91.15714377142857,-5540.512216678978,104.0,True,1
43,5.555,3943.807948248074,-3275.4453500356562,93.0,-5537.139139840735,104.0,True,1
44,5.806,4008.0,-3350.0,93.0,-5530.472756487417,104.0,True,1
45,5.915,4047.65116912192,-3397.8166807482453,93.0,-5527.839139840735,104.0,True,1
46,5.966,4067.0,-3421.0,93.0,-5526.6997318565645,104.0,True,1
47,6.075,4107.452617741858,-3468.595783198686,93.0,-5523.705806507402,104.0,True,1
48,6.226,4163.0,-3533.0,167.74503168,-5515.823874717977,104.0,True,1
49,6.275,4181.3963048777805,-3554.438966645444,192.0,-5513.039139840735,104.0,True,1
50,6.475,4258.43483926333,-3644.810499135824,192.0,-5502.372473174069,104.0,True,1
51,6.715,4354.878501887431,-3759.005010893101,192.0,-5489.572473174068,104.0,True,1
52,6.915,4437.671494944947,-3856.8441416232704,192.0,-5478.905806507401,104.0,True,1
53,7.006,4476.0,-3902.0,192.0,-5474.052707431153,104.0,True,1
54,7.075,4505.336408182017,-3936.5054113511187,192.0,-5470.372473174069,104.0,True,1
55,7.346,4622.0,-4073.0,192.0,-5455.919115906616,104.0,True,1
56,7.395,4643.079159272115,-4097.459615240146,192.0,-5453.305806507402,104.0,True,1
57,7.446,4665.0,-4123.0,192.0,-5450.585810286823,104.0,True,1
58,7.646,4751.0,-4225.0,192.0,-5439.919073630489,104.0,True,1
59,7.754,4797.852918780915,-4279.579504783556,192.0,-5434.1591398407345,104.0,True,1
60,7.906,4864.0,-4356.0,192.0,-5426.052654127039,104.0,True,1
61,7.954,4884.811457030645,-4380.2642162292095,192.0,-5423.492473174068,104.0,True,1
62,8.186,4985.0,-4498.0,192.0,-5411.115915988472,104.0,True,1
63,8.346,5054.0,-4579.0,192.0,-5402.585428556279,104.0,True,1
64,8.354,5057.449970421083,-4583.081432367082,192.0,-5402.1591398407345,104.0,True,1
65,8.506,5123.0,-4661.0,192.0,-5394.059391219376,104.0,True,1
66,8.554,5143.695180374493,-4685.370183372783,192.0,-5391.492473174068,104.0,True,1
67,8.666,5192.0,-4742.0,192.0,-5385.476136549147,104.0,True,1
68,8.835,5265.0559100842465,-4828.7310621483675,192.0,-5376.505806507402,104.0,True,1
69,8.986,5330.0,-4906.0,192.0,-5368.850209031668,104.0,True,1
70,9.195,5420.047821164153,-5012.1604933912395,192.0,-5357.305806507402,104.0,True,1
71,9.206,5425.0,-5018.0,194.750016,-5356.605219419483,99.2333056,True,1
72,9.346,5490.0,-5095.0,229.750016,-5346.901333360229,38.56663893333333,True,1
73,9.435,5531.481215388819,-5145.0335108622485,252.0,-5340.505806507402,0.0,True,1
74,9.506,5563.0,-5183.0,252.0,-5335.4657754455075,0.0,True,1
75,9.795,5685.570745550628,-5332.270712624812,252.0,-5315.305806507402,0.0,True,1
76,9.825,5704.0,-5357.0,252.0,-5313.210512890018,0.0,True,1
77,10.005,5827.0,-5529.0,252.0,-5300.607057586431,0.0,True,1
78,10.035,5839.713259939912,-5547.529600321298,252.0,-5298.505806507402,0.0,True,1
79,10.355,5801.235061036004,-5509.229464391582,252.0,-5276.105806507401,0.0,True,1
80,10.385,5788.0,-5492.0,252.0,-5274.005919773524,0.0,True,1
81,10.555,5691.208725621893,-5362.111563361517,252.0,-5262.105806507401,0.0,True,1
82,10.705,5640.0,-5289.0,252.0,-5251.605751401858,0.0,True,1
83,10.715,5639.661496612586,-5288.10227629536,252.0,-5250.905806507401,0.0,True,1
84,10.915,5696.758460890244,-5353.355198253148,252.0,-5236.905806507401,0.0,True,1
85,10.945,5708.0,-5367.0,252.0,-5234.8046376553075,0.0,True,1
86,11.235,5802.549935900852,-5490.489416446529,252.0,-5214.505806507402,0.0,True,1
87,11.286,5817.0,-5513.0,252.0,-5210.950872129944,22.100027733333334,True,1
88,11.475,5865.147601528328,-5601.188523930466,252.0,-5197.705806507402,104.0,True,1
89,11.506,5872.0,-5616.0,252.0,-5195.490437219102,104.0,True,1
90,11.686,5907.0,-5705.0,252.0,-5182.762849009744,104.0,True,1
91,11.715,5912.597456363658,-5720.722547071101,252.0,-5180.905806507401,104.0,True,1
92,11.946,5949.0,-5886.0,205.7999872,-5168.244163094481,104.0,True,1
93,11.995,5950.083610303109,-5940.6545403769,196.0,-5165.661362062957,104.0,True,1
94,12.195,5926.522049029715,-6239.23629411053,196.0,-5154.772473174068,0.0,True,1
95,12.366,5896.0,-6428.0,196.0,-5145.25305934477,0.0,True,1
96,12.435,5884.698407040585,-6463.093240860725,196.0,-5141.705806507402,0.0,True,1
97,12.486,5877.0,-6483.0,188.3499904,-5139.26523416903,0.0,True,1
98,12.646,5855.0,-6552.0,164.3499904,-5132.306544051953,0.0,True,1
99,12.675,5849.997737542701,-6565.909768151992,160.0,-5131.039139840735,0.0,True,1
100,12.875,5804.740466366142,-6671.263531025203,160.0,-5122.150250951846,0.0,True,1
101,12.986,5782.0,-6717.0,155.6392832,-5117.461770252985,0.0,True,1
102,13.155,5757.210052186605,-6756.9289595889595,149.0,-5110.561362062957,0.0,True,1
103,13.226,5746.0,-6772.0,149.0,-5107.637859679964,0.0,True,1
104,13.435,5699.281683631774,-6829.019804934579,149.0,-5098.972473174068,0.0,True,1
105,13.526,5663.0,-6860.0,149.0,-5095.203266072962,0.0,True,1
106,13.675,5579.150925889354,-6916.938371596301,149.0,-5089.039139840735,0.0,True,1
107,13.726,5554.0,-6933.0,149.0,-5086.930243257558,0.0,True,1
108,13.915,5502.863585435074,-6964.290097468875,149.0,-5079.105806507401,0.0,False,1
109,14.115,5467.573355960868,-6971.9295141637585,149.0,-5070.828028729624,0.0,False,1
110,14.166,5447.0,-6976.0,147.71966400812346,-5068.769960624679,0.0,False,1
111,14.354,5335.6735432104815,-6997.67251911821,143.0,-5061.334417618513,0.0,False,1
112,14.426,5300.0,-7004.0,143.0,-5058.48092953472,0.0,False,1
113,14.594,5259.129397082192,-7008.485764650946,143.0,-5051.801084285179,0.0,False,1
114,14.726,5230.0,-7007.0,143.0,-5046.556132881024,42.9,False,1
115,14.886,5167.0,-7004.0,143.0,-5040.202072908031,94.9,False,1
116,14.914,5156.1081675603955,-7003.234602450472,143.0,-5039.089973174068,104.0,True,1
117,15.074,5099.630312620627,-6996.806503651134,143.0,-5032.734417618512,104.0,True,1
118,15.186,5052.0,-6984.0,143.0,-5028.285510112658,104.0,True,1
119,15.275,5004.8105270709475,-6966.895614833748,143.0,-5024.750250951845,104.0,True,1
120,15.466,4902.0,-6922.0,143.0,-5017.163306644676,104.0,True,1
121,15.555,4872.997134229872,-6906.57662571952,143.0,-5013.628028729624,104.0,True,1
122,15.795,4835.774212432699,-6879.12155402955,143.0,-5004.09469539629,0.0,False,1
123,15.806,4834.0,-6878.0,143.0,-5003.657748444179,0.0,False,1
124,16.035,4774.093751807793,-6831.172641080048,143.0,-4994.561362062957,0.0,False,1
125,16.086,4739.0,-6790.0,143.0,-4992.5355261767245,0.0,False,1
126,16.195,4627.230291249811,-6648.3729908540445,143.0,-4988.205806507402,0.0,False,1
127,16.286,4557.0,-6551.0,143.0,-4984.591081716085,0.0,False,1
128,16.345,4544.0,-6525.0,143.0,-4982.247468035082,0.0,False,1
129,16.435,4521.121075099737,-6480.3647636878695,143.0,-4978.672473174068,0.0,False,1
130,16.665,4440.0,-6340.0,143.0,-4969.53635705358,0.0,False,1
131,16.675,4437.293121470915,-6335.28227658865,143.0,-4969.139139840735,0.0,False,1
132,16.955,4385.390439932514,-6241.611108809281,143.0,-4958.016917618513,104.0,True,1
133,16.985,4379.0,-6230.0,143.0,-4956.825247605544,103.57142674285714,True,1
134,17.235,4309.887932482396,-6106.4193196436945,143.0,-4946.89469539629,100.0,True,1
135,17.265,4301.0,-6091.0,143.0,-4945.703013497995,100.0,True,1
136,17.385,4266.0,-6031.0,143.0,-4940.936279535457,100.0,True,1
137,17.626,4196.0,-5909.0,143.0,-4931.363213907411,100.0,True,1
138,17.675,4176.351331389175,-5877.48261450274,143.0,-4929.416917618512,100.0,True,1
139,17.906,4072.0,-5719.0,143.0,-4920.241829624712,100.0,True,1
140,18.035,4035.5837674185614,-5666.504947683905,143.0,-4915.116917618512,100.0,True,1
141,18.235,3993.1178112002453,-5611.88128227161,143.0,-4907.172473174068,100.0,True,1
142,18.246,3990.0,-5608.0,143.0,-4906.73615767398,100.0,True,1
143,18.435,3925.0476827302186,-5528.891538920688,143.0,-4899.2280287296235,100.0,True,1
144,18.466,3914.0,-5516.0,143.0,-4897.984986496185,100.0,True,1
145,18.595,3869.449830692156,-5466.218443397443,143.0,-4892.872473174068,100.0,True,1
146,18.626,3859.0,-5455.0,143.0,-4891.705054863828,100.0,True,1
147,18.906,3757.0,-5359.0,143.0,-4880.639595188392,100.0,True,1
148,18.915,3752.6954687870048,-5355.649330032117,143.0,-4880.161362062957,100.0,True,1
149,19.075,3662.777880552007,-5291.948416274663,219.0,-4870.428028729623,70.0,False,1
150,19.186,3607.0,-5256.0,219.0,-4863.660585481806,70.0,False,1
151,19.235,3587.9679366239566,-5244.590904831742,219.0,-4860.694695396291,70.0,False,1
152,19.395,3547.2717550269335,-5224.688184062799,219.0,-4850.961362062957,70.0,False,1
153,19.506,3519.0,-5213.0,219.0,-4844.1993975713885,70.0,False,1
154,19.686,3444.0,-5187.0,219.0,-4833.251893914025,70.0,False,1
155,19.715,3421.833166931802,-5181.8198581069155,219.0,-4831.49469539629,70.0,False,1
156,19.926,3211.0,-5143.0,219.0,-4818.692067351825,70.0,False,1
157,19.955,3189.584929642964,-5139.551978696263,219.0,-4816.89469539629,70.0,False,1
158,20.155,3119.6671717055087,-5132.173656937672,219.0,-4804.7280287296235,70.0,True,1
159,20.386,3073.0,-5134.0,173.37748736,-4795.074564927221,47.47749376,True,1
160,20.486,3027.0,-5131.0,153.62748736,-4791.6456764091445,37.727493759999994,True,1
161,20.555,2995.0450119998,-5128.280636187991,140.0,-4789.172473174068,31.0,True,1
162,20.746,2911.0,-5118.0,140.0,-4781.870727715685,14.552772266666667,True,1
163,20.915,2837.9558386353515,-5104.238096228964,140.0,-4775.172473174068,0.0,True,1
164,21.006,2799.0,-5094.0,140.3807533038987,-4771.584964451601,0.0,True,1
165,21.154,2736.3233347840987,-5072.335275633625,141.0,-4765.811639840735,0.0,False,1
166,21.186,2723.0,-5067.0,141.0,-4764.580758506215,0.0,False,1
167,21.346,2658.0,-5037.0,141.0,-4758.464596502106,0.0,False,1
168,21.434,2623.572988664245,-5017.498145203969,141.0,-4754.8449731740675,0.0,False,1
169,21.546,2581.0,-4990.0,153.32,-4749.840481248639,14.0,False,1
170,21.634,2548.3720252668595,-4966.841051030607,163.0,-4745.789417618512,25.0,False,1
171,21.806,2488.0,-4918.0,163.0,-4737.9703496609,15.947366816153675,False,1
172,21.995,2429.998371452427,-4859.7747160100935,163.0,-4729.444139840734,6.0,False,1
173,22.106,2400.0,-4824.0,163.0,-4724.423314024623,6.0,False,1
174,22.275,2359.9380643052546,-4767.72976622937,163.0,-4716.766362062956,6.0,False,1
175,22.326,2349.0,-4750.0,163.0,-4714.454782566754,6.0,False,1
176,22.426,2329.0,-4714.0,163.0,-4709.928135716087,6.0,False,1
177,22.435,2327.300576008786,-4710.68119682035,163.0,-4709.521917618512,6.0,False,1
178,22.626,2295.0,-4638.0,162.1318178909091,-4700.950908122108,19.022731636363638,False,1
179,22.875,2260.3918797699603,-4538.516661918983,161.0,-4689.844139840734,36.0,True,1
180,22.885,2259.0,-4534.0,161.0,-4689.397439160959,36.0,True,1
181,23.145,2223.0,-4409.0,161.0,-4677.769298799239,36.0,True,1
182,23.155,2221.808377978461,-4404.856469305533,161.0,-4677.321917618512,36.0,True,1
183,23.385,2198.0,-4324.0,161.0,-4667.035388298942,36.0,True,1
184,23.395,2196.9386019692465,-4320.4022291495785,161.0,-4666.5885842851785,36.0,True,1
185,23.555,2178.5384603515217,-4257.646743997152,161.0,-4659.433028729623,36.0,True,1
186,23.645,2165.0,-4211.0,161.0,-4655.374733046429,57.857173942857145,True,1
187,23.835,2126.5821318514,-4077.797673818914,161.0,-4646.9108065074015,104.0,True,1
188,23.945,2106.0,-4008.0,155.95832746666667,-4642.272473952547,104.0,True,1
189,24.075,2088.281020555336,-3951.1580087009343,150.0,-4636.9108065074015,104.0,True,1
190,24.315,2065.2081576829173,-3893.9694190124355,150.0,-4626.9108065074015,104.0,True,1
191,24.386,2055.0,-3873.0,150.0,-4623.951561656396,104.0,True,1
192,24.475,2039.3821208484112,-3842.337159387854,150.0,-4620.2441398407345,104.0,True,1
193,24.586,2008.0,-3793.0,150.0,-4615.619395547064,104.0,True,1
194,24.715,1944.224198261357,-3715.123119251124,150.0,-4610.2441398407345,104.0,True,1
195,24.766,1918.0,-3686.0,150.0,-4608.119109600405,104.0,True,1
196,24.875,1867.866947357117,-3635.4774383924055,150.0,-4603.577473174068,104.0,True,1
197,25.186,1764.0,-3558.0,150.0,-4590.619142535519,104.0,True,1
198,25.315,1734.0616051338552,-3538.8633727423726,150.0,-4585.2441398407345,104.0,True,1
199,25.526,1686.0,-3512.0,150.0,-4576.452474335861,104.0,True,1
200,25.595,1664.7925795272715,-3500.823923033738,150.0,-4573.577473174068,104.0,True,1
201,25.786,1579.0,-3465.0,150.0,-4565.619104467065,104.0,True,1
202,25.915,1481.482746508918,-3439.394233425989,150.0,-4560.2441398407345,104.0,True,1
203,26.006,1419.0,-3425.0,150.0,-4556.452543530979,104.0,True,1
204,26.075,1386.0829304409176,-3417.868884704722,150.0,-4553.577473174068,104.0,True,1
205,26.235,1355.5444935718917,-3413.509617053954,150.0,-4546.9108065074015,104.0,True,1
206,26.406,1297.0,-3411.0,150.0,-4539.792243798291,104.0,True,1
207,26.555,1187.8608163423553,-3403.977010258397,150.0,-4533.577473174068,104.0,True,1
208,26.626,1142.0,-3401.0,150.0,-4530.606805089198,104.0,True,1
209,26.795,1087.2792479939903,-3397.864454109709,150.0,-4523.577473174068,104.0,True,1
210,26.906,1055.0,-3396.0,150.0,-4519.076827539714,104.0,True,1
211,27.115,950.7868863336904,-3388.5247759994063,150.0,-4510.2441398407345,104.0,True,1
212,27.126,945.0,-3388.0,151.1343816,-4509.732948826068,100.6999808,True,1
213,27.435,791.5957768425644,-3366.636226259632,183.0,-4493.977473174068,8.0,True,1
