,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,3189.024968561727,-2390.014708992681,0.0,-5472.524789226275,22.0,True,1
1,0.075,3189.0392406255223,-2390.023275306778,0.0,-5472.521111111107,22.0,True,1
2,0.206,3189.0,-2390.0,0.0,-5472.505846117625,22.5458336,True,1
3,0.315,3188.9066041771302,-2389.944602910882,0.0,-5472.521111111107,23.0,True,1
4,0.446,3189.0,-2390.0,0.0,-5472.611020664333,23.0,True,1
5,0.754,3192.4219919924917,-2392.8602072608305,0.0,-5472.521111111107,23.0,False,1
6,0.846,3196.0,-2397.0,6.571428571428571,-5472.142388191374,23.0,False,1
7,1.006,3205.0,-2408.0,18.0,-5471.157144652344,23.0,False,1
8,1.034,3206.4004085361603,-2409.731460746594,20.0,-5470.965555555551,23.0,False,1
9,1.354,3219.296594419602,-2425.219517818572,30.0,-5468.298888888884,27.0,False,1
10,1.366,3220.0,-2426.0,30.75,-5468.170818509327,27.65,False,1
11,1.594,3237.0614500132624,-2444.8816336274763,45.0,-5465.298888888884,40.0,False,1
12,1.606,3238.0,-2446.0,45.51428571428571,-5465.126302477722,40.34285714285714,False,1
13,1.806,3254.0,-2466.0,54.08571428571429,-5461.979828568055,46.05714285714286,False,1
14,1.874,3260.540246655528,-2473.5767542948165,57.0,-5460.8655555555515,48.0,False,1
15,2.026,3277.0,-2492.0,59.52282224672458,-5458.355962934912,52.41493893176801,False,1
16,2.115,3287.044579032154,-2503.6865549222625,61.0,-5456.78194444444,55.0,False,1
17,2.266,3305.0,-2525.0,67.47143131428571,-5453.827314591783,53.38214217142857,False,1
18,2.395,3321.7335431370357,-2544.650787431459,73.0,-5451.104166666662,52.0,False,1
19,2.526,3340.0,-2566.0,76.93000192,-5448.22614533388,50.68999936,False,1
20,2.595,3350.1129180785633,-2577.824001399714,79.0,-5446.715277777774,50.0,False,1
21,2.686,3364.0,-2594.0,79.0,-5444.760533487139,55.1187536,False,1
22,2.755,3374.9760929993026,-2606.679067221033,79.0,-5443.204166666662,59.0,False,1
