,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,2751.005081596803,-1877.0101584636304,0.0,-5400.417380352823,19.0,True,1
1,0.075,2751.0081282819956,-1877.0160837460085,0.0,-5400.422263995505,19.0,True,1
2,0.206,2751.0,-1877.0,0.0,-5400.44242804465,19.0,True,1
3,0.315,2750.9806540396485,-1876.9617193999004,0.0,-5400.422263995505,19.0,True,1
4,0.446,2751.0,-1877.0,2.0888389847706264,-5400.303499408279,19.0,True,1
5,0.754,2752.4524165082294,-1879.0239519286974,7.0,-5399.568652884394,19.0,False,1
6,0.846,2755.0,-1882.0,10.285714285714285,-5399.203408491298,19.0,False,1
7,1.006,2762.0,-1890.0,16.0,-5398.406722460628,19.0,False,1
8,1.034,2763.1512586554913,-1891.3096943686835,17.0,-5398.246430662171,19.0,False,1
9,1.354,2774.4467098606,-1904.3375653278688,26.0,-5395.93531955106,19.0,False,1
10,1.366,2775.0,-1905.0,26.5,-5395.828361619074,20.25,False,1
11,1.594,2788.191889615366,-1921.0188263008788,36.0,-5393.535319551061,44.0,False,1
12,1.606,2789.0,-1922.0,36.3,-5393.404836770794,44.3,False,1
13,1.806,2804.0,-1940.0,41.3,-5391.086637583305,49.3,False,1
14,1.874,2809.8187464901243,-1946.7535642886874,43.0,-5390.190875106616,51.0,False,1
15,2.026,2824.0,-1963.0,50.56846674017374,-5387.948407336385,54.78423337008687,False,1
16,2.115,2832.868599024931,-1973.2837092648338,55.0,-5386.508930662172,57.0,False,1
17,2.266,2849.0,-1992.0,60.39285942857143,-5383.8851597856565,59.15714377142857,False,1
18,2.395,2864.0888578963327,-2009.1976371447665,65.0,-5381.4533751066165,61.0,False,1
19,2.526,2880.0,-2028.0,70.24000256,-5378.804079601287,67.5500032,False,1
20,2.595,2888.350332829949,-2038.5282782803479,73.0,-5377.397819551061,71.0,False,1
21,2.686,2900.0,-2053.0,73.0,-5375.5729203528235,73.843752,False,1
22,2.755,2909.953257705874,-2064.3486733775812,73.0,-5374.153375106616,76.0,False,1
23,2.846,2924.0,-2080.0,75.5593768,-5372.172663835022,76.0,False,1
24,3.075,2961.066740483848,-2123.7732631667545,82.0,-5366.864486217727,76.0,False,1
25,3.086,2963.0,-2126.0,82.0,-5366.6107903447055,76.0,False,1
26,3.305,3004.0,-2173.0,82.0,-5361.6164147835025,76.0,False,1
27,3.385,3019.0,-2192.0,82.0,-5359.802337098473,76.0,False,1
28,3.395,3020.946119197117,-2194.4013725367945,82.0,-5359.575597328839,76.0,False,1
29,3.595,3062.9180109545173,-2242.6139713357984,82.0,-5355.020041773283,76.0,True,1
30,3.605,3065.0,-2245.0,82.11111253333333,-5354.788861229714,76.77778773333333,True,1
31,3.865,3117.0,-2306.0,85.00000142222223,-5348.626380474616,97.00000995555556,True,1
32,3.955,3135.1065398249475,-2326.973279786725,86.0,-5346.420041773283,104.0,True,1
33,4.125,3175.0,-2373.0,88.656252,-5342.146154614613,104.0,True,1
34,4.275,3224.5529706555035,-2431.0195896396926,91.0,-5338.331152884394,104.0,True,1
35,4.365,3257.0,-2469.0,91.0,-5336.051125187658,104.0,True,1
36,4.595,3339.760231460656,-2565.147225781142,91.0,-5330.242263995505,104.0,True,1
37,4.766,3393.0,-2627.0,91.0,-5325.919972933743,104.0,True,1
38,4.835,3410.9287254549145,-2647.9590252693993,91.0,-5324.175597328838,104.0,True,1
39,4.995,3444.6973432627365,-2687.7780533641494,91.0,-5320.131152884394,104.0,True,1
40,5.206,3507.0,-2761.0,91.0,-5314.797546761005,104.0,True,1
41,5.275,3537.080827128269,-2796.153729653391,91.0,-5313.053375106616,104.0,True,1
42,5.426,3608.0,-2879.0,91.0,-5309.236426391337,104.0,True,1
43,5.555,3653.481480448706,-2932.441824563527,91.0,-5305.975597328838,104.0,True,1
44,5.806,3727.0,-3019.0,91.0,-5299.630873798813,84.4777728,True,1
45,5.915,3770.643205414983,-3069.8300323808253,91.0,-5296.875597328838,76.0,False,1
46,5.966,3793.0,-3096.0,91.0,-5295.586429003476,76.0,False,1
47,6.075,3843.939000686074,-3156.1752721377848,91.0,-5292.831152884394,76.0,False,1
48,6.226,3917.0,-3243.0,91.0,-5289.01420682531,76.0,False,1
49,6.275,3939.8467227411747,-3270.0793931121925,91.0,-5287.775597328839,76.0,False,1
50,6.475,4028.5210713004417,-3374.778825662503,91.0,-5282.720041773283,76.0,False,1
51,6.715,4126.365763579409,-3489.583836448492,91.0,-5276.653375106616,104.0,True,1
52,6.915,4208.140149165527,-3586.0741862231594,91.0,-5271.597819551061,104.0,True,1
53,7.006,4246.0,-3631.0,91.0,-5269.297540163644,104.0,True,1
