,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,2956.9944499128305,-2118.0098380296017,0.0,-5653.713819606426,21.0,True,1
1,0.075,2956.99152874079,-2118.015585102818,0.0,-5653.721279969123,21.0,True,1
2,0.206,2957.0,-2118.0,0.0,-5653.752108009451,21.0,True,1
3,0.315,2957.020162273513,-2117.9629062105196,0.0,-5653.721279969123,21.0,True,1
4,0.446,2957.0,-2118.0,2.6856501232765195,-5653.5397053529305,23.088838984770625,True,1
5,0.754,2957.576714871971,-2120.006405762823,9.0,-5652.6237799691235,28.0,False,1
6,0.846,2960.0,-2123.0,11.3,-5652.275818849919,28.32857142857143,False,1
7,1.006,2967.0,-2131.0,15.299999999999999,-5651.539751765151,28.9,False,1
8,1.034,2968.1039142756435,-2132.268655969868,16.0,-5651.379335524679,29.0,False,1
9,1.354,2978.417065612094,-2144.342290639152,27.0,-5648.979335524679,31.0,False,1
10,1.366,2979.0,-2145.0,27.15,-5648.880618281073,31.15,False,1
11,1.594,2993.2291723297985,-2161.078904002688,30.0,-5646.979335524679,34.0,False,1
12,1.606,2994.0,-2162.0,30.12857142857143,-5646.880200808697,34.0,False,1
13,1.806,3007.0,-2178.0,32.27142857142857,-5645.175482831322,34.0,False,1
14,1.874,3012.428581266278,-2184.1269513694274,33.0,-5644.412668858012,34.0,False,1
15,2.026,3026.0,-2199.0,46.24481679530405,-5642.226700208963,36.52282224672458,False,1
16,2.115,3033.850893236322,-2208.1239381857476,54.0,-5640.797668858012,38.0,False,1
17,2.266,3048.0,-2225.0,57.7750016,-5638.306782662617,50.403576685714285,False,1
18,2.395,3062.558685876785,-2241.8868603260744,61.0,-5636.0532244135675,61.0,False,1
19,2.526,3079.0,-2261.0,66.24000256,-5633.595963692116,64.93000192,False,1
20,2.595,3088.029286938982,-2271.696897110097,69.0,-5632.219891080234,67.0,False,1
21,2.686,3100.0,-2286.0,73.5500032,-5630.309783759848,69.2750016,False,1
22,2.755,3108.812453837887,-2296.547017139084,77.0,-5628.797668858012,71.0,False,1
23,2.846,3121.0,-2311.0,79.5593768,-5626.728169031559,72.1375008,False,1
24,3.075,3159.070038647772,-2354.796953137228,86.0,-5621.153224413568,75.0,False,1
25,3.086,3161.0,-2357.0,86.4468776,-5620.872885412698,75.171876,False,1
26,3.305,3199.0,-2401.0,95.3437552,-5615.020039146315,78.593752,False,1
27,3.385,3212.0,-2417.0,98.5937552,-5612.658890048315,79.843752,False,1
28,3.395,3213.7259636638987,-2419.0665313985896,99.0,-5612.353224413568,80.0,False,1
29,3.595,3253.8505978581356,-2464.525585113592,116.0,-5605.908779969123,100.0,False,1
30,3.605,3256.0,-2467.0,116.0,-5605.587618115869,100.0,False,1
31,3.865,3314.0,-2536.0,116.0,-5597.3951253624655,100.0,False,1
32,3.955,3334.4005393549146,-2559.848729319902,116.0,-5594.308779969123,100.0,False,1
33,4.125,3377.0,-2609.0,128.2187592,-5587.876697482044,100.0,False,1
34,4.275,3425.2802911841522,-2665.1154066667987,139.0,-5581.953224413568,100.0,False,1
35,4.365,3456.0,-2701.0,139.0,-5578.450566232187,100.0,False,1
36,4.595,3532.7873425122943,-2791.3341794196954,139.0,-5569.597668858012,100.0,False,1
37,4.766,3581.0,-2848.0,139.0,-5562.988611803029,100.0,False,1
38,4.835,3596.92363005546,-2866.5734182179795,139.0,-5560.331002191346,100.0,False,1
39,4.995,3626.1088066046573,-2900.23338510268,139.0,-5554.153224413568,100.0,False,1
40,5.206,3691.0,-2976.0,145.7821449142857,-5545.504089635495,100.0,False,1
41,5.275,3725.369765879461,-3016.473335588293,148.0,-5542.642113302457,100.0,False,1
42,5.426,3808.0,-3114.0,148.0,-5536.424453089649,100.0,False,1
43,5.555,3859.620044840467,-3174.966332819786,148.0,-5531.131002191346,100.0,False,1
44,5.806,3935.0,-3264.0,148.0,-5520.810482941154,100.0,False,1
45,5.915,3976.0189105724176,-3312.3885438898733,148.0,-5516.331002191346,100.0,False,1
46,5.966,3996.0,-3336.0,148.0,-5514.236962473968,100.0,False,1
47,6.075,4038.836819209469,-3386.7716550312734,148.0,-5509.753224413568,100.0,False,1
48,6.226,4098.0,-3457.0,148.0,-5503.505474533227,100.0,False,1
49,6.275,4117.000193198514,-3479.505127053926,148.0,-5501.531002191346,100.0,False,1
50,6.475,4193.5232590426685,-3569.88445495171,148.0,-5493.308779969123,100.0,False,1
51,6.715,4284.156940612691,-3676.408441947639,206.0,-5479.57544663579,100.0,False,1
52,6.915,4365.065263313803,-3771.3397766802495,206.0,-5468.131002191346,100.0,False,1
53,7.006,4404.0,-3817.0,206.0,-5463.0446406721285,100.0,False,1
54,7.075,4434.406320766984,-3852.6496932866694,206.0,-5458.97544663579,100.0,False,1
55,7.346,4555.0,-3994.0,245.8031344,-5440.04682162114,100.0,False,1
56,7.395,4575.087987485066,-4017.5486750846953,253.0,-5436.486557746901,100.0,False,1
57,7.446,4596.0,-4042.0,253.85236860570586,-5432.797314175035,100.0,False,1
58,7.646,4683.0,-4143.0,257.19498639420857,-5418.456799572789,100.0,False,1
59,7.754,4728.7784370917325,-4196.8097498775405,259.0,-5410.658502191345,100.0,False,1
60,7.906,4793.0,-4273.0,262.8,-5399.544238959211,100.0,False,1
