,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,3224.010144697529,-2430.0097108557775,0.0,-5509.7013541914075,23.0,True,1
1,0.075,3224.016062323707,-2430.0154423550043,0.0,-5509.708611111111,23.0,True,1
2,0.206,3224.0,-2430.0,0.0,-5509.738595229416,23.0,True,1
3,0.315,3223.9617703866884,-2429.9632459617173,0.0,-5509.708611111111,23.0,True,1
4,0.446,3224.0,-2430.0,2.6856501232765195,-5509.532007126062,22.701594430747054,True,1
5,0.754,3226.023198124659,-2432.2929827787257,9.0,-5508.611111111111,22.0,False,1
6,0.846,3229.0,-2436.0,11.3,-5508.242212373247,22.32857142857143,False,1
7,1.006,3237.0,-2446.0,15.299999999999999,-5507.506715386189,22.9,False,1
8,1.034,3238.307931310533,-2447.5831078064184,16.0,-5507.366666666667,23.0,False,1
9,1.354,3251.3322311137235,-2462.2302793594795,23.0,-5505.322222222222,23.0,False,1
10,1.366,3252.0,-2463.0,23.75,-5505.21266905286,23.3,False,1
11,1.594,3268.044510879379,-2481.8755868958615,38.0,-5502.788888888889,29.0,False,1
12,1.606,3269.0,-2483.0,38.0,-5502.665908469533,29.0,False,1
13,1.806,3286.0,-2503.0,38.0,-5500.701444066816,29.0,False,1
14,1.874,3292.1642378277847,-2510.360483597346,38.0,-5499.833333333333,29.0,False,1
15,2.026,3307.0,-2528.0,52.50622791866633,-5497.315744997132,33.41493893176801,False,1
16,2.115,3316.780862152829,-2539.2432281126225,61.0,-5495.749722222222,36.0,False,1
17,2.266,3335.0,-2560.0,61.0,-5493.260303142157,42.47143131428572,False,1
18,2.395,3351.774550775008,-2579.5744050277963,61.0,-5491.005277777778,48.0,False,1
19,2.526,3370.0,-2601.0,68.86000384,-5488.365815126492,48.65500032,False,1
20,2.595,3380.108895399816,-2612.8319843771947,73.0,-5486.949722222223,49.0,False,1
21,2.686,3394.0,-2629.0,73.0,-5485.132123811117,49.0,False,1
22,2.755,3404.977433823233,-2641.673761035977,73.0,-5483.705277777778,49.0,False,1
23,2.846,3420.0,-2659.0,76.6968776,-5481.668394418615,50.1375008,False,1
24,3.075,3460.029323432724,-2705.696193363584,86.0,-5476.060833333333,53.0,False,1
25,3.086,3462.0,-2708.0,86.0,-5475.7914969814165,53.0,False,1
26,3.305,3503.0,-2756.0,86.0,-5470.497877275403,53.0,False,1
27,3.385,3520.0,-2776.0,86.0,-5468.644038347621,53.0,False,1
28,3.395,3522.167217460444,-2778.5391034501945,86.0,-5468.416388888889,53.0,False,1
29,3.595,3566.717197052011,-2830.3322334846252,86.0,-5463.6386111111115,53.0,False,1
30,3.605,3569.0,-2833.0,87.5000192,-5463.34283039366,53.80556586666667,False,1
31,3.865,3630.0,-2905.0,126.5000192,-5453.383852050462,74.75001031111111,False,1
32,3.955,3651.721996754196,-2930.69057947785,140.0,-5449.6386111111115,82.0,False,1
33,4.125,3698.0,-2985.0,143.1875024,-5442.7117852619795,82.0,False,1
34,4.275,3751.6998458578264,-3047.0969936501524,146.0,-5436.660833333333,82.0,False,1
35,4.365,3786.0,-3087.0,146.0,-5433.017798551887,82.0,False,1
36,4.595,3871.490477531575,-3188.5730533923065,146.0,-5423.683055555555,82.0,False,1
37,4.766,3926.0,-3254.0,146.0,-5416.7477588133315,82.0,False,1
38,4.835,3944.4687483852,-3276.1115426477695,146.0,-5413.949722222223,82.0,False,1
39,4.995,3979.55128352347,-3317.964639528,146.0,-5407.4608333333335,104.0,True,1
40,5.206,4044.0,-3394.0,146.0,-5398.903514000666,104.0,True,1
41,5.275,4074.9281206137503,-3430.3370299497997,146.0,-5396.105277777778,104.0,True,1
42,5.426,4148.0,-3516.0,146.0,-5389.981895081104,104.0,True,1
43,5.555,4195.731009419644,-3571.693865528608,146.0,-5384.749722222222,104.0,True,1
