,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,3330.004817743796,-2554.0043871572598,0.0,-5563.777187256948,21.0,True,1
1,0.075,3330.007772839086,-2554.0071579360306,0.0,-5563.7896013443105,21.0,True,1
2,0.206,3330.0,-2554.0,0.0,-5563.84089968781,21.0,True,1
3,0.315,3329.981500022162,-2553.9829635405476,0.0,-5563.7896013443105,21.0,True,1
4,0.446,3330.0,-2554.0,4.4760835387941995,-5563.487458329926,21.596811138505892,True,1
5,0.754,3331.7315092477925,-2556.0014721509115,15.0,-5561.960434677644,23.0,False,1
6,0.846,3335.0,-2560.0,18.285714285714285,-5561.378471922035,23.32857142857143,False,1
7,1.006,3344.0,-2571.0,24.0,-5560.234711617501,23.9,False,1
8,1.034,3345.4482056582515,-2572.723799057507,25.0,-5560.0159902332,24.0,False,1
9,1.354,3359.281736895009,-2588.1810465012336,33.0,-5557.082656899866,28.0,False,1
10,1.366,3360.0,-2589.0,33.4,-5556.954069668728,28.15,False,1
11,1.594,3377.0535863760947,-2608.8785888621405,41.0,-5554.349323566533,31.0,False,1
12,1.606,3378.0,-2610.0,41.0,-5554.215554301444,31.0,False,1
13,1.806,3394.0,-2629.0,41.0,-5552.031902761326,31.0,False,1
14,1.874,3400.0343112690093,-2635.938977028001,41.0,-5551.160434677644,31.0,False,1
15,2.026,3415.0,-2653.0,51.72199454857947,-5548.833817421059,31.0,False,1
16,2.115,3424.8066753734943,-2664.47200232007,58.0,-5547.277656899866,31.0,False,1
17,2.266,3443.0,-2686.0,64.47143131428571,-5544.36841357522,43.942862628571426,False,1
18,2.395,3459.7695622899596,-2705.7105209366355,70.0,-5541.833212455422,55.0,False,1
19,2.526,3478.0,-2727.0,70.0,-5539.370221522282,56.31000064,False,1
20,2.595,3488.1117991892356,-2738.7528090415894,70.0,-5537.944323566533,57.0,False,1
21,2.686,3502.0,-2755.0,79.6687568,-5535.811019720781,58.7062512,False,1
22,2.755,3512.963436094341,-2768.0553737533546,87.0,-5534.077656899866,60.0,False,1
23,2.846,3528.0,-2786.0,89.5593768,-5531.718538150992,59.1468744,False,1
24,3.075,3568.9087143144257,-2833.583179247096,96.0,-5525.5443235665325,57.0,False,1
25,3.086,3571.0,-2836.0,96.0,-5525.246765219014,57.0,False,1
26,3.305,3615.0,-2887.0,96.0,-5519.348407084738,57.0,False,1
27,3.385,3632.0,-2907.0,96.0,-5517.267021855428,57.0,False,1
28,3.395,3634.1618550734615,-2909.552730754273,96.0,-5517.0109902332,57.0,False,1
29,3.595,3678.750820857229,-2962.3535090157834,96.0,-5511.677656899866,57.0,False,1
30,3.605,3681.0,-2965.0,97.44446293333333,-5511.355721361864,57.9166784,False,1
31,3.865,3741.0,-3035.0,135.00001848888888,-5500.790563685559,81.75001173333334,False,1
32,3.955,3764.1527653753515,-3062.1241403594554,148.0,-5496.877656899866,90.0,False,1
33,4.125,3815.0,-3122.0,149.5937512,-5489.700216703247,94.7812536,False,1
34,4.275,3872.2854505931814,-3189.709431687308,151.0,-5483.455434677644,99.0,False,1
35,4.365,3908.0,-3232.0,151.0,-5479.690522037918,99.0,False,1
36,4.595,3993.517835920606,-3333.509017650081,151.0,-5470.033212455422,99.0,False,1
37,4.766,4047.0,-3397.0,151.0,-5462.860284975393,99.0,False,1
38,4.835,4065.238464918335,-3418.609220730195,151.0,-5459.966545788755,99.0,False,1
39,4.995,4100.19244889625,-3459.911910779974,151.0,-5453.255434677644,99.0,False,1
40,5.206,4164.0,-3535.0,151.0,-5444.405063765631,102.76785828571428,False,1
41,5.275,4194.395376893861,-3570.735627142734,151.0,-5441.5109902332,104.0,True,1
42,5.426,4266.0,-3655.0,151.0,-5435.1778385246025,104.0,True,1
43,5.555,4312.60193220176,-3710.154758441909,151.0,-5429.766545788755,104.0,True,1
44,5.806,4388.0,-3799.0,151.0,-5419.234302408516,104.0,True,1
45,5.915,4431.055740816684,-3848.709268483521,151.0,-5414.666545788755,104.0,True,1
46,5.966,4452.0,-3873.0,151.0,-5412.531514572757,104.0,True,1
47,6.075,4496.425541227957,-3925.1185411776173,151.0,-5407.955434677644,104.0,True,1
48,6.226,4558.0,-3998.0,151.0,-5401.562451168219,104.0,True,1
49,6.275,4578.243215384801,-4021.891898885907,151.0,-5399.566545788755,104.0,True,1
50,6.475,4662.234789629555,-4120.647637582076,151.0,-5391.177656899866,99.0,True,1
51,6.715,4765.864736159008,-4241.811755440592,238.0,-5375.3109902332,99.0,False,1
52,6.915,4854.223560388578,-4345.207950024812,244.0,-5361.755434677644,99.0,False,1
53,7.006,4895.0,-4393.0,244.0,-5355.610230181664,99.0,False,1
54,7.075,4926.157294637262,-4429.54918972219,244.0,-5350.910990233199,99.0,False,1
55,7.346,5050.0,-4575.0,251.6218768,-5331.933878928652,99.0,False,1
56,7.395,5072.481138878766,-4601.40818808343,253.0,-5328.42210134431,99.0,False,1
57,7.446,5096.0,-4629.0,254.42061434284312,-5324.74215720838,99.0,False,1
58,7.646,5190.0,-4739.0,259.9916439903476,-5310.100843120495,99.0,False,1
59,7.754,5240.963127581643,-4799.357893703547,263.0,-5302.195156899867,99.0,False,1
60,7.906,5313.0,-4885.0,263.0,-5291.11782371787,99.0,False,1
61,7.954,5335.938608575282,-4912.095317184037,263.0,-5287.584045788755,99.0,False,1
62,8.186,5448.0,-5044.0,268.8,-5270.093647942218,65.36,False,1
63,8.346,5526.0,-5137.0,272.8,-5257.861993279517,42.160000000000004,False,1
64,8.354,5529.885909597989,-5141.684821962491,273.0,-5257.250712455421,41.0,False,1
65,8.506,5603.0,-5231.0,273.76,-5245.655482560658,11.359999999999998,False,1
66,8.554,5625.570800148941,-5259.117645427028,274.0,-5242.0284902332,2.0,True,1
67,8.666,5677.0,-5324.0,270.0142339676547,-5233.659946398872,2.0,True,1
68,8.835,5750.693101332839,-5417.965305354286,264.0,-5221.421823566533,2.0,True,1
69,8.986,5809.0,-5500.0,253.93332906666666,-5211.077279144737,1.1611107555555555,True,1
70,9.195,5873.138697056366,-5614.753362204829,240.0,-5197.421823566533,0.0,True,1
71,9.206,5876.0,-5621.0,239.4958304,-5196.713537013463,0.0,True,1
72,9.346,5908.0,-5703.0,233.07916373333333,-5187.7841645703675,0.0,True,1
73,9.435,5924.110729877419,-5757.637895574452,229.0,-5182.155156899866,0.0,True,1
74,9.506,5935.0,-5800.0,228.2111104,-5177.678855075029,0.0,True,1
75,9.795,5960.372226290099,-5970.237033042026,225.0,-5159.655156899866,0.0,True,1
76,9.825,5960.0,-5997.0,223.99999573333332,-5157.8131997807,0.0,True,1
77,10.005,5947.0,-6184.0,217.99999573333332,-5146.943920198627,0.0,True,1
78,10.035,5944.617566882418,-6207.356323169747,217.0,-5145.188490233199,0.0,True,1
79,10.355,5919.677714073857,-6310.483760608881,201.0,-5127.321823566533,0.0,True,1
80,10.385,5916.0,-6323.0,201.0,-5125.658036139621,0.0,True,1
81,10.555,5888.96147519597,-6425.539709245869,201.0,-5116.155156899866,0.0,True,1
82,10.705,5863.0,-6522.0,201.0,-5107.754039175319,0.0,True,1
83,10.715,5861.397162207334,-6527.478530898545,201.0,-5107.221823566533,0.0,True,1
84,10.915,5831.041435876479,-6616.761155358857,177.0,-5097.388490233199,0.0,True,1
85,10.945,5826.0,-6629.0,176.1562464,-5095.95750352468,0.0,True,1
86,11.235,5765.73922083977,-6744.352413294182,168.0,-5082.455156899866,0.0,True,1
87,11.286,5753.0,-6763.0,164.812496,-5080.224305534201,0.0,True,1
88,11.475,5700.88060243144,-6825.890678650725,153.0,-5072.255156899866,0.0,True,1
89,11.506,5692.0,-6835.0,152.6124992,-5070.95450667304,0.0,True,1
90,11.686,5635.0,-6883.0,150.3624992,-5063.440642330676,0.0,True,1
91,11.715,5622.922947865662,-6891.061833170665,150.0,-5062.255156899866,0.0,True,1
92,11.946,5510.0,-6954.0,144.2249984,-5053.073330793074,2.475000685714286,True,1
93,11.995,5491.11433062033,-6963.107713113865,143.0,-5051.132934677644,3.0,False,1
94,12.195,5440.04452084458,-6981.530420586492,143.0,-5043.188490233199,24.0,False,1
95,12.366,5392.0,-6991.0,140.14999893333334,-5036.574431668907,26.850001066666668,False,1
96,12.435,5365.992660781082,-6995.75573241767,139.0,-5033.921823566533,28.0,False,1
97,12.486,5346.0,-6999.0,139.0,-5031.958227300881,30.125002666666667,False,1
98,12.646,5283.0,-7005.0,139.0,-5025.77912886268,36.79166933333333,False,1
99,12.675,5269.88999931755,-7005.3855297433665,139.0,-5024.655156899866,38.0,False,1
100,12.875,5164.162145017523,-7002.371784135676,140.0,-5016.877379122088,38.0,False,1
