,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,3374.9737204841085,-2605.9788617696804,0.0,-5593.592199566944,21.0,True,1
1,0.075,3374.9591605504493,-2605.9672162605116,0.0,-5593.593890533579,21.0,True,1
2,0.206,3375.0,-2606.0,0.0,-5593.600848791429,21.0,True,1
3,0.315,3375.097201151751,-2606.0780279183996,0.0,-5593.593890533579,21.0,True,1
4,0.446,3375.0,-2606.0,1.1936222770117864,-5593.552906968451,21.0,True,1
5,0.754,3373.854548878488,-2605.4296117386984,4.0,-5593.106112755801,21.0,False,1
6,0.846,3376.0,-2608.0,7.942857142857143,-5592.784167914964,21.0,False,1
7,1.006,3383.0,-2616.0,14.8,-5592.019113038994,21.0,False,1
8,1.034,3384.0776080404203,-2617.2442940163746,16.0,-5591.861668311357,21.0,False,1
9,1.354,3393.4357827232857,-2628.351599742912,26.0,-5589.550557200246,23.0,False,1
10,1.366,3394.0,-2629.0,26.5,-5589.443782455938,23.1,False,1
11,1.594,3408.22530544675,-2645.1220506788286,36.0,-5587.150557200245,25.0,False,1
12,1.606,3409.0,-2646.0,36.3,-5587.01834212194,25.214285714285715,False,1
13,1.806,3422.0,-2661.0,41.3,-5584.663596100901,28.785714285714285,False,1
14,1.874,3427.382438084332,-2667.5182213279504,43.0,-5583.806112755801,30.0,False,1
15,2.026,3441.0,-2684.0,46.78423337008687,-5581.791160713876,36.93776117849259,False,1
16,2.115,3449.229785329989,-2693.373041057787,49.0,-5580.525834978023,41.0,False,1
17,2.266,3464.0,-2710.0,52.7750016,-5578.208969912545,43.15714377142857,False,1
18,2.395,3478.1198400787093,-2726.963682386923,56.0,-5576.1702794224675,45.0,False,1
19,2.526,3494.0,-2746.0,56.0,-5574.132689884384,46.31000064,False,1
20,2.595,3503.0298750802917,-2756.4030726383817,56.0,-5573.059168311356,47.0,False,1
21,2.686,3515.0,-2770.0,56.0,-5571.634278419645,47.0,False,1
22,2.755,3523.5120471763016,-2779.7210449542954,56.0,-5570.570279422468,47.0,False,1
23,2.846,3535.0,-2793.0,56.0,-5569.213136405056,47.2843752,False,1
24,3.075,3571.0863402416744,-2835.728072692523,56.0,-5565.59250164469,48.0,False,1
25,3.086,3573.0,-2838.0,56.7218792,-5565.385738742956,48.0,False,1
26,3.305,3612.0,-2884.0,71.0937584,-5560.672774765117,48.0,False,1
27,3.385,3625.0,-2899.0,76.3437584,-5558.955955965666,48.0,False,1
28,3.395,3626.7341771004653,-2901.0124324734516,77.0,-5558.748057200245,48.0,False,1
29,3.595,3667.78122569715,-2949.3721750949885,77.0,-5554.470279422468,51.0,False,1
30,3.605,3670.0,-2952.0,78.44446293333333,-5554.202829093242,52.361128533333336,False,1
31,3.865,3730.0,-3023.0,116.00001848888888,-5545.045753755933,87.75001742222223,False,1
32,3.955,3750.798044156477,-3047.3222657680035,129.0,-5541.570279422468,100.0,False,1
33,4.125,3795.0,-3099.0,134.312504,-5535.112020579926,100.0,False,1
34,4.275,3847.5773989409904,-3161.2917628796486,139.0,-5529.214723866912,100.0,False,1
35,4.365,3876.0,-3195.0,143.5000064,-5525.460501752067,100.0,False,1
36,4.595,3916.3902799053676,-3242.4661406628134,155.0,-5515.436946089134,100.0,False,1
37,4.766,3939.0,-3269.0,155.0,-5508.0693817618385,100.0,False,1
38,4.835,3950.64290236141,-3282.7908637674673,155.0,-5505.103612755801,100.0,True,1
39,4.995,3983.2392315548523,-3321.6199632113958,155.0,-5498.214723866912,100.0,True,1
40,5.206,4052.0,-3403.0,155.0,-5489.129840099028,100.0,True,1
41,5.275,4082.980839829737,-3439.4598670548576,155.0,-5486.159168311357,100.0,True,1
42,5.426,4154.0,-3523.0,155.0,-5479.657840443949,102.15714377142857,True,1
43,5.555,4197.915127319903,-3574.9957718285996,155.0,-5474.103612755801,104.0,True,1
44,5.806,4265.0,-3654.0,155.0,-5463.296658104318,101.2111104,True,1
45,5.915,4304.828018326777,-3699.7675588511065,155.0,-5458.603612755801,100.0,False,1
46,5.966,4324.0,-3722.0,155.0,-5456.407777650535,100.0,False,1
47,6.075,4363.60719806286,-3768.8631113432593,155.0,-5451.714723866912,100.0,False,1
48,6.226,4417.0,-3833.0,155.0,-5445.2133321472575,100.0,False,1
49,6.275,4434.473833591292,-3853.8379995587616,155.0,-5443.103612755801,100.0,False,1
50,6.475,4506.61538843218,-3939.0498120197944,155.0,-5434.49250164469,100.0,True,1
51,6.715,4595.7262739336165,-4042.7665150460016,155.0,-5424.159168311357,100.0,True,1
52,6.915,4677.285416498049,-4137.685021712874,155.0,-5415.548057200245,100.0,True,1
53,7.006,4717.0,-4184.0,155.0,-5411.629998902886,100.0,True,1
54,7.075,4748.199297505124,-4220.421556995635,155.0,-5408.659168311357,100.0,True,1
55,7.346,4871.0,-4365.0,155.0,-5396.991109832612,103.3875008,True,1
56,7.395,4890.533280718575,-4388.517249268209,155.0,-5394.881390533579,104.0,True,1
57,7.446,4911.0,-4413.0,155.0,-5392.68555472008,104.0,True,1
58,7.646,5002.0,-4518.0,155.0,-5384.074445464731,104.0,True,1
59,7.754,5052.406994295018,-4576.740093252019,155.0,-5379.424446089134,104.0,True,1
60,7.906,5123.0,-4660.0,155.0,-5372.880001690451,104.0,True,1
61,7.954,5145.179555698536,-4686.229612836577,155.0,-5370.813334978024,104.0,True,1
62,8.186,5252.0,-4813.0,155.0,-5360.824445987,104.0,True,1
63,8.346,5326.0,-4901.0,155.0,-5353.935557191242,104.0,True,1
64,8.354,5329.701916587101,-4905.371834659136,155.0,-5353.591112755801,104.0,True,1
65,8.506,5400.0,-4988.0,155.0,-5347.046668463835,104.0,True,1
66,8.554,5422.164691559635,-5014.223207872927,155.0,-5344.98000164469,104.0,True,1
67,8.666,5474.0,-5076.0,155.0,-5340.157778480182,104.0,True,1
68,8.835,5553.398747296193,-5171.5729194105115,155.0,-5332.881390533579,104.0,True,1
69,8.986,5624.0,-5258.0,155.0,-5326.379998491157,104.0,True,1
70,9.195,5717.445139979314,-5375.214279754548,155.0,-5317.381390533579,104.0,True,1
71,9.206,5722.0,-5381.0,155.0,-5316.9077766763585,104.0,True,1
72,9.346,5775.0,-5450.0,155.0,-5310.879998911953,104.0,True,1
73,9.435,5801.514532359164,-5489.077112570889,155.0,-5307.048057200245,104.0,True,1
74,9.506,5820.0,-5518.0,155.0,-5303.991109989945,104.0,True,1
75,9.795,5888.081657982458,-5648.613310138244,155.0,-5291.548057200245,104.0,True,1
76,9.825,5896.0,-5673.0,155.0,-5290.256385025011,104.0,True,1
77,10.005,5944.0,-5852.0,155.0,-5282.506385029523,104.0,True,1
78,10.035,5949.5061771252485,-5874.496835644902,155.0,-5281.214723866912,104.0,True,1
79,10.355,5959.705739552991,-5973.362041769638,155.0,-5267.436946089134,104.0,True,1
80,10.385,5959.0,-5986.0,155.0,-5266.145273975006,104.0,True,1
81,10.555,5953.554087531,-6090.973308780936,155.0,-5258.8258349780235,104.0,True,1
82,10.705,5946.0,-6185.0,155.0,-5252.367495706488,104.0,True,1
83,10.715,5945.383726466388,-6189.953759189761,155.0,-5251.936946089134,104.0,True,1
84,10.915,5930.481772671124,-6262.656700321627,155.0,-5243.3258349780235,104.0,True,1
85,10.945,5928.0,-6273.0,155.0,-5242.0341517024535,104.0,True,1
86,11.235,5896.028747824094,-6403.8504194269635,155.0,-5229.548057200245,104.0,True,1
87,11.286,5885.0,-6442.0,155.0,-5227.352365397039,104.0,True,1
88,11.475,5830.398324842551,-6615.974137765755,155.0,-5219.214723866912,104.0,True,1
89,11.506,5823.0,-6637.0,155.0,-5217.879564548472,104.0,True,1
90,11.686,5790.0,-6704.0,155.0,-5210.128342967706,104.0,True,1
91,11.715,5782.429397709143,-6715.381742201529,155.0,-5208.881390533579,104.0,True,1
92,11.946,5702.0,-6824.0,155.0,-5198.951525849423,104.0,True,1
93,11.995,5687.8820181804185,-6840.72390763402,155.0,-5196.8258349780235,104.0,True,1
94,12.195,5647.548653575607,-6876.7930188815135,155.0,-5188.214723866912,104.0,True,1
95,12.366,5607.0,-6902.0,142.88749546666668,-5181.623231235858,34.17497386666667,True,1
96,12.435,5584.958558969959,-6915.868241509158,138.0,-5179.014723866912,6.0,True,1
97,12.486,5568.0,-6926.0,138.0,-5177.065307171767,6.0,True,1
98,12.646,5514.0,-6952.0,138.0,-5170.907563165598,6.0,True,1
99,12.675,5502.418215718567,-6956.401475171852,138.0,-5169.814723866912,6.0,True,1
100,12.875,5406.2168188430205,-6985.304216933237,132.0,-5162.481390533579,6.0,True,1
101,12.986,5362.0,-6996.0,131.6035712,-5158.44265662073,12.739289600000001,True,1
102,13.155,5320.742852619102,-7002.443515281127,131.0,-5152.29250164469,23.0,True,1
103,13.226,5304.0,-7004.0,131.0,-5149.708009027357,23.0,True,1
104,13.435,5237.180070494359,-7008.550645215881,131.0,-5142.103612755801,23.0,True,1
105,13.526,5193.0,-7006.0,131.0,-5138.799060573466,23.0,True,1
106,13.675,5099.483309838035,-6993.247109451074,131.0,-5133.370279422467,23.0,True,1
107,13.726,5072.0,-6989.0,131.42500053333333,-5131.495948834843,24.700002133333335,True,1
108,13.915,5016.676818313712,-6980.192263035197,133.0,-5124.503612755801,31.0,False,1
109,14.115,4983.948702994978,-6963.657994125898,133.0,-5117.114723866912,31.0,False,1
110,14.166,4965.0,-6953.0,133.0,-5115.230842913166,31.0,False,1
111,14.354,4862.577888956761,-6893.921658389117,133.0,-5108.28500164469,31.0,False,1
112,14.426,4830.0,-6874.0,133.0,-5105.624943771021,31.0,False,1
113,14.594,4793.80211396193,-6847.0955695401335,133.0,-5099.418334978023,31.0,False,1
114,14.726,4772.0,-6824.0,133.0,-5094.5416826494575,31.0,False,1
115,14.886,4726.0,-6776.0,133.0,-5088.630558258454,31.0,False,1
116,14.914,4717.851861003232,-6766.820667862367,133.0,-5087.596112755801,31.0,False,1
117,15.074,4674.037079385357,-6711.833871039061,133.0,-5081.68500164469,104.0,True,1
118,15.186,4638.0,-6660.0,133.0,-5077.547222826861,104.0,True,1
119,15.275,4603.529442065829,-6607.427054942032,133.0,-5074.259168311357,104.0,True,1
120,15.466,4530.0,-6491.0,133.0,-5067.2027756332445,104.0,True,1
121,15.555,4509.247546079171,-6457.698731536652,133.0,-5063.914723866912,104.0,True,1
122,15.795,4476.175755476401,-6401.776703794574,133.0,-5055.048057200245,104.0,True,1
123,15.806,4474.0,-6398.0,133.0,-5054.641664337578,104.0,True,1
124,16.035,4413.287865229821,-6291.547113638234,133.0,-5046.181390533578,104.0,True,1
125,16.086,4399.0,-6266.0,133.0,-5044.2972744356875,104.0,True,1
126,16.195,4369.711494081049,-6212.804287803442,133.0,-5040.270279422468,104.0,True,1
127,16.286,4345.0,-6169.0,133.0,-5036.907695775012,104.0,True,1
128,16.345,4328.0,-6140.0,133.0,-5034.727437971746,104.0,True,1
129,16.435,4298.078732776412,-6088.20811194302,133.0,-5031.403612755801,104.0,True,1
130,16.665,4216.0,-5944.0,133.0,-5022.907932591665,104.0,True,1
131,16.675,4213.197940275748,-5939.145471892916,133.0,-5022.536946089134,104.0,True,1
132,16.955,4156.361171606259,-5844.937596623602,133.0,-5012.192501644689,59.0,False,1
133,16.985,4150.0,-5835.0,133.0,-5011.119963520549,52.9999744,False,1
134,17.235,4084.502376085449,-5736.608945869547,133.0,-5001.848057200245,3.0,True,1
135,17.265,4075.0,-5723.0,136.8181981090909,-5000.530722613133,4.159095854545455,True,1
136,17.385,4035.0,-5667.0,152.09092538181818,-4994.7113298919885,8.79545949090909,True,1
137,17.626,3961.0,-5571.0,182.7636445090909,-4981.412808353849,18.106820654545455,True,1
138,17.675,3939.4175051347065,-5546.035559510611,189.0,-4978.748057200245,20.0,True,1
139,17.906,3822.0,-5418.0,189.0,-4966.518238417605,53.36667591111111,True,1
140,18.035,3782.501609912432,-5378.487436527543,189.0,-4959.848057200245,72.0,False,1
141,18.235,3735.7184053212472,-5341.747997751895,184.0,-4949.625834978024,72.0,False,1
142,18.246,3732.0,-5339.0,184.0,-4949.063564712767,69.46998528,False,1
143,18.435,3651.1800192157057,-5281.90927899257,184.0,-4939.403612755801,26.0,False,1
144,18.466,3637.0,-5273.0,183.6124992,-4937.829863029603,25.6124992,False,1
