,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,2654.9994869047578,-1765.004564145839,0.0,-5501.005106932213,36.0,True,1
1,0.075,2654.999422157328,-1765.0073782037407,0.0,-5501.016497408597,36.0,True,1
2,0.206,2655.0,-1765.0,0.0,-5501.063576970213,36.0,True,1
3,0.315,2655.001375311712,-1764.9824392858043,0.0,-5501.016497408597,36.0,True,1
4,0.446,2655.0,-1765.0,3.8792724002883063,-5500.739202671724,36.29840556925295,True,1
5,0.754,2656.146066977169,-1766.717622891034,13.0,-5499.431219630819,37.0,False,1
6,0.846,2659.0,-1770.0,14.971428571428572,-5498.991878581747,37.0,False,1
7,1.006,2667.0,-1779.0,18.4,-5498.131589820094,37.0,False,1
8,1.034,2668.2572434736344,-1780.4157271184488,19.0,-5497.953441853042,37.0,False,1
9,1.354,2679.421359969841,-1793.3123604564528,29.0,-5495.3756640752645,37.0,False,1
10,1.366,2680.0,-1794.0,29.3,-5495.26635131745,37.0,False,1
11,1.594,2694.1627239571008,-1810.9889623653028,35.0,-5493.0423307419305,37.0,False,1
12,1.606,2695.0,-1812.0,35.3,-5492.915910137825,37.3,False,1
13,1.806,2710.0,-1830.0,40.3,-5490.646563105612,42.3,False,1
14,1.874,2715.809283584671,-1836.7105782606081,42.0,-5489.775664075264,44.0,False,1
15,2.026,2730.0,-1853.0,48.93776117849259,-5487.618337535006,47.15352780840573,False,1
16,2.115,2738.82030891828,-1863.520059338716,53.0,-5486.227608519708,49.0,False,1
17,2.266,2755.0,-1883.0,58.93214537142857,-5483.661239818487,55.47143131428572,False,1
18,2.395,2770.596363654742,-1901.195506215578,64.0,-5481.249830741931,61.0,False,1
19,2.526,2788.0,-1921.0,69.89500288,-5478.593881524039,62.96500096,False,1
20,2.595,2797.7483289706925,-1931.9131928624479,73.0,-5477.194275186375,64.0,False,1
21,2.686,2811.0,-1947.0,73.0,-5475.401870841908,65.7062512,False,1
22,2.755,2821.1395636510574,-1959.1424879379795,73.0,-5473.949830741931,67.0,False,1
23,2.846,2835.0,-1976.0,79.2562544,-5471.772041911848,68.1375008,False,1
24,3.075,2874.0553795721967,-2021.7325309402465,95.0,-5465.505386297486,71.0,False,1
25,3.086,2876.0,-2024.0,95.0,-5465.207230310086,71.0,False,1
26,3.305,2916.0,-2071.0,95.0,-5459.406278216754,71.0,False,1
27,3.385,2932.0,-2090.0,95.0,-5457.321011308841,71.0,False,1
28,3.395,2934.0532720200667,-2092.4073864953875,95.0,-5457.060941853042,71.0,False,1
29,3.595,2976.8444331052992,-2141.484833923208,95.0,-5451.783164075264,71.0,False,1
30,3.605,2979.0,-2144.0,95.38889386666666,-5451.5040540955015,71.27778133333334,False,1
31,3.865,3036.0,-2212.0,105.50000497777778,-5443.658302853121,78.50000355555555,False,1
32,3.955,3057.7521615886276,-2237.0647039562446,109.0,-5440.883164075264,81.0,False,1
33,4.125,3105.0,-2291.0,109.0,-5435.71889346798,81.0,False,1
34,4.275,3157.5098413909036,-2352.618436316478,109.0,-5431.194275186375,81.0,True,1
35,4.365,3191.0,-2392.0,109.0,-5428.472940749587,81.0,True,1
36,4.595,3276.16622241481,-2491.1324858526878,109.0,-5421.505386297486,81.0,True,1
37,4.766,3331.0,-2555.0,109.0,-5416.327731051582,97.38750613333333,True,1
38,4.835,3349.5338803225254,-2576.789257187236,109.0,-5414.23871963082,104.0,True,1
39,4.995,3384.6224527772647,-2618.5708911977367,109.0,-5409.394275186375,104.0,True,1
40,5.206,3449.0,-2694.0,109.0,-5403.005676697308,104.0,True,1
41,5.275,3479.920947738066,-2729.7102502223734,109.0,-5400.916497408597,104.0,True,1
42,5.426,3553.0,-2814.0,109.0,-5396.344438250075,104.0,True,1
43,5.555,3600.753438833894,-2869.8271505215544,109.0,-5392.43871963082,104.0,True,1
44,5.806,3676.0,-2959.0,109.0,-5384.840046178412,104.0,True,1
45,5.915,3717.2414272449682,-3007.2679181476533,109.0,-5381.538719630819,104.0,True,1
46,5.966,3740.0,-3034.0,109.0,-5379.993511791804,102.7249984,True,1
47,6.075,3797.9009301835576,-3102.446812447474,109.0,-5376.694275186375,100.0,True,1
48,6.226,3886.0,-3207.0,109.0,-5372.1372393957945,100.0,True,1
49,6.275,3912.38731753159,-3238.2932168863167,109.0,-5370.63871963082,100.0,False,1
50,6.475,4008.348126289919,-3351.955661761245,109.0,-5364.583164075264,100.0,False,1
51,6.715,4101.59107221795,-3462.0633346122995,109.0,-5357.316497408598,100.0,False,1
52,6.915,4180.336192707241,-3554.7489164399203,226.0,-5344.760941853042,100.0,False,1
53,7.006,4218.0,-3599.0,231.1187536,-5338.7844439708415,100.0,False,1
54,7.075,4247.323136622607,-3633.4197513585627,235.0,-5334.316497408598,100.0,False,1
55,7.346,4368.0,-3775.0,235.0,-5316.779919476154,100.0,False,1
56,7.395,4390.4873046076955,-3801.4287908230367,235.0,-5313.427608519709,100.0,False,1
57,7.446,4414.0,-3829.0,235.0,-5309.848583827603,100.0,False,1
58,7.646,4506.0,-3936.0,235.0,-5295.516781929484,100.0,False,1
59,7.754,4554.846007201709,-3993.4255924879008,235.0,-5289.992886297487,100.0,False,1
60,7.906,4623.0,-4074.0,142.28,-5285.5148511436255,88.6,False,1
61,7.954,4644.57100161112,-4099.4024976374885,113.0,-5283.715108519708,85.0,True,1
62,8.186,4750.0,-4223.0,198.84,-5268.160307118575,81.52,True,1
63,8.346,4825.0,-4311.0,258.04,-5255.324019734584,79.12,True,1
64,8.354,4828.749808230292,-4315.443966025154,261.0,-5254.715108519708,79.0,True,1
65,8.506,4900.0,-4400.0,261.0,-5243.661241927687,78.24,True,1
66,8.554,4922.809457060523,-4426.299383426442,261.0,-5240.215108519708,78.0,True,1
67,8.666,4977.0,-4488.0,261.79715320646903,-5232.083033425325,77.20284679353094,True,1
68,8.835,5062.309479906195,-4588.036322284436,263.0,-5219.6864974085975,76.0,True,1
69,8.986,5138.0,-4678.0,263.0,-5208.643352555653,74.32222151111111,True,1
70,9.195,5236.864718616242,-4794.931210365762,263.0,-5193.386497408597,72.0,True,1
71,9.206,5242.0,-4801.0,263.0,-5192.583163183899,72.0,True,1
72,9.346,5307.0,-4878.0,263.0,-5182.355829668238,72.0,True,1
73,9.435,5347.392147440517,-4926.459606322877,263.0,-5175.853164075264,72.0,True,1
74,9.506,5378.0,-4963.0,263.0,-5170.665787855394,72.0,True,1
75,9.795,5498.807119541538,-5103.962696636928,263.0,-5149.553164075264,72.0,True,1
76,9.825,5517.0,-5126.0,263.0,-5147.361859574322,72.0,True,1
77,10.005,5642.0,-5280.0,263.0,-5134.212769016389,72.0,True,1
78,10.035,5657.428852180113,-5298.988347461741,263.0,-5132.0198307419305,72.0,True,1
79,10.355,5720.761938697072,-5377.960029727089,263.0,-5108.642052964153,104.0,True,1
80,10.385,5728.0,-5388.0,263.0,-5106.462170665407,104.0,True,1
81,10.555,5787.829160563855,-5472.673950086933,263.0,-5094.030941853041,104.0,True,1
82,10.705,5839.0,-5550.0,263.0,-5082.993445699851,104.0,True,1
83,10.715,5841.517730312808,-5554.151427887146,263.0,-5082.342052964153,104.0,True,1
84,10.915,5873.704957541082,-5619.267775577003,192.0,-5071.6753862974865,2.0,True,1
85,10.945,5878.0,-5630.0,191.4374976,-5070.148616676111,2.0,True,1
86,11.235,5924.469319008036,-5765.586230472307,186.0,-5055.142052964153,2.0,True,1
87,11.286,5931.0,-5791.0,183.23749653333334,-5052.628245829056,2.0,True,1
88,11.475,5947.943368097195,-5882.660369573986,173.0,-5043.60871963082,2.0,True,1
89,11.506,5950.0,-5897.0,172.87083306666668,-5042.1284657526,2.3875008,True,1
90,11.686,5958.0,-5982.0,172.12083306666668,-5033.5162224777805,4.6375008,True,1
91,11.715,5958.247368364315,-5998.751731059895,172.0,-5032.142052964153,5.0,False,1
92,11.946,5951.0,-6149.0,168.6999990857143,-5021.355875187527,5.0,False,1
93,11.995,5948.560523491645,-6173.844537882844,168.0,-5019.075386297486,5.0,False,1
94,12.195,5936.464518194302,-6240.537992961412,169.0,-5009.6864974085975,61.0,False,1
95,12.366,5921.0,-6302.0,173.2750016,-5001.367019792214,31.0749888,False,1
96,12.435,5913.079614011296,-6335.0547159933585,175.0,-4998.0198307419305,19.0,False,1
97,12.486,5907.0,-6360.0,174.14999893333334,-4995.570191024696,19.0,False,1
98,12.646,5887.0,-6435.0,171.48333226666668,-4987.9890615835,19.0,False,1
99,12.675,5882.518630029387,-6450.509178590361,171.0,-4986.619830741931,19.0,True,1
100,12.875,5844.524664907998,-6574.136312675735,169.0,-4977.230941853042,5.0,True,1
101,12.986,5831.0,-6616.0,166.2249984,-4972.146898379896,5.0,True,1
102,13.155,5828.3176219587385,-6620.156737370083,162.0,-4964.630941853042,5.0,True,1
103,13.226,5826.0,-6624.0,159.21071177142858,-4961.5641880629855,3.9857133714285715,True,1
104,13.435,5798.543912746507,-6688.543460461699,151.0,-4952.886497408597,1.0,True,1
105,13.526,5773.0,-6731.0,146.82916373333333,-4949.301343579053,1.0,True,1
106,13.675,5713.130867920881,-6808.178463243182,140.0,-4943.553164075263,1.0,True,1
107,13.726,5695.0,-6830.0,140.0,-4941.565605456448,1.0,True,1
108,13.915,5657.069013888456,-6873.4910483794065,140.0,-4934.21983074193,1.0,True,1
109,14.115,5627.027093929028,-6890.076716451393,133.0,-4926.830941853042,1.0,True,1
110,14.166,5610.0,-6899.0,132.57322133604114,-4924.970452713758,1.0,True,1
111,14.354,5518.552528397656,-6946.42381381675,131.0,-4918.133997408597,1.0,True,1
112,14.426,5489.0,-6961.0,131.0,-4915.514958334197,1.0,True,1
113,14.594,5453.747158170986,-6975.112228339383,131.0,-4909.400664075264,1.0,True,1
114,14.726,5428.0,-6981.0,131.0,-4904.596817092717,1.0,True,1
115,14.886,5374.0,-6994.0,131.0,-4898.774892783972,1.0,True,1
116,14.914,5364.645700673949,-6995.946680812439,131.0,-4897.756219630819,1.0,True,1
117,15.074,5315.643533573154,-7003.361308979213,131.0,-4891.933997408597,1.0,True,1
118,15.186,5272.0,-7005.0,131.0,-4887.85080088588,1.0,True,1
119,15.275,5227.273381075602,-7004.284157738004,131.0,-4884.619830741931,1.0,False,1
120,15.466,5129.0,-6999.0,129.63571382857143,-4877.768694869164,1.0,False,1
121,15.555,5102.773900435201,-6996.490560811693,129.0,-4874.586497408597,1.0,False,1
122,15.795,5066.512759964508,-6986.753862587782,129.0,-4865.986497408598,1.0,False,1
123,15.806,5064.0,-6986.0,129.0,-4865.592240828284,5.7208608,False,1
124,16.035,4991.24777723146,-6963.576565530411,129.0,-4857.386497408597,104.0,False,1
125,16.086,4974.0,-6957.0,129.0,-4855.558948852289,104.0,False,1
126,16.195,4938.746810098225,-6941.124052293251,129.0,-4851.653164075264,104.0,True,1
127,16.286,4910.0,-6926.0,129.0,-4848.393289007022,104.0,True,1
128,16.345,4891.0,-6915.0,129.0,-4846.279937752996,104.0,True,1
129,16.435,4857.988445137541,-6892.732068181729,129.0,-4843.053164075264,104.0,True,1
130,16.665,4770.0,-6822.0,129.0,-4834.809134283744,104.0,True,1
131,16.675,4767.15703691096,-6819.466248721642,129.0,-4834.453164075264,104.0,True,1
132,16.955,4714.250053267517,-6761.064584708238,127.0,-4824.575386297486,4.0,False,1
133,16.985,4708.0,-6753.0,127.0,-4823.519602006987,4.0,False,1
134,17.235,4642.092960749127,-6664.5519041123525,127.0,-4814.697608519708,4.0,False,1
135,17.265,4634.0,-6653.0,127.0,-4813.631767385284,4.0,False,1
136,17.385,4603.0,-6607.0,127.0,-4809.350063268927,4.0,False,1
137,17.626,4543.0,-6512.0,127.0,-4800.839887437985,4.0,False,1
138,17.675,4526.963992413848,-6485.410640401046,127.0,-4799.175386297486,4.0,False,1
139,17.906,4444.0,-6345.0,127.0,-4791.557846090348,4.0,False,1
140,18.035,4415.782156341696,-6296.29428498059,127.0,-4786.475386297486,4.0,False,1
141,18.235,4384.299561098578,-6240.116923674637,173.0,-4776.864275186375,100.0,False,1
142,18.246,4382.0,-6236.0,173.16500096,-4776.3319169057395,100.0,False,1
143,18.435,4333.629963451817,-6149.40455929215,176.0,-4767.086497408597,100.0,True,1
144,18.466,4325.0,-6134.0,181.6187616,-4765.403720949176,100.0,True,1
145,18.595,4288.629142874946,-6069.291845161035,205.0,-4757.975386297487,100.0,False,1
146,18.626,4280.0,-6054.0,205.0,-4756.192274423015,100.0,False,1
147,18.906,4198.0,-5913.0,205.0,-4740.272706915559,100.0,False,1
148,18.915,4194.669502331734,-5907.586903677278,205.0,-4739.753164075264,100.0,False,1
149,19.075,4126.276510479544,-5799.580608668893,210.0,-4730.41983074193,32.0,True,1
150,19.186,4084.0,-5735.0,210.0,-4723.946251517079,32.0,True,1
151,19.235,4069.454717814499,-5713.40851389057,210.0,-4721.086497408597,32.0,True,1
152,19.395,4037.6875481568027,-5669.547808355065,210.0,-4711.753164075264,32.0,True,1
153,19.506,4015.0,-5640.0,207.9187488,-4705.397640617106,55.5875136,True,1
154,19.686,3961.0,-5572.0,204.5437488,-4695.254447230988,93.8375136,True,1
155,19.715,3948.0876480822385,-5556.890241444015,204.0,-4693.619830741931,100.0,True,1
156,19.926,3835.0,-5431.0,204.0,-4681.679595690488,12.083306666666667,True,1
157,19.955,3822.8035486819026,-5417.9043909821185,204.0,-4680.0198307419305,0.0,True,1
158,20.155,3772.359561217416,-5367.745083394766,204.0,-4668.6864974085975,1.0,True,1
159,20.386,3721.0,-5331.0,182.63249408,-4657.65687575417,0.42249984,True,1
160,20.486,3683.0,-5304.0,173.38249408,-4653.233290321416,0.17249984,True,1
161,20.555,3656.213107353953,-5285.9758300535805,167.0,-4650.130941853042,0.0,True,1
162,20.746,3581.0,-5242.0,166.46944426666667,-4641.33094046454,0.0,True,1
163,20.915,3508.1184198544133,-5209.746018078174,166.0,-4633.530941853041,0.0,False,1
164,21.006,3474.0,-5196.0,164.4769867844052,-4629.411465204591,12.184105724758298,False,1
165,21.154,3421.07652409496,-5178.137328914138,162.0,-4622.775941853041,32.0,False,1
166,21.186,3397.0,-5173.0,162.0,-4621.338896597523,32.0,False,1
167,21.346,3215.0,-5142.0,162.0,-4614.138991961878,32.0,False,1
168,21.434,3159.2302281841908,-5136.015316385859,162.0,-4610.175941853042,32.0,False,1
169,21.546,3122.0,-5136.0,162.0,-4605.132536799111,32.0,False,1
170,21.634,3085.6686109893026,-5134.590954311062,162.0,-4601.175941853042,32.0,False,1
171,21.806,3005.0,-5129.0,162.0,-4593.469876191407,39.623270049554804,False,1
172,21.995,2923.8135361142818,-5120.631569110576,162.0,-4584.930941853041,48.0,False,1
173,22.106,2878.0,-5113.0,162.3964288,-4579.82112948436,48.0,False,1
174,22.275,2808.7165696192847,-5096.053443878801,163.0,-4572.253164075264,48.0,True,1
175,22.326,2788.0,-5090.0,157.5812432,-4570.131389813728,33.9749824,True,1
176,22.426,2748.0,-5077.0,146.9562432,-4566.123339405336,6.474982399999998,True,1
177,22.435,2744.5126252268637,-5075.7322877139695,146.0,-4565.764275186375,4.0,True,1
178,22.626,2675.0,-5045.0,144.69772683636364,-4558.166621247066,13.984094254545456,True,1
179,22.875,2588.612796572037,-4994.4708483815375,143.0,-4548.286497408597,27.0,False,1
180,22.885,2585.0,-4992.0,143.0,-4547.88911647193,27.03571474285714,False,1
181,23.145,2492.0,-4920.0,143.0,-4537.559869469034,27.964286171428572,False,1
182,23.155,2489.067932375541,-4917.475179137527,143.0,-4537.164275186375,28.0,False,1
183,23.385,2435.0,-4865.0,142.04166613333334,-4528.09305234637,39.5000064,False,1
184,23.395,2432.7459155763595,-4862.567383192113,142.0,-4527.697608519708,40.0,False,1
185,23.555,2395.3200100065424,-4819.275592165418,143.0,-4521.342052964153,46.0,False,1
186,23.645,2372.0,-4785.0,143.64285805714286,-4517.735670625523,49.535719314285714,False,1
187,23.835,2316.529817639742,-4681.86784594518,145.0,-4510.064275186374,57.0,False,1
188,23.945,2290.0,-4626.0,145.45833386666666,-4505.6079705152315,57.0,False,1
189,24.075,2270.0611675405426,-4578.4824284576525,146.0,-4500.330941853042,57.0,False,1
190,24.315,2254.9182889151352,-4522.672569427082,146.0,-4490.597608519708,57.0,False,1
191,24.386,2249.0,-4501.0,146.0,-4487.751617916243,69.4250112,False,1
192,24.475,2239.8971508485142,-4469.0524892499425,146.0,-4484.108719630819,85.0,False,1
193,24.586,2224.0,-4414.0,152.937504,-4479.252708873649,88.23750186666666,False,1
194,24.715,2196.6989192687997,-4318.416498290249,161.0,-4473.375386297486,92.0,False,1
195,24.766,2186.0,-4281.0,162.2750016,-4471.051685393921,94.5500032,False,1
196,24.875,2166.3070183752125,-4212.499852827425,165.0,-4466.042052964152,100.0,False,1
197,25.186,2127.0,-4078.0,172.06818327272728,-4450.951425035499,100.0,False,1
198,25.315,2112.821811741465,-4029.8187091651216,175.0,-4444.653164075264,100.0,True,1
199,25.526,2089.0,-3954.0,172.73928502857143,-4434.540031858194,48.75712731428571,True,1
200,25.595,2080.0959149492264,-3928.642323267646,172.0,-4431.275386297486,32.0,True,1
201,25.786,2040.0,-3846.0,169.6124992,-4422.334411506951,23.046872,True,1
202,25.915,1982.419481040967,-3764.6401991846355,168.0,-4416.342052964153,17.0,True,1
203,26.006,1944.0,-3714.0,166.8624992,-4412.125820347084,16.4312496,True,1
204,26.075,1923.5276602128945,-3687.6183075790777,166.0,-4408.964275186375,16.0,True,1
205,26.235,1903.3598135558914,-3664.804468831819,161.0,-4401.808719630819,22.0,True,1
206,26.406,1861.0,-3633.0,158.8624992,-4394.313652614399,21.4656248,True,1
207,26.555,1783.078458162091,-3573.4848933012836,157.0,-4387.8531640752635,21.0,True,1
208,26.626,1750.0,-3549.0,156.4083328,-4384.78585168292,21.0,True,1
209,26.795,1708.4888765852106,-3522.7415558094276,155.0,-4377.5198307419305,21.0,True,1
