,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,2930.989609397915,-2088.9900625685127,0.0,-5627.821348673948,18.0,True,1
1,0.075,2930.9839410744985,-2088.9846462730497,0.0,-5627.825537683954,18.0,True,1
2,0.206,2931.0,-2089.0,0.0,-5627.842847990677,18.0,True,1
3,0.315,2931.03822152531,-2089.0365430964334,0.0,-5627.825537683954,18.0,True,1
4,0.446,2931.0,-2089.0,1.492027846264733,-5627.723581404347,18.0,True,1
5,0.754,2931.0181214507998,-2089.0429358491433,5.0,-5627.215815461732,18.0,False,1
6,0.846,2933.0,-2091.0,6.642857142857142,-5627.027059263921,18.0,False,1
7,1.006,2939.0,-2097.0,9.5,-5626.56270042384,18.0,False,1
8,1.034,2939.975748362271,-2098.0337862939114,10.0,-5626.4380376839545,18.0,False,1
9,1.354,2949.488903938196,-2109.4067226124566,25.0,-5624.215815461732,18.0,False,1
10,1.366,2950.0,-2110.0,25.3,-5624.119469957605,18.05,False,1
11,1.594,2962.3090370143323,-2124.15908454675,31.0,-5622.149148795065,19.0,False,1
12,1.606,2963.0,-2125.0,31.34285714285714,-5622.032006665195,19.085714285714285,False,1
13,1.806,2975.0,-2140.0,37.05714285714286,-5619.875635907982,20.514285714285716,False,1
14,1.874,2979.8583219747984,-2145.514692348288,39.0,-5619.115815461732,21.0,False,1
15,2.026,2992.0,-2159.0,40.89211668504343,-5617.418540544242,23.52282224672458,False,1
16,2.115,2999.42497905749,-2168.059925337352,42.0,-5616.304148795065,25.0,False,1
17,2.266,3013.0,-2185.0,49.5500032,-5614.068940595381,25.0,False,1
18,2.395,3026.3191972118225,-2200.3723480776403,56.0,-5611.94859323951,25.0,False,1
19,2.526,3041.0,-2217.0,60.58500224,-5609.701578425199,34.8250048,False,1
20,2.595,3048.9964540681676,-2226.2492645203793,63.0,-5608.44859323951,40.0,False,1
21,2.686,3060.0,-2239.0,66.9812528,-5606.7019949647165,43.4125024,False,1
22,2.755,3068.8608301047766,-2249.1195099889164,70.0,-5605.337482128399,46.0,False,1
23,2.846,3081.0,-2263.0,70.8531256,-5603.517667724091,46.0,False,1
24,3.075,3112.4449622308744,-2300.1463785042574,73.0,-5598.84859323951,46.0,False,1
25,3.086,3114.0,-2302.0,73.1031256,-5598.62180282491,46.171876,False,1
26,3.305,3147.0,-2341.0,75.1562512,-5594.047793707376,49.593752,False,1
27,3.385,3161.0,-2357.0,75.9062512,-5592.313087305203,50.843752,False,1
28,3.395,3162.7293829103314,-2358.9814429352846,76.0,-5592.093037683954,51.0,False,1
29,3.595,3196.2208248273237,-2397.9148439124383,83.0,-5587.481926572843,51.0,False,1
30,3.605,3198.0,-2400.0,83.38889386666666,-5587.234257107233,51.5000064,False,1
31,3.865,3249.0,-2460.0,93.50000497777778,-5580.228254266277,64.5000064,False,1
32,3.955,3267.5242589958916,-2481.789483131645,97.0,-5577.781926572843,69.0,False,1
33,4.125,3307.0,-2528.0,97.0,-5573.313069961204,69.0,False,1
34,4.275,3352.8604867608,-2581.225338811449,97.0,-5569.159704350621,69.0,False,1
35,4.365,3382.0,-2615.0,102.0625072,-5566.42228621117,69.0,False,1
36,4.595,3453.7251765393785,-2698.250859948339,115.0,-5558.937482128399,69.0,False,1
37,4.766,3500.0,-2752.0,115.0,-5553.467423689261,91.08750826666666,False,1
38,4.835,3516.1124071630447,-2770.712072504543,115.0,-5551.270815461732,100.0,False,1
39,4.995,3547.858359746345,-2807.5744359930736,115.0,-5546.159704350621,100.0,False,1
40,5.206,3606.0,-2876.0,115.0,-5539.344446818401,100.0,False,1
41,5.275,3633.398252482725,-2908.4813723977686,115.0,-5537.2152599061765,100.0,False,1
42,5.426,3698.0,-2985.0,115.0,-5532.834366437851,100.0,False,1
43,5.555,3740.8473944849816,-3035.0387604981356,115.0,-5528.270815461732,100.0,False,1
44,5.806,3811.0,-3117.0,170.777792,-5514.952811029288,100.0,False,1
45,5.915,3849.9791675596634,-3164.1288455982094,195.0,-5508.770815461732,100.0,False,1
46,5.966,3869.0,-3187.0,195.0,-5505.976300528498,100.0,False,1
47,6.075,3909.7908655534065,-3235.2649961356587,195.0,-5500.104148795065,100.0,False,1
48,6.226,3967.0,-3302.0,197.26500096,-5491.807273686413,100.0,False,1
49,6.275,3985.864487599793,-3324.0293185953474,198.0,-5489.104148795065,100.0,False,1
50,6.475,4064.4035415628705,-3415.897876335206,198.0,-5478.104148795065,100.0,False,1
51,6.715,4161.664520394144,-3530.085876126629,198.0,-5464.904148795065,100.0,True,1
52,6.915,4243.589828582065,-3627.2702357994317,198.0,-5453.904148795065,100.0,True,1
53,7.006,4281.0,-3672.0,198.0,-5448.965419798448,100.0,True,1
54,7.075,4309.421826935735,-3706.1288938552575,198.0,-5445.104148795065,100.0,True,1
55,7.346,4424.0,-3842.0,219.17188000000002,-5428.327887236506,100.0,True,1
56,7.395,4445.985463677812,-3866.893961021027,223.0,-5425.281926572843,100.0,False,1
57,7.446,4469.0,-3893.0,223.0,-5422.151499616359,100.0,False,1
58,7.646,4558.0,-3998.0,223.0,-5410.098500270169,100.0,False,1
59,7.754,4607.043205828576,-4055.989593803442,223.0,-5403.0438710172875,100.0,False,1
60,7.906,4677.0,-4138.0,250.36,-5392.1787365072905,100.0,False,1
61,7.954,4699.070760607508,-4163.677640429096,259.0,-5388.654982128399,100.0,False,1
62,8.186,4806.0,-4288.0,263.64,-5371.495808675731,100.0,False,1
63,8.346,4881.0,-4377.0,266.84,-5359.584724876766,100.0,False,1
64,8.354,4884.800893567918,-4381.480331224774,267.0,-5358.988315461732,100.0,False,1
65,8.506,4958.0,-4467.0,268.52,-5347.638968769111,100.0,False,1
66,8.554,4981.43781974804,-4494.311217183424,269.0,-5344.0438710172875,100.0,False,1
67,8.666,5036.0,-4558.0,270.1957298097036,-5335.630040429033,100.0,False,1
68,8.835,5114.880927445378,-4650.8884213432675,272.0,-5322.812759906176,100.0,False,1
69,8.986,5186.0,-4735.0,274.93611235555557,-5311.161204166792,100.0,False,1
70,9.195,5290.462976386323,-4858.443505515921,279.0,-5294.912759906177,100.0,False,1
71,9.206,5296.0,-4865.0,278.7249984,-5294.061576521021,95.41664,False,1
72,9.346,5366.0,-4948.0,275.2249984,-5283.283964237545,37.083306666666665,False,1
73,9.435,5409.454005297773,-4999.458020531522,273.0,-5276.712759906177,0.0,True,1
74,9.506,5442.0,-5038.0,266.6888832,-5271.706963100171,0.0,True,1
75,9.795,5564.595815682614,-5185.278145483191,241.0,-5252.6127599061765,0.0,True,1
76,9.825,5583.0,-5208.0,241.0,-5250.602443363392,0.0,True,1
77,10.005,5710.0,-5366.0,241.0,-5238.488410368817,0.0,True,1
78,10.035,5725.65964508698,-5385.368649435962,241.0,-5236.54609323951,0.0,True,1
79,10.355,5786.729798483802,-5465.312686767544,215.0,-5217.434982128399,0.0,True,1
80,10.385,5793.0,-5476.0,213.34999296,-5215.721523984005,0.0,True,1
81,10.555,5844.485985767152,-5567.285412044856,204.0,-5206.101648795066,0.0,True,1
82,10.705,5888.0,-5652.0,204.0,-5197.594270394603,0.0,True,1
83,10.715,5890.108892526031,-5656.6183458205405,204.0,-5197.034982128399,0.0,True,1
84,10.915,5915.834044210754,-5730.781691431218,197.0,-5186.090537683955,8.0,True,1
85,10.945,5919.0,-5743.0,196.8124992,-5184.462386430227,10.5312608,True,1
86,11.235,5950.359117463026,-5894.940467921174,195.0,-5168.757204350621,35.0,False,1
87,11.286,5954.0,-5923.0,194.57499946666667,-5165.99855808171,35.0,False,1
88,11.475,5960.01098124052,-6023.273209804874,193.0,-5155.890537683954,35.0,False,1
89,11.506,5960.0,-6039.0,193.0,-5154.279237297875,31.770826666666668,False,1
90,11.686,5953.0,-6134.0,193.0,-5144.768201789661,13.020826666666666,False,1
91,11.715,5950.018128011288,-6153.379595254775,193.0,-5143.023871017288,10.0,True,1
92,11.946,5914.0,-6330.0,233.4250112,-5127.20288987688,1.7499977142857148,True,1
93,11.995,5907.608993433136,-6358.369605279359,242.0,-5124.201648795065,0.0,True,1
94,12.195,5889.731941642422,-6428.832219086506,181.0,-5114.146093239509,2.0,False,1
95,12.366,5873.0,-6487.0,178.8624992,-5105.630223869408,0.5749994666666667,False,1
96,12.435,5864.125448304558,-6518.071607459964,178.0,-5102.2794265728435,0.0,True,1
97,12.486,5857.0,-6542.0,175.02499626666668,-5099.879241550044,0.0,True,1
98,12.646,5831.0,-6616.0,165.69166293333333,-5092.653158734862,0.0,True,1
99,12.675,5824.947261458809,-6630.021157607287,164.0,-5091.34609323951,0.0,True,1
100,12.875,5771.712386921739,-6731.289632725015,162.0,-5082.34609323951,0.0,True,1
101,12.986,5745.0,-6774.0,158.4321408,-5077.565172241362,11.4964352,True,1
102,13.155,5715.380567243571,-6810.3256187996685,153.0,-5070.4460932395095,29.0,False,1
103,13.226,5702.0,-6824.0,153.25357165714286,-5067.411812533136,22.407136914285715,False,1
104,13.435,5646.962211697823,-6876.513982205912,154.0,-5058.468315461732,3.0,True,1
105,13.526,5605.0,-6904.0,151.7249984,-5054.692121504302,4.516667733333334,True,1
106,13.675,5508.793361094201,-6952.533270869117,148.0,-5048.601648795066,7.0,True,1
107,13.726,5480.0,-6966.0,148.0,-5046.510043715116,7.0,True,1
108,13.915,5421.622772525052,-6991.545150255753,148.0,-5038.734982128399,7.0,True,1
