,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,1730.9996010255006,194.00037665356885,0.0,-5370.920149912542,26.0,False,1
1,0.015,1730.9995712705372,194.00040462837038,0.0,-5370.919444444448,26.0,False,1
2,0.1,1731.0,194.0,0.0,-5370.914916684609,26.0,False,1
3,0.175,1731.0011853120843,193.99888132041738,0.0,-5370.919444444448,26.0,False,1
4,0.26,1731.0,194.0,0.0,-5370.944280706791,26.0,False,1
5,0.375,1730.987658541411,194.0116476815926,0.0,-5370.919444444448,26.0,False,1
6,0.48,1731.0,194.0,3.5000064,-5370.720149911117,25.416665599999998,False,1
7,0.62,1731.0,194.0,8.166664533333334,-5370.214500209125,24.638889244444446,False,1
8,0.735,1730.561781683457,194.41358380634802,12.0,-5369.7194444444485,24.0,False,1
9,0.86,1733.0,193.0,15.136198391696427,-5369.127915264055,23.551971658329084,False,1
10,1.014,1744.8609928255964,185.35472325201968,19.0,-5368.246944444449,23.0,False,1
11,1.08,1750.0,182.0,21.121432685714286,-5367.787402597081,24.6500032,False,1
12,1.294,1759.7603724633161,175.46405455132353,28.0,-5366.069166666671,30.0,False,1
13,1.46,1767.0,171.0,30.0749984,-5364.6977652007445,35.53332906666667,False,1
14,1.534,1771.7201301543219,168.27381603775646,31.0,-5364.002500000004,38.0,False,1
15,1.62,1779.0,164.0,34.6857088,-5363.092509072158,40.4571392,False,1
16,1.814,1805.0340453062813,147.80393887505448,43.0,-5360.658055555559,46.0,False,1
17,1.94,1822.0,137.0,48.5124944,-5358.819091779409,49.543746399999996,False,1
18,2.134,1840.2693664892265,125.06779841453647,57.0,-5355.591388888893,55.0,False,1
19,2.34,1861.0,112.0,63.36176075294117,-5351.633594773566,55.908822964705884,False,1
20,2.52,1889.0,95.0,68.92059218823529,-5347.735392562915,56.702941741176474,False,1
21,2.68,1915.0,78.0,73.86176865882352,-5344.055259356606,57.40882409411765,False,1
22,2.814,1946.1481460963869,58.43409466599851,78.0,-5340.858055555559,58.0,False,1
23,3.02,1997.0,27.0,86.3687448,-5335.735903574104,59.2874992,False,1
24,3.134,2014.622197144153,15.738031597562493,91.0,-5332.769166666671,60.0,False,1
25,3.3,2036.0,2.0,95.97999616,-5328.260140896129,66.63999488,False,1
26,3.534,2088.6262214852177,-30.193939376826496,103.0,-5321.324722222226,76.0,False,1
27,3.56,2098.0,-36.0,104.625008,-5320.493693566626,76.6500032,False,1
28,3.76,2186.0,-91.0,117.125008,-5313.717500913409,81.6500032,False,1
29,3.854,2214.530581800048,-108.88228278007597,123.0,-5310.391388888893,84.0,False,1
30,4.134,2248.4664810586423,-130.27587886317434,132.0,-5300.124722222226,89.0,False,1
31,4.28,2302.0,-164.0,136.1062536,-5294.549708292153,94.0187544,False,1
32,4.454,2406.01451071379,-229.46361619563504,141.0,-5287.591388888893,100.0,False,1
33,4.481,2418.0,-237.0,142.446432,-5286.4681330377325,100.0,False,1
34,4.734,2460.8178372443467,-263.84330548788967,156.0,-5275.458055555559,100.0,False,1
35,4.761,2469.0,-269.0,156.964288,-5274.249127135836,100.0,False,1
36,5.014,2614.0752787011984,-360.5911517752991,166.0,-5262.546944444448,100.0,False,1
37,5.081,2648.0,-382.0,169.54829070121684,-5259.265757529687,100.0,False,1
38,5.335,2712.107754088546,-422.31745093591223,183.0,-5246.229444444449,100.0,False,1
39,5.461,2750.0,-446.0,185.7562528,-5239.5980553466825,100.0,False,1
40,5.655,2849.928335692524,-508.4527478660536,190.0,-5229.340555555559,100.0,False,1
41,5.741,2894.0,-536.0,190.0,-5224.843319754852,100.0,False,1
42,5.815,2926.910185309029,-556.5740632579168,190.0,-5220.896111111115,100.0,False,1
43,6.021,3008.0,-607.0,201.5875072,-5209.121575032537,100.0,False,1
44,6.135,3061.5779749973967,-639.8596800982099,208.0,-5202.407222222226,100.0,False,1
45,6.281,3136.0,-685.0,211.04166933333335,-5193.80841716623,100.0,False,1
46,6.375,3183.6893257033953,-713.560591569788,213.0,-5188.207222222226,100.0,False,1
47,6.5,3248.0,-752.0,216.74999808,-5180.625716978077,100.0,False,1
48,6.575,3287.839393567311,-776.0243525146132,219.0,-5176.04055555556,100.0,False,1
49,6.62,3311.0,-790.0,219.5624992,-5173.285565752714,100.0,False,1
50,6.815,3399.7357755637167,-843.2165935028391,222.0,-5161.24055555556,100.0,False,1
51,6.94,3482.0,-892.0,226.16666453333335,-5153.306359881226,100.0,False,1
52,7.055,3592.450899933462,-957.2175330662009,230.0,-5145.907222222226,100.0,False,1
53,7.14,3675.0,-1005.0,231.4166656,-5140.411023284199,80.520848,False,1
54,7.295,3793.032364518182,-1069.5545308887222,234.0,-5130.307222222226,45.0,False,1
55,7.38,3845.0,-1097.0,234.0,-5124.704084166958,45.0,False,1
56,7.695,3994.615138230272,-1175.563088956986,234.0,-5104.307222222226,45.0,True,1
57,7.72,4007.0,-1182.0,232.05762950454064,-5102.803395968772,42.18042992594608,True,1
58,7.92,4121.0,-1241.0,216.5187848791924,-5091.472903751457,19.624042566569614,True,1
59,8.094,4253.588284992512,-1309.7754922853699,203.0,-5081.80805555556,0.0,True,1
60,8.18,4310.0,-1339.0,203.0,-5076.9002007794,0.0,True,1
61,8.254,4346.528085444648,-1357.859434883783,203.0,-5072.785833333337,0.0,True,1
62,8.58,4455.0,-1414.0,176.5125104,-5057.425429548649,0.0,True,1
63,8.734,4560.198591879321,-1469.6223788694435,164.0,-5050.91916666667,0.0,True,1
64,8.8,4602.0,-1492.0,160.6999936,-5048.175296015312,0.0,True,1
65,9.134,4715.722610131929,-1557.467334113657,144.0,-5034.91916666667,0.0,True,1
66,9.18,4729.0,-1566.0,140.32001024,-5033.229531625842,0.0,True,1
67,9.334,4778.561581830745,-1598.8716633393378,128.0,-5027.80805555556,0.0,True,1
68,9.66,4823.0,-1630.0,117.1333376,-5017.240880253823,0.0,True,1
69,9.694,4812.454021633378,-1622.9449499355262,116.0,-5016.208055555559,0.0,True,1
70,9.74,4799.0,-1614.0,113.86429165714286,-5014.8314740188725,0.0,True,1
71,9.974,4847.644987639083,-1650.309361539788,103.0,-5008.1969444444485,0.0,True,1
72,10.0,4855.0,-1656.0,102.21999616,-5007.497458797886,0.0,True,1
73,10.22,4898.0,-1694.0,95.62000384,-5001.870243146343,0.0,True,1
74,10.374,4924.744224708462,-1721.2243403817035,91.0,-4998.085833333337,0.0,True,1
75,10.4,4929.0,-1726.0,90.3499968,-4997.451627109563,0.0,True,1
76,10.534,4949.093420780799,-1751.2360363716946,87.0,-4994.21916666667,0.0,True,1
77,10.6,4958.0,-1764.0,86.03749813333333,-4992.667001879757,0.0,True,1
78,10.86,4987.0,-1816.0,82.2458352,-4986.826149165818,0.0,True,1
79,11.014,4998.81035112812,-1847.5540793867185,80.0,-4983.552500000004,0.0,True,1
80,11.381,5011.0,-1923.0,73.32727156363636,-4976.204976164979,0.0,True,1
81,11.454,5010.939044369619,-1937.6083063495062,72.0,-4974.752500000004,0.0,False,1
82,11.661,5006.0,-1978.0,72.51620971829782,-4970.588174685739,15.486291548934311,False,1
83,11.821,4997.0,-2008.0,72.91521227574461,-4967.321058497064,27.45636827233808,False,1
84,11.855,4994.66212716794,-2014.3845576696087,73.0,-4966.621111111115,30.0,False,1
85,12.095,4974.5256766546645,-2059.733708718637,75.0,-4961.621111111115,30.0,False,1
86,12.161,4968.0,-2072.0,75.49500096,-4960.225907618881,30.16500032,False,1
87,12.381,4943.0,-2112.0,77.14500096,-4955.496730039152,30.71500032,False,1
88,12.495,4927.427596526279,-2132.4573741510007,78.0,-4952.954444444448,31.0,False,1
89,12.561,4918.0,-2144.0,79.15500224,-4951.44869263632,32.98000384,False,1
90,12.781,4886.0,-2181.0,83.00500224,-4946.261556029458,39.580003839999996,False,1
91,12.861,4874.0,-2195.0,84.40500224,-4944.334147572522,41.98000384,False,1
92,12.895,4868.625818208566,-2200.9254164786566,85.0,-4943.510000000004,43.0,False,1
93,13.04,4844.0,-2226.0,87.90000384,-4939.954428559831,44.45000192,False,1
94,13.095,4834.3070542895875,-2235.614199115257,89.0,-4938.5655555555595,45.0,False,1
95,13.4,4778.0,-2291.0,95.6718792,-4930.436773725883,49.765628,False,1
96,13.415,4775.142386053585,-2293.871119632354,96.0,-4930.032222222226,50.0,False,1
97,13.615,4736.016759219567,-2333.0290386294323,99.0,-4924.532222222226,57.0,False,1
98,13.62,4735.0,-2334.0,99.29166293333333,-4924.385610603925,57.0,False,1
99,13.7,4718.0,-2350.0,103.9583296,-4921.958970450607,57.0,False,1
100,13.855,4674.41875901803,-2392.7210196557885,113.0,-4916.998888888893,57.0,False,1
101,14.0,4634.0,-2434.0,115.7187536,-4912.333980220009,54.2812464,False,1
102,14.015,4630.56688068142,-2437.614131508343,116.0,-4911.843333333337,54.0,False,1
103,14.295,4585.4020522251785,-2490.222607167273,121.0,-4902.432222222226,7.0,True,1
