,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,2292.99944004403,-158.99953836548684,0.0,-5328.045359374567,32.0,False,1
1,0.015,2292.9993983894556,-158.99950410923282,0.0,-5328.045611664566,32.0,False,1
2,0.1,2293.0,-159.0,0.0,-5328.047231069392,32.0,False,1
3,0.175,2293.001663277917,-159.00137099352676,0.0,-5328.045611664566,32.0,False,1
4,0.26,2293.0,-159.0,0.0,-5328.036728692741,32.0,False,1
5,0.375,2292.982681965529,-158.98572522792688,0.0,-5328.045611664566,32.0,False,1
6,0.48,2293.0,-159.0,0.0,-5328.116891622077,33.7500032,False,1
7,0.62,2293.0,-159.0,0.0,-5328.241775719351,36.083332266666666,False,1
8,0.735,2292.385074312157,-158.49313393211835,0.0,-5328.045611664566,38.0,False,1
9,0.86,2295.0,-160.0,9.856623516760198,-5327.454097061961,38.89605668334183,False,1
10,1.014,2308.375654437444,-168.4359280885061,22.0,-5326.3406116645665,40.0,False,1
11,1.08,2314.0,-172.0,24.59286217142857,-5325.796765188358,40.47142948571429,False,1
12,1.294,2323.2415203209644,-177.8422286140656,33.0,-5323.7739449979,42.0,False,1
13,1.46,2332.0,-183.0,38.53332906666667,-5321.950887866159,44.76666453333333,False,1
14,1.534,2338.881439473333,-186.99447107047774,41.0,-5321.040611664566,46.0,False,1
15,1.62,2349.0,-193.0,44.3785664,-5319.894690845406,48.1499968,False,1
16,1.814,2379.059518907234,-211.94038719344,52.0,-5316.996167220122,53.0,False,1
17,1.94,2398.0,-224.0,56.7249952,-5314.92232231581,53.3937496,False,1
18,2.134,2419.5943554349224,-237.4362227577615,64.0,-5311.307278331233,54.0,False,1
19,2.34,2444.0,-253.0,72.78528865882353,-5306.664289185062,58.847055811764704,False,1
20,2.52,2476.0,-274.0,80.46177016470588,-5301.940758883086,63.08235595294118,False,1
21,2.68,2510.0,-295.0,87.28529957647059,-5297.5163850417275,66.84706183529411,False,1
22,2.814,2548.9166584154977,-319.37757902090505,93.0,-5293.740611664566,70.0,False,1
23,3.02,2610.0,-358.0,101.3687448,-5287.798902020893,71.9312488,False,1
24,3.134,2630.4357896411975,-370.8172411802124,106.0,-5284.318389442345,73.0,False,1
25,3.3,2655.0,-386.0,113.46999424,-5278.902256680977,79.63999488,False,1
26,3.534,2717.999389654681,-425.05596477796723,124.0,-5270.540611664566,89.0,False,1
27,3.56,2729.0,-432.0,125.5437576,-5269.556608768093,89.8937544,False,1
28,3.76,2831.0,-497.0,137.4187576,-5261.647685831112,96.7687544,False,1
29,3.854,2863.9804761681653,-518.1209399739356,143.0,-5257.829500553456,100.0,False,1
