,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,3762.0000000000014,-1207.0000000000002,0.0,-5080.536944444448,0.0,False,1
1,0.015,3762.000000000001,-1207.0000000000002,0.0,-5080.536944444448,0.0,False,1
2,0.1,3762.0,-1207.0,0.0,-5080.536944444448,0.0,False,1
3,0.175,3762.0000000000005,-1207.0000000000002,0.0,-5080.536944444448,0.0,False,1
4,0.26,3762.0,-1207.0,0.0,-5080.536944444448,0.0,False,1
5,0.375,3762.0000000000005,-1207.0000000000002,0.0,-5080.536944444448,0.0,False,1
6,0.48,3762.0,-1207.0,0.0,-5080.536944444448,0.0,False,1
7,0.62,3762.0,-1207.0,0.0,-5080.536944444448,0.0,False,1
8,0.735,3762.0,-1207.0,0.0,-5080.536944444448,0.0,False,1
9,0.86,3762.0,-1207.0,0.0,-5080.536944444448,0.0,False,1
10,1.014,3762.0000000000005,-1207.0,0.0,-5080.536944444448,0.0,False,1
11,1.08,3762.0,-1207.0,0.0,-5080.536944444448,0.0,False,1
12,1.294,3762.000000000001,-1207.0000000000002,0.0,-5080.536944444448,0.0,False,1
13,1.46,3762.0,-1207.0,0.0,-5080.536944444448,2.7666645333333335,False,1
14,1.534,3762.0000000000005,-1207.0,0.0,-5080.536944444448,4.0,False,1
15,1.62,3762.0,-1207.0,0.0,-5080.536944444448,4.9214272,False,1
16,1.814,3762.0000000000005,-1207.0000000000002,0.0,-5080.536944444448,7.0,False,1
17,1.94,3762.0,-1207.0,0.0,-5080.536944444448,6.2125008,False,1
18,2.134,3761.9999999999995,-1207.0,0.0,-5080.536944444448,5.0,False,1
19,2.34,3762.0,-1207.0,0.0,-5080.536944444448,6.514704941176471,False,1
20,2.52,3762.0,-1207.0,0.0,-5080.536944444448,7.838236235294118,False,1
21,2.68,3762.0,-1207.0,0.0,-5080.536944444448,9.014706823529412,False,1
22,2.814,3761.9999999999995,-1207.0,0.0,-5080.536944444448,10.0,False,1
23,3.02,3762.0,-1207.0,0.0,-5080.536944444448,11.2874992,False,1
24,3.134,3762.0000000000005,-1207.0,0.0,-5080.536944444448,12.0,False,1
25,3.3,3762.0,-1207.0,0.0,-5080.536944444448,12.82999936,False,1
26,3.534,3761.9999999999995,-1206.9999999999998,0.0,-5080.536944444448,14.0,False,1
27,3.56,3762.0,-1207.0,0.0,-5080.536944444448,14.0,False,1
28,3.76,3762.0,-1207.0,0.0,-5080.536944444448,14.0,False,1
29,3.854,3762.0000000000005,-1206.9999999999998,0.0,-5080.536944444448,14.0,False,1
30,4.134,3762.0,-1207.0,0.0,-5080.536944444448,14.0,False,1
31,4.28,3762.0,-1207.0,0.0,-5080.536944444448,14.4562504,False,1
32,4.454,3762.000000000001,-1207.0000000000002,0.0,-5080.536944444448,15.0,False,1
33,4.481,3762.0,-1207.0,0.0,-5080.536944444448,15.0,False,1
34,4.734,3761.999999999998,-1206.9999999999986,0.0,-5080.536944444448,15.0,False,1
35,4.761,3762.0,-1207.0,0.0,-5080.536944444448,15.0,False,1
36,5.014,3762.000000000035,-1207.0000000000152,0.0,-5080.536944444448,15.0,False,1
37,5.081,3762.0,-1207.0,0.0,-5080.536944444452,14.79127701757548,False,1
38,5.335,3761.9999999996858,-1206.999999999862,0.0,-5080.536944444448,14.0,False,1
39,5.461,3762.0,-1207.0,0.0,-5080.536944444386,14.0,False,1
40,5.655,3762.0000000011796,-1207.0000000005173,0.0,-5080.536944444448,14.0,False,1
41,5.741,3762.0,-1207.0,0.0,-5080.5369444446615,14.0,False,1
42,5.815,3761.9999999975566,-1206.9999999989293,0.0,-5080.536944444448,14.0,False,1
43,6.021,3762.0,-1207.0,0.0,-5080.536944440623,14.0,False,1
44,6.135,3762.0000000251193,-1207.000000011008,0.0,-5080.536944444448,14.0,False,1
45,6.281,3762.0,-1207.0,0.0,-5080.536944459521,14.0,False,1
46,6.375,3761.999999888322,-1206.9999999510578,0.0,-5080.536944444448,14.0,False,1
47,6.5,3762.0,-1207.0,0.0,-5080.536944377081,14.0,False,1
48,6.575,3762.0000004139647,-1207.0000001814167,0.0,-5080.536944444448,14.0,False,1
49,6.62,3762.0,-1207.0,0.0,-5080.536944557031,14.0,False,1
50,6.815,3761.9999891757107,-1206.999995256335,0.0,-5080.536944444448,14.0,False,1
51,6.94,3762.0,-1207.0,0.0,-5080.536941820827,14.0,False,1
52,7.055,3762.000033296519,-1207.000014591953,0.0,-5080.536944444448,14.0,False,1
53,7.14,3762.0,-1207.0,0.0,-5080.536953476575,14.0,False,1
54,7.295,3761.999741738865,-1206.9998868189703,0.0,-5080.536944444448,14.0,False,1
55,7.38,3762.0,-1207.0,0.0,-5080.536891800056,14.0,False,1
56,7.695,3762.0009618461563,-1207.0004215219553,0.0,-5080.536944444448,14.0,False,1
57,7.72,3762.0,-1207.0,0.0,-5080.537031165433,14.0,False,1
58,7.92,3762.0,-1207.0,0.0,-5080.538188434962,14.0,False,1
59,8.094,3762.0606067654526,-1207.026560466152,0.0,-5080.536944444448,14.0,False,1
60,8.18,3762.0,-1207.0,0.0,-5080.534876213634,14.0,False,1
61,8.254,3761.8614015594303,-1206.939260259775,0.0,-5080.536944444448,14.0,False,1
62,8.58,3762.0,-1207.0,0.6791664000000001,-5080.591235532763,14.0,False,1
63,8.734,3764.371580713676,-1208.078852333012,1.0,-5080.4036111111145,14.0,False,1
64,8.8,3766.0,-1209.0,3.14500416,-5080.25127851802,15.15500224,False,1
65,9.134,3779.1386893045765,-1217.8299598613505,14.0,-5078.848055555559,21.0,False,1
66,9.18,3781.0,-1219.0,16.06999424,-5078.579255949787,21.0,False,1
67,9.334,3786.795807001299,-1222.3069720904048,23.0,-5077.5702777777815,21.0,False,1
68,9.66,3802.0,-1231.0,28.4333312,-5075.000527408807,21.0,False,1
69,9.694,3804.437646412103,-1232.6183702017436,29.0,-5074.670277777781,21.0,False,1
70,9.74,3808.0,-1235.0,31.135708342857143,-5074.200621638449,21.985711542857143,False,1
71,9.974,3830.220202106341,-1249.291003998778,42.0,-5071.4036111111145,27.0,False,1
72,10.0,3833.0,-1251.0,42.84500416,-5071.050548514215,28.23500608,False,1
73,10.22,3858.0,-1266.0,49.99499584,-5067.737810874364,38.684993920000004,False,1
74,10.374,3875.749869028058,-1277.0580430124028,55.0,-5065.292500000003,46.0,False,1
75,10.4,3879.0,-1279.0,55.4875024,-5064.880467567832,46.812504,False,1
76,10.534,3897.396803042691,-1289.4400553097212,58.0,-5062.714722222226,51.0,False,1
77,10.6,3907.0,-1295.0,59.787503466666664,-5061.565871907956,49.62499733333333,False,1
78,10.86,3947.0,-1320.0,66.8291632,-5056.482495445144,44.208336,False,1
79,11.014,3973.9273961471504,-1336.599163363641,71.0,-5053.2480555555585,41.0,False,1
80,11.381,4043.0,-1378.0,77.67272843636364,-5045.195797323612,63.52045847272727,False,1
81,11.454,4055.937258792778,-1385.6914523400724,79.0,-5043.592500000003,68.0,False,1
82,11.661,4093.0,-1408.0,78.48379028170218,-5039.094943590612,64.90274169021313,False,1
83,11.821,4125.0,-1428.0,78.08478772425539,-5035.63963654826,62.50872634553239,False,1
84,11.855,4131.533772234204,-1432.0567300310481,78.0,-5034.90416666667,62.0,False,1
85,12.095,4174.108541855417,-1457.9152471577222,79.0,-5029.6375000000035,52.0,False,1
86,12.161,4186.0,-1465.0,80.48500288,-5028.114471585121,54.64000512,False,1
87,12.381,4228.0,-1490.0,85.43500288,-5022.762429170225,63.44000512,False,1
88,12.495,4251.327378537023,-1504.4783344261234,88.0,-5019.859722222225,68.0,False,1
89,12.561,4265.0,-1513.0,89.48500288,-5018.143281660446,70.80500544,False,1
90,12.781,4313.0,-1542.0,94.43500288,-5012.236907583809,80.15500544,False,1
91,12.861,4334.0,-1554.0,96.23500288,-5010.029159720942,83.55500544,False,1
92,12.895,4342.282813590939,-1558.8211612945618,97.0,-5009.081944444448,85.0,False,1
93,13.04,4374.0,-1578.0,101.35000576,-5004.973936877294,85.0,False,1
94,13.095,4386.771264315955,-1585.809973705435,103.0,-5003.359722222225,85.0,False,1
95,13.4,4466.0,-1634.0,110.6250048,-4993.9443811439205,3.9843240000000004,False,1
96,13.415,4470.0137994693105,-1636.3819839852358,111.0,-4993.493055555559,0.0,False,1
97,13.615,4521.845603296883,-1667.270449928911,105.0,-4987.659722222225,0.0,False,1
