,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,2491.0186522838453,-282.9951522012447,0.0,-5284.878556732031,24.0,False,1
1,0.015,2491.0200597942835,-282.9947958813993,0.0,-5284.877777777773,24.0,False,1
2,0.1,2491.0,-283.0,0.0,-5284.872778364514,24.0,False,1
3,0.175,2490.944540511886,-283.0143878720597,0.0,-5284.877777777773,24.0,False,1
4,0.26,2491.0,-283.0,0.0,-5284.9052012153425,22.72500096,False,1
5,0.375,2491.579509741496,-282.8501936075816,0.0,-5284.877777777773,21.0,False,1
6,0.48,2492.0,-283.0,3.7916736,-5284.657722879123,21.583334400000002,False,1
7,0.62,2492.0,-284.0,8.847219911111111,-5284.102660449898,22.361110755555554,False,1
8,0.735,2493.420832975634,-284.6654158513491,13.0,-5283.577777777773,23.0,False,1
9,0.86,2498.0,-287.0,15.688170050025509,-5282.971413793099,23.0,False,1
10,1.014,2509.3754333294128,-294.78451740560325,19.0,-5282.105277777773,23.0,False,1
11,1.08,2514.0,-298.0,21.121432685714286,-5281.666481684619,23.471429485714285,False,1
12,1.294,2522.6838638753106,-303.621874673487,28.0,-5279.927499999995,25.0,False,1
13,1.46,2530.0,-308.0,35.608327466666665,-5278.18268614156,27.766664533333334,False,1
14,1.534,2535.076947181193,-311.11721782446773,39.0,-5277.327499999996,29.0,False,1
15,1.62,2543.0,-316.0,41.1499968,-5276.29048279898,32.6857088,False,1
16,1.814,2571.275242966573,-333.38269739877995,46.0,-5273.749722222217,41.0,False,1
17,1.94,2590.0,-345.0,50.3312456,-5271.912164301326,44.1499968,False,1
18,2.134,2611.126655201762,-358.4556005136889,57.0,-5268.683055555551,49.0,False,1
19,2.34,2634.0,-373.0,65.17940668235295,-5264.5267412514095,51.42352790588235,False,1
20,2.52,2663.0,-391.0,72.32647567058824,-5260.290437998097,53.541177976470586,False,1
21,2.68,2693.0,-410.0,78.67941684705883,-5256.280219241335,55.42353091764706,False,1
22,2.814,2727.985062409841,-431.9790201799063,84.0,-5252.816388888884,57.0,False,1
23,3.02,2784.0,-467.0,93.656244,-5247.292664370569,60.8624976,False,1
24,3.134,2803.48659649998,-479.2112638823407,99.0,-5244.016388888885,63.0,False,1
25,3.3,2827.0,-494.0,106.05499456,-5238.867404793414,67.56499648,False,1
26,3.534,2883.880469733805,-529.6961562720384,116.0,-5231.127499999995,74.0,False,1
27,3.56,2894.0,-536.0,116.6500032,-5230.258923683562,74.1625008,False,1
28,3.76,2989.0,-595.0,121.6500032,-5223.4879097648,75.4125008,False,1
29,3.854,3019.716527244894,-614.1431376898012,124.0,-5220.105277777773,76.0,False,1
30,4.134,3055.7159976488015,-636.6817310130133,142.0,-5209.060833333328,88.0,False,1
31,4.28,3113.0,-671.0,148.843756,-5202.874076486189,89.3687512,False,1
32,4.454,3224.354259883362,-737.4320208044038,157.0,-5195.105277777773,91.0,False,1
33,4.481,3237.0,-745.0,158.3500032,-5193.856010262236,91.8678592,False,1
34,4.734,3279.2600231761485,-770.7647425273307,171.0,-5181.805277777773,100.0,False,1
35,4.761,3288.0,-776.0,171.0,-5180.530050508486,100.0,False,1
36,5.014,3447.8741287995185,-870.9822265480466,171.0,-5168.505277777773,100.0,False,1
37,5.081,3485.0,-893.0,175.38318263091492,-5165.096983238013,100.0,False,1
38,5.335,3551.4160255877437,-932.2679172584183,192.0,-5151.385277777773,100.0,False,1
39,5.461,3589.0,-954.0,195.5437536,-5144.42106083987,100.0,False,1
40,5.655,3690.276923480546,-1012.1852486025376,201.0,-5133.518611111106,100.0,False,1
41,5.741,3736.0,-1038.0,204.7625056,-5128.600044534756,100.0,False,1
42,5.815,3770.9529716760053,-1057.356277651875,208.0,-5124.2741666666625,100.0,False,1
43,6.021,3860.0,-1105.0,216.3687552,-5111.601989721423,100.0,False,1
44,6.135,3918.5785247332233,-1135.906133670242,221.0,-5104.629722222217,100.0,True,1
45,6.281,3999.0,-1178.0,213.6999936,-5096.048999292305,41.5999488,True,1
46,6.375,4049.632490575775,-1204.2598622359915,209.0,-5090.696388888884,4.0,True,1
47,6.5,4115.0,-1238.0,202.7500032,-5083.7533414963555,5.87499904,True,1
48,6.575,4152.8001626529285,-1257.5165966328877,199.0,-5079.640833333328,7.0,True,1
49,6.62,4175.0,-1269.0,197.8750016,-5077.181940239127,7.9374986666666665,True,1
50,6.815,4267.236383983961,-1316.9970650195673,193.0,-5066.7741666666625,12.0,True,1
51,6.94,4323.0,-1346.0,183.10417173333335,-5060.602937371711,9.916667733333334,True,1
52,7.055,4372.067489907303,-1371.376276088714,174.0,-5055.174166666662,8.0,True,1
53,7.14,4410.0,-1391.0,169.7500032,-5051.242882579562,6.5833344,True,1
54,7.295,4487.105556069606,-1431.0808957749432,162.0,-5044.374166666662,4.0,True,1
55,7.38,4525.0,-1451.0,156.47500416,-5040.872468239995,6.33749824,True,1
56,7.695,4614.538153022947,-1499.5577228430066,136.0,-5029.263055555551,15.0,True,1
57,7.72,4621.0,-1503.0,134.93482908313518,-5028.397733503945,14.122800421405445,True,1
58,7.92,4684.0,-1538.0,126.41352719181519,-5021.726081215769,7.105257687377213,True,1
59,8.094,4783.634661569338,-1603.361479083623,119.0,-5016.0738888888845,1.0,True,1
60,8.18,4826.0,-1632.0,116.8500032,-5013.282085010673,1.5374992,True,1
61,8.254,4850.667326718558,-1648.8783157331989,115.0,-5010.962777777773,2.0,True,1
62,8.58,4890.0,-1686.0,99.3791728,-5002.357687906596,6.0749984,True,1
63,8.734,4933.594070995348,-1733.5744499970185,92.0,-4998.696111111107,8.0,True,1
64,8.8,4951.0,-1754.0,90.51499712,-4997.14191676265,8.16500032,True,1
65,9.134,4990.284965983375,-1821.9367936812143,83.0,-4989.473888888884,9.0,True,1
66,9.18,4993.0,-1829.0,81.8500032,-4988.457924713822,9.22999936,True,1
67,9.334,5000.639720271733,-1850.7002659663585,78.0,-4985.140555555551,10.0,True,1
68,9.66,5010.0,-1899.0,72.5666688,-4978.592725596912,2.7555583999999995,True,1
69,9.694,5010.510291098323,-1905.703190386415,72.0,-4977.940555555551,2.0,True,1
70,9.74,5011.0,-1915.0,71.17857371428572,-4977.066504747309,2.4928557714285713,True,1
71,9.974,5008.681417721288,-1959.2745661164706,67.0,-4972.72944444444,5.0,False,1
72,10.0,5008.0,-1964.0,66.93499968,-4972.251455024176,5.9100044800000004,False,1
