,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,2228.0007007240574,-118.00024613677772,0.0,-5372.239030170547,28.0,True,1
1,0.015,2228.0007520054996,-118.00026407231677,0.0,-5372.23861071327,28.0,True,1
2,0.1,2228.0,-118.0,0.0,-5372.235918628331,28.0,True,1
3,0.175,2227.997920923842,-117.99926991696395,0.0,-5372.23861071327,28.0,True,1
4,0.26,2228.0,-118.0,0.0,-5372.253377690796,28.0,True,1
5,0.375,2228.021647321963,-118.00760161790036,0.0,-5372.23861071327,28.0,True,1
6,0.48,2228.0,-118.0,2.3333376,-5372.1201155124145,36.1666816,True,1
7,0.62,2228.0,-118.0,5.444443022222223,-5371.80818845899,47.05555057777778,True,1
8,0.735,2228.7686492581147,-118.26991689639163,8.0,-5371.43861071327,56.0,False,1
9,0.86,2232.0,-120.0,11.584226733367345,-5370.925026989033,53.75985829164541,False,1
10,1.014,2241.2400907845176,-125.63351914048113,16.0,-5370.19861071327,51.0,False,1
11,1.08,2245.0,-128.0,16.70714422857143,-5369.882483454649,51.0,False,1
12,1.294,2251.591041334028,-132.49391529472288,19.0,-5368.720832935492,51.0,False,1
13,1.46,2257.0,-136.0,25.916661333333334,-5367.449105331092,51.0,False,1
14,1.534,2260.9108206486876,-138.3387303786394,29.0,-5366.787499602158,51.0,False,1
15,1.62,2267.0,-142.0,31.7642816,-5365.953052941424,51.6142848,False,1
16,1.814,2288.2748209011756,-155.34097580540657,38.0,-5363.831944046603,53.0,False,1
17,1.94,2302.0,-164.0,41.937496,-5362.301524656897,53.0,False,1
18,2.134,2316.609100539254,-173.08455555115293,48.0,-5359.565277379937,53.0,False,1
19,2.34,2334.0,-184.0,55.57352470588235,-5355.883438263317,59.967642729411764,False,1
20,2.52,2359.0,-200.0,62.191181176470586,-5352.031867044699,66.05588668235293,False,1
21,2.68,2384.0,-216.0,68.07353411764706,-5348.566289274565,71.4676513882353,False,1
22,2.814,2411.2047460826643,-233.06772184071258,73.0,-5345.776388491047,76.0,False,1
23,3.02,2453.0,-259.0,73.0,-5341.667524324929,74.7125008,False,1
24,3.134,2466.9450641673475,-267.6303201198448,73.0,-5339.287499602158,74.0,False,1
25,3.3,2482.0,-277.0,79.2249952,-5335.516381108982,76.48999808,False,1
26,3.534,2516.303003231012,-298.73872892233203,88.0,-5329.509721824381,80.0,False,1
27,3.56,2523.0,-303.0,89.5437576,-5328.785353472411,80.0,False,1
28,3.76,2589.0,-345.0,101.4187576,-5322.864916625095,80.0,False,1
29,3.854,2610.9157494116685,-358.8734170948883,107.0,-5319.99861071327,80.0,False,1
30,4.134,2639.594293982182,-376.56269074608633,110.0,-5311.443055157714,89.0,False,1
31,4.28,2685.0,-405.0,110.0,-5307.0732458341145,87.1749984,False,1
32,4.454,2772.0809624109806,-459.7733601855526,110.0,-5301.665277379936,85.0,False,1
33,4.481,2782.0,-466.0,111.7357184,-5300.772040286742,85.0,False,1
34,4.734,2816.716248575381,-487.46377903499786,128.0,-5291.709721824381,85.0,False,1
35,4.761,2824.0,-492.0,129.8321472,-5290.672495262064,86.446432,False,1
36,5.014,2955.92451353226,-574.5845514164217,147.0,-5280.276388491047,100.0,False,1
37,5.081,2987.0,-594.0,151.38318263091492,-5277.29866872687,100.0,False,1
38,5.335,3046.5616660988244,-630.7200359880949,168.0,-5265.296388491048,100.0,False,1
39,5.461,3082.0,-652.0,172.7250048,-5259.101462058511,100.0,False,1
40,5.655,3175.0619587493575,-707.8221693752168,180.0,-5249.296388491048,100.0,False,1
41,5.741,3217.0,-733.0,183.7625056,-5244.851865499737,100.0,False,1
42,5.815,3249.15339359519,-752.326864488812,187.0,-5240.985277379937,100.0,False,1
43,6.021,3325.0,-798.0,189.5750016,-5230.051835460062,100.0,False,1
44,6.135,3364.4113936373196,-821.7387563446413,191.0,-5224.0074996021585,100.0,False,1
45,6.281,3447.0,-871.0,191.0,-5216.34326646466,100.0,False,1
46,6.375,3544.164042118085,-928.5708498839692,191.0,-5211.274166268825,100.0,False,1
47,6.5,3673.0,-1004.0,200.3749952,-5204.214519107935,100.0,False,1
48,6.575,3713.3182823084967,-1026.4085730736135,206.0,-5199.829721824381,100.0,False,1
49,6.62,3733.0,-1037.0,208.2499968,-5197.151618209619,100.0,False,1
50,6.815,3832.2894990664636,-1090.543954352456,218.0,-5185.296388491048,100.0,False,1
51,6.94,3899.0,-1126.0,218.0,-5177.7493115839225,100.0,False,1
52,7.055,3958.1684835494434,-1156.7732371421905,218.0,-5170.763055157714,100.0,False,1
53,7.14,4007.0,-1182.0,220.1249984,-5165.512164551714,100.0,False,1
54,7.295,4116.6649057522345,-1238.7974885704807,224.0,-5155.829721824381,100.0,False,1
55,7.38,4173.0,-1268.0,224.0,-5150.529704041139,95.7500032,False,1
56,7.695,4317.112818210862,-1342.8077836677382,224.0,-5130.940832935492,80.0,False,1
57,7.72,4329.0,-1349.0,224.0,-5129.3859324768855,74.98743097945969,False,1
58,7.92,4440.0,-1407.0,224.0,-5116.941417945538,34.887186785012645,False,1
59,8.094,4562.339369848976,-1471.3614037533177,224.0,-5106.114166268825,0.0,False,1
60,8.18,4613.0,-1498.0,224.0,-5100.764330962151,0.0,False,1
61,8.254,4645.082444903133,-1514.8105468974513,224.0,-5096.15861071327,0.0,True,1
62,8.58,4733.0,-1568.0,224.0,-5075.827883005963,0.0,True,1
63,8.734,4820.432064321976,-1629.2169173719833,224.0,-5066.291944046603,0.0,True,1
64,8.8,4851.0,-1651.0,224.0,-5062.229965743524,0.0,True,1
65,9.134,4874.228171365474,-1671.5542987469398,224.0,-5041.403055157714,0.0,True,1
66,9.18,4875.0,-1673.0,224.0,-5038.377172713296,0.0,True,1
67,9.334,4886.519916518777,-1684.6548893089393,224.0,-5028.95861071327,0.0,True,1
68,9.66,4939.0,-1738.0,103.5611584,-5020.593942781876,0.0,True,1
69,9.694,4944.578914727492,-1745.0871646082758,91.0,-5019.85861071327,0.0,True,1
70,9.74,4952.0,-1755.0,91.0,-5018.7893512122155,0.0,True,1
71,9.974,4984.987253218067,-1808.6923713905678,91.0,-5012.780832935492,0.0,True,1
72,10.0,4988.0,-1815.0,89.24499136,-5012.19926895321,0.0,True,1
73,10.22,5007.0,-1871.0,74.39500864,-5008.222351398301,0.0,True,1
