,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,2129.000293880853,-55.0002495040493,0.0,-5333.29462456182,23.0,True,1
1,0.015,2129.0003152159516,-55.00026768825853,0.0,-5333.294063365699,23.0,True,1
2,0.1,2129.0,-55.0,0.0,-5333.290461536567,23.0,True,1
3,0.175,2128.9991285197125,-54.99925991993824,0.0,-5333.294063365699,23.0,True,1
4,0.26,2129.0,-55.0,0.0,-5333.313820591437,23.0,True,1
5,0.375,2129.0090738447925,-55.00770570684077,0.0,-5333.294063365699,23.0,True,1
6,0.48,2129.0,-55.0,2.6250047999999997,-5333.135524732583,23.583334400000002,True,1
7,0.62,2129.0,-55.0,6.1249984,-5332.740400582635,24.361110755555554,True,1
8,0.735,2129.3221924670315,-55.27361286797484,9.0,-5332.394063365699,25.0,False,1
9,0.86,2132.0,-57.0,10.344085025012754,-5332.025664793382,25.0,False,1
10,1.014,2141.1692709860495,-62.60853185167169,12.0,-5331.464063365699,25.0,False,1
11,1.08,2145.0,-65.0,14.357147428571428,-5331.138835907272,27.121432685714286,False,1
12,1.294,2151.9799393801227,-69.82956586222812,22.0,-5329.752952254588,34.0,False,1
13,1.46,2158.0,-74.0,28.2249952,-5328.37093955955,41.608327466666665,False,1
14,1.534,2162.302784660432,-76.77971685316336,31.0,-5327.686285587921,45.0,False,1
15,1.62,2169.0,-81.0,33.1499968,-5326.845185342817,45.3071424,False,1
16,1.814,2192.5037736022805,-95.4969444332951,38.0,-5324.7307300323655,46.0,False,1
17,1.94,2208.0,-105.0,42.3312456,-5323.150281943563,54.6624912,False,1
18,2.134,2225.4823378378733,-115.72033365096277,49.0,-5320.375174476811,68.0,False,1
19,2.34,2245.0,-128.0,54.75587877647059,-5316.9432174837575,65.87941308235294,False,1
20,2.52,2270.0,-144.0,59.785297694117645,-5313.541655424656,64.02646927058824,False,1
21,2.68,2294.0,-159.0,64.25588592941176,-5310.325365108154,62.379410447058824,False,1
22,2.814,2323.543883718213,-177.49906387014443,68.0,-5307.530730032366,61.0,False,1
23,3.02,2372.0,-208.0,76.3687448,-5303.0422333003025,70.656244,False,1
24,3.134,2388.4586624553194,-218.48156376093718,81.0,-5300.330730032366,76.0,False,1
