,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,2673.9988633039216,-397.99928964533234,0.0,-5264.94609979136,24.0,True,1
1,0.015,2673.9987792717343,-397.9992371311457,0.0,-5264.94555555556,24.0,True,1
2,0.1,2674.0,-398.0,0.0,-5264.942062627836,24.0,True,1
3,0.175,2674.0033749580784,-398.00210911017143,0.0,-5264.94555555556,24.0,True,1
4,0.26,2674.0,-398.0,0.0,-5264.964715421006,24.0,True,1
5,0.375,2673.964859967327,-397.9780399641669,0.0,-5264.94555555556,24.0,True,1
6,0.48,2674.0,-398.0,2.916672,-5264.791810342603,23.416665599999998,True,1
7,0.62,2674.0,-398.0,6.805553777777778,-5264.3920442753815,22.638889244444446,True,1
8,0.735,2672.7522539697993,-397.2202469534191,10.0,-5263.94555555556,22.0,False,1
9,0.86,2674.0,-398.0,14.032255075038263,-5263.350264851899,22.0,False,1
10,1.014,2684.995608255003,-404.8716587164913,19.0,-5262.47305555556,22.0,False,1
11,1.08,2690.0,-408.0,20.6500032,-5262.054037489483,22.0,False,1
12,1.294,2700.375865265522,-414.4945413226349,26.0,-5260.450833333337,22.0,False,1
13,1.46,2709.0,-420.0,33.608327466666665,-5258.819879255228,28.2249952,False,1
14,1.534,2714.5468744852556,-423.57143856783205,37.0,-5257.984166666671,31.0,False,1
15,1.62,2723.0,-429.0,40.3785664,-5256.930829441646,34.071424,False,1
16,1.814,2752.7048575678177,-447.8989966933227,48.0,-5254.250833333337,41.0,False,1
17,1.94,2772.0,-460.0,52.7249952,-5252.309374394339,41.3937496,False,1
18,2.134,2792.856614712817,-472.6291650521983,60.0,-5248.917500000004,42.0,False,1
19,2.34,2816.0,-487.0,67.87646569411764,-5244.6036529800695,43.51470494117647,False,1
20,2.52,2847.0,-507.0,74.75882842352941,-5240.244490534182,44.83823623529412,False,1
21,2.68,2877.0,-525.0,80.87647548235294,-5236.162242276015,46.01470682352941,False,1
22,2.814,2908.8791428256063,-544.640393492681,86.0,-5232.67305555556,47.0,False,1
23,3.02,2959.0,-576.0,93.7249952,-5227.174212104787,54.0812456,False,1
24,3.134,2978.134883078632,-587.7576213458764,98.0,-5223.961944444449,58.0,False,1
25,3.3,3003.0,-603.0,104.2249952,-5218.984621627706,63.80999552,False,1
26,3.534,3061.3107570100133,-639.435272280862,113.0,-5211.406388888893,72.0,False,1
27,3.56,3072.0,-646.0,114.3000064,-5210.527678732433,73.8687592,False,1
28,3.76,3174.0,-708.0,124.3000064,-5203.499672931609,88.2437592,False,1
29,3.854,3207.061388363762,-727.9196089479071,129.0,-5199.939722222226,95.0,False,1
30,4.134,3245.558065379789,-750.318303057137,150.0,-5188.27305555556,100.0,False,1
31,4.28,3307.0,-787.0,156.843756,-5181.742618862805,100.0,False,1
32,4.454,3426.4896985536925,-858.8493955094034,165.0,-5173.606388888893,100.0,False,1
33,4.481,3440.0,-867.0,166.2535744,-5172.310003627974,100.0,False,1
34,4.734,3487.7342815792576,-895.5307525031576,178.0,-5159.761944444448,100.0,False,1
35,4.761,3499.0,-902.0,178.7714304,-5158.388765276376,100.0,False,1
36,5.014,3704.5578227416777,-1019.6182127728689,186.0,-5145.295277777782,100.0,False,1
37,5.081,3751.0,-1046.0,186.20872298242452,-5141.80002263477,92.69469561514181,False,1
38,5.335,3823.6743146639146,-1085.7843132859189,187.0,-5128.621111111115,65.0,True,1
39,5.461,3859.0,-1104.0,185.031248,-5122.273833813872,76.4187616,True,1
40,5.655,3959.3614522147,-1156.6406792892367,182.0,-5112.443333333337,94.0,False,1
41,5.741,4004.0,-1180.0,187.375008,-5107.8855399260065,83.7874848,False,1
42,5.815,4037.1850677307657,-1197.2605899120606,192.0,-5103.910000000004,75.0,False,1
43,6.021,4118.0,-1239.0,193.2875008,-5092.790678299805,55.0437376,False,1
44,6.135,4170.764803027322,-1266.4241943448083,194.0,-5086.66555555556,44.0,False,1
45,6.281,4243.0,-1304.0,192.78333226666666,-5078.890450286649,20.2749792,False,1
46,6.375,4288.2665468874475,-1327.4506754815434,192.0,-5073.86555555556,5.0,False,1
