,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,2432.0019130379233,-246.00118691874175,0.0,-5295.200339547657,22.0,True,1
1,0.015,2432.0020534199007,-246.0012740120926,0.0,-5295.199504388151,22.0,True,1
2,0.1,2432.0,-246.0,0.0,-5295.194144247355,22.0,True,1
3,0.175,2431.9943228921024,-245.9964777276622,0.0,-5295.199504388151,22.0,True,1
4,0.26,2432.0,-246.0,0.0,-5295.22890653573,20.72500096,True,1
5,0.375,2432.0591099955577,-246.03667386739707,0.0,-5295.199504388151,19.0,True,1
6,0.48,2432.0,-246.0,4.0833408,-5294.963571653992,18.7083328,True,1
7,0.62,2432.0,-246.0,9.52777528888889,-5294.3676508001645,18.31944462222222,True,1
8,0.735,2434.0988672090325,-247.3022091607679,14.0,-5293.799504388151,18.0,False,1
9,0.86,2440.0,-251.0,17.136198391696425,-5293.137788071101,18.896056683341836,False,1
10,1.014,2453.563596783735,-259.56203451082075,21.0,-5292.1720043881505,20.0,False,1
11,1.08,2459.0,-263.0,23.59286217142857,-5291.671991741412,21.178573714285715,False,1
12,1.294,2469.0517696518586,-269.37733050985935,32.0,-5289.6831154992615,25.0,False,1
13,1.46,2478.0,-275.0,39.608327466666665,-5287.742719571014,28.458330666666665,False,1
14,1.534,2484.400320900053,-278.9998413106357,43.0,-5286.816448832595,30.0,False,1
15,1.62,2494.0,-285.0,44.8428544,-5285.716260009667,32.4571392,False,1
16,1.814,2525.1405284476896,-304.51809298397774,49.0,-5283.005337721484,38.0,False,1
17,1.94,2545.0,-317.0,55.2999936,-5280.90954721932,39.5749984,False,1
18,2.134,2566.7077842256654,-330.71935983994564,65.0,-5277.227559943706,42.0,False,1
19,2.34,2591.0,-346.0,71.36176075294118,-5272.862973415061,45.93823284705882,False,1
20,2.52,2623.0,-366.0,76.92059218823529,-5268.6676516750085,49.379414211764704,False,1
21,2.68,2653.0,-385.0,81.86176865882352,-5264.616472397798,52.43823774117647,False,1
22,2.814,2690.308217821323,-408.42309591765263,86.0,-5260.983115499262,55.0,False,1
23,3.02,2752.0,-447.0,100.1624912,-5254.966926005065,58.8624976,False,1
24,3.134,2773.1340190847245,-460.2532705636179,108.0,-5251.383115499262,61.0,False,1
25,3.3,2798.0,-476.0,115.05499456,-5245.814692431018,61.82999936,False,1
26,3.534,2858.117563062399,-514.1869175332525,125.0,-5237.494226610373,63.0,False,1
27,3.56,2869.0,-521.0,125.7312536,-5236.557570321089,64.625008,False,1
28,3.76,2972.0,-585.0,131.3562536,-5229.238118537012,77.125008,False,1
29,3.854,3005.265778481868,-605.6010551449303,134.0,-5225.583115499262,83.0,False,1
30,4.134,3043.5765963057775,-628.9112506410781,153.0,-5213.6831154992615,97.0,False,1
31,4.28,3105.0,-666.0,159.843756,-5207.044740137668,97.9125008,False,1
32,4.454,3225.0975262332527,-738.6125595828038,168.0,-5198.749782165928,99.0,False,1
33,4.481,3239.0,-747.0,169.3500032,-5197.42143832811,99.0,False,1
34,4.734,3288.877946766498,-776.591080024151,182.0,-5184.594226610373,99.0,False,1
35,4.761,3298.0,-782.0,182.3857152,-5183.2178417417435,99.0,False,1
36,5.014,3461.770179212527,-879.6408273882372,186.0,-5170.127559943706,99.0,False,1
37,5.081,3506.0,-906.0,189.96573666606588,-5166.462671423314,99.0,False,1
38,5.335,3631.8239736882106,-980.4909095342211,205.0,-5151.84839327704,99.0,False,1
39,5.461,3695.0,-1016.0,208.937504,-5144.376223061037,99.0,False,1
40,5.655,3812.3240252580654,-1079.0824032046296,215.0,-5132.737282165928,99.0,False,1
41,5.741,3861.0,-1105.0,216.0750016,-5127.586402319619,99.0,False,1
42,5.815,3897.9156381832513,-1124.704250157623,217.0,-5123.092837721484,99.0,False,1
43,6.021,3991.0,-1174.0,224.7250048,-5110.029600249158,99.0,False,1
44,6.135,4052.448185811681,-1205.610379494229,229.0,-5102.737282165928,99.0,False,1
45,6.281,4137.0,-1249.0,227.1749984,-5093.533264245807,38.7749472,False,1
46,6.375,4190.281607471231,-1276.8300020214879,226.0,-5087.670615499262,0.0,False,1
47,6.5,4259.0,-1313.0,222.25000192,-5079.943669068091,0.0,False,1
48,6.575,4298.620525214333,-1333.779191762343,220.0,-5075.44839327704,0.0,True,1
49,6.62,4322.0,-1346.0,216.25000533333332,-5072.827658988396,0.0,True,1
50,6.815,4420.909381038806,-1397.30144919316,200.0,-5062.115059943706,0.0,True,1
51,6.94,4480.0,-1428.0,189.0625056,-5055.767407957886,0.0,True,1
52,7.055,4530.345540736215,-1454.3987652501016,179.0,-5050.181726610373,0.0,True,1
53,7.14,4569.0,-1475.0,174.3958368,-5046.152221703466,0.0,True,1
54,7.295,4648.331871513426,-1518.2284131981976,166.0,-5039.115059943706,0.0,True,1
55,7.38,4687.0,-1540.0,160.687504,-5035.503671793981,0.0,True,1
56,7.695,4774.595074207392,-1595.5565573598712,141.0,-5023.44839327704,0.0,True,1
57,7.72,4781.0,-1600.0,139.7468577448649,-5022.554023226163,0.0,True,1
58,7.92,4838.0,-1642.0,129.72179669625316,-5015.695627167263,0.0,True,1
59,8.094,4896.872120422304,-1694.4214948332055,121.0,-5010.037559943707,0.0,True,1
60,8.18,4921.0,-1717.0,116.1625072,-5007.318325420038,0.0,True,1
61,8.254,4936.3737963675085,-1731.5640685162368,112.0,-5005.0597821659285,0.0,True,1
62,8.58,4971.0,-1783.0,99.7750048,-4996.3285952296765,0.0,True,1
63,8.734,4996.248695888458,-1842.8213563055956,94.0,-4992.526448832595,0.0,True,1
64,8.8,5005.0,-1868.0,92.84499776,-4990.913977834189,0.0,True,1
65,9.134,5011.1354094545495,-1949.7712048728595,87.0,-4982.859782165929,0.0,True,1
66,9.18,5010.0,-1958.0,86.77000064,-4981.751974126943,0.0,True,1
67,9.334,5005.402512855696,-1982.8332325689596,86.0,-4978.08200438815,0.0,False,1
68,9.66,4988.0,-2034.0,79.6611136,-4970.8946256701865,0.0,False,1
69,9.694,4985.146881488886,-2040.7249889668242,79.0,-4970.182004388151,0.0,True,1
70,9.74,4981.0,-2050.0,78.01428845714285,-4969.2275104893,0.0,True,1
71,9.974,4956.052378702762,-2093.5603564359308,73.0,-4964.504226610373,0.0,True,1
72,10.0,4953.0,-2098.0,72.93499968,-4963.985517026295,1.36500672,True,1
73,10.22,4926.0,-2133.0,72.38500032,-4959.623651417464,12.914993280000001,True,1
74,10.374,4907.338621182865,-2156.960247017931,72.0,-4956.504226610373,21.0,False,1
75,10.4,4904.0,-2161.0,72.4875024,-4955.967403410157,20.187496,False,1
76,10.534,4885.489361760453,-2181.787146299674,75.0,-4953.17089327704,16.0,False,1
77,10.6,4876.0,-2192.0,75.13750026666666,-4951.795612232101,15.724999466666667,False,1
78,10.86,4838.0,-2232.0,75.6791664,-4946.387322693488,14.6416672,False,1
79,11.014,4814.956838631265,-2255.406797341898,76.0,-4943.037559943707,14.0,False,1
80,11.381,4757.0,-2312.0,83.5068194909091,-4934.438399741267,31.515912145454546,False,1
81,11.454,4744.5839510799715,-2323.8694084863355,85.0,-4932.648671054817,35.0,False,1
82,11.661,4708.0,-2359.0,88.61346802808467,-4927.4529560913115,36.54862915489343,False,1
83,11.821,4679.0,-2388.0,91.40648593021221,-4923.3004320155615,37.74563682723381,False,1
84,11.855,4672.843837523336,-2394.2887032401736,92.0,-4922.400893277039,38.0,False,1
85,12.095,4629.349702935357,-2440.2522348631733,99.0,-4915.80089327704,55.0,False,1
86,12.161,4617.0,-2454.0,101.14500416,-4913.843798185545,55.66000128,False,1
87,12.381,4575.0,-2504.0,108.29500416,-4906.902056246144,57.86000128,False,1
88,12.495,4554.504675268053,-2532.182812207215,112.0,-4903.356448832596,59.0,True,1
89,12.561,4543.0,-2549.0,110.67999744,-4901.356165277357,49.26498112,True,1
90,12.781,4507.0,-2606.0,106.27999744,-4894.96217536777,16.814981120000002,True,1
91,12.861,4496.0,-2626.0,104.67999744,-4892.733246001106,5.014981120000003,True,1
92,12.895,4491.497113773322,-2634.684374258991,104.0,-4891.80089327704,0.0,True,1
93,13.04,4474.0,-2671.0,98.19999232,-4887.918772857517,0.0,True,1
94,13.095,4468.815800776873,-2682.445902978591,96.0,-4886.467559943706,0.0,True,1
95,13.4,4452.0,-2728.0,94.0937488,-4878.502516000163,12.3906328,True,1
96,13.415,4451.380830815324,-2730.1829634768465,94.0,-4878.112004388151,13.0,False,1
97,13.615,4442.333939395406,-2763.8916108449253,94.0,-4872.889782165928,17.0,False,1
98,13.62,4442.0,-2765.0,94.04166613333334,-4872.75801512394,17.041666133333333,False,1
99,13.7,4436.0,-2785.0,94.7083328,-4870.639047295638,17.7083328,False,1
100,13.855,4425.59313937139,-2836.916367481122,96.0,-4866.489782165929,19.0,False,1
101,14.0,4419.0,-2885.0,96.9062512,-4862.582892846569,16.2812464,False,1
102,14.015,4418.542047862251,-2889.0999062922547,97.0,-4862.178671054818,16.0,False,1
103,14.295,4416.117961963779,-2944.908114894392,97.0,-4854.634226610373,21.0,False,1
104,14.34,4416.0,-2955.0,97.42319680537744,-4853.415460174017,22.833852823302255,False,1
105,14.614,4415.004684380263,-3032.244137162649,100.0,-4845.773115499262,34.0,False,1
106,14.62,4415.0,-3034.0,100.24999466666667,-4845.595518270309,34.41665777777778,False,1
107,14.86,4415.0,-3104.0,110.24999466666667,-4838.07482965964,51.08332444444444,False,1
108,14.96,4414.0,-3135.0,114.416672,-4834.746743331685,58.027786666666664,False,1
109,14.974,4413.784096501968,-3139.427580641364,115.0,-4834.273115499262,59.0,False,1
110,15.28,4404.0,-3241.0,126.4750048,-4823.492266495038,57.0874992,False,1
111,15.294,4403.3069678711045,-3245.861311848345,127.0,-4822.984226610373,57.0,False,1
112,15.454,4393.818204164616,-3302.6231454442445,133.0,-4817.073115499262,56.0,False,1
113,15.48,4392.0,-3312.0,133.8357184,-4816.0826394318165,54.7928512,False,1
114,15.56,4386.0,-3341.0,136.40714697142857,-4812.974632229976,51.078565485714286,False,1
115,15.734,4371.525846338915,-3404.8096084538256,142.0,-4806.028671054817,43.0,False,1
116,15.78,4366.0,-3424.0,142.38333226666666,-4804.184775261817,36.6750176,False,1
117,15.974,4331.631559981031,-3520.5011468279295,144.0,-4796.428671054818,10.0,False,1
118,16.12,4305.0,-3586.0,142.43571291428572,-4790.709761778927,18.342864457142856,False,1
