,TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
0,0.0,2550.0013035731768,-320.0009216139626,0.0,-5262.228265809352,27.0,False,1
1,0.015,2550.001399160579,-320.0009892245084,0.0,-5262.2276606760215,27.0,False,1
2,0.1,2550.0,-320.0,0.0,-5262.223776898454,27.0,False,1
3,0.175,2549.9961317285524,-319.9972650823789,0.0,-5262.2276606760215,27.0,False,1
4,0.26,2550.0,-320.0,0.0,-5262.248964482311,26.57500032,False,1
5,0.375,2550.0402764069695,-320.02847593728166,0.0,-5262.2276606760215,26.0,False,1
6,0.48,2550.0,-320.0,3.2083392,-5262.056711759716,25.7083328,False,1
7,0.62,2550.0,-320.0,7.486109155555556,-5261.613764317454,25.31944462222222,False,1
8,0.735,2551.4301274951677,-321.0111185163037,11.0,-5261.127660676021,25.0,False,1
9,0.86,2556.0,-324.0,15.032255075038263,-5260.4880203147395,25.0,False,1
10,1.014,2567.4263900521632,-331.12083433553,20.0,-5259.577660676022,25.0,False,1
11,1.08,2572.0,-334.0,21.178573714285715,-5259.161114812525,25.0,False,1
12,1.294,2579.999375327556,-339.40719190352434,25.0,-5257.633216231577,25.0,False,1
13,1.46,2587.0,-344.0,31.2249952,-5256.1276406954985,25.0,False,1
14,1.534,2592.1712618757892,-347.1965651231775,34.0,-5255.36654956491,25.0,False,1
15,1.62,2600.0,-352.0,36.7642816,-5254.414444322496,25.0,False,1
16,1.814,2625.5760256864273,-367.8358833918112,43.0,-5252.022105120466,25.0,False,1
17,1.94,2642.0,-378.0,46.937496,-5250.313942615616,26.5749984,False,1
18,2.134,2660.200071132568,-389.1645467286783,53.0,-5247.3109940093545,29.0,False,1
19,2.34,2681.0,-402.0,61.17940668235294,-5243.3719277946075,35.05881976470588,False,1
20,2.52,2708.0,-419.0,68.32647567058824,-5239.307309122546,40.352944941176474,False,1
21,2.68,2731.0,-434.0,74.67941684705883,-5235.478121085205,45.05882729411765,False,1
22,2.814,2761.274026791675,-452.93849049093944,80.0,-5232.199882898244,49.0,False,1
23,3.02,2813.0,-485.0,88.3687448,-5227.0189738203635,56.0812456,False,1
24,3.134,2830.9674795703227,-496.58237870460306,93.0,-5223.933216231577,60.0,False,1
25,3.3,2853.0,-511.0,100.88499392,-5219.037874143563,65.39499583999999,False,1
26,3.534,2908.7799801596607,-545.6817499641694,112.0,-5211.4887717871325,73.0,False,1
27,3.56,2919.0,-552.0,113.1375056,-5210.61823214464,74.5437576,False,1
28,3.76,3016.0,-612.0,121.8875056,-5203.704302135474,86.4187576,False,1
29,3.854,3047.179128058745,-631.3718961200333,126.0,-5200.288771787133,92.0,False,1
30,4.134,3082.027874907091,-653.1209434785991,139.0,-5189.4776606760215,81.0,False,1
31,4.28,3139.0,-687.0,143.562504,-5183.576473266746,89.6687576,False,1
32,4.454,3251.0216587195446,-753.3134105871163,149.0,-5176.233216231577,100.0,False,1
33,4.481,3264.0,-761.0,150.446432,-5175.052158427628,100.0,False,1
34,4.734,3310.52596257964,-788.8778419924766,164.0,-5163.4776606760215,100.0,False,1
35,4.761,3319.0,-794.0,165.2535744,-5162.1959680035,100.0,False,1
36,5.014,3468.6564688657004,-884.1929326392849,177.0,-5149.710994009355,100.0,False,1
37,5.081,3505.0,-906.0,180.54829070121684,-5146.221549259445,100.0,False,1
38,5.335,3584.0025934944206,-952.6117124492242,194.0,-5132.412660676022,100.0,False,1
39,5.461,3631.0,-979.0,196.7562528,-5125.3960453089885,100.0,False,1
